"response","PIK3R2","NOC4L","UPK1B","PYCR1","LAMA2","CHD1","PALMD","OR7A17","SLC17A4","FARS2","TMEM2","LRP6","NRG1","C20orf12","GYPB","ERBB4","CENPQ","MTA1","FAM59A","ZNF34","GRB2","C3orf64","TRIO","SLC5A1","GPR77","TRIM36","PTH2R","OSBPL8","PKP4","LILRA5","RAI16","SNX6","TSPAN13","FTHP1","SPG20","GNAZ","FLG","ARFIP1","NUCKS1","CYP1B1","CRTAM","FXYD6","SLC43A3","RCAN3","SPINK1","SLIT3","DCC","NCAPG","ZBTB33","RBMX","PKN2","PCAF","MAPKAP1","NR5A2","GAS2","WDR32","NIF3L1","AMOT","NOX5","HSPA12A","HYAL2","TGM1","RPLP0","C1orf27","FZR1","DDIT3","GEMIN8","SNTB2","DBP","BTC","CDH22","RBM6","NEK4","SURF2","FAM120A","HIST1H2BH","MTERFD1","TSPAN1","PCYT2","FOXN2","AMELY","MMP7","FUT5","BMP10","MFAP2","KIAA0947","RHOBTB3","RAB36","SS18L2","SHANK1","AHNAK","HINT1","FRMD4B","UBP1","TSC22D4","ANK1","ADAMTS5","ATP5G2","TM9SF4","PFKFB2","ACVRL1","GLI3","ABCA4","RPL7A","FAHD2A","IARS","HOXC10","C8orf33","MTL5","COL5A1","UBIAD1","CA6","RFXAP","PML","OGDHL","HABP2","LGALS2","COX8A","CTNNBIP1","GRAMD1C","PTPN3","ANKRD15","ORM1","HSPB2","PTPN2","SLC9A8","BTBD7","ADAMTS3","RNF40","SPSB3","C20orf19","ATP8B3","RHOB","POP5","SETMAR","ESRRG","SBNO2","CCL15","PYY","AHNAK2","SFRS11","ERCC6L","SMAD7","PIK3C2B","PACS2","LOC390688","MAP3K6","BFSP1","WDR57","DIP2C","C5orf23","GPR126","DOCK9","TSPAN12","SC5DL","NEK2","ATP6V0E2","NPFFR1","TPMT","TCF15","CDS2","CEL","CLK4","C9orf78","NPR3","POLL","NOTCH1","OGT","MEIS2","IL6ST","GPR6","LBA1","FASTKD1","HEATR6","SPRY4","VAPB","PAEP","KLRF1","TGFBRAP1","SNW1","FNDC4","CADM3","PARC","C3orf58","DNMBP","ZNF391","MED24","PIGG","C14orf104","WWC2","C21orf59","LTB","HOXD3","KIAA0143","ANXA7","UBB","CYB5R2","RELB","ARHGEF2","LMO7"
1224,4.136424821,5.138706463,4.292276832,5.817051176,3.33037956,6.271611916,5.977951886,3.183626296,3.490125081,6.583049933,5.102804225,5.887461236,3.371710452,5.512195395,3.449505861,4.976143583,3.902453782,5.895434202,5.575618298,4.210937342,7.293134123,4.868660562,5.172596742,3.577587872,3.287084445,3.719032692,7.819862163,7.710578923,6.868754934,3.094951044,5.914017809,7.378904563,8.692186069,7.828752932,6.375640574,4.738466497,3.322496076,5.535075993,7.322124967,5.875040331,2.800051972,7.540568897,5.128701893,4.750790184,3.407445031,4.636931675,3.209368134,5.487447289,2.843622265,8.140286363,7.464734187,5.318452752,6.146437539,3.390649439,3.446876824,5.718240305,7.752777427,4.778243101,4.199845599,4.335316337,5.919351642,4.332550852,11.64838885,6.880737226,3.80717025,5.243648909,3.787255947,4.627081181,5.093958931,3.065177137,4.205103556,7.167290575,6.609012202,6.250316781,6.465754086,7.231933358,7.676930478,5.726151935,5.107706684,3.699115744,3.169586194,8.998036342,3.583696268,3.190459502,7.881317229,8.414570276,4.224443796,4.374385235,8.560751822,3.781394435,6.303382355,9.663566356,5.434121822,8.284809136,5.60467097,3.456712482,6.333448565,10.0080897,5.483167024,3.781146865,3.617550081,5.527235252,3.868529165,11.74368199,5.24191378,9.563012119,3.347097538,6.901946369,3.696270343,7.787481547,3.58647504,3.997538119,3.471168995,4.164517376,5.432234248,3.552164363,3.698718336,8.84490561,5.466092273,4.936588699,5.63226107,6.513465816,3.101355226,3.292019377,6.215499081,4.309177255,3.606274282,3.743361704,5.733149519,5.929802803,6.36025341,3.094709321,7.324575024,7.729227605,4.856428473,6.63264493,3.947718437,4.021873265,3.359291387,7.068054306,9.657155634,4.785439696,5.70110199,6.964922848,5.911816565,3.034606051,4.190781389,3.369314717,5.154984014,5.31100447,5.568124403,3.394274927,4.184850227,6.5188481,5.300845752,5.678641936,7.382955498,4.773531728,6.341021014,4.01233264,5.659986641,4.83381063,6.894421831,6.652841801,3.885831428,4.462412779,5.675022679,6.681281313,6.630091226,4.882692953,3.191227481,4.623877472,7.734716751,6.272286778,4.771923131,6.063118381,3.298015707,4.083022992,5.120162558,7.64861717,4.734247567,3.506518607,5.318369723,4.237143134,5.737374339,3.192319156,4.317408749,6.434787024,5.02551793,5.321899339,8.040795385,4.841285328,3.399840116,7.17784135,7.429210568,9.450330669,5.582944307,4.405787835,5.665581843,4.015618203
1247,3.665666737,4.833841507,4.943858867,5.482439075,5.061244276,6.624870962,6.730689351,3.041706771,3.201483077,5.704202339,5.152845098,6.206106516,3.583359305,4.508548113,3.427635869,6.00045104,4.284316785,5.181210656,6.07023791,4.860926978,7.051999312,4.561428733,4.813838719,4.252965222,3.262654762,3.689409076,4.548360986,7.239324797,6.000361978,2.978344753,5.242897441,6.470037825,9.57409271,8.054847722,7.575094748,4.874030996,2.808864631,5.077645196,6.309955893,5.378496356,3.016978438,7.916370162,4.83678563,3.742733149,3.061780877,5.9866941,3.076673887,4.887286446,2.955973627,8.580786457,6.622107803,6.093271188,5.540143059,3.076761458,3.338559038,5.763358983,7.598913252,4.672790573,4.055709076,6.794406743,6.469300734,4.327299626,12.18917425,6.207823872,3.738542982,5.485049497,4.134096624,4.542861248,4.317433868,3.286246116,4.180197214,6.375626258,6.536419521,5.147898483,6.197408092,4.654496838,7.972870085,6.354173635,4.548841071,3.548627328,3.015504551,10.05655387,3.386445631,3.074642587,7.854740099,7.736822738,6.395301656,4.98381916,7.80322093,3.758226367,7.183103015,10.20378067,5.022245039,8.314737013,4.571024067,3.411523789,5.878810738,10.20333112,5.392692919,3.746589766,3.493493413,5.57773549,3.576576493,12.0711322,5.592230608,9.446010649,3.473620912,7.055361882,3.912579009,7.386773727,4.732602304,3.744303151,3.490492982,4.26386089,5.581179775,3.448396517,3.985034279,9.594025892,5.871037018,5.239137568,4.539497263,7.83863324,2.877520145,4.73172931,6.259783197,3.942797435,3.555752302,4.043652131,5.168036849,6.321268081,5.697438703,2.988292979,8.901369813,7.481210389,6.190088248,4.372761993,3.846511033,4.141132511,3.048816606,5.973939049,8.70893126,4.201479637,5.605501899,6.370970565,5.198198016,2.945338363,4.646356219,3.317697316,6.128809014,5.802561822,8.130344948,4.229074468,4.333689043,4.918805655,5.576902015,4.730570472,7.040968581,4.59130673,6.383910838,3.567298238,5.538462961,2.979792895,6.576625274,5.787109447,6.241963372,4.568288999,5.034461141,5.719290108,8.967353366,5.112769099,3.080108197,4.984829035,7.994274703,5.451790901,4.912954828,6.009840233,3.240603129,3.187266734,4.969811056,7.317565115,5.09592236,3.661840279,4.614886281,6.432731506,6.101607699,2.954054989,3.901293481,7.257571423,4.781872643,5.429052051,8.312471834,4.368965447,5.329441885,8.274726066,8.26896997,11.13337695,6.514637373,4.739488505,5.960103599,3.920098209
55,4.477506429,4.349635026,6.026116457,4.833157727,3.622351712,5.317574085,5.839562501,3.14781854,3.414432079,4.85249322,5.161268612,5.128979038,3.465479468,3.818067992,3.790577392,4.189920602,3.959298469,5.605013169,4.343550905,3.939420581,6.972860447,4.204563234,5.070929842,5.668880765,3.294094425,3.576964274,3.09574405,5.614536082,6.502172606,3.200757949,6.205676037,5.740107252,8.459315166,8.275567278,5.088450857,4.245235122,2.708309309,4.862080261,7.992372564,8.162031687,2.956314557,6.645554763,4.597501681,4.478369089,2.99388831,3.912695127,3.247810054,5.210312391,3.065191603,7.965327382,6.86620235,4.735404282,5.711476464,3.211377098,3.364984891,4.709316083,6.148855751,5.063773257,4.323149618,4.602633856,6.991774572,4.066618081,11.20189223,5.94640114,4.038286729,4.938710956,3.795630179,4.259608374,4.207930041,3.942023765,4.368800038,6.194391815,5.52144301,5.849405387,6.419486274,4.740820521,7.288568444,4.4014828,5.051237988,3.86800242,2.942481753,6.741988331,3.891657733,3.365383855,5.025542092,6.601366948,4.350464172,4.669389753,7.175574372,4.445730984,6.542363462,8.987501871,5.428631597,7.657118226,5.042346887,3.663016534,4.639480265,10.17797134,5.211974565,3.935892333,3.950594162,5.165264165,3.73605514,12.10708598,4.835199129,8.537747227,3.719261381,6.450775928,4.376435702,5.046687898,3.864505734,4.196763596,3.731763278,4.666541183,5.651169203,3.770799472,3.895048797,9.209581873,5.346479376,4.296881488,4.644298269,6.605726142,3.449600692,3.580564744,6.132363385,4.768063244,3.614971964,4.519821469,5.831441495,5.939494654,5.061992925,3.385077852,6.549867375,6.34674136,5.117874832,5.160839157,4.395737687,3.66196398,3.135713356,5.622704263,8.710426948,4.674136114,3.850671966,5.880494827,5.504273585,3.42054842,5.097731411,3.611855677,3.839467833,4.624363871,4.50474699,3.868734309,3.862611158,6.335363365,4.831388531,4.334368772,6.65407536,5.396281005,6.120421729,3.560718942,5.60619339,4.274825434,6.937090813,5.653677264,3.918155166,4.898627033,5.488164747,6.999369976,8.65316128,4.795741637,3.688837864,4.025235051,6.707825243,5.904539076,5.984616113,5.810083817,4.829748474,3.311401872,4.662616986,5.976000111,4.530159952,3.742784845,5.273855771,4.090854477,5.293298475,3.129362579,4.33968489,7.058272712,3.28244808,3.974574673,6.611560685,4.830797575,5.720508869,7.487790977,7.597625341,8.139575083,8.088978244,4.300092631,5.755177933,4.080389303
1495,4.245417934,5.072905875,3.631955795,5.024759236,3.356750695,6.479020496,4.073322596,3.307781981,3.293653922,5.499857684,3.611603458,5.259436115,3.277804569,4.267777249,3.531800494,5.803653731,4.252677991,5.559710483,5.347021009,5.817749948,7.513519308,3.806022178,4.870534799,3.644413141,3.558677382,2.93799739,3.194376334,6.343051491,6.077468199,3.122340806,6.673540599,7.536018551,7.358242455,8.908624423,3.354185475,3.797332221,2.903504391,4.69955085,7.370016862,5.855242521,2.892545874,8.243187933,6.031525713,3.994375882,3.214851208,3.482353888,3.254039592,5.561429782,3.069936304,8.480910232,7.52284669,5.196506527,5.161324745,3.168550473,3.429330497,5.105505252,6.502297184,4.573095177,4.573733622,3.327774786,5.163091451,4.857260148,11.90857,6.756310663,3.919413386,7.048440143,3.521470208,4.319377196,6.209144098,4.541608662,4.125055214,5.703781727,5.402999537,6.215156587,6.321742479,5.22637059,8.20077037,5.342291194,5.051497892,3.617097037,3.112000994,6.698448956,3.603904405,3.472319733,6.432360554,7.527286804,4.326873946,4.152297377,6.825403025,3.930108906,6.774789874,9.633946189,5.494529567,6.988191719,5.565302586,3.438588829,3.565754527,10.56524866,5.655361809,3.914954869,3.55378407,4.875594509,3.911551905,11.96627704,5.290742237,8.773469954,3.504986119,7.572555793,5.564768883,4.017240169,4.525211806,3.852182962,3.54604615,5.163868454,5.261485215,3.606012498,3.75104823,9.905391229,5.821326145,6.982638091,4.957147043,7.613709106,3.092073019,3.767712365,6.768439783,3.981727009,3.25864697,3.848238675,6.459994361,6.200555471,4.724205003,3.2914536,6.521586183,7.636404909,4.464676737,4.517551296,4.3928767,3.375029485,3.285454995,4.694132125,9.500444513,4.704074183,4.27345358,7.273707115,5.951506259,2.935692025,5.574530011,3.498575583,5.000829578,5.197941353,4.279345612,4.632668891,4.084745142,5.70855086,5.433466629,4.688266853,7.311295013,4.653557989,5.262843836,4.188373483,4.735149209,4.009568101,5.789012882,5.558718131,3.332085596,4.821145784,5.275630502,7.482599218,6.598462949,4.505243868,3.348787847,4.639461496,7.632042579,5.99472909,5.964231919,5.295599819,3.048239567,3.609778538,4.810430328,7.454602402,4.230600119,3.6068745,5.074315275,5.019773614,6.248954554,3.180256259,4.240079293,7.834101422,4.693100973,4.39275881,7.555551867,8.95826029,4.312274194,8.615634688,8.07539656,9.459617348,4.964640436,5.042135272,6.287338696,3.846750507
61,3.96271556,4.675441528,4.140513549,5.960604312,4.234948229,6.974815159,5.743695035,3.074373263,3.137056331,5.278940697,5.586138154,5.007789183,3.610373583,5.395092027,3.775150794,5.976534058,3.773174126,5.201932003,4.981195155,4.050237601,7.418709382,5.532839583,5.003037282,3.031248217,3.219700151,3.693346892,5.473663641,7.437104878,6.151439792,2.926355451,6.157903534,6.867274969,8.898902837,8.00300536,6.763581057,4.520279368,9.526716286,5.371364421,5.936517442,4.271921896,3.128416357,6.203601466,4.189086154,3.945169643,3.24409725,5.123359702,3.068503264,3.679191959,2.901465753,7.933931751,6.399949087,4.980390905,6.032302216,3.021497159,3.333617804,4.720094969,7.368090371,4.929632256,4.287569371,6.180388759,6.487433795,5.880665772,12.23757643,6.254349478,3.781099027,5.473035582,4.145779965,4.569169426,4.826457811,3.298811996,4.390355815,6.863502611,6.264943067,6.296178259,6.626404199,4.580372902,7.575469309,9.311696631,4.651024639,3.283033088,3.222592988,9.157108504,3.515697432,3.208980289,7.952520693,7.999551055,6.166793202,4.672070164,8.254373989,3.742853702,7.1592291,10.29263618,5.27874252,8.128606249,5.081278788,3.430948,6.943635967,10.19397722,6.188226167,3.741022219,3.603397587,6.368533504,3.914072206,12.65370602,5.35352902,10.25132493,3.82810907,6.738115665,3.506024833,9.570538106,3.943490924,3.730057427,3.858579039,4.375896653,6.583897535,3.396549256,3.706203314,9.43961913,5.460941024,4.902196509,5.087646547,7.213307615,3.193860999,5.620364376,6.180052097,5.201369103,3.574369937,2.979782256,5.323608418,6.275207489,6.079440511,3.072511932,7.395106282,7.702229767,5.462518124,4.476853843,4.50112443,3.899385506,3.142490708,8.131393851,8.665972008,4.053324198,5.227270585,5.809149108,4.907885825,3.387932645,4.273738128,3.01054774,5.789928894,6.244834305,7.807762905,3.659163973,4.194227224,8.85986839,5.58152058,3.988152271,7.632095512,4.573311453,5.591969116,4.076481601,5.270183239,4.072825918,6.920399018,6.491915467,5.362002387,4.719178643,5.640120462,7.207144684,7.437811748,5.448343579,3.221006313,4.654318514,7.695366581,5.518965246,4.29361253,6.257909461,3.211921705,3.148659973,5.084882008,7.193421886,4.494527614,3.355524642,4.617752733,4.559366704,4.92721354,2.799712444,3.978114459,7.676795143,4.694335887,5.523026108,8.391389532,4.462899745,3.633975337,7.979148923,8.463476853,12.45597958,4.20303593,4.574273953,5.237052664,4.048600451
1418,4.041397803,5.0137464,7.416855113,6.504568072,3.475526882,5.911135938,4.01004417,2.994354386,3.183659761,5.53102884,6.183405345,6.148301237,3.422845242,4.140040569,3.823970768,7.18836322,4.764133156,5.345700854,5.225336167,4.978471495,7.674594765,4.252462747,4.843316132,3.232905698,3.319987789,3.524101193,5.607099207,7.700555286,6.391251851,3.079511802,5.712947169,7.737551764,8.384557964,8.551526743,6.384910855,3.57275492,2.773781614,6.004420741,7.255989938,5.991268471,4.031328661,5.023531365,4.764933633,3.33762163,8.111321482,4.387423382,2.947935715,4.536653102,3.035536959,8.373009022,6.600188669,6.043892718,5.803060764,2.940890926,3.140635085,5.822042793,7.603404945,4.312475989,4.438631213,5.612724543,6.388332935,5.287286271,12.02886079,7.017315111,3.860877168,5.465168545,3.932160043,4.612200226,5.29993911,4.709179755,4.198160239,6.156708356,6.206646707,5.983550946,6.566800687,4.541372574,8.141388723,5.84009387,5.270678012,3.313829652,3.228876806,9.352948486,3.469425079,3.2200993,7.446841496,7.539394671,6.165928403,4.189733335,7.25561025,4.184269723,6.407585584,8.729073536,5.18546498,8.537560862,5.449468455,3.466441957,4.851380383,9.790037411,6.476289357,3.739827366,3.590444624,5.382147857,3.765459214,12.04773667,5.17476495,9.019245083,3.917113263,7.621421328,4.204704415,9.576723754,4.189633207,3.777330875,3.405749279,4.231399038,6.28232166,3.212106857,3.868869171,9.280547925,4.841658398,4.543755084,5.753716628,6.003261745,2.994934225,4.276783958,5.698218321,4.862132489,4.008850541,3.969593096,6.06694501,6.475609011,5.501315197,3.138486804,8.253284861,7.399185596,4.655808564,3.585216439,4.460510766,3.59080129,3.30465379,7.897214903,8.976235201,4.344187122,5.534041247,7.079189012,5.885648156,3.123987961,4.403339234,3.277444202,4.6074914,5.172037694,3.884611566,3.749537521,4.005895884,9.041726486,5.26287408,4.627872707,7.295017083,4.48660563,5.416419363,4.010709924,5.631708953,4.260340852,6.351578215,5.711342441,3.282909688,5.236246796,5.874810479,5.680946546,6.764965007,4.857563337,3.119191121,4.667965305,7.419345075,5.57516355,6.067787851,6.570153111,4.418959473,3.549889461,5.072281468,7.624262789,4.391028779,3.698631762,5.308778267,3.936303111,6.033315449,2.820876027,4.364548815,6.432189255,5.449096492,4.890351402,8.325298729,4.812079942,3.603936542,8.431252355,8.319351559,12.36920953,7.736037174,4.457807063,6.571538796,4.046433621
563,3.990296166,5.143285891,4.068969461,4.785759356,3.388162503,6.614399259,4.484470877,2.913265531,3.370496652,5.371161789,4.995177812,5.450314432,3.243773825,5.412810024,3.7280056,5.225545347,4.099433375,5.408111109,5.073212909,4.50332461,7.82969506,3.348993781,4.867238011,3.298897835,3.289541639,3.692828095,6.563000943,7.372782714,7.261555945,2.95848758,6.128331551,6.985273461,8.433451601,7.790862715,5.838307193,3.867081686,3.021958976,5.328311569,6.992362968,8.296454018,3.006870488,5.449140835,5.483232971,3.826030731,3.11233546,4.34642811,2.891129444,5.297527004,3.094074141,8.371117243,7.810482302,5.441134829,5.462270477,2.996385991,3.301027655,5.199487088,6.988989121,4.40989121,4.24682423,5.88082857,6.471416235,5.513097702,11.78540008,7.024283264,3.740714619,5.497488488,3.862028126,4.324212279,4.989561765,3.463048598,4.269666183,6.44476961,5.993313667,5.623457335,6.561778896,4.173672867,8.242743524,4.994576406,5.168049707,3.578294482,2.88617129,8.83429271,3.319061394,3.370282589,6.965174991,8.397415732,4.031242326,4.063773751,8.041752049,3.784086044,6.362515617,9.51922159,5.306481177,7.922847954,5.272218992,3.451355389,6.219224957,10.50621193,6.196384355,3.806376058,3.381943962,5.443028006,3.632164201,11.86937696,5.835422368,9.27274937,3.763680229,6.451250359,4.486963754,7.124303565,4.343573675,3.557890066,3.23722747,4.323703377,3.988961479,3.479211,3.572474376,9.283818898,6.03558411,4.814994863,5.320922265,9.189464453,3.081030373,3.412145854,6.099497745,4.483587505,3.448376476,3.452338154,5.845996949,6.744733977,5.853717883,2.992494622,6.880395428,8.50321553,5.381620443,4.221809971,4.270213757,3.976694867,3.17311866,3.815574444,9.705228965,4.884937187,4.653696942,6.706923004,5.297600886,3.467128133,5.168821904,2.957198421,4.944728591,4.724532276,4.358846612,3.872657316,4.093719943,7.670614004,4.867710654,5.39038455,6.681178241,4.519789921,5.792414497,3.634244506,5.929403534,4.400822512,6.70018929,5.655685862,3.437559443,4.867647977,5.154459356,6.708234257,6.323866893,4.575429145,3.450272391,5.110246087,8.798635641,6.274937019,4.94753965,5.476607904,6.560657144,3.212861176,4.943210635,7.388779615,4.388155013,3.522403255,5.106694558,4.527295873,5.20079895,3.055693687,4.510702365,7.554856973,4.50445751,4.929217225,8.829102249,4.321654823,5.482585063,8.235363927,8.170547674,12.473746,5.526595828,4.850552749,5.864425442,3.863736729
361,3.905535103,4.5063479,4.836036675,5.239433772,3.53970976,6.132141974,6.319736611,3.180346263,3.344534585,4.907988207,4.64799149,5.155249823,3.369609726,4.735377837,3.505083916,6.028857252,3.541795804,5.066066519,4.668698044,4.470296928,6.134387306,3.995078414,4.698665884,3.264806086,3.058408809,3.138453837,4.990665174,6.331124422,5.875929762,3.033886729,6.111962164,6.073891816,7.46183175,7.581184488,4.998531467,5.696390809,3.026127436,4.417559612,4.944885302,5.319433153,3.035593842,4.906866655,5.043250117,4.472520916,3.266929337,4.660830161,3.177077162,4.073693112,3.244947073,7.887959271,6.333710059,4.6264296,4.956560321,3.139754926,3.290378618,4.738743555,7.02966215,4.255910149,4.096291463,5.394505479,5.327500701,4.499696161,12.06001524,4.862254158,4.028083951,4.56074984,3.625745068,4.185715404,5.08642928,3.894009409,4.740457909,5.413051066,5.300128949,5.325903804,6.231702839,3.806138541,7.871471287,5.942265084,4.675510768,3.443583651,3.176361424,10.71965098,3.700625447,3.476693185,7.81514325,7.012693754,4.94481079,4.694075892,7.497946709,3.548710219,7.342410025,10.4878393,4.691830294,7.404715931,4.860038669,3.562335718,4.068607241,9.681067225,5.440078102,3.645594121,3.441928228,5.145040127,4.585146281,11.84815566,5.157169581,9.106364373,3.627447608,6.017373736,4.640890309,7.799152745,4.430009018,3.875502364,3.791456541,4.34488684,6.516967059,3.59688652,3.805922529,9.660197132,6.019109653,3.45183227,4.185913475,6.447498338,2.940516311,4.051021864,6.911534442,4.575555865,3.367816909,3.092737627,4.957192486,6.224464405,5.909020415,3.268883615,7.374046348,7.22006977,5.465142009,3.685243912,4.313080374,4.100340076,3.628362322,7.002029343,8.600893484,4.559319086,4.20982309,5.95453491,4.988747087,3.223361292,4.438743891,3.673237357,5.329412047,6.000719396,4.901927224,3.853277284,4.001302181,5.770331997,5.65895943,4.077805388,6.473181906,5.064106095,5.05364769,4.675256513,5.166462699,3.309371572,5.942648998,5.646826641,3.535667181,4.704886415,4.914392067,6.62229585,4.729564943,5.316350593,2.993045053,4.465728183,8.259996921,4.474992564,4.2530661,6.287356029,3.617705996,3.059895298,5.039027129,6.324310082,4.259819394,3.753733968,4.411787928,4.954058629,4.633276414,3.139878868,3.941004698,5.569096049,4.261994884,4.870500465,8.668416615,7.250828386,4.042547616,7.828032248,7.196185765,11.88728087,4.957695893,5.331068505,5.680933136,3.971753941
1992,4.118983833,4.851072936,6.014639789,4.584974539,3.855900712,6.110490319,5.596470504,2.936850424,3.068816812,5.734567712,3.954400989,6.720931624,3.455372251,5.032205176,3.829747023,6.596057667,4.430547878,4.980956254,5.673881509,4.64427142,7.226280472,3.568474336,4.869791401,5.443825675,3.404340953,3.160746081,3.953331833,6.650069389,6.604442039,3.183726387,5.585782854,7.104344083,8.042646301,8.40901756,6.173325788,4.182518322,3.495287435,5.140565659,7.292080058,6.759228177,3.075093745,6.635813201,6.332260597,3.727063532,3.304523035,4.151850072,2.982739654,5.169043723,2.990394335,8.137364399,7.27454821,5.533976632,5.929705027,2.926915686,3.50257945,4.565024425,7.35463384,4.682555205,4.440756149,6.377415889,5.87628836,4.459319544,11.90949852,6.879690277,3.878836644,5.079210989,3.470284638,4.289650825,4.750742351,4.774234398,4.235240472,5.667749449,5.081072808,5.590750474,6.348021109,4.73510757,7.804161948,6.351924307,4.556696068,3.697712938,3.222390161,9.634570568,3.638448288,3.215332436,6.845139128,7.582569385,4.26197796,4.497987263,7.152864899,3.811285509,6.630039886,9.84125845,4.666160602,7.646038525,5.144178838,3.402295829,4.046858224,10.53555376,5.216935571,3.887286725,3.396571858,5.408559871,4.087552674,11.54614215,4.108750479,8.563981629,3.860635577,5.763981555,4.28584412,4.124792773,4.110087864,3.685948153,3.739885654,4.331997063,5.886330864,3.597902628,4.480820148,9.597946603,5.60927953,5.457854145,4.209346268,7.475862663,3.701100192,4.566208765,6.531680341,4.950637587,3.228285712,3.87847447,5.842304589,6.449423744,5.416967315,3.174695472,5.348720186,7.327385844,4.18263137,3.805670868,4.269112122,3.730644682,3.375158646,6.608914661,9.164054964,5.083416835,5.319561738,7.228509878,5.129890627,3.127977481,4.060892476,3.236386954,4.818389965,3.703029832,4.577338811,4.081285615,4.212390552,7.115926948,4.962544448,5.164307751,5.496732019,4.631206814,5.867577474,3.519674042,5.287600087,3.787399043,6.52900654,5.640022685,3.557149076,4.98681152,5.270691983,6.731140838,5.950579479,5.394739394,3.327509747,4.112819199,7.644757593,5.108251971,5.215384135,5.674078449,3.466385197,3.873411444,4.680092812,6.750236737,4.389904373,4.411540727,5.436407574,4.011204218,4.910211768,3.013988109,4.633916377,7.264463504,4.42553466,4.183415946,8.074506216,9.866901769,5.120924591,7.978471495,7.895995944,11.71603455,6.169769674,5.106391053,6.748695598,3.898881808
1918,3.792715242,5.268694902,6.085853805,5.808876412,3.553815703,5.953510969,7.910156584,3.366128213,3.356925818,5.862113755,4.218609646,6.432592745,3.777084011,6.733924869,3.686519869,6.975935933,4.466934285,5.660758364,6.349647308,3.839987708,7.937359182,3.732703732,5.207123975,3.340408528,3.160224899,2.821244289,7.41891059,7.428896455,6.737125598,3.055995803,5.989217946,6.958691561,8.213522106,7.318853072,5.674272884,5.087976027,2.932340295,4.630793582,7.574709236,5.241072353,3.070593989,7.069638076,4.795816037,5.034916141,3.322846878,6.545579391,3.162645637,4.726927832,3.153394312,8.637400204,7.429017178,4.276663003,6.195291547,3.145644869,3.986249417,4.675918818,8.3608507,4.142947155,4.211377247,4.081777115,6.008686951,3.98124368,12.24969159,7.329276945,3.852141424,5.810305778,3.640779347,4.144757963,5.745180885,3.261041959,4.270109365,5.95521125,5.915993591,6.08929966,6.002308223,5.177813831,6.249493263,5.073497651,5.369819364,3.740401702,3.091694766,7.156756182,3.587759894,3.390191003,9.594818334,7.86057458,7.103364654,4.365414961,7.83214338,3.895782162,5.872091015,10.27601589,4.20841924,7.60001451,5.354263105,3.499687282,6.524950668,10.2657571,6.370089253,3.914252815,3.308047058,5.905041538,4.345629259,12.1517849,5.330132509,9.642703969,3.728427098,5.768934012,4.992684259,5.774955722,4.432276946,3.857713484,3.677805114,4.01451312,5.700106298,3.713748445,3.632193939,9.316046008,5.548049309,4.683692107,4.634278745,6.805557911,2.992000707,3.65882436,6.356048244,4.172079519,3.671933509,4.712704569,5.788654318,6.706227349,7.000410808,3.185228428,7.714426648,9.23706711,4.767062196,6.453162979,3.925419793,3.565442634,3.338723735,6.412445673,9.206205804,4.413004178,4.364456775,6.317274728,6.301131369,3.008449995,3.71696616,4.43094328,5.826883989,5.035108004,4.118296986,4.324356234,3.826085445,5.879400678,5.809515175,5.214933004,7.9384283,4.621963873,6.152378775,3.703307653,5.545874402,3.448221438,5.706268142,6.321470411,3.053385687,5.033269905,5.090802639,5.399610937,4.565584993,4.432669326,3.170578082,3.528090994,7.882058913,6.231479462,4.149269558,5.976712346,3.336542245,4.388930929,5.101291419,7.475223561,4.30031988,3.419357421,5.295208972,5.714435662,5.234439731,3.06807793,4.871887758,7.33355093,5.191738186,4.956701752,8.308309724,4.67806322,3.463312826,5.853810764,7.691788877,12.37553545,4.858978008,4.19468157,6.674299504,3.835834536
