"response","DUSP26","CLTA","DGAT1","TLR6","TRPV5","TRIM36","PITRM1","TP53AP1","TBX19","SDCCAG1","CHRM5","ZC3H11A","TTC33","SEMA4D","POLI","PYY","GADD45GIP1","MGC10334","KLK6","RAPGEF6","FNDC4","AMPD3","LAMA3","CENPJ","KIF1A","DAXX","THYN1","LPAL2","GSS","THPO","NKX2.8","RPL14","TTF1","KIAA0649","PRKAA2","HDAC1","APOL5","FLG","CEL","UQCRC2","CBY1","HSBP1","ARID5B","LRRC51","GLI1","RAB3B","PPP2R3A","C1orf77","CSNK2A2","DHX57","POLR1C","NPTXR","HSPB1","SUSD4","FTSJ2","POLD2","NXPH4","PHF2","GMDS","SNRPD3","CSGlcA.T","ADCY8","MTO1","BASP1","IL6R","DUSP10","PROSC","MORC4","NBR1","ZBTB11","SPINK1","ORM1","FRYL","CENPM","ZFPM2","TSPAN8","TCF4","FLJ13236","AXIN1","ANKS1B","ITGB7","ZNF471","ATP8B2","C9orf6","METTL9","VAMP4","RBM25","CACNA1H","PDE11A","SAPS3","JDP2","FOXC1","PTPRG","UBD","FAM110B","METRN","CLIC1","PDAP1","DEPDC1","C10orf6","KIAA0562","ZNF451","CEP290","PAK6","C16orf33","PNKP","GLT8D2","RMI1","PPP1R10","G3BP1","NOX4","LY6E","FAIM3","TM4SF4","C12orf41","LSM1","MED28","OR2S2","ATF7","MMP27","FLJ20035","CD3E","CCT8L2","RIN1","VANGL1","HABP2","UGCGL2","NMD3","NHLH2","C5orf28","ATG2A","DDX43","TRIOBP","RASA2","KIAA0692","ERCC5","DUT","MYBBP1A","BANF1","EIF4ENIF1","CASP8","FLJ20254","ARHGEF18","WDFY3","XRCC2","C14orf115","MT1G","SEC14L1","HOXC10","SSX2IP","PCDHGB5","SNX16","ONECUT1","SNX15","REV3L","PYCRL","IFT88","CTR9","RAB6B","CADM3","C20orf39","DIO1","ATP10B","UPF3A","GRIA2","NEUROD2","LALBA","RARB","C9orf16","CCL5","PDZK1IP1","C6orf66","BZW2","TOMM7","C14orf2","C9orf7","TIMM9","EDN1","VPS4A","EML3","TRIAP1","SNCAIP","SYT11","PCYOX1","JMJD1C","CLU","CXCL9","CLCF1","PRRG1","RPS28","PPFIA4","TTF2","SPEG","ACP5","FUT1","SLC34A2","SSRP1","C14orf172","MYO1B","RAB11FIP3"
1224,3.476195028,9.663618145,4.959677701,3.194324929,3.850582507,3.719032692,7.23389932,5.422254342,4.793416174,7.773179762,3.209890154,8.513049256,4.776488656,6.21774564,5.898762267,3.359291387,4.484228077,5.593153554,8.031163392,4.930972974,4.734247567,4.302136162,6.589452966,3.558607088,7.26191184,5.34455734,6.430281919,2.933735942,6.186414578,3.192028775,3.204027488,9.593309278,6.476057294,6.273748797,4.484847965,8.080486084,3.325692489,3.322496076,4.83381063,6.937789294,6.618674733,8.114149324,8.507442861,8.213870919,3.711578653,3.669907965,6.55048788,6.125962193,6.168501965,4.708299625,5.878431437,3.882217542,10.83192021,7.175986676,5.501032805,7.392161614,3.739332747,6.345460881,4.732415884,7.895690558,5.732012635,3.271812499,6.255669313,5.671264512,4.248112012,4.235846834,5.647385631,5.815331595,6.419205792,7.2016443,3.407445031,3.101355226,6.134174354,5.223251833,4.158826921,3.351955705,7.138146939,3.983568081,4.94362774,3.02336317,4.181564335,3.482041409,4.654375117,7.110361756,8.954160005,4.848685303,7.348539337,3.671677651,3.701228929,4.950936366,2.943607621,6.562800232,4.47086488,4.061206198,4.196896689,4.493525052,9.582455339,5.236521405,5.980111853,5.066324916,4.58427693,5.56313621,5.208290331,4.398766782,7.542055802,6.535600029,4.530701967,8.020174082,6.060414919,6.191040835,3.862773832,7.000320024,4.069816037,3.35305594,7.891206873,8.082629528,5.724614291,3.292284276,3.855484352,2.861258367,7.591749571,3.330275738,2.96797871,3.904968706,6.738808071,3.552164363,5.475680745,4.634794879,3.242928832,5.137881242,5.463632006,3.205045668,6.527217948,3.92650847,5.217583544,6.835868646,7.84945359,4.67943489,7.662340997,5.207379755,5.528174358,6.408039434,7.641646847,4.921412671,5.367651501,3.872307303,6.083669871,6.933956416,3.347097538,5.573161416,4.190065333,4.23876435,3.264172253,5.013744697,5.543990429,4.319873297,5.069517293,6.267018524,4.31716706,3.506518607,5.010074228,3.174548885,3.837669602,6.990153402,4.042783213,2.973925302,3.110700106,3.7721739,7.840531502,4.361552156,7.294569289,6.128657218,8.692933104,10.39028299,8.969867341,6.042250854,8.027695965,3.538625174,6.591799097,4.351664881,8.39633628,4.616646542,6.097627262,7.093064333,7.468915459,9.340748347,5.1419459,4.461943629,4.606875516,11.63011145,3.792802703,5.560275568,4.922530053,5.371194898,5.307344665,8.881985751,6.646136116,4.834144544,5.506896513,5.023785143
1247,3.826084087,9.450194975,5.583780955,3.238558973,3.532301462,3.689409076,7.930753216,4.624176763,4.963437822,7.059564458,3.401754902,7.639596846,4.759118638,5.539382364,6.015834253,3.048816606,4.376002544,6.244635742,8.840594792,5.521938005,5.09592236,5.189775102,8.045902275,3.424595478,6.386149045,5.263600318,7.418805101,3.09992836,5.742491703,3.276918955,2.902333525,9.887460957,5.678862293,5.450849412,3.906713832,8.613198975,3.461583611,2.808864631,2.979792895,8.372602996,7.574915917,8.675659574,8.974888574,7.37633183,3.620445037,3.580853148,6.120031372,6.081888914,6.235788706,4.811090753,6.320252837,4.084706059,10.17955136,4.684754291,6.130352961,6.864506773,3.698869747,6.006682536,5.213531302,8.537699127,6.026434625,3.136352376,6.450845259,8.80001424,4.655017477,4.537824348,6.774499545,6.105835793,6.226270327,6.92347466,3.061780877,2.877520145,5.964651716,5.316127237,8.071900444,7.637557194,7.916180157,3.473344691,4.963353237,2.810622525,3.711565105,3.316340925,4.962403413,6.312168923,8.980918699,4.693194262,6.929593521,4.07542594,3.646649454,5.572226975,3.019361835,5.051397986,5.838686227,3.983185247,5.809512329,4.813232993,9.765438575,4.836866127,4.92357848,4.68526156,5.589703373,5.111157326,4.556946848,3.935302657,7.692788516,6.440052241,6.022340888,5.957962404,6.10362414,6.959871081,4.562713372,7.077528667,4.088112911,3.480528538,7.449524626,9.062301302,6.47421987,3.099915361,3.728489585,2.936297,6.464969823,3.308445831,3.131859786,3.60410276,5.869747826,3.448396517,4.483570038,4.879437605,3.171812823,5.533438936,5.818759642,3.15589723,6.936024658,4.063708754,4.766144185,6.147890722,8.792017545,4.954530029,8.673941014,5.972543738,5.617908626,6.635078846,7.220851224,5.284510809,5.171159232,3.794732453,7.353544634,6.201789056,3.473620912,4.460522264,3.999647909,5.229026926,2.985966459,5.368515787,7.486437829,3.95789919,5.887339722,7.252127041,5.900323177,3.661840279,6.535080147,3.089121823,3.658666072,6.363736415,3.848352733,2.874915797,3.117665927,3.831384375,6.443401664,4.119483555,4.70018495,7.386986015,8.700914735,10.69859213,8.755536559,5.594393748,7.602217908,5.015375916,6.584619641,5.001382766,7.962484876,6.521685377,6.555463517,6.832371052,7.405987349,9.392379532,4.756429375,4.562471512,5.327609519,11.83496824,3.469633248,5.932108938,4.820049699,5.794643423,4.85517236,8.359516336,7.504798868,4.738810441,5.689908848,5.500496789
55,4.00818427,9.015131547,5.495228992,3.018111187,4.02176434,3.576964274,5.642348008,4.589595947,4.065081462,5.733739551,3.504494729,7.860065389,4.521393645,5.001969061,4.347456467,3.135713356,4.849828467,6.141068724,7.059915427,5.027287454,4.530159952,4.711511963,6.238723685,3.303013406,4.214100152,5.923431316,5.286169252,3.137698351,6.282868835,3.491634165,3.291401325,10.24378312,6.439701046,5.779850681,4.553439814,7.67887411,3.724534774,2.708309309,4.274825434,6.410726037,7.601380097,8.310320159,7.80183385,8.333941898,3.399552789,3.507058321,6.080349939,5.664360475,5.628673698,4.249430185,5.693477918,4.944953824,10.95520238,6.635398076,5.402426605,6.285886723,3.90734355,5.88738249,5.746304573,8.471783729,6.621298237,3.42966303,5.332947826,4.780033274,4.641713319,5.31961383,4.935363182,5.8578769,5.406751272,5.470020938,2.99388831,3.449600692,5.962862212,6.185916196,4.27639735,4.365321107,5.8787419,4.812142436,4.894916174,3.075659655,3.926411557,3.299165807,4.951424262,6.427616689,8.248980749,4.103432532,6.399913242,4.073548317,4.053905669,4.376135858,2.835359236,5.22172989,5.318847833,6.146908582,4.281648789,4.304142398,9.711534333,4.795797313,4.644654189,4.823777328,4.707429911,5.709878194,4.406564838,4.575312455,6.504397134,5.453390213,3.606999053,6.925162326,6.970228618,6.775886525,6.490343017,6.664916835,3.993955407,3.46674265,5.908008096,6.8893245,5.486868893,3.35524099,3.981324174,3.404488565,4.2706562,3.385413236,3.437860629,3.912883764,5.4918586,3.770799472,4.319350457,4.411779395,3.477349178,4.455285199,6.502824279,3.595824179,7.331065088,4.364235267,4.094556149,6.315611052,8.202385275,4.666254889,8.680771354,4.98649595,5.260645223,6.886708001,8.529481313,5.030144267,5.787039979,3.97518806,9.342243442,6.470926179,3.719261381,4.443674952,4.601503879,3.956857079,3.332360041,4.858300634,5.350235378,4.882303102,4.76730785,6.024561764,5.017421483,3.742784845,5.976617174,3.232142608,4.744405814,5.02158069,4.155605756,3.414341877,3.199945619,3.732456772,8.236608697,4.596917791,8.45568642,4.525237141,9.506404078,10.08184293,9.025099506,5.920954031,6.933723158,5.041378752,5.758480748,5.88650977,6.674054952,6.132371544,3.555910244,4.940550363,6.386381819,8.823345566,4.191727646,4.557214999,4.194415112,12.18896064,3.994543433,4.676160471,4.720492169,5.993398068,4.344031583,8.235243394,7.148993959,4.968582954,5.365228315,4.464295834
1495,3.492132644,9.320708429,6.354107706,3.179283004,3.649846783,2.93799739,7.173637492,4.493193602,5.024776141,7.026083015,3.333462623,7.664458027,4.198056497,5.701544958,4.488227768,3.285454995,4.530773038,6.70085993,9.204117962,5.312519751,4.230600119,4.518159434,8.707461298,3.269747784,4.109340491,5.589106028,7.028611952,3.094811909,5.963235128,3.314479939,3.231650404,9.234858937,6.072131459,5.257333742,4.736048222,8.569127,3.720787311,2.903504391,4.009568101,7.623813075,6.997526749,7.745303183,8.320509435,7.883240189,3.230709169,3.312582069,6.1318962,5.932686405,5.487541499,4.555052121,6.115201013,4.531269721,11.73962808,7.549615127,5.459178563,7.038246366,4.863755347,5.422681405,5.397200794,8.273446751,6.24269207,3.157321953,6.422375878,4.573023387,4.619394422,5.119165311,6.367195163,5.808950922,6.166180402,6.987010322,3.214851208,3.092073019,6.12869041,5.360659444,5.608145271,3.191712588,6.019692353,3.907389122,5.067323734,3.0330978,4.541529262,3.366149429,4.500098476,6.450306754,8.302015222,4.681996066,7.185154914,3.783018299,3.388448428,5.566814968,3.195697505,4.728379452,5.804519337,3.92161252,4.007868893,4.376912834,9.655710862,4.932186001,4.837881875,5.258815011,5.539558673,5.269384827,4.454740067,4.252028408,6.495145167,6.58508873,3.773213574,6.900177308,6.512188762,6.173520382,3.55689576,9.11252048,4.085140786,3.611614488,7.566078433,8.239819196,5.69322213,3.523189827,4.137843415,3.04764549,7.315414533,3.379666567,3.178983303,3.862060959,6.243053084,3.606012498,4.323261376,4.295268538,3.252267253,6.274381424,6.145119603,3.11518053,7.042443748,4.308965835,4.826252968,6.22021077,8.250429555,4.766541242,9.421563689,4.82139729,5.302778913,6.507926838,7.728229757,4.561406823,5.622136855,4.401778334,8.243200719,7.022989991,3.504986119,4.780717369,4.048816108,3.80324212,3.215261033,5.406089238,5.932304877,5.090376884,5.303519206,6.832339178,4.374333094,3.6068745,3.843435277,3.89326329,4.884409972,6.806368879,6.147489096,2.97081639,3.302150808,4.144548248,7.545749996,5.77976784,8.339832609,5.884662333,8.943026459,10.51673436,9.232921649,5.458023175,7.830571685,3.457853268,6.110213265,5.630927859,8.13623486,3.705017874,4.325405517,6.248338331,7.340307464,9.38367951,5.282973721,4.753513739,4.079648026,11.96702445,3.834448964,5.432521129,4.850577929,6.598311189,4.741112151,9.233149339,7.712018206,4.888611532,5.191595279,5.350636553
61,3.711415441,9.310002368,5.369788752,2.984710584,3.745002446,3.693346892,6.92663071,4.93179244,4.466268558,6.838454741,3.301079164,7.607753029,4.515699237,5.247039013,5.299755813,3.142490708,4.484832357,5.942065211,7.936181058,5.794648777,4.494527614,5.237764594,9.743337973,3.592613064,7.068523929,5.147140785,7.020649207,3.227528547,7.450590693,3.227747396,3.260845471,10.15389957,6.33326579,6.280865051,4.253778684,8.128875233,3.620377018,9.526716286,4.072825918,8.892001507,7.159358771,8.289856372,8.941570378,7.602028698,3.506046631,3.603516442,5.890920598,5.731303181,6.881473326,4.151142769,5.957103636,4.418329015,11.16260231,5.279022483,6.190696403,6.995898667,3.849709849,6.064950432,5.331024482,7.872176989,6.330978679,3.143746133,5.922164617,7.974233479,3.899610831,4.552759143,5.911777623,5.002811239,6.578933624,7.684022384,3.24409725,3.193860999,5.970745487,4.690457576,4.24952697,3.386075086,8.566481704,3.788420239,4.884327612,2.888526439,3.512796272,3.153274465,4.656055246,7.626147603,9.095376256,4.870617009,6.560662741,4.130007403,3.787542524,5.298008992,2.900332207,6.232903503,5.408215958,5.544592597,4.872812099,4.95259063,9.77454539,5.135333535,3.537056621,4.509125376,5.709752435,5.840752957,4.824313085,3.549370003,7.046359844,5.933824532,6.720574832,5.787079149,6.006751523,6.947691865,6.232224309,6.085479105,3.998893125,3.591505683,7.612811592,7.963011319,6.146985003,2.988414516,3.827483043,3.044000319,5.345077761,3.173109508,3.02928807,4.060960073,5.105508769,3.396549256,5.685758386,5.232908917,3.045447394,5.794161991,5.819381765,3.231431267,6.903364176,3.813882353,5.003197567,6.508331217,8.071198009,4.322234054,7.993601406,4.682949377,5.187605795,6.718645749,7.24541155,5.160508364,5.436118414,3.74614678,5.62128851,6.643550496,3.82810907,5.037724561,4.175308778,4.234643941,3.085252163,4.532539159,5.845957911,4.151692786,5.94452191,6.778125368,5.270197357,3.355524642,5.697208332,2.930343742,3.851659649,6.831003417,3.815419944,2.994605494,3.049919158,3.859729935,8.312167676,5.076548146,6.632875752,5.941320166,9.167332692,11.02471038,8.677257036,5.91688601,7.366780295,3.977763971,6.320860307,5.039507968,8.300986753,6.027418406,4.656770823,6.398406695,7.421222734,8.977340897,9.132855201,4.634321181,5.593625689,11.84991091,3.432935355,5.031693632,4.989941871,5.084778387,4.895968588,7.45453413,6.846036846,4.816994166,6.489382504,4.880880498
1418,4.395228296,9.530609463,6.242482454,3.105965719,3.719693065,3.524101193,8.747924052,4.486088907,4.543472737,8.128498484,3.21812951,8.081913775,4.28534041,5.313354029,4.361785453,3.30465379,4.610459873,5.537803143,9.464884097,4.558304859,4.391028779,4.730693704,5.015648996,3.290227013,5.344217063,5.573376063,6.427802084,3.12028582,6.74976838,3.35179898,3.175632388,10.00866763,5.82892702,4.726960251,4.420539683,8.025487515,3.641724232,2.773781614,4.260340852,7.676697453,7.115513783,8.13892437,8.51727627,7.649608684,3.268534576,3.53594845,5.573929352,5.909766945,6.440660734,4.629495923,6.73060623,4.027891152,10.35104665,4.727699885,5.916148168,7.133534683,4.236130572,5.666413322,6.081650843,8.27196306,7.352971647,3.119198563,6.408727003,9.126619093,4.842690821,4.924561905,5.380049069,5.729669282,6.702556567,7.415253708,8.111321482,2.994934225,6.563066366,5.756466432,6.820118375,3.080349288,7.078335703,3.201625606,5.287238495,2.83117965,3.881378008,3.132318038,4.753851056,6.182982127,8.952623954,5.094844278,7.161593695,3.777346328,3.644366599,5.471022094,3.185061275,4.898115503,5.352195139,6.87492555,4.295276386,5.330024702,10.00129995,5.057544604,4.816388592,5.244394905,4.354711446,5.252990622,4.259836918,3.576420798,7.49348535,5.813351027,5.346091656,6.112465915,7.069235535,6.801115974,3.882511707,6.792191455,4.022459083,3.794042774,7.502843941,7.794197993,5.617512641,3.013874159,3.906574663,2.958091392,5.059289332,3.855065781,3.328546194,4.057587571,6.175892441,3.212106857,5.115654904,4.784251825,3.11971404,5.353731318,5.851676041,3.353438563,6.865788292,3.921469969,4.988585708,6.425825052,8.369334954,4.744110742,8.506117231,4.770802698,5.491530069,6.990175566,7.027528424,5.364793515,6.016909768,3.875153322,8.677577392,6.083542141,3.917113263,4.874367645,4.273781801,5.548190924,3.13080164,4.475959116,5.532863,5.515524439,5.557035691,6.660237071,5.049555778,3.698631762,4.419187143,3.109865717,5.282324347,6.084572258,3.317000297,3.058771948,3.156431242,3.916157099,7.136841896,6.349118272,4.73294558,7.194075544,9.260561528,10.13224743,9.283883739,5.755845293,7.223278793,3.447934385,7.421501155,4.722528229,7.950050437,4.809050068,4.106784159,6.507544121,6.616256269,7.186885442,9.712237513,5.510742079,5.198987359,11.98413645,3.45726163,5.350719499,4.733628266,5.23966801,5.64696262,8.24741792,7.199354383,5.043749739,6.006361865,5.089573486
563,3.603369627,9.084452231,5.502904504,3.366030536,3.725622859,3.692828095,7.298166915,5.507698115,4.712880647,7.275547813,3.369985322,8.282928347,4.44429456,5.625509423,5.397710142,3.17311866,4.66232122,5.84700151,7.298962561,5.482323849,4.388155013,4.28192352,6.85550764,3.718494936,5.132544286,5.390951791,6.549002592,3.22251531,7.387349226,3.211949175,3.158411223,9.667079807,6.183664304,6.630573646,4.278761233,8.056744204,3.633382078,3.021958976,4.400822512,7.618754704,6.878366978,7.582586152,7.088156594,7.984219908,3.1840849,3.472637423,6.036651379,6.261238994,5.272895848,4.936859497,6.340377829,3.824765725,11.37496596,6.554165141,5.812825868,6.647191382,3.784538401,5.925694144,5.514917716,7.943793601,6.280897043,3.131727619,6.032306252,6.892716693,4.602848353,5.95390522,6.048363808,4.43375632,6.995463195,6.733898707,3.11233546,3.081030373,6.40021822,5.422772114,4.875991986,3.165988035,6.709840131,3.753937641,5.225617126,3.01010941,4.420906235,3.462629201,4.476021189,6.89073055,8.655423393,5.122070759,7.379059958,3.813477369,3.99537348,5.392710341,2.917171915,7.031501314,4.43273724,8.412167179,4.056235169,4.01827507,9.699360004,5.045965248,5.770897948,4.408228011,5.238315224,5.347865037,5.038071335,4.117568597,7.277156269,5.991056757,4.2685657,6.874691553,6.255185792,6.437882213,4.803983566,8.107046863,3.755638221,3.645725049,7.888642001,8.563710893,6.028676863,3.14667976,3.819248629,3.040187363,7.69080751,3.301664481,3.272668366,3.954369303,5.009643955,3.479211,5.033479799,5.031236436,3.110895051,6.015025515,5.991228588,3.235457716,6.678260773,4.646280071,5.251284327,6.452507204,7.923261102,4.73154837,8.467846189,4.812171233,5.219408436,6.237621653,7.529737821,5.031462275,6.586896811,3.895603571,8.816786999,6.350960083,3.763680229,5.005989229,3.816580388,4.359779448,3.224110929,4.639626542,5.268447339,4.545856849,5.228100863,6.901571813,4.100473064,3.522403255,6.748100082,3.015356178,5.405975797,6.191130772,3.518432371,2.888851735,3.090301928,3.699611424,6.98325267,6.862491411,7.017635055,6.172617036,9.108020923,10.18926129,8.733190593,5.792653192,7.08869638,4.093665306,5.887106521,5.12757043,8.290650708,4.340491385,5.176751746,5.884829431,6.305675475,10.35681409,4.46212554,4.674250467,4.417691329,11.59299565,4.291680106,5.955188719,4.428021459,5.835791658,4.567075488,9.364135991,6.931272967,4.665911306,5.556700394,4.921718199
361,3.810852344,8.69887335,5.330429211,3.373632914,3.881202573,3.138453837,8.204856474,4.157935597,4.561460782,6.197871483,3.515744707,7.004865945,3.939624497,5.029204984,3.836748846,3.628362322,4.227063418,6.327003377,8.709043519,5.36090842,4.259819394,4.928035234,6.006806813,3.41302562,7.656553394,4.909633014,6.448209085,3.145006999,5.950742852,3.313972849,3.321995923,9.720372029,4.822300952,5.669374613,4.188069778,8.57909964,3.572594071,3.026127436,3.309371572,8.27926186,7.325148828,6.576095514,8.307614546,7.461126809,3.249294472,3.499882982,6.1195168,5.663569505,5.604519862,4.285371315,5.579762245,4.739772062,10.53782316,4.519476449,5.312688418,6.485768639,3.839978676,4.540189895,5.199205787,8.336481634,5.627273703,3.465077971,5.078905229,6.020442186,4.435990657,3.933211584,5.300165545,4.76593535,6.192543562,6.313453539,3.266929337,2.940516311,4.952667496,5.48489749,4.474773286,3.290984739,6.050501671,4.004144156,5.324591092,3.152667344,3.919379741,3.37441376,4.518751111,6.728229653,8.076586962,4.126368438,5.944955968,3.537650908,3.298058791,5.403801312,3.009431589,4.362617011,4.66146835,5.412490382,5.180521702,4.183435635,9.28540744,4.80326321,3.919932874,4.078366979,5.175382796,4.62717739,4.351860971,3.644817101,6.727200362,6.188716056,4.018507702,5.059708849,5.311992576,6.680077355,4.376877604,6.647645614,4.111419552,3.286642219,6.415920704,7.762728945,5.69182891,3.362768687,4.01957478,2.901857824,4.663576671,3.257753254,3.500970341,4.114273578,5.562729673,3.59688652,4.665291021,5.13051919,3.291435894,4.853930948,6.690459068,3.201402459,7.119486563,4.16702146,4.778866702,5.518386385,7.330353161,5.34838278,8.790181227,5.212010497,4.841525094,6.158551908,6.267292197,4.609609028,4.667786798,4.351808279,8.521555154,5.485040527,3.627447608,4.566637895,4.335035637,3.943596891,3.639110919,5.254548727,5.041254409,4.618126579,5.399244802,5.604428804,5.386531938,3.753733968,6.913659065,3.065540384,4.780451459,5.474004809,3.448744971,3.041650463,3.554384273,3.511095227,6.31604366,4.951987739,5.572702192,6.344731105,8.531585877,10.51085614,8.576759154,5.343509158,6.663726604,5.00235115,5.541705072,5.407554466,7.289992683,4.872272447,5.184471019,5.58404623,5.941751875,9.498953262,5.310241793,4.918333172,4.465479219,11.43252011,3.46078958,4.529760217,4.906411808,4.809735261,4.968554127,8.575432723,7.309665358,4.879882812,5.147188463,4.527193245
1992,3.936916005,8.90009612,4.968674966,3.447810192,3.754929083,3.160746081,7.740945248,4.285155107,5.283355038,6.846603805,3.45259945,8.409586069,4.476708386,5.318636447,4.050320315,3.375158646,4.641711004,5.718153641,9.756362079,5.210680261,4.389904373,5.113968167,6.492181798,3.674251114,5.475267232,6.131657606,7.188165636,3.099147284,6.354576138,3.226485399,3.109541677,9.438255683,5.670966083,5.759322366,4.097216861,9.108495424,3.677583843,3.495287435,3.787399043,7.390308184,6.718002148,7.750994785,8.71196781,7.97785505,3.477149656,3.267634822,6.222143811,6.169369505,5.842777319,4.458702228,6.319160373,4.377432703,10.7946574,6.65208761,5.996894264,6.618389983,3.836044093,5.078111382,4.97140708,7.850739294,5.753949471,3.173526634,5.889688788,8.03197592,5.588280699,5.074575955,4.859529952,4.665876726,7.039651536,6.796919693,3.304523035,3.701100192,5.54892301,5.322243545,4.35203615,5.89389585,6.38801676,3.393271824,4.878753685,2.881087068,4.288436222,3.296420829,4.857391722,5.42354477,8.692172764,4.795202198,6.670238602,3.675802982,3.536395686,5.829637967,2.966556497,4.022529182,4.903532432,10.6282949,3.697000202,3.372694518,10.01181417,4.651861045,5.006165969,4.561205191,4.515070564,5.159082474,3.96771668,3.727325337,6.846171934,5.759670924,3.977905783,6.297877633,6.459268007,6.97225317,7.584334283,7.659095904,3.968624786,3.520677063,7.678584559,7.197940454,6.805030302,3.212259177,3.782926943,2.878648553,5.480431158,3.591935,3.181991456,3.85753752,6.093089648,3.597902628,5.14641765,4.564032699,3.250085422,6.243416187,6.439273538,3.449161998,6.8323895,4.282909546,5.183563754,6.396750574,8.621775894,4.560815249,9.216786555,5.232115227,5.609919181,6.41666341,7.015565121,4.576657794,5.682089432,3.973770488,8.983465619,5.884256988,3.860635577,4.984709455,4.432051843,3.583831099,3.211914874,5.17786826,5.865991562,4.739665052,6.070025268,6.792011387,4.341648033,4.411540727,4.990346636,5.481190923,5.002921433,5.845145542,3.628806727,3.24909985,3.327542776,3.729236631,6.486572366,7.357279894,9.45612,6.890339804,9.884778577,10.79715378,9.109552517,5.771811127,6.741573451,3.735263786,5.897389787,5.775398491,7.922316175,4.292819543,5.191148698,6.233500315,6.993046089,9.950611603,7.161581086,5.13695639,4.190076791,11.34510051,3.165170761,6.182153205,5.220119675,6.788145089,4.343778593,9.527989854,7.883501425,4.851044333,4.557063512,4.465376956
1918,3.653561815,9.543922602,4.666308967,3.124528549,3.549329341,2.821244289,7.094702395,5.931415906,4.883898408,6.2834134,3.372927083,8.079455974,5.289197422,6.201852457,5.171099967,3.338723735,4.438525633,5.885717223,4.346680636,5.360007001,4.30031988,4.340753372,5.630585977,3.25096569,8.131617889,6.299912427,7.557017806,2.933311104,6.218278091,3.429965359,3.303428903,9.943110544,5.813183662,5.925645797,4.724492516,8.805175387,3.456128901,2.932340295,3.448221438,8.295839265,6.914462783,8.525755683,8.210645038,7.427281382,3.370305075,3.946729172,6.31213457,6.212871563,5.650953557,5.361980173,6.509037883,3.865680607,10.25061171,4.56174231,6.092799555,6.172534788,3.552735343,5.086305035,5.012740293,8.852003273,6.293724776,3.37214583,6.192379211,5.819225236,4.02728796,4.213484876,6.33484461,4.056449687,6.811547657,7.843051832,3.322846878,2.992000707,5.650567745,5.052466726,5.637511868,4.070853541,7.093205088,3.899985711,5.587248631,3.021929164,3.292602904,3.380917453,5.553504148,7.725408803,9.64156119,5.144679245,6.297449899,3.608549475,3.701051,4.659937986,3.099792593,3.54036575,6.591434003,4.129628592,4.578137014,4.163068871,9.320683918,6.161715005,4.68370078,4.933410436,4.47123909,5.638190841,4.92244603,3.913808324,8.152440981,7.173052,5.444507777,6.275963341,6.525875376,7.362118401,4.787375427,4.73672903,3.655674618,3.472700382,7.270949424,8.886745393,7.687089436,3.15631998,4.04866713,2.810854501,4.136723794,3.134505756,3.19234956,3.753720912,6.74300158,3.713748445,5.168193741,5.19317776,3.280483642,5.773386042,5.366555141,4.258536706,6.978658096,3.734917031,4.749011837,6.119413579,8.613739339,5.137911722,8.609550303,5.378676267,4.284304923,6.541546395,6.8093244,5.129330189,4.977551925,3.953904687,4.279586778,7.291022973,3.728427098,6.221233087,3.752339503,3.7460587,3.216294857,4.835021169,7.718070003,3.803493613,5.43113284,6.332251854,5.190591972,3.419357421,7.074436474,2.832266832,3.369113661,6.023562497,3.497962785,3.107935548,3.202331463,3.507128993,7.439762416,3.595980297,3.747449821,6.946718911,9.34478189,10.93313106,9.632877305,5.626162311,7.424091434,3.199772826,5.626997105,4.7035304,8.46803233,3.954099109,6.266729218,6.756981673,7.171823052,8.157777431,4.813411802,4.786283988,3.636624621,11.88771762,3.862070516,6.124628565,5.81126179,3.900863584,5.247211888,7.441596611,7.141541368,4.990896588,6.124438623,5.209990818
