"response","ORM1","ACCN1","NT5C2","COL1A2","ZZZ3","GPR37","GHR","ZNF217","SPAM1","MANBA","CARD9","THEG","MTRR","GUCY1A3","ADH1A","SLC7A4","SACM1L","HIST1H4I","FOLR3","LOC51233","GPRASP1","XPNPEP2","FANCA","MPHOSPH8","SV2C","C16orf58","POMGNT1","LGMN","SHARPIN","ADAMTSL2","KIF20A","TMEFF1","WRNIP1","TIMM13","AKR1C3","EDF1","PNPLA4","SIDT2","CADM3","ECE1","TMED1","BCL11A","EIF3I","SELE","SEZ6L2","VAC14","THY1","BRCC3","KHDRBS3","UBXD8","NAG","TRIM36","DAP3","CCDC47","NFYC","BRD7","SSBP1","TMEM87A","CEBPA","BTN2A1","HMGN3","FLG","PFDN6","HABP2","GPR21","CDC37L1","ABCF1","MARK1","PCP4","STAT5B","RBM4","ACADM","RGS3","SPC25","PKDREJ","BTG1","SCNN1D","PRSS21","SEC63","GPAA1","ETV7","SOX2","OR10H3","SPINK1","APBA2","RBBP5","CDKN2AIP","MKRN1","C2orf34","MAP2K1IP1","TBCD","KIAA1109","CCT5","MLL2","SLC22A5","BLVRB","UGT2B17","CHAT","NUP62","ZHX3","CYP4B1","EIF2AK2","SERPINB2","MYLPF","EPM2A","AMOTL2","FKBPL","RGL2","F8A1","GOLGB1","HNT","PYY","FYB","MTAP","SORBS2","RABGGTB","PSIP1","FAH","ZNF409","C6orf15","RANBP1","KIAA0556","CDR2L","CEL","BTN2A2","ZNF432","S100G","CEP135","NPAL2","TMEM30A","FBXL5","CTCF","POLD4","CEP76","RBM39","GSK3B","C1orf116","SFRS14","CORO1A","MTMR4","AKAP3","BMS1","RB1CC1","NUDC","KIAA0907","GIT1","TUBA3C","PDIA5","IFT122","ZBTB5","BAT1","JMJD2C","CYP11B1","SAA3P","ETS1","KCNK15","AHI1","HOXC10","TGIF1","PCK2","MDC1","KIFC1","RUFY3","CWF19L1","HPCA","EXOSC5","GPC1","MAN1B1","MAFG","GNB2","LSM8","DUSP8","PSMA1","FNDC4","HLA.DMB","MGC15523","ZFX","RTP4","UBTF","ZNF107","FGFR1OP","C1orf56","LAG3","DACH1","LTBR","ATP6AP1","C6orf48","CD40LG","PPAP2B","ZNF692","SEC24A","KLRC3","ATAD2B","LYN","TXNDC13","CHD9","CSH2","YY1AP1","CDON","HTR3A"
1224,3.101355226,3.623014294,7.686801636,11.45717732,7.151621723,3.043861855,3.746716864,7.406651766,3.157493584,5.902410723,4.286387986,3.760845199,5.363366006,6.159453322,3.201941274,3.271651949,8.504072538,3.861436906,4.679759057,3.616231137,4.54312424,3.373165319,3.454312348,4.632478308,5.22720785,5.442390389,5.671237728,7.289911095,5.850284907,3.340176096,6.584129406,6.46886998,3.021272974,6.404118986,3.469211413,9.208611837,4.508051404,6.504476423,3.506518607,4.57714043,5.685248297,6.595993837,7.954985129,3.115545533,5.933559737,4.358966904,6.727780162,5.477729244,7.576082478,7.263682119,6.188692365,3.719032692,8.011982523,6.924780434,5.133116337,6.99026751,9.319919316,6.849662514,4.3198445,5.282149264,10.80913154,3.322496076,4.898738007,3.552164363,3.931114229,4.361799774,7.422864485,5.637061401,9.158150465,4.172070971,6.459199455,7.690830417,5.075281644,5.160596224,3.530149353,7.74945691,3.262806855,3.333473406,6.041525308,6.980664587,4.17134129,3.358346832,3.255710079,3.407445031,4.456137677,5.274293544,5.720225154,7.041205103,4.691782702,6.816069591,6.51927079,5.233572869,9.740260353,3.521558987,4.753938151,7.102805346,2.658960411,3.608041917,6.244287465,4.351208446,9.973737387,6.88546123,3.43351171,4.812430772,3.826560997,8.373740432,5.027946144,6.840810764,7.956544458,6.856661083,3.95448113,3.359291387,3.878401126,3.813979399,3.67782296,6.584439693,7.758797492,4.516686151,3.944507791,3.736626645,5.134726804,5.070441675,7.520745752,4.83381063,4.452419728,7.24486014,3.220606382,4.674080497,4.012606467,6.735055598,6.36022916,7.566615832,4.47098636,4.749331894,8.879157026,7.040952867,3.934018168,5.807712012,4.159110506,7.519814272,4.273294067,5.96239847,6.994663582,6.830130053,8.651373648,5.52392442,4.914177891,7.381250241,7.194748139,7.330721065,9.051680262,4.848979319,3.344541087,2.986829484,3.606466889,4.213576836,5.286962519,3.347097538,7.294669122,7.128646678,5.372140648,6.418976968,4.911340141,3.914642066,3.379032451,5.233009305,4.944127768,5.568005265,5.849455404,6.849854518,7.448740561,4.391241754,8.680572858,4.734247567,6.438387554,6.357912771,4.596317738,4.858165254,4.807538195,5.710591639,3.616651365,4.501406197,3.131710038,7.293645363,6.297252009,8.131635472,7.970843943,3.397985697,7.138664596,6.787607584,5.057095033,3.444603316,5.098774255,5.432576561,6.564076671,6.811468087,3.45296335,8.076368893,3.793020291,5.947670555
1247,2.877520145,3.623612166,7.748386763,11.99365254,6.835605387,3.629923197,5.186668162,7.580468366,3.172159961,6.326315642,4.098989606,3.915817301,5.383310232,7.83145116,3.302831475,3.119236249,8.990705332,4.032335851,4.224315576,3.786929043,5.978758195,3.242681605,3.651914133,6.1327694,4.351977669,5.412521781,5.253114877,7.861694548,5.988583888,3.588523761,7.267787534,6.277848545,2.905063488,7.406630488,8.41992187,8.702126067,6.040029797,6.824899906,3.661840279,4.355775312,5.511536722,5.655114462,8.821841116,3.325636087,4.454067432,4.351850864,6.129343868,5.097585793,6.06472665,7.305540081,6.184855372,3.689409076,8.955811111,6.698641935,5.616461683,6.555851281,9.248695185,7.931217952,4.758286458,5.501498528,10.93236652,2.808864631,5.548014138,3.448396517,3.82511659,5.55542326,7.649125569,3.823095274,6.721123393,4.343581672,6.739850743,7.581260587,5.367500204,5.58796849,3.702248899,8.482631343,3.075429531,2.991718875,6.674099683,7.243166863,3.92228532,3.280075222,3.102684585,3.061780877,4.104070806,4.810607425,5.275703384,7.408525406,4.136243154,7.316193819,5.350169269,4.241485709,9.452456051,3.49248182,5.262509964,8.070190732,2.770443713,3.654915899,6.434847204,4.443428097,8.976268857,6.58064398,3.353970189,4.754074598,3.810672336,8.201208598,5.199340003,6.059054271,7.112990641,7.057052217,3.542799624,3.048816606,4.125121921,3.888930493,4.675286776,6.44470403,7.906569709,5.090694274,4.381540971,3.833190355,5.786993233,5.16951983,6.214771481,2.979792895,4.480499695,7.646722067,3.206082065,4.804172192,4.050483071,8.121546006,7.502702173,7.55952565,5.190165732,5.579497101,8.51779708,6.688971647,3.512754204,4.86601251,4.495737819,6.102214898,3.356145256,5.93166153,7.677310165,7.309515905,8.374027636,5.472221053,5.489899641,9.007569872,6.681126864,7.254987928,9.200855961,4.776448997,3.059527327,2.784888306,3.728046301,4.168070372,4.851678424,3.473620912,7.140448798,6.105659983,5.181436493,5.715528141,5.590461415,3.855661992,3.59883047,5.806869358,4.2842055,4.99400929,5.585567638,6.829529775,6.835547371,4.543771482,9.772275706,5.09592236,6.546630035,6.450898608,5.229772306,6.07035421,4.126505351,4.885468492,4.606033176,4.107915759,3.401918529,5.255228301,6.682688608,7.6367265,9.721953091,3.237634635,8.23657454,4.657520717,6.481640185,3.523431183,4.690086024,6.127897685,7.124040829,6.7889231,3.373143144,8.05046115,3.685768223,3.263937806
55,3.449600692,4.133347477,7.613581983,9.715124438,6.936867852,3.572699648,2.902013648,7.912295573,3.436703537,5.99821845,4.275451195,4.157581319,4.856367299,4.741248478,3.698142954,3.478702358,6.509435668,4.160426962,4.071200465,3.598436369,4.526913486,3.496433489,3.547080564,4.636991286,4.107784253,5.712623134,5.044456657,5.63948435,5.933600886,3.559897508,7.075806034,3.715923459,3.834950981,6.689924839,5.27828454,9.282277396,5.602993296,5.524850144,3.742784845,4.854319028,6.409458141,6.491226791,8.220553542,3.159420369,6.739843225,4.345575797,4.616193327,6.180849455,7.169865074,7.525695356,5.514233553,3.576964274,8.194781197,6.16432939,4.701556485,5.726104733,9.191433833,7.38254395,3.735236408,4.909241402,10.1804651,2.708309309,6.190599658,3.770799472,3.947806885,4.699610576,6.671846393,4.623211044,3.746603706,4.091788371,6.191304302,5.767049462,4.919654697,3.965039146,4.06538129,7.757032149,3.161170027,3.234051989,5.959306518,7.741804869,4.693788419,5.218992399,3.397333991,2.99388831,4.603621818,4.757404863,4.413852052,7.243326837,4.494626123,6.641716626,5.428709539,4.776702795,8.799007053,3.913990244,4.703909486,5.258883429,2.755859348,4.235981043,5.408924039,4.501784837,7.270598176,6.281915033,3.424320729,4.693991485,3.423188636,8.866424805,5.836983206,6.418496692,9.283242547,7.040907062,3.392503349,3.135713356,3.773371553,3.738256091,3.771202506,6.612296194,6.099330312,4.092420202,4.119702485,3.898250693,5.231447235,5.734125258,5.726668553,4.274825434,4.64044597,5.387582859,3.344146613,4.298169013,4.25354759,5.854128949,6.50586739,6.484705647,5.444241345,4.047681598,8.141658608,7.681727512,3.9114666,6.441848591,4.177464097,6.05103946,4.220488743,6.016526416,7.224743179,6.003281649,8.176954855,5.805599435,4.680821028,8.495006424,6.028494092,6.013224348,9.579998577,4.396045118,3.033560623,3.447643491,3.506134669,4.877262038,4.173715865,3.719261381,6.289861577,5.865087861,5.792604145,5.986660079,4.987810544,3.917641774,3.546835834,4.881024876,4.847407707,5.28112776,5.818038532,6.957578736,7.329486094,4.592495247,8.298834505,4.530159952,6.35132695,6.958397836,4.513110235,5.025568957,4.355038232,4.59242624,4.156833935,3.728448896,3.501658756,3.608005245,5.168329037,8.835184188,9.131102252,3.792380835,5.819288201,5.892868598,5.20612858,3.757541898,4.554432405,6.368791513,5.475575863,5.920519233,3.347768142,7.326673607,3.633472656,5.899896955
1495,3.092073019,3.973201791,8.135155959,8.215831867,7.522916832,5.261450781,2.930121362,7.05659687,3.330679903,5.428700851,5.005210596,3.903945909,5.494347912,4.792374976,3.460732222,3.325948121,7.112356938,4.225275849,4.025341348,3.901326721,4.398539781,3.272068458,3.818935525,5.270181956,4.683376427,5.915872998,5.491972944,7.426312109,6.540831598,3.403516724,7.263442864,3.733368223,3.349653786,5.2943107,4.789045727,9.542014815,4.714509659,7.367648702,3.6068745,4.831138276,5.863414039,8.67312616,8.271052901,2.773287534,6.860075054,4.38145595,7.382249991,5.967725738,3.66425673,6.251800934,5.808297079,2.93799739,8.520257783,6.912188287,5.6462526,6.316101957,9.394942535,6.728876387,4.762353346,5.322621225,10.97548206,2.903504391,5.357400853,3.606012498,4.064713495,4.642585986,7.637586048,4.901845767,4.603689159,4.248165445,6.376315931,7.146102806,4.785960454,4.182916376,3.704461992,8.832201437,3.478738889,6.218776652,6.818027606,8.00823181,5.04733696,3.367729209,3.488614294,3.214851208,4.021440735,4.845837635,4.885099597,7.383956308,4.107112651,6.833833402,6.171596163,4.346597322,9.73434857,3.525928051,5.391686354,6.687426091,2.749946537,3.734125568,6.469550654,4.074519446,9.060384077,6.823616514,3.453629216,4.91143158,4.025751086,7.643012816,5.673782975,7.42021468,8.710504514,6.891807061,3.241619249,3.285454995,4.6491418,3.983352015,3.99346156,7.047962106,6.820486635,6.378936173,4.11570427,3.857984791,5.217980617,6.239938182,5.921691054,4.009568101,4.733908944,6.668088374,3.40406115,5.068881251,4.156767136,7.279794755,6.96322269,7.371945567,5.466863607,4.6191658,8.254646323,7.588537142,4.822813242,5.472429315,5.691920257,6.370608261,4.229845635,6.247907817,7.026285683,7.5248254,9.024952961,5.389334357,4.750939498,8.622840524,6.893181434,6.68488749,9.653137877,4.966262521,2.947296269,2.778335956,3.671373261,4.162033224,5.053117834,3.504986119,6.971904324,6.622214623,5.524303175,6.009117339,4.828600709,4.186808687,3.837104704,6.516041553,3.755325775,5.743515796,5.382883881,7.381960459,6.281689535,4.005283766,9.682699215,4.230600119,8.180452804,6.936984637,4.356969059,8.162826467,4.566018258,5.127723599,4.801249117,4.071165432,3.4882773,3.466387189,5.729143051,8.409492196,9.754731257,3.610941469,7.166523841,6.62976404,5.322532797,3.614242425,5.154244092,6.404973525,4.84377847,6.312943457,3.490435814,7.719349023,3.68812169,6.752996339
61,3.193860999,3.597006026,7.391631295,12.50561205,7.064006235,2.957432078,4.348891425,7.600661003,3.25516778,5.85273675,5.377246944,3.872634492,6.040068939,8.773836837,3.076403147,3.119911095,8.862112336,4.088576859,4.574845834,3.76449098,4.322040498,3.21105918,3.442897949,6.188670938,5.240067643,5.266918331,5.558854617,7.948977161,5.46482391,3.536152813,5.303330231,4.817446375,3.137829035,7.978923556,4.712677285,9.707175426,6.346916891,6.612444691,3.355524642,4.634549409,5.742113059,3.919981686,8.533631893,3.041456627,5.703466188,4.319749701,8.872802801,5.411292709,6.087065567,7.040997668,6.270014378,3.693346892,8.682358133,7.265832915,4.858560733,6.197195842,9.616638242,7.735349118,4.133435909,5.397613143,10.49774904,9.526716286,5.169698425,3.396549256,3.830299236,3.847754352,7.351690488,4.276050551,7.824542676,4.249411955,6.716886534,7.517541685,5.363025456,4.001240837,3.80094136,8.039426472,3.188879466,2.833161299,6.335538787,6.729702159,4.398812439,3.474041212,3.227962834,3.24409725,4.636810675,4.346817363,5.745949284,7.216448808,4.477056248,7.842662531,5.277548916,4.720651436,9.954171278,3.399158861,5.302368946,5.662880322,2.607618045,3.74223716,5.517275789,4.615669707,6.510345378,5.716608909,3.414874107,4.558127673,3.815473498,8.79184729,4.774469584,6.629815723,7.653164561,7.130237784,5.583224774,3.142490708,4.426761003,3.659419664,4.730329367,7.27569145,6.671989641,4.885168784,4.028716989,3.625399948,5.752028281,5.707025095,6.441382837,4.072825918,4.200719342,6.163470177,3.294931993,4.688128414,3.964851391,7.054395653,7.095599197,7.373870504,5.648574604,4.282945875,9.616064067,6.812688796,5.309388365,5.39691477,4.266115536,6.215395541,3.465149733,5.595735302,6.721926503,6.174319986,8.484997642,5.150301078,4.639035161,7.83930203,6.184782141,6.419866849,8.651660173,4.324054022,3.058866392,2.810790089,3.508428183,6.252888584,4.886668189,3.82810907,6.091475902,5.461916284,4.62150953,4.657130114,4.773782419,4.146700888,3.475349499,5.553908372,4.923863243,5.68113405,6.344364318,7.044997371,7.245288517,5.007274724,9.945827441,4.494527614,6.78820076,6.479389266,4.442738146,4.250463385,4.209864875,4.720790441,3.939237176,4.915098339,3.23883562,6.714237551,6.375075767,8.292544211,9.734952371,3.405141593,7.931379023,5.553089028,6.382266221,3.670633128,4.326611209,5.764201609,7.285852866,6.673429102,3.359405206,7.498662131,3.66673382,3.098302811
1418,2.994934225,3.738159898,7.991113257,12.17982437,6.571093294,6.560227514,4.971783405,8.480385054,3.235298768,6.39917438,4.302102127,3.960263156,5.163660424,5.625049728,3.307895909,3.180895274,7.942458754,4.399503636,4.693502378,3.790438886,3.906405294,3.394612891,3.804626665,6.138935928,4.158002034,5.93257585,5.79010405,8.463788016,7.059398597,3.567315765,6.970168748,4.834936519,3.172839798,7.515666276,4.76350295,9.000432472,4.442085969,7.430634521,3.698631762,4.560724655,5.996996035,6.794278819,8.021690137,3.744254589,6.284051408,4.772631014,7.223997551,6.24807885,6.923786369,7.172474817,6.537721756,3.524101193,8.97096029,7.332072617,5.055738363,6.789403895,9.852065109,7.674814986,4.544565242,4.779999421,11.04160936,2.773781614,5.478697051,3.212106857,4.009925808,3.845333266,7.280609657,3.859341602,3.273112619,4.346277006,6.402590806,6.675450358,5.091048408,4.624348252,3.874071815,8.912199163,3.088940245,4.419540666,6.391394252,8.427493419,4.026052275,3.577795294,3.301623039,8.111321482,4.439470884,4.913564937,6.541849674,8.607054833,4.225665957,8.819209933,5.32932198,4.583081849,9.356355382,3.465174899,3.814179243,5.923695801,7.130412982,3.760915026,6.175957143,4.389656282,7.430953996,5.81286591,7.357495224,5.334664058,3.554034771,8.985560289,5.0194348,6.838732482,8.322236668,6.892867764,5.212834317,3.30465379,4.862409777,3.736184926,3.294173393,6.962656172,5.949418786,4.925815639,4.128167116,4.017198023,5.38198989,5.965309678,7.696511265,4.260340852,3.944275964,6.971613628,3.376293804,5.574911646,3.906573471,8.155084876,6.372408111,7.685586131,5.642592596,4.39943101,8.736036038,6.928825835,4.980149255,5.156970763,5.815403233,5.977650441,3.443176646,6.57621537,7.57001155,6.5740465,8.421150937,5.426359462,5.371633224,8.077257273,5.680790774,6.577810734,9.086936843,4.502313211,3.093205249,2.580548988,3.946362943,4.694069301,4.374577466,3.917113263,6.904277029,7.188205185,5.140339106,5.703159664,5.232842476,4.13346366,3.464719607,5.12194512,4.714763168,5.577585221,5.903149828,7.195969131,7.891386103,4.913749261,9.065346938,4.391028779,6.941601181,6.688186374,4.438470174,5.512912826,4.544359354,4.36813088,4.530931833,4.347059545,3.66691419,6.687929539,7.354315842,8.846980762,8.972868333,3.618731744,5.966307941,5.856885963,5.464087267,3.648172133,4.470211145,6.407181133,5.68856866,6.358435104,3.516637224,7.613654706,3.583264033,4.411478791
563,3.081030373,3.640140326,6.881453255,11.43916103,7.236641539,4.703177834,3.314737842,7.667183674,3.355291271,5.980492975,5.060333442,3.892129765,5.708495291,5.812073771,3.012786149,3.333869035,8.060453183,4.150875272,3.946941246,3.735453143,4.090473158,3.442003049,3.765440497,5.199200694,5.341854446,5.737425402,6.194639343,6.480177321,5.882969208,3.318121021,7.491977469,4.357165235,3.258154956,6.605651662,6.136826723,9.399883783,4.799098977,5.894889538,3.522403255,4.572529078,5.358917957,5.874289494,8.482966829,3.27490191,5.922465812,4.278102301,6.638686468,5.452648084,6.58089707,7.260633595,6.104110809,3.692828095,8.929483722,6.601792434,5.747096044,5.92326473,9.697934217,7.277361191,3.723294409,5.373764456,10.96364596,3.021958976,5.913825303,3.479211,3.81242,4.387671989,7.703450134,4.148477979,6.066760783,4.290411244,6.637253812,8.162246407,4.771173686,5.120154962,3.580277317,8.638321559,3.378634863,7.26478762,6.95843492,7.070585473,4.431679952,3.443350946,3.464481935,3.11233546,4.096595974,4.977428334,5.501145817,7.37914565,4.09198847,7.59975556,6.596873784,4.544400511,10.37970305,3.396944028,5.689508895,6.925114686,2.836829635,4.034034217,6.062112198,4.524389389,8.86982274,6.414258121,3.729587865,4.543108188,3.779030878,8.003445682,5.392543308,7.06404539,7.41955481,7.120890904,3.988257175,3.17311866,3.844323519,3.755971885,3.631103434,6.739489741,6.943060183,5.780579314,4.168446569,3.712955668,4.913437567,5.599844984,7.578407475,4.400822512,4.192049099,5.675832695,3.491756844,5.021524269,3.974500454,7.123460274,6.740771842,7.23695606,4.96855984,4.717136592,9.201071264,6.659341807,4.803418623,5.876218746,5.951340215,7.026067814,3.817744972,4.818577009,7.227381649,7.108938671,9.294363291,5.328437584,4.998791488,8.957600078,6.35969997,7.051255748,9.319886937,4.643860923,3.181579197,2.919942327,3.639147582,4.745317239,4.988866766,3.763680229,6.925347711,6.207123677,5.52916994,5.987787129,5.450302223,3.934314379,3.524511705,5.353278094,4.46853207,5.564427006,5.595136351,7.034008013,7.837156978,4.070533229,9.738297226,4.388155013,5.468248905,7.123070738,4.311582864,7.178962946,4.568383062,6.011462562,4.211843301,4.514724647,3.458231744,4.678469044,6.38747479,7.292556287,8.892116791,3.420391648,6.241598884,7.1921465,5.296746806,3.557887613,5.029138747,6.159734937,6.442816089,5.65209735,3.372929606,8.075752837,3.68622939,4.648854884
361,2.940516311,3.967159138,6.310403653,11.55867668,6.692269412,4.339204801,3.804400579,6.618965586,3.321937451,5.806595247,4.324452517,3.925722934,4.916548023,4.964039651,3.433566085,3.438383366,7.750545381,4.079233292,5.592804311,3.597347887,3.387269543,3.441831371,3.422830873,4.852829789,3.820753057,5.188126237,5.386896316,6.653888131,5.668407417,3.356680586,6.432850506,4.824970196,3.173412871,7.666016882,6.990734498,8.816215719,4.898190528,6.933068102,3.753733968,4.762332966,4.79029798,4.198152894,8.205611909,2.740399232,5.166121698,4.391862531,7.651381532,5.853181513,5.807394428,6.437454292,5.067175014,3.138453837,8.788296761,5.955590937,4.979081482,5.121693336,9.229330493,5.688043872,3.932429691,4.869897463,10.08894849,3.026127436,4.871434625,3.59688652,4.285058283,3.991664129,6.788800263,4.053692595,7.166739119,4.196806811,6.399391893,7.36277417,4.726498619,4.827933623,3.756981571,7.441111901,3.602528634,7.301003225,6.071230913,6.500781352,4.572333043,3.472236921,3.288050612,3.266929337,4.231144845,4.403016706,5.201257664,6.033279317,4.523865451,6.778859685,4.915637891,5.03774852,9.080080538,3.78857457,5.663780234,6.456874755,2.642992551,3.92574756,6.111958345,4.64217545,6.85932359,5.912945511,3.869821611,4.733082267,3.729808354,7.861598198,4.764046977,5.300213732,7.928617677,6.917113263,3.934518928,3.628362322,4.111823546,3.584450704,3.615419951,6.641098311,5.968246493,4.604993155,4.166898297,3.92246935,5.238945361,5.147260832,5.527860078,3.309371572,4.428501642,5.239146165,3.367952314,4.666571955,3.83262708,6.049674589,5.875097343,5.961079586,5.202076133,4.956000578,8.483727719,6.85381162,4.321415633,4.631449967,4.629920307,5.616245498,3.566809743,4.780954703,6.878419649,7.029525335,8.073433744,5.682227272,4.9716452,8.900987464,6.357366084,6.225636247,8.670458193,4.38438366,3.798524307,3.075843728,3.846889448,4.657409501,4.614475536,3.627447608,6.212319151,5.779816022,4.82122492,5.563477812,4.691932394,4.035138048,3.761980285,6.331558553,4.761241079,4.894041245,5.313793125,6.253513111,6.918367751,4.44895413,9.726555058,4.259819394,6.099840578,5.573186616,4.337515198,6.886802688,4.043288671,3.729360911,4.400134292,4.049210258,3.427146572,3.489661061,6.213635272,7.369245083,9.754121811,3.403089021,5.655021955,5.197686744,5.404845188,3.576084901,4.097094023,5.149584487,5.343164023,4.780674722,3.491324547,7.33308231,3.848462484,4.989324331
1992,3.701100192,3.663736918,7.456984765,9.265900142,7.495750137,4.87553761,4.737659755,8.780954203,3.316215368,5.353429005,4.971688522,3.89706955,5.296381898,3.948664788,3.419595828,3.40825704,7.338258426,4.268342247,5.128803194,3.783664316,3.967597696,3.303028879,3.680573931,5.997807792,4.061011016,5.940227735,6.115801725,6.756271362,6.207084643,3.284416907,6.651071843,4.348161357,3.201314207,6.258895358,7.232151979,8.13210996,4.323887503,7.197190891,4.411540727,4.659781126,6.012276368,6.289432022,7.952735916,2.71374446,6.767989116,4.531820955,5.617286635,5.7024958,6.851112598,6.951582204,5.52394595,3.160746081,9.198803512,6.733846277,6.022818179,6.647083649,8.917069273,6.807599117,4.538502746,5.21680313,10.8434648,3.495287435,6.294564522,3.597902628,3.85078135,3.721550974,7.797899849,3.439391619,5.192088241,4.077680398,6.742339045,7.498755002,4.328007855,4.725657076,3.798735497,7.866512627,3.012315929,6.180489833,7.057870952,7.4889517,4.239013707,3.432748325,3.405198997,3.304523035,4.458514628,5.148480616,5.27848916,6.924228341,5.242134093,7.726600998,4.887367521,4.361590439,9.392789724,3.71637624,4.335102852,6.397838201,2.801300041,3.931562438,5.936980954,4.100301573,8.481257945,6.009297456,5.069293071,4.481053172,4.024089448,7.980189882,5.948653828,6.804659452,8.065036745,7.384470221,3.116527517,3.375158646,5.278452861,3.618315034,3.389717587,6.874665477,6.020263455,4.494178811,4.081796778,3.586928069,5.316248934,5.651891147,7.162542382,3.787399043,4.776264844,4.942903452,3.450996619,5.120892169,4.30677013,7.533622507,6.693843069,7.225019692,5.634910289,4.801603182,8.62436666,7.482850907,4.586985776,5.223551905,5.32640329,6.149690844,3.581663659,5.785573894,7.149726656,6.433263364,8.913135121,5.467088196,4.985635939,9.07757528,6.556525466,5.915816663,8.931266203,4.345360305,3.090351199,2.825331883,3.655932238,4.756700461,4.908839333,3.860635577,7.090683292,5.697578372,5.420096175,6.085912627,5.463475106,3.997878066,3.608406668,5.892724196,3.736547891,5.403204249,5.332751605,6.483839636,7.122459933,3.964975448,9.999617976,4.389904373,8.247683748,6.89899682,4.24778152,6.698777885,4.429850078,4.845210449,4.738468455,4.139860449,4.890013915,4.597433027,6.97766686,9.200675944,9.62715267,3.370850738,8.191598141,6.137270734,5.523165654,3.768813196,4.475854873,6.06229982,6.214397538,5.845824813,3.624536565,7.849417032,3.66774501,8.367108492
1918,2.992000707,3.7509489,7.265275519,10.51440405,7.958529263,4.04114677,4.197667999,7.061533861,3.35852042,5.711534333,3.855892825,3.494132289,5.084693085,4.175419803,3.507079136,3.298863304,7.51898529,3.985552646,3.942927339,3.73593949,3.600534881,3.503610678,3.432121953,4.394428153,4.092520856,5.595111418,6.082022964,7.197558972,4.840331721,3.462010303,6.741954396,6.468679721,3.097982752,8.206358302,3.65192672,8.885120735,4.373291327,6.6276078,3.419357421,4.25818084,5.190897106,7.334121039,9.069218814,2.971948954,4.218330572,4.444733093,7.118869328,4.563339435,5.402964028,6.750114959,7.108409757,2.821244289,9.656930737,7.088312711,5.210267794,5.903901791,10.05782452,7.615816847,4.209925097,5.381981972,10.84898572,2.932340295,7.060269939,3.713748445,4.051410101,4.289902092,8.721859559,4.873227056,10.50631218,4.414325616,6.057092719,7.632415625,4.619964812,4.482136711,3.738623689,8.59787672,3.207165839,6.29843726,8.197404792,6.29013939,4.103548908,3.348757326,3.398893313,3.322846878,5.012161429,5.327791093,4.783392954,7.788614295,5.731090173,7.614966686,5.088123104,4.350035288,10.19136304,3.653934367,5.051583355,6.103113769,2.791134564,3.66123662,6.181447109,4.663589265,4.162973174,5.749493738,3.280387779,4.150685655,3.983320873,8.842451248,5.622009244,6.971824531,6.306853134,6.745604576,3.960252903,3.338723735,3.693714522,3.548841424,4.007225613,6.865421883,6.711765474,5.596585722,4.070631983,3.628117313,5.639509411,5.775874573,5.612870971,3.448221438,4.478445995,6.289096365,3.416467299,4.813487742,3.786374931,7.854302951,6.37797462,7.17531487,4.958108478,4.912754507,9.079015134,7.839215228,3.774695081,5.341470774,3.197895023,7.530468492,4.067427139,6.173654417,6.975678668,7.692280162,9.626975055,5.511856507,4.875746727,7.186702464,6.557529727,7.01010497,9.209268468,4.202459112,3.310980764,3.291519785,3.620488218,4.482322495,4.499133243,3.728427098,7.725064977,6.249116492,5.923732246,5.896245178,4.805358051,3.990298936,3.712576012,6.906966266,4.730373838,5.157677528,5.797935559,7.13130184,7.803835701,4.493294034,8.609413345,4.30031988,6.059671391,6.697376765,3.790841541,4.390870471,4.743801335,5.538343953,4.711836143,4.500230286,3.518940282,6.209266385,5.838841621,6.618596438,9.988989294,3.415209859,7.997300272,6.710449441,5.389829556,3.596764503,4.716257327,4.239699764,5.89626643,4.991700194,3.27080731,7.963506439,4.162652858,3.838892774
