"response","DNAJB6","TMPRSS3","ZNF770","TRIM17","TWF2","GCC2","PYY","FAM64A","IFITM1","SMAD5","SEMA6D","C5orf30","SLC13A1","HTR3B","SNUPN","TMEM45A","BARD1","GLMN","TRIM33","UBAP2","ESD","DDX54","CLCA3","FNDC4","FA2H","COX15","EI24","MTF2","EFCAB1","PPYR1","ABT1","ROBO1","CBR3","ADIPOR1","C8orf70","TRPM8","C9orf46","NUP153","SCMH1","SERPINH1","CENPE","HPRT1","UBE2Q1","TLE4","EYA2","CHUK","CADM3","SCAPER","NR4A2","ZBTB20","AASDHPPT","ZCCHC8","RHD","MTHFD1","COL2A1","TRIM36","HGS","TFAM","MAD2L1BP","SERPINA4","PHF3","KLK15","CAPN10","PRKDC","RBM22","SPINK1","UBE2W","PTPN14","PCDHGA8","HABP2","KCTD2","VGLL4","CD28","DEK","FSCN1","TRIM52","KIF14","ZC3H14","APRT","ILF2","DIDO1","C16orf67","SLC39A1","ALOXE3","STEAP1","ALCAM","BCL2L13","SETD2","XPO7","YIF1A","PHF1","RTN3","PPP2R2A","SATB1","TNFRSF14","FLG","BIRC5","CCDC76","KCNJ16","DKFZp762E1312","CNKSR1","CXXC1","RPS11","SUV420H1","C6orf124","EPHB1","STK38","PLOD3","MAP4K2","CEP70","EPHB4","DDX56","FBXL7","CD164","TRPM3","KRTAP5.8","HOXC10","MRPS30","SLC17A1","TRA2A","RABGAP1","RSL1D1","RECQL4","PPP1CB","FZD6","NKG7","PRO1768","COQ2","MYCBP2","TDP1","BFAR","MOCOS","ORM1","CCDC52","ZNF32","TADA3L","COL13A1","CEACAM3","ZNF671","THUMPD1","MAP3K2","KLK11","MSL3L1","CEP27","SEC24B","KIF22","MRPS16","PDS5A","PTPN21","UNG","MGC5590","TFDP2","ELL3","PDHA1","PFKFB3","GFER","UROS","MTHFS","TCIRG1","TMC5","IAPP","WDR68","DDX3X","IHPK2","WNT1","GSPT2","RLN2","FOXG1","LAMA4","BBS5","OPN1SW","KIR2DS4","UBE2NL","BEST1","CASP3","CEL","RPS10","APOA1","RPL9","PAICS","PADI1","MYOD1","U1SNRNPBP","TASP1","PLEC1","RP6.213H19.1","DLG2","CHCHD7","TMEM16A","GJB3","ADM","STXBP6","MEFV","CASP5","ACTG1","HEMK1","FBLN2","DGCR8","SUCLG2","MID1"
1224,5.992931164,8.123208753,4.33394872,3.696257606,5.114508392,6.626891195,3.359291387,5.707794392,10.11566284,4.930970629,4.267482951,5.934385925,3.10436968,3.181962046,6.393304429,6.790020105,7.988497211,5.570176742,7.038065138,8.505084886,7.759617899,4.936147532,2.9779394,4.734247567,3.947774966,4.703099556,7.845617438,6.660711584,3.245109316,3.754602212,4.700043204,6.386212867,5.464124545,7.728725913,7.406097155,3.593228226,6.221508209,8.341283855,6.127504938,7.104112089,5.176626672,8.434260436,8.570001124,3.799645853,6.264001971,4.308120126,3.506518607,4.736892396,5.951044545,7.302400883,6.48095903,7.587483054,3.367313561,8.756207928,3.422742606,3.719032692,7.31089051,6.286426343,6.314719728,3.235369917,6.223537764,3.422264353,3.664650725,6.880010001,7.431267278,3.407445031,6.362436156,3.712166444,4.681469096,3.552164363,6.09039643,8.153257918,3.303476842,10.90172491,5.388661652,4.989018408,6.638287748,7.020464229,5.214125505,8.438838925,6.38086066,4.575851041,6.541917717,3.378986561,5.50710116,8.381707831,4.68116655,6.594587264,5.417867834,6.073670234,6.050372797,8.202640401,7.299033854,4.863091371,3.896689847,3.322496076,7.165015994,5.845393761,7.411581586,6.936534426,5.14594971,7.031515785,10.3055206,6.994572608,5.807842681,3.679595211,6.683663305,6.767586699,3.578593244,6.50745387,5.484971099,6.037847031,5.738123089,6.434079942,3.063368911,3.545914455,3.347097538,5.87135594,3.070586128,7.068598877,8.335387083,5.738691508,4.290612042,8.282010229,5.923811843,3.353570613,3.408408399,5.52803303,8.213964485,5.950448038,6.166522769,4.740936398,3.101355226,2.877198463,6.686122931,4.545813025,5.600429052,3.611189638,4.191839372,7.047487239,3.712139464,4.538787725,5.242595261,7.367167429,6.343597123,4.087882013,7.584197548,5.566566711,3.621255975,7.599567502,2.998096359,6.100223119,4.530139944,8.348552574,7.695163815,4.279392091,6.701777916,5.424913346,5.734427858,4.475367189,3.384808382,6.370435191,5.855545089,6.881072594,3.409263769,6.826807296,3.052559594,3.62333933,4.583982899,6.778279502,3.161536341,3.098240476,5.544562412,3.513794087,5.459270384,4.83381063,9.928687066,5.298186357,11.63976166,7.185626037,4.139669535,3.926330836,6.637139806,6.236955476,4.702044773,5.649202444,2.867653632,5.938928069,3.665445657,4.035269129,5.785538176,5.672641687,3.745271686,3.516615345,11.81124268,4.998611862,4.167582608,5.052740668,6.128730523,7.872336145
1247,6.43711504,6.94619827,4.662717264,4.019676236,5.540773316,7.331292021,3.048816606,5.616649459,10.3441901,5.200331859,4.224681953,6.39319155,3.122152932,3.025526378,7.272334339,6.476460692,6.139685146,5.315811413,6.269189758,7.999726006,8.523814135,5.078836676,2.936608467,5.09592236,3.770168744,5.115888859,8.66098397,5.661626657,3.451784991,3.17541828,4.975958492,6.127737923,4.951099165,7.052522447,7.134974602,3.530961234,7.370121987,8.029315539,6.410077732,7.898461895,4.27461418,7.539719935,8.863305514,5.025563044,7.175030796,4.649908603,3.661840279,4.71801595,7.142843727,7.896608739,7.69278543,6.890869772,3.438482485,7.638458784,3.272838056,3.689409076,6.224027737,5.927274676,6.452278825,3.26717959,6.289680512,3.389676367,3.134384799,7.095722323,7.703916243,3.061780877,6.197461937,3.832254178,4.082307922,3.448396517,5.383652223,8.4061126,3.250385603,9.64755087,6.374421852,4.965901129,5.415015872,6.738240935,5.818291459,9.189541971,5.288700653,3.928596534,6.893338104,3.390123681,7.793790024,9.284860239,5.972735664,6.097404473,4.764281805,7.424188334,6.15422261,8.508016696,7.250359433,7.12391836,4.505566747,2.808864631,5.640795562,4.675688537,4.970529599,5.986239867,5.483073267,6.213957516,10.10569627,8.015496214,4.75366318,3.593712987,6.349371947,6.373551541,3.341949025,5.546571987,5.086317994,5.948941525,6.535072551,7.652241916,3.125974486,3.96487756,3.473620912,6.047438812,2.909193599,6.622390144,7.208901726,6.446657522,4.161533574,8.011731948,6.753643493,3.223203362,3.298181741,5.740133199,8.351759762,5.522010347,6.462564428,4.056117228,2.877520145,2.720936528,6.707082722,4.913986776,4.495286947,3.625917597,3.270081839,7.128582966,3.631891979,5.374853098,5.726802615,6.63219405,6.908435136,3.832572034,7.29786756,5.289141686,3.581413577,7.286678171,3.22114309,5.92781331,5.102067649,8.306950035,7.782371292,3.981915454,5.983767243,5.996799467,5.68885184,3.48491236,3.556075421,5.303293437,6.184870955,6.607905267,3.451205577,6.940058865,4.212289907,3.734846451,4.984714235,6.300823414,3.234470284,3.19231163,5.56905988,3.271841701,5.137774949,2.979792895,10.476862,7.625231706,12.06480048,6.607064656,4.406790061,3.910210578,6.660784255,5.770374446,4.879174605,4.954299186,2.896242775,6.56838283,3.954165686,3.838641895,6.305456723,7.648907753,3.599284972,3.84008628,11.76355664,4.866084882,4.608239366,4.771889289,6.776014283,7.598106241
55,4.816890782,7.442456454,3.637367698,4.098486588,4.935141934,5.700181456,3.135713356,4.478632625,10.33597486,4.726643194,3.991889503,4.705951776,3.040925952,3.089748359,6.297298475,4.095251813,6.700977051,4.845201929,6.298143836,7.860723467,7.866236881,4.711092427,3.094005338,4.530159952,3.636225994,5.520959472,7.372656396,6.053998113,4.482288763,3.682510949,4.585235469,6.568450909,4.519899674,6.367381422,6.79401887,3.830746907,5.659257848,8.104401196,5.924612463,7.150663346,4.657713798,8.466449052,7.857376913,4.213539311,5.544954413,4.275321318,3.742784845,4.782107688,6.903511838,7.420769158,5.474453838,6.214221723,3.383244039,7.605040193,3.449136678,3.576964274,6.889977536,6.33653203,5.087074472,3.167333457,5.927129246,3.386452473,3.78428418,5.21593271,6.596742554,2.99388831,5.977729651,3.743291536,4.667824688,3.770799472,5.242921566,8.993845563,3.440728906,8.888189919,5.721419553,5.648931335,4.795969777,5.299529174,6.007620169,6.595192705,5.093271349,4.963914632,6.431728404,3.546945432,5.251952443,8.750402569,4.967455659,5.765425725,4.878352383,6.689251335,6.650059635,8.075931024,7.556020208,7.41166847,4.558352393,2.708309309,5.852827599,4.138625852,4.976436951,6.048304766,4.990068118,6.004726759,9.976514567,6.889568576,4.146959685,4.556338705,6.516227712,6.894365578,3.468052721,6.081621914,4.819258961,6.095838358,5.694668943,7.010370341,3.337501042,4.259084208,3.719261381,5.353450274,3.070918381,6.20631567,6.928302129,4.989401083,5.235317614,7.965235861,5.167589345,3.674637541,3.700861622,6.166078474,6.403068471,4.864168288,5.315692444,4.066282702,3.449600692,2.723824444,5.299914243,4.760900919,5.042376447,3.623058291,3.778609374,6.972839242,3.362730301,6.594821181,5.003492006,7.707253694,7.001324174,4.304172206,7.502596445,5.344456295,3.479621534,6.50746125,3.352179915,5.889022806,5.100671802,7.647184793,8.137011601,4.414942476,5.808907826,6.251917203,6.883386755,5.95184798,3.651505804,5.565608234,5.678685989,5.461497433,3.512754807,4.53306578,3.599156573,3.954661454,4.9384213,7.152664404,3.371202078,3.36755366,5.333663796,3.49088441,4.762254285,4.274825434,10.53162621,4.504097883,11.87610106,6.856725569,4.358834408,4.073498305,5.882931252,4.991170534,5.126792998,6.399496073,3.031668058,5.827814354,3.242212904,3.963053578,10.09800637,6.050378112,3.583856343,3.942592357,11.81408759,5.078773494,3.744604342,5.624642313,5.879050988,6.224148474
1495,5.451041155,9.553167092,3.81829419,4.957919465,4.977525461,5.800635019,3.285454995,4.939317715,11.705197,4.426365093,4.032552607,6.259238977,3.03528524,3.056654086,8.352201202,3.23255004,5.662163423,5.783183303,6.684020243,7.872549954,7.845451478,5.181776168,3.041244715,4.230600119,3.61792241,5.59541571,8.221385775,5.960469185,3.130116469,3.548930533,4.714004604,4.656097375,6.934477444,7.703009653,4.998646206,3.568558182,6.647906867,8.219651413,5.965067074,7.214044256,4.04466393,8.188190241,8.980359524,3.641171976,4.301819074,4.60244606,3.6068745,5.898467154,5.498854197,6.850721366,6.834558331,8.001444103,3.801872818,8.94118761,3.104594115,2.93799739,7.581086428,6.373955973,5.796974928,3.120180439,5.865741765,3.361512266,3.414036385,5.810808423,6.937857346,3.214851208,5.818024387,3.695746863,4.514804333,3.606012498,5.807630461,8.026385992,3.274565272,9.673743732,4.780695745,4.457297456,5.182559239,6.592131927,6.518861664,8.689196405,5.538834012,4.482987748,6.396743389,3.410602609,5.117472688,7.353689057,4.48841093,5.38169925,5.545365281,6.707615059,6.75761392,8.593695209,7.887954345,6.120044665,4.941060864,2.903504391,6.128268611,6.020624285,3.056924259,5.229557284,6.231117298,6.470725891,9.972009978,7.823871379,5.723239718,3.368175784,6.336750342,6.919969869,3.768725984,7.592971931,5.339666679,6.697177994,4.180007769,8.098004284,3.315342939,3.957819503,3.504986119,5.817189103,3.099952431,6.552971807,6.893443468,6.419691617,5.309564753,7.98110873,6.211919032,3.923970661,3.467097278,5.088466547,7.851735033,5.426573299,6.367401953,4.700897278,3.092073019,3.191536095,6.709735715,4.769696626,4.886167568,3.852462264,3.613848129,7.236875794,3.689862045,7.608124397,5.086165063,7.086142706,6.007419482,4.830252613,7.080716704,5.505263982,3.644007417,7.778963526,3.368550555,6.99202829,5.034472727,8.994513308,6.788616585,4.271288189,5.462952775,6.693379756,7.134295172,4.056938311,3.772403281,5.430405078,5.658486629,5.192224627,3.425476651,5.040197231,3.536684875,3.756123821,5.252625013,6.425115485,3.4603859,3.128699691,5.609917152,3.61290707,5.171610058,4.009568101,9.963428296,4.614200405,12.11837367,7.542874705,4.622598261,4.007839131,6.855075574,4.665377884,5.15960145,4.604033854,2.948491644,7.11381798,2.950569245,4.189598674,5.754562966,8.027733925,3.550059087,3.998686056,11.8526938,4.1812237,3.849552759,4.894552186,5.977748776,5.600728596
61,6.387090306,7.609073091,4.878201843,3.972499652,5.363318545,7.446851716,3.142490708,4.613091261,10.27931585,5.364151758,3.807307061,6.52105056,2.909414193,2.890325051,6.873176355,7.735542906,5.675966075,4.981039639,6.277230919,7.238410717,8.919936237,5.077755524,2.839889609,4.494527614,3.296541819,5.294729412,8.219126413,6.108067838,4.556770664,3.495478975,5.089304833,8.024882134,4.014353406,7.216103875,6.730075364,3.518077291,6.009521972,7.600953809,5.607945101,7.998163777,4.089789407,8.190228289,8.912305076,4.194658277,4.164388781,4.792255312,3.355524642,4.728412462,5.530569697,7.23474757,7.52705385,7.05587834,3.298706157,7.071938894,3.343487742,3.693346892,6.886468557,5.800287925,6.491611658,3.157615702,5.88246301,3.52275392,3.484425147,6.14873382,7.760652445,3.24409725,5.908738752,3.86719021,4.941322137,3.396549256,5.231728324,8.615440382,3.292870223,9.242745123,6.657253238,5.837390694,4.142678601,6.76857113,5.73136399,8.335961918,7.040062248,4.886416551,6.330812822,3.495572052,6.132279595,7.540081674,5.748469685,6.160433425,5.087933956,7.468940435,6.17086395,8.295185285,7.112495186,7.789247164,4.649837575,9.526716286,5.021429043,5.3667979,8.413300203,4.707743953,5.076906095,6.27188301,10.38498474,7.651722244,4.442849871,3.474256887,6.364889139,7.199295965,3.49895813,5.32795538,4.946372849,6.451198784,6.050244577,6.653575591,3.018320921,3.904631039,3.82810907,6.785850133,2.866164988,6.972590363,7.464338092,6.405718382,4.229413967,7.627105791,5.95264457,4.080095344,3.208413733,6.041476179,8.537626501,5.041382261,6.732308121,3.706778441,3.193860999,2.964650041,6.00250224,4.945378553,5.598765741,3.506950976,3.815576398,7.042023356,3.616425561,4.690877508,5.1835527,6.811600767,7.564420028,3.94389579,7.374726961,5.221354796,3.470273341,6.586609727,3.122638131,5.550243727,4.513906345,8.575575946,6.861447887,4.252543161,6.149481069,5.978229523,6.073086376,3.777426197,3.585712838,5.89741213,6.178931955,6.77352217,3.560974153,4.788136922,3.984356915,4.773782419,5.16492779,6.767807719,3.113609918,3.087138101,5.716494829,3.493261169,5.963697543,4.072825918,10.33507081,4.522367334,12.04938128,7.099900918,4.310077141,4.26593304,6.138508522,6.755176608,5.251753991,5.483336806,2.994467904,5.637746223,3.916061767,3.711889168,6.882333331,4.648249059,3.623762069,3.806023654,11.98018395,5.326322363,4.745148462,5.178432197,6.574130139,8.104298167
1418,7.086158421,8.412367752,4.634283066,4.366611833,5.221850967,6.469424457,3.30465379,5.382860536,9.215739903,4.332421508,4.394874519,5.408252115,3.055473099,2.909439831,6.98165368,7.151282616,5.910909113,5.000573964,7.28558114,8.241634086,8.203923421,4.942342054,3.200350869,4.391028779,3.783222277,6.252165886,8.276872538,5.921613247,3.216651584,3.592464109,5.122467674,5.677059454,4.639363012,8.437746486,6.811349507,3.779901064,5.617741301,7.61889257,5.721785626,8.322927449,5.304547404,7.977192215,9.704072283,4.825282091,3.44110544,5.935091114,3.698631762,4.354651191,7.483604971,6.122176477,7.976564648,7.390902737,3.284610917,7.58498589,3.231479316,3.524101193,7.359310558,6.001853642,6.645741538,3.199167137,6.614083776,3.513611951,3.364533854,6.247915927,7.518748471,8.111321482,6.556929195,4.002794589,4.150880229,3.212106857,5.399023354,8.866514041,3.300897687,8.782682735,6.123443065,4.63508549,5.36125014,6.646064902,6.38108861,8.858664873,5.539423189,4.57163068,7.294514322,3.480730552,5.025669317,9.261395685,5.779074575,5.939712098,5.196944852,6.841318828,6.14625573,8.043877036,7.776230602,7.599679182,4.538973221,2.773781614,6.051006757,5.420561013,5.691906417,6.15245336,5.399137864,6.419779686,10.22841857,7.294148988,3.482158504,4.308401112,6.790447139,7.342552447,3.708084983,5.290888164,5.249435393,6.629454345,5.55354024,7.570162262,3.1670282,3.78315532,3.917113263,6.492137658,2.986486662,6.013789499,7.013026485,6.390240475,4.932210967,8.197051974,6.32679332,5.511166787,3.226895606,6.319547405,8.189072426,5.918815752,6.686533761,4.395623561,2.994934225,2.769218299,6.275145667,5.297382306,4.65608777,3.692354026,3.946178633,7.186564498,3.585202454,9.411003515,4.941968353,6.881694933,8.568558182,4.329479113,7.651433322,5.616560958,3.912096531,7.605030017,3.131571734,5.652055543,4.824883401,7.543766409,7.92001159,4.639579735,5.693975325,5.637028998,6.142702592,3.476566746,3.399169816,5.808780985,5.708436246,5.287416061,3.274337058,5.492439155,3.177819761,3.701319683,5.022935487,6.203378773,3.22046114,3.029698879,5.788340477,3.599724124,5.359494352,4.260340852,10.39813957,8.622945168,12.09733117,7.747045219,4.652816533,4.29248046,6.769459954,5.556799776,5.684793022,5.213665823,2.896132996,6.706793615,3.283066445,4.438422964,7.169727017,6.563640728,3.48830464,3.967890434,11.96240844,4.686528632,4.697822362,4.875106251,6.613553208,5.532139844
563,5.576960931,8.349346028,3.98661,4.413189265,4.944952305,7.280564491,3.17311866,6.03634988,11.24978503,4.880342642,3.842621581,5.951522889,2.947005032,3.099645899,5.68257235,5.19441887,6.752903778,5.339912238,5.713155004,7.660763041,7.928742991,5.450407196,2.8765043,4.388155013,3.367344759,5.03956871,7.598664325,6.485408867,3.369962965,3.777856574,5.034779152,7.467746954,5.331723095,7.441458193,6.441522275,3.788341473,6.552002961,7.93603904,6.250331384,7.492167859,5.332833811,7.946897977,9.346167964,4.831758275,6.255732263,4.05791903,3.522403255,3.947058378,7.577277029,6.406261199,6.767949425,7.683660307,3.468304225,7.863007974,3.247303896,3.692828095,7.872313128,5.115485049,5.635892006,3.245815542,5.983330094,3.307389973,3.460166016,6.3237659,7.207814789,3.11233546,6.377080097,3.793278138,4.59349348,3.479211,6.086550762,8.591531249,3.348345901,9.502839936,5.252287468,4.910929419,5.904764792,6.676743286,5.260862264,8.887156735,5.802224363,5.189381049,6.939521646,3.562270029,7.746218143,6.795518514,4.567242409,6.0772739,5.924123933,6.489616843,6.309590009,8.450495549,7.973198374,6.677064617,4.554523394,3.021958976,6.583647381,5.635520965,3.185030717,6.174890033,5.68343522,6.90886837,9.855260204,7.193154293,5.621863964,3.500741363,6.353168368,7.104862655,3.714963512,6.272972568,4.60322325,6.328348689,4.853154475,7.359666328,3.177726862,3.942752252,3.763680229,6.553138375,2.968386343,6.861391658,7.692692435,6.157053903,5.018790376,8.097349334,4.921420662,3.595295503,3.487604179,5.188426006,7.863610837,5.693255954,6.397555568,4.861691424,3.081030373,2.909762277,5.162458944,4.794746729,4.858777446,3.773798111,3.820083209,6.766933036,3.698747581,7.010566691,4.924414026,7.473490488,7.009861755,4.475015207,6.720501563,5.245873412,3.490475477,7.630902315,3.047838496,6.032213922,4.932021324,8.669167296,6.559161984,4.115555692,7.198509938,5.92753258,6.870206569,4.139078369,3.712221871,6.042292608,5.45268214,6.45798887,3.506509043,4.346992884,3.558359284,3.832319184,4.882867927,7.009681026,3.49734534,3.188786824,5.910153656,3.406794471,5.813564951,4.400822512,10.00483629,5.565213785,11.75519576,7.406055752,4.444618986,4.09859469,6.855290149,5.314060973,4.916680403,6.261404581,2.788226056,6.535191473,3.458393971,4.256351528,7.151414862,6.940966715,3.356607788,3.766737456,11.84847614,4.896548229,4.202033075,4.898437168,6.163395238,6.413790086
361,5.348122581,5.56692898,3.507274925,4.1541781,5.374910393,6.301048733,3.628362322,5.584985546,10.19706323,5.159765728,4.080713451,6.347227466,3.082448593,2.848906179,6.757246245,5.676720908,5.553830348,5.205358053,6.209716763,7.196919495,7.816626477,5.074907943,2.874696336,4.259819394,3.627885394,4.785956564,8.235332516,5.377684361,3.466841457,3.52787809,4.645449657,5.516404107,3.914021368,6.062019779,6.464025302,3.717723587,5.994160998,6.979476658,5.789796791,7.056878296,4.480687292,7.02411448,8.756713388,4.510478187,7.026916977,4.01090913,3.753733968,4.22472331,5.405032234,6.837947013,6.828250593,6.086227599,3.666829262,7.438855799,3.460753466,3.138453837,6.100876927,5.089692279,5.538563843,3.279478669,5.253900995,3.377177691,3.611238388,5.942208159,7.505317174,3.266929337,5.235118906,3.745287896,4.166045364,3.59688652,5.03078162,7.480310347,3.485294861,8.371180671,5.197115434,5.272881044,4.180522309,5.753148691,4.517291771,8.080336763,5.888832973,4.570946153,6.869336197,3.612561565,6.239676458,6.42941351,5.362487392,5.634150098,5.176486978,7.321692115,6.059931431,8.287644188,7.666733278,4.933723698,4.096925667,3.026127436,4.672549973,4.922885056,3.496113925,4.951354268,5.577399553,5.39201575,10.30435188,7.224688135,4.619863757,3.738840534,5.867056039,7.014408235,3.818476176,5.851437479,5.306447661,6.20034069,4.723859849,6.796561704,3.187240452,4.709484686,3.627447608,6.471096787,3.080096645,5.728859058,5.8549784,6.175705476,4.190034579,6.984982666,5.345667967,3.735994529,3.246570856,5.232617958,7.688868484,5.103108165,5.444416655,4.049221727,2.940516311,2.747074423,5.611754839,4.625093887,4.145424243,3.678670732,3.755131366,5.901269355,3.825488527,7.664866394,5.197393693,6.753688986,6.525378982,3.938712212,6.301082235,5.113270501,3.548616745,7.087857255,3.226859896,6.698451075,4.292185963,9.246209561,6.825052812,4.364346159,5.592526727,5.500731882,6.404023587,3.565313279,3.483769043,4.753417334,5.925175187,5.446848562,3.42123622,4.690942389,3.199655572,3.559571044,4.336372802,6.212501729,3.52827322,3.41443466,5.419354591,3.451821582,4.969870151,3.309371572,10.21037512,8.051432672,11.74438138,7.022819702,4.363708346,4.244393017,6.063202829,4.94775749,4.737264985,4.793921166,2.990857214,6.563149247,4.108274467,3.959879923,4.611542788,3.610703957,3.472798038,3.885935852,11.59347969,4.649592678,4.680229125,4.321768211,6.001252694,5.744101501
1992,5.601181481,7.171290585,4.178783975,4.650122213,4.449925941,6.897881268,3.375158646,5.63211238,9.20386907,4.429017816,4.099596623,5.303407162,2.885618369,3.579262758,7.082009316,5.27802954,5.893788576,5.327355826,6.994358444,7.332093657,8.270568521,5.011201487,2.999293752,4.389904373,3.291484094,5.506941657,8.706024733,6.332240106,3.056050396,3.524196148,5.387040594,6.068014604,4.21270788,7.683248443,5.972389389,3.477182026,5.858508375,8.6822053,5.969605391,7.395482099,4.745383308,7.902858279,9.513543885,4.720107915,8.071121723,4.963457402,4.411540727,4.556987062,4.219496326,6.89392741,7.275454463,7.348711678,3.182170637,7.379481227,3.148370447,3.160746081,7.621067345,6.06967544,6.262548387,3.038039342,6.605358904,3.414993944,3.306987988,6.256774492,7.405770959,3.304523035,4.971429271,4.211834688,3.922114064,3.597902628,5.70515966,7.460622873,3.432322829,9.638467954,6.679843764,4.794264142,5.870401409,5.876841871,5.766919594,8.587735977,4.950390456,4.965752761,7.111139651,3.480230459,6.254990378,6.200557866,5.117495992,5.998752328,4.994528501,7.034055381,6.883218464,9.467298693,7.400529648,6.706175063,4.811025861,3.495287435,5.851445581,5.334255415,3.137760724,6.369326966,5.539683377,6.801557103,9.841553791,7.826146462,5.374940366,3.831556406,6.89463711,7.537160802,4.583413711,6.521143439,4.586518906,6.407900611,4.15858519,8.184416233,3.221277346,4.241828118,3.860635577,6.544357585,2.956896683,6.558292479,5.805743085,5.861086243,4.485104053,7.918706585,5.630054221,5.770443814,3.085890752,5.444745476,8.266599554,5.12859445,6.863768673,4.091119451,3.701100192,2.855277316,5.680310049,4.85939573,4.629866294,3.717916829,3.567755008,7.090664072,3.503771885,8.896232611,5.029561394,7.036548427,6.686571162,4.280868024,7.30211775,5.61563929,3.465471247,7.416681963,3.17056983,6.884908968,4.711450206,7.940805457,7.190903132,4.174241341,6.043107741,5.72429474,7.062189951,4.954119881,3.709505931,5.469062077,5.300647909,5.115583631,3.219838677,3.908117525,3.169749951,3.822074117,3.824714068,6.356748412,3.433929598,3.028385159,5.409499318,3.573613444,5.167060521,3.787399043,10.4201098,9.681936034,11.90201254,6.772862234,4.250667364,4.110469769,6.96068464,5.503580958,4.653385891,6.545389439,2.821051555,5.822646388,2.901121187,4.393658068,5.847603739,4.606179381,3.687091893,3.844611242,11.73579388,4.595838175,4.749072109,5.181683827,5.873448712,6.228534391
1918,6.529617138,6.415412459,5.004212407,4.078435228,4.392334588,7.126694076,3.338723735,5.910340704,6.925590024,5.390629499,4.525408735,7.514273531,2.886114342,2.892948341,6.615450148,6.907450187,5.726041622,6.397475924,7.231727738,7.247084226,7.788664672,5.110161799,3.13157299,4.30031988,3.258647977,6.018789527,7.698549423,7.003400043,3.510828503,3.510887645,6.027088134,6.625749415,3.41088658,7.974072482,6.353100239,3.698729144,6.543394972,8.657707693,5.468996971,7.010157228,3.8872566,6.317147458,9.972048292,3.557086073,6.989413384,5.890563856,3.419357421,5.157902763,4.653892503,6.460100007,8.052615145,6.96263464,3.365265166,7.578330304,3.233912189,2.821244289,7.963987899,5.969863214,6.33798306,3.004770642,6.281127477,3.340854677,3.542324963,6.258604993,8.392197652,3.322846878,4.980634519,3.814942464,3.96592587,3.713748445,5.589292482,8.038110866,3.288986714,10.19600652,6.07118786,5.004522926,5.190832016,6.530267371,5.772010452,9.272250892,6.496233785,5.057120821,7.706938808,3.498386158,6.19197804,6.903823294,5.218660193,5.36616424,6.195202771,6.618428521,6.509504653,7.401359231,8.125056476,4.698074792,3.959250616,2.932340295,5.445908007,6.941945346,5.119238466,6.090984629,5.089333123,6.59680601,10.47612307,6.842733208,6.444061969,4.983412907,6.560360358,7.812052319,3.47899298,5.774712874,5.662452051,6.042694222,4.257733259,9.086749159,3.457068582,3.974668492,3.728427098,6.513358826,2.922244391,5.298643237,7.335121121,6.106787354,4.14731068,8.044243184,4.41353561,3.067180759,3.20783504,5.039112497,6.52621242,5.958243383,7.14011517,4.219967001,2.992000707,2.88746858,7.095806976,5.096724483,3.673137161,3.542402904,3.307637057,7.926868013,3.415658739,3.408927795,4.923022207,6.909842373,6.680946331,4.25781151,7.278917166,5.296866229,3.728217921,7.722593161,3.148757555,7.416106191,4.364891143,7.772340452,4.473982892,4.551193684,5.484826581,5.520733166,4.001515575,3.697533938,3.636942956,5.926396807,5.164081366,5.367990561,3.745868678,6.418529505,4.233568335,3.480561449,3.952056992,6.495798314,3.387083599,3.306956569,5.752017048,3.518259105,4.867139014,3.448221438,10.7226633,6.180232125,12.26741051,7.454734043,4.333283536,3.887211038,6.662077128,6.06807104,4.126535599,5.172721708,3.077441631,7.021611526,2.961518317,3.550288004,4.031723747,3.623981372,3.426508422,3.866655148,12.16451492,4.937893436,5.29199353,4.608714034,5.714674618,5.676277785
