"response","PTCH2","FBN2","C19orf42","RIC8B","HSP90B1","MAZ","NDUFA10","GALNT12","HOXA4","ZFP36L2","PTCD2","NAT11","PACS1","LIMCH1","DCXR","CPLX2","M6PRBP1","FNDC3B","FNDC3A","EPHX1","B3GALT4","SAPS1","EXO1","ANAPC10","CXorf45","PRDX6","MAP3K12","RAB38","NYX","SPINK1","NRIP1","SLC41A3","X41338","SEC16A","DCP1A","NDRG4","MLNR","TSGA14","SPCS3","COL6A3","PGM3","ABBA.1","TESC","RGS5","CADM3","CNOT1","OR7C1","MTFR1","HMBS","RBM15B","CYP2A13","UPK1A","IPP","PCGF3","ATG9A","ETV5","FER","ARD1A","GOSR1","CDH3","MYO1C","SPARC","C19orf10","VPS13A","TRIM36","SF1","PDX1","MED13L","HIST1H2BM","MARK3","ETV3","EMR3","KCTD9","CSTF1","PRR14","HABP2","CLMN","LAMB3","DIXDC1","COL11A1","PCNA","HPN","MDN1","FAT","H2AFX","AR","PYY","BCAP29","CNN2","RUVBL1","MXD4","PPP1R16B","MMP9","CRYL1","CARD14","GDF15","FNDC4","PBK","ORM1","PCM1","EPB41L4A","TGM3","SNX26","PIR","RPA4","ACTR3B","SMCHD1","RUNX1","B3GALT1","NOLC1","BANK1","FLG","CEBPB","AQP4","FAM117A","TRMT5","NUMA1","TCTA","WBP2","SCRIB","ABCC1","MAP9","C17orf81","IGSF2","NDN","CRYGA","ANKFY1","GNL3L","CEL","COL9A1","APOL3","C14orf130","COL1A1","NDUFB1","TRRAP","TNFRSF21","TCF25","C19orf53","NRL","CLDN10","SEPHS1","MCPH1","ZNF140","RPE","PKN1","NARFL","TCEB2","HMGA1","PTPN9","EGR3","SLC5A7","NEUROD4","NME5","TCF3","HLA.F","TCTN3","QSOX1","CLIC2","CLOCK","MACROD1","PGR","RET","EIF4H","FGF6","SIKE","NDUFS8","PLAGL2","SLC31A1","CDK4","ZNF189","RHBDD3","CTPS2","PIGA","HOXC10","C1orf41","FAM18B","PPEF1","AYTL2","FNTB","MCM7","CCL4","TCERG1","LSM7","HTR4","TMEM185B","EIF4G1","SIAH1","RELN","OTOF","BRD9","GAL3ST1","SLC38A6","LY6G5C","THBS2","CEP110","PRKAR2A","STAU2","AMT","BBS1","NPTX2"
1224,3.702912455,5.642874482,7.50431869,4.955623305,8.932216464,4.997345673,7.850957281,5.940100277,3.898292493,4.31058796,4.939275383,4.187623463,4.301540571,6.26308663,7.331550626,3.559511063,6.014961689,8.654952162,5.191197354,8.291755694,4.864583661,5.105645758,6.358762121,6.101993618,5.220787471,10.05321116,5.821907372,3.757737203,3.63272524,3.407445031,6.937139946,5.816694633,5.471347017,7.970465792,6.796473876,5.020472707,2.937659376,3.811008804,4.403269272,9.384028926,4.778849962,3.993590695,2.995031561,6.449320462,3.506518607,6.324754508,3.153455392,5.204606664,5.693133205,7.119350566,3.72278794,3.118077526,6.090595753,5.31584941,5.912651641,4.664751512,4.202441475,6.762507754,6.075256016,7.028006025,6.069759177,9.882550514,6.470765479,5.633954612,3.719032692,6.39531434,3.310667,6.487485685,3.607048962,6.433527119,3.298321744,2.920901982,5.503774432,5.200458636,6.285672286,3.552164363,4.72528335,5.43607672,4.027257752,7.834297533,9.156391892,3.596865597,5.755080721,8.588507863,5.281146583,3.956485081,3.359291387,4.192782378,5.715277385,6.740019317,5.098151627,3.864785305,5.443547104,3.974693171,3.559914891,3.865836045,4.734247567,7.488497722,3.101355226,6.972503772,3.288866074,3.47246427,4.523462771,3.595545468,3.235679018,5.062360433,5.888402134,3.925318732,3.093536202,5.926780714,3.216550644,3.322496076,9.190656922,3.03276395,6.337498456,9.423474499,3.681081491,5.855884178,5.465938629,7.692740636,5.964316364,5.127770034,6.118837652,3.287556549,4.825647581,3.235530903,4.068321204,4.510382565,4.83381063,3.570053024,4.243560299,7.265735786,7.866199048,9.807367993,6.017203971,6.765204036,7.05035785,8.980785461,3.287273728,4.687356887,7.791148577,3.204964951,6.595971877,4.867695103,5.037559186,4.704739644,7.101510562,5.030611743,5.182804411,4.785827489,3.172669525,3.476138527,6.210993805,4.96202216,6.92924432,5.898353391,5.668762091,4.390820364,6.563832945,3.783724556,2.928399638,3.633089903,8.696172053,3.860587746,4.444875366,6.624126662,5.587393891,5.893437357,9.196209783,6.518708137,3.757480758,5.047193156,4.920323685,3.347097538,8.294810167,6.307629832,3.425517373,7.139492179,4.208729258,7.442397603,4.494188335,7.294651315,7.410669629,3.392531648,5.714856114,7.519540637,6.064029761,3.714469621,3.163659963,5.889090133,3.634701503,5.136235955,3.445795129,8.197449188,5.839354416,5.533379404,5.269775315,5.207546427,6.486372397,5.832414129
1247,3.755341363,3.682863138,7.571314963,6.148399309,9.318912497,4.754332873,7.864622103,3.648785121,3.740159969,5.326930162,4.319968777,4.734620632,4.782752613,4.781219019,6.815490307,3.596522484,7.013330001,8.230919916,5.722598893,7.97754948,4.623552892,5.212932105,4.794087209,4.569690843,4.897648749,10.09006346,5.34182717,5.751618628,3.437352944,3.061780877,8.006957608,6.796195802,7.114799235,7.619639462,6.450563636,3.826308449,2.961814587,3.573759621,4.922355922,10.17922848,5.860217739,3.825629337,3.580366691,7.219800872,3.661840279,6.342643183,3.273866867,5.351449083,6.270238856,6.863259568,3.52622066,3.38224181,5.34486233,5.061605713,5.506673679,4.072255623,4.551361749,6.378848088,6.624704219,7.593757545,6.787860125,10.48270015,7.057732656,4.665676819,3.689409076,6.653922234,3.33825965,6.295208551,3.336566215,5.99871816,3.17151233,3.124521292,5.007521284,5.644953819,5.888887121,3.448396517,5.83760397,6.668077767,5.19107669,7.235962351,8.137762131,4.558794257,5.306311227,7.422369333,5.350035153,5.476384422,3.048816606,4.318475233,6.176487739,7.041452282,5.262281556,4.784138277,4.999867567,4.702094988,3.227455687,3.983532942,5.09592236,6.406276252,2.877520145,5.842317155,3.481147553,3.33108122,3.999596816,6.2848337,3.051543196,5.140221758,5.740228025,3.903009027,3.289407255,6.400552058,3.815192122,2.808864631,9.369828947,3.505132146,6.194318917,9.720422028,3.740079657,6.471050508,4.734747033,7.368875154,5.684704646,4.630266569,4.390174599,3.493490603,7.503982797,3.166762714,4.259310968,4.377976473,2.979792895,3.699622754,4.886589772,6.046207115,8.454874958,9.609040504,5.485846256,6.351683076,7.620227658,8.763554211,3.318760138,8.388060524,7.375964642,2.970838414,6.385444177,5.152435565,4.280086128,4.681270266,7.165356337,5.900255082,5.617794762,7.664927357,3.173771059,3.51893464,5.7111979,4.628292117,7.83530362,7.010463397,6.211352291,4.681418694,5.356344366,5.107562549,3.245331028,3.274848178,8.382506747,3.689615425,3.851397731,7.92931684,5.355242469,5.953500578,9.172079672,5.975169688,4.244849835,5.873446741,5.268810388,3.473620912,7.152799153,7.382925032,3.242351756,6.508903853,3.996394612,6.200597076,5.639616938,7.417279914,7.057426936,3.258910881,5.761385967,7.382105233,5.530280113,5.271779735,2.852075685,5.149552393,4.742653699,3.844906472,3.494798222,8.380463972,3.786696776,5.45042595,5.953616823,4.936582769,7.027837339,6.033194443
55,3.910857981,4.471945183,7.961196282,4.7625038,8.923793984,5.30224426,6.616753656,4.983455007,4.134484448,5.174987533,4.372168154,4.47369386,4.939988496,4.491753052,6.9603283,3.543445242,7.033304862,8.599605411,4.736390473,7.170967069,5.325973366,4.882976669,4.524584756,4.491998013,5.818693924,9.731068829,5.252714367,3.598568013,3.642847166,2.99388831,6.849822932,5.204406218,4.743676341,7.334518536,5.779925704,4.135547569,3.195742254,3.921518365,4.164618801,8.090060232,4.103851571,4.34451928,3.679790729,4.43360174,3.742784845,5.42911196,3.461755452,4.840731735,5.248523211,6.655344338,4.164969362,3.401307795,5.32526002,5.181219302,5.287277956,4.950161442,4.731628848,7.905236045,5.992080257,6.115479652,6.174582257,7.042135272,6.086798714,4.978664904,3.576964274,7.32190498,3.637188682,5.667988902,3.447845875,5.88322984,3.553801644,3.158465619,4.989877791,4.153747765,6.111573809,3.770799472,4.462341505,4.855959436,3.963533867,4.686953021,7.599962996,4.46388291,5.80606959,7.462041641,5.412373179,3.915732977,3.135713356,4.319284571,6.138867046,6.161190329,5.727030803,3.721934114,6.139091332,3.686208655,3.415639528,4.052822576,4.530159952,5.311093191,3.449600692,6.569712164,3.63881449,3.525153368,4.518696972,4.344685194,3.510128269,4.821184817,4.600130694,3.890960014,3.542321657,6.222722688,3.862562447,2.708309309,9.548641672,3.120372841,5.672335773,7.204296356,3.73951539,5.644297829,5.448955264,8.164166859,4.966607013,4.263274359,3.650077937,3.757067969,4.911551082,3.532876433,3.467316108,4.577893232,4.274825434,3.953871127,4.004621846,6.211970259,5.917569666,10.2663299,5.019111351,7.372505889,8.316879768,9.962138691,3.449043706,7.923539673,6.180211482,3.271381525,4.782758211,4.221109007,4.684252195,4.726524085,8.310868604,5.980657441,4.784585127,3.638720491,3.714452013,4.00735087,6.162434818,5.203987474,6.427145421,5.167624563,5.873598248,4.703484142,6.760194262,6.022047392,3.0026734,3.779674275,8.600702172,3.730325738,4.062589522,7.53605188,4.242735676,6.276476157,7.321207789,6.172414384,4.28596868,4.459912214,5.235624974,3.719261381,6.764995166,5.661808754,3.454474138,6.124381509,3.539428869,6.160409727,3.603483163,7.802051264,6.242013398,3.662582002,5.7196162,7.279714147,5.088611471,3.697193481,3.072290628,5.017766376,3.787458928,3.899399152,3.570766459,5.995940663,3.787489518,5.880963988,5.518076691,4.466778366,6.524249962,8.096855393
1495,4.048241729,3.472092982,7.752819681,5.728704223,9.182717136,5.26575567,7.586086829,3.795436072,3.663003391,4.982960249,5.169534357,4.952869281,4.872546948,5.43961,8.129851647,3.678997434,6.085890427,9.015678428,4.824343389,7.670281291,5.468012685,4.64580969,4.76845937,4.231830845,5.230347544,9.848123652,5.792378253,3.609057192,3.528435033,3.214851208,4.757316755,6.89913497,6.66925771,7.316325317,5.446800867,3.965759893,3.116250191,4.086636117,4.874125956,6.151357722,4.215134808,4.121819787,3.322139274,4.865384028,3.6068745,5.874876409,3.358737577,4.870677582,6.042485497,5.948963263,3.862863294,3.447102023,5.555808461,5.223680635,4.734476855,4.991357058,4.044785478,6.394910751,6.062529907,5.536408256,6.137707887,7.010820199,6.441673222,4.671271207,2.93799739,6.447617766,3.50088381,6.289146613,3.456990904,6.004462919,3.178114687,3.213448684,4.995699103,4.661173435,6.641649162,3.606012498,4.581406451,6.222513689,3.59021034,2.811780954,7.666951886,5.309727383,5.741861123,7.814886544,5.824970488,3.263996242,3.285454995,4.016819847,5.339591386,7.047263562,5.678762057,3.675425483,8.420691043,4.120020611,3.71776207,3.780956605,4.230600119,7.148052459,3.092073019,6.59747929,3.623390575,3.386172206,4.484708473,5.269221011,2.90232644,4.77349571,5.658295503,3.840112123,3.450471259,6.61796477,5.31947133,2.903504391,8.903256409,3.179523722,7.820400155,9.584292989,4.011085439,5.369592554,5.490813549,8.63177766,5.165321677,4.372626774,3.437093699,3.585565117,4.501856253,3.214907814,3.848679669,4.677493519,4.009568101,5.227900424,5.371948624,6.948682164,5.610898227,9.645832334,5.39613817,7.209700405,7.264730075,9.759598903,3.219569293,6.153074646,7.129263047,3.186940436,6.134380725,4.312869525,5.232760079,4.956080808,6.965345351,6.296438754,6.104150971,3.633093341,3.315530209,3.772854383,5.362171521,4.899675085,8.031347677,6.241922215,4.793174628,4.607266303,6.357788633,6.148862887,2.855484162,3.503110932,8.687715796,3.655026106,3.916088381,7.912591434,5.104632983,5.392285057,8.658071002,4.755590956,3.812537219,4.910780593,5.041203933,3.504986119,8.142386001,5.308665242,3.348248498,7.130040249,4.362040256,7.16600321,5.387314513,7.679271007,6.954638649,3.409248876,5.833444886,8.175754808,5.655927872,3.977701181,3.128383631,5.735941556,3.682857245,4.83418969,3.838223505,4.163529142,3.809184345,5.345310082,5.201367308,5.116853639,7.79081321,7.200398766
61,3.560333651,7.340446969,7.06435152,5.089497519,9.225248043,4.942529181,8.355996913,5.633431303,5.745064322,4.150841657,5.474059289,4.65970514,4.538819806,5.385726824,7.131905775,3.448724054,6.922964337,8.416221028,5.763058034,6.701497579,4.373764058,5.512364929,3.887727564,5.879335889,5.715241036,9.93146406,5.596404645,4.340885773,3.400777049,3.24409725,8.288400313,6.01529713,6.1314039,8.225844795,6.52015969,4.217310336,2.836199097,3.980865196,5.116108652,11.45438653,4.929140907,4.070715829,3.144580142,7.415897371,3.355524642,6.003644692,3.222605369,5.42608249,5.936004971,6.785065273,3.72587671,3.264327193,4.985938586,5.326196575,5.176229315,4.455367233,4.90282167,6.743485081,6.064067435,4.631351823,6.493172586,11.07794911,7.441716022,5.031120305,3.693346892,6.928001247,3.366328085,6.165085634,3.350366103,6.157777431,3.056309766,3.171007856,4.898631277,5.414439951,5.87882963,3.396549256,4.126234664,6.850128928,5.435373831,9.820046289,7.699687773,3.351014964,5.588493909,7.719912043,5.084173213,3.699719434,3.142490708,4.437134348,6.54171027,7.283337232,5.548347109,3.717129688,5.382961037,5.918840496,3.288462273,4.432257063,4.494527614,6.360991983,3.193860999,6.542434905,3.389316761,3.508033264,3.827999019,3.523981114,2.929793233,5.822004464,5.405217828,4.013484205,3.221838433,6.451695208,5.123156644,9.526716286,9.40394495,2.952137086,7.082636187,8.05007897,4.061151636,6.717417882,5.203944474,6.788544203,5.993648478,6.266688333,4.320802614,3.443387499,6.27303434,3.32699803,4.125469913,4.155472504,4.072825918,5.806176507,4.498760479,6.085671491,9.496836958,9.685126363,5.429467146,7.634236085,7.381042521,9.009593386,3.172734372,3.386364451,6.126247585,3.52971185,6.247320269,4.735856155,4.600511402,4.533584725,7.363832644,5.222531966,5.022348847,4.791530467,3.365367434,3.676800953,6.961432207,4.883163544,7.801883373,7.1706965,5.252402542,4.909920818,6.262810152,4.251466519,2.968207023,3.321457886,8.505083189,3.894972869,4.036626061,7.674839764,5.262511111,6.087700765,8.902697855,6.28626177,3.454794652,4.05942781,5.135095353,3.82810907,6.626904671,6.707946222,3.547528953,6.105663819,3.95404478,6.446996556,5.12424045,7.812621822,7.677683301,3.297836222,5.081900776,7.332444454,5.184016171,4.742191922,2.930019275,5.986460101,3.308997627,4.54227371,3.495731964,9.693533218,3.726160772,5.640633628,4.839833783,5.318088603,7.455990241,6.092527631
1418,3.950741606,5.743015555,7.473450107,4.474387613,9.329338406,5.219391891,7.903989567,4.275501352,4.148470531,4.357664485,4.202805679,3.845153584,4.468550714,5.096364821,8.147410993,3.480481205,7.001141341,8.583255882,5.443729199,6.456964342,4.712903731,6.317389289,4.754475602,6.794189067,4.684631351,10.39160691,4.718094049,2.969130985,3.367159829,8.111321482,6.903474878,7.279883434,7.358715447,7.604806005,6.113192114,4.31377071,2.896656037,3.704753678,5.106263881,11.05825355,5.96615671,4.167140324,3.452197369,5.851973545,3.698631762,6.039244556,3.255973232,5.394732722,5.444500067,6.932990005,4.012630847,3.821624426,5.428584447,5.402393684,6.177312621,5.178835329,4.333410483,5.963766765,6.410167425,6.781781116,7.323293953,10.8942117,7.296891988,4.64530309,3.524101193,6.644428325,3.272314404,6.243013993,3.30860942,6.331908661,3.145141532,3.064082899,5.140317728,5.615171947,6.487822742,3.212106857,4.02514514,6.333619579,3.788730578,10.33246644,8.10346775,5.779753715,5.667237175,8.228886785,5.515651479,3.687291097,3.30465379,4.188630949,7.014713844,7.371208062,4.92398308,4.165078578,6.341743847,4.202995291,3.522172984,3.746568957,4.391028779,6.387790033,2.994934225,5.967394706,3.16242529,3.403189554,4.096618813,4.459655867,3.07065229,7.558726421,4.742314165,4.047900552,3.182708953,6.937395553,4.965665934,2.773781614,9.716219222,3.119782577,6.66779167,9.016599354,3.236370895,5.410623181,5.858866683,8.848313377,5.305242391,5.735077297,3.88501886,3.319972083,6.968475379,3.428337424,3.923105199,4.156046496,4.260340852,3.140905891,4.856640189,6.672812474,9.075908997,9.641358326,5.44730587,6.611196844,7.618455855,9.292181468,3.123686652,7.898156015,7.014560452,2.949590394,6.335100398,4.603653282,4.604678322,5.186473369,7.504880558,6.42947698,4.911346542,7.463790385,3.252043572,3.488154692,4.589956707,4.905613507,7.758224638,6.970372577,5.946362496,5.586444001,7.23118968,5.304974014,2.910746746,3.36261768,8.530129821,3.930457356,4.139749307,7.29855039,5.744548913,5.959800523,8.408218161,5.980751039,3.439699905,4.487456489,5.305238355,3.917113263,6.307517133,7.540544777,3.422323132,6.284767066,3.851312226,6.571618877,7.60931617,7.620577149,7.664324773,3.41257256,5.466062641,8.083153527,5.397085085,3.717243298,2.785943597,5.902591234,3.445767603,5.005535977,3.109295531,10.04570218,3.734337612,5.488858563,5.425833886,4.154666708,6.616222947,4.79775037
563,3.680622109,3.166526599,7.396261665,5.580324708,9.534984006,4.971759027,7.546051215,5.7900948,3.534412487,5.351512302,4.893719154,5.256424526,4.483680245,4.581685378,7.516393527,3.528329028,6.499720245,8.278280995,5.258589467,7.55631356,4.836383654,4.77815405,5.806231586,5.191851869,4.805064163,10.30937685,5.771108284,3.217388739,3.299903905,3.11233546,8.529421618,5.839169085,5.511957337,7.730281783,6.337728054,3.795976216,2.95295244,3.816072717,5.090906313,9.744843074,4.694308678,3.859751259,3.094638133,7.121210665,3.522403255,5.712443036,3.138415244,5.000029237,5.859414879,7.081269847,3.861490767,3.842820086,6.48128123,5.059552906,5.119288817,3.980325528,4.342464419,6.017651195,6.349500321,5.444566289,6.910785441,9.529564239,6.259678621,4.923584373,3.692828095,6.81485917,3.468020519,6.4848911,3.405041326,6.045077385,3.319065943,2.975148604,5.827409192,5.274037837,6.379998057,3.479211,4.096665939,4.624278632,3.532147931,8.033838179,8.213800777,5.26590758,5.866325563,8.365115087,5.379611443,3.714912381,3.17311866,4.254932153,5.413720629,7.500601577,5.310680312,4.898871386,4.902217582,3.781780516,3.414800832,3.472339072,4.388155013,8.441680947,3.081030373,6.947236243,3.615768139,3.48166371,4.448840105,4.124242974,3.329177973,5.269653487,5.413237567,3.753793431,3.302349421,6.249402262,3.928131043,3.021958976,9.368986489,3.088371918,6.976883534,9.137143441,4.201756308,6.09773575,5.634024099,7.894899526,5.155361013,5.92552619,4.047122248,3.36862342,5.034580697,3.454638545,4.168921497,4.407993809,4.400822512,7.435734092,4.440384593,6.694692213,7.782576262,9.64716843,6.330384894,6.614567309,7.263886815,9.433626444,3.331818888,7.454533753,5.895137113,3.195667021,6.011557254,4.404216068,4.790101165,4.928090009,7.782735419,5.664937771,4.072950185,4.901671054,3.272335051,3.73201191,5.795216371,4.689389133,7.762285312,5.62657353,5.676618586,4.142384755,6.648798833,4.650899558,2.842461511,3.381374092,8.782796498,3.627468203,3.835387284,7.381413569,5.040605782,5.809053503,8.644162589,6.171659836,3.343454126,4.368321281,4.834250654,3.763680229,8.270626689,6.628409049,3.370130371,6.968932164,4.32523586,7.349344273,4.855149257,8.165694452,7.154141934,3.474850755,5.754161986,7.842049601,5.052169509,4.002291739,3.01233247,6.210295742,3.357452805,4.054203191,3.624135812,8.121730798,4.23161525,5.492301619,5.503537286,4.979233023,7.215309919,4.977603542
361,3.756500638,3.161599845,6.561232232,4.962631286,8.769723963,4.650013932,8.073557796,4.266258113,4.404364993,4.736049565,5.105578784,4.579570987,4.91076989,4.217257819,5.443621462,3.742757301,6.006481376,8.143083437,4.86947298,6.328249379,4.66936261,5.504869287,4.05213932,4.480343263,4.270022651,9.875802118,5.137000965,3.63733873,3.754706285,3.266929337,7.528445884,6.57856883,5.766331757,5.873936217,5.891053773,3.842338449,2.955646094,3.845692372,4.568365897,9.565541415,4.450464211,3.863654882,3.501337553,5.472739049,3.753733968,4.983146271,3.532086205,5.198972676,6.036411929,6.403805212,3.601608382,3.291791519,5.055778571,4.685688567,4.974886387,4.00349578,4.811847575,6.64865085,5.836025017,5.14209381,5.744807051,9.792907332,6.942509763,4.126232773,3.138453837,6.138041604,3.520364623,5.842354372,3.69465056,4.814995645,3.288926606,3.123711119,5.296172236,5.705904647,5.633203232,3.59688652,4.67326227,5.206678301,4.42106976,7.906193691,7.421761419,5.003153465,5.179450068,5.206029883,5.169271931,3.413506558,3.628362322,4.11750915,5.800373744,7.564679933,5.611950093,6.253793829,5.373116321,4.109733591,3.497962541,3.842580918,4.259819394,7.411689156,2.940516311,6.49431446,3.856241428,3.515964821,4.710701878,5.385789743,3.274965305,5.50792974,4.687616493,3.857948923,3.196024832,6.039828215,3.236239642,3.026127436,9.634073746,3.124097483,6.095164712,8.693149373,4.366201334,5.900428769,4.650289222,7.294176198,4.928932342,5.111343293,4.722373443,3.527333939,5.053464243,3.345821706,3.901196056,4.323061497,3.309371572,5.630602529,5.063744791,4.775820834,8.240945311,8.768802194,4.707944748,6.174519475,6.769691078,8.092446173,3.105359618,4.974053746,6.38776979,3.222722688,4.777773217,4.222033375,4.588624062,4.745387411,7.127814737,5.69360755,5.191333372,6.027768509,3.284835817,3.573559361,5.493190669,4.896394124,7.316566595,6.222393109,4.63240919,4.797410201,6.464289227,4.290513896,2.999384859,3.545510106,8.221988992,4.332104723,4.103747703,7.871037206,5.572411344,5.026765553,8.386677042,5.748951562,4.142699632,4.503388186,4.455655571,3.627447608,6.867351803,5.511213004,3.288955886,5.667208259,3.703923951,6.148704654,5.572592567,7.126241755,6.710932942,3.469261354,5.547487886,7.969928277,4.746711842,3.202116797,3.222226375,5.379502115,3.968834457,3.438199326,3.193046129,8.758197998,3.784952089,5.824634541,4.873382153,5.008654983,7.346740278,4.192997234
1992,3.694164121,3.970743381,7.372003244,5.28273609,9.551098728,5.369750553,8.106945141,3.616293517,3.657051479,5.261134237,5.024092154,4.863706958,4.73278725,4.827162221,5.225066042,3.655027744,6.583249339,8.838732386,5.322174078,7.425539782,5.507497424,4.563119098,5.483389336,4.506991761,4.865229391,10.35168618,5.64908225,4.724416844,3.385623882,3.304523035,8.766120623,5.941723045,5.980195287,7.23206266,5.403257308,3.739101962,2.806347932,3.796806049,6.18700404,7.42878275,4.682280539,4.091481229,3.438439081,4.418832117,4.411540727,5.816845091,3.314664279,4.418619189,6.392048122,6.665886157,3.97738038,3.386862776,5.857665461,4.817098325,5.521404309,4.715712462,5.062817094,6.506233479,6.331208907,6.88844292,6.577144696,6.994213751,6.825982321,4.306352256,3.160746081,6.443762707,3.32025146,5.990622158,3.503988134,5.597724898,3.420226632,3.157870853,4.394039628,5.418747979,6.327824253,3.597902628,4.516758277,6.256781833,3.530810417,4.550856322,8.182939101,6.946486368,5.87377583,6.178914028,5.304813215,4.993565042,3.375158646,4.074096046,6.013331705,7.705340458,5.392328037,6.431406422,9.821095652,3.972545228,3.265696304,3.862831236,4.389904373,6.274301934,3.701100192,5.872113285,3.380656847,3.604855989,3.98742684,5.111514751,3.068516713,5.294676974,5.457810068,3.65179285,3.11004213,6.300821739,3.166882365,3.495287435,10.02487909,3.121202917,6.94681902,8.583254046,3.628339292,5.518157993,5.642598435,7.544451453,6.123697859,5.024205301,3.931659546,3.598286992,4.494269652,3.457591169,3.845206907,4.762352839,3.787399043,5.192818491,5.013506184,5.518758554,5.809165009,9.380075368,5.091433772,6.754573976,7.308437221,9.193025668,3.245955209,8.362129909,7.163931548,3.252065522,5.44332097,4.364797522,5.63804254,4.991077523,7.065923256,6.690200612,5.200854465,3.272924174,3.222501602,3.373226798,4.36968054,4.928646499,8.441607248,6.074536431,4.770672462,4.855042106,6.285428325,4.523189708,3.027110582,3.563837018,8.469691122,3.868912585,4.237654472,7.974449601,5.473489373,5.393491275,8.993359971,4.588266743,3.40128748,4.160889307,4.439862961,3.860635577,7.212332363,6.097974235,3.196990912,6.27560024,3.787688681,6.327472467,7.006296798,7.479803079,6.907990132,3.460506641,5.686036881,7.677265855,5.612916404,3.857353181,2.924380951,5.687307545,3.555318518,3.856034309,3.770088673,5.050936866,3.877368488,5.506514854,4.300178115,4.550612466,6.85940957,6.118484571
1918,3.737495341,10.13791797,7.495935396,5.547365031,9.007469272,5.108953662,8.269660905,4.661907131,3.604550062,5.051234834,4.981169281,4.382664789,4.14417806,5.529111185,6.519121146,3.588017459,6.147051325,8.336366264,5.011728195,5.027543272,4.230089353,5.079996422,5.468930494,4.69406962,5.060672516,10.61374631,5.149138512,5.549831309,3.513874909,3.322846878,5.3095617,6.996593821,6.572637667,6.951878387,5.881674771,3.678172533,2.994985137,3.689157259,5.174723964,8.50061045,4.524816435,4.099647183,3.430684284,6.012272446,3.419357421,5.440330854,3.219957107,5.434215251,5.879203403,6.711634419,3.766429527,3.46490042,4.575381131,5.065963016,5.330243181,6.107203025,4.484924526,5.644092598,6.284030221,7.463192819,5.568880416,8.808402457,6.648914115,4.468047499,2.821244289,6.240261303,3.327706955,6.206528967,3.492692678,6.872331166,3.35892426,3.027332343,5.152663476,5.862467858,6.22602611,3.713748445,4.67022693,5.515105464,3.996258227,8.537766656,8.730890191,5.549192539,6.351597624,6.316637852,5.182459522,4.455421544,3.338723735,4.558067749,5.737796925,8.047865781,4.769505354,3.726812487,5.31267194,3.538861594,3.408867431,3.89190058,4.30031988,6.588508663,2.992000707,7.102356846,3.41196813,3.606104811,4.187041506,4.033823227,3.244601775,6.369482198,6.092723757,3.54435676,3.375346398,6.727610048,3.72829817,2.932340295,9.201062137,3.059787722,7.859447297,9.191993848,3.988875778,5.143918297,5.257426115,5.823857291,5.771189003,5.304048093,7.25159206,3.529745683,7.416619732,3.141752767,3.841181749,4.297179508,3.448221438,3.69671469,3.834987618,6.852755035,6.837224074,9.484346593,6.041139416,5.532385415,7.077929879,9.326550455,3.491919748,3.55350907,7.015211533,3.869079822,6.212042123,4.788398432,4.897044431,5.205662018,7.186648518,5.967145415,4.646726461,3.403867738,3.468108297,3.560298545,6.672360918,5.283325503,6.20870634,7.054875206,5.52629828,3.934040042,6.175278469,3.959455374,2.847107826,3.192904856,8.887485593,4.264387046,5.227308489,7.904086527,6.211864387,5.252021187,9.824116194,5.966311638,3.501035721,4.31414757,3.944004319,3.728427098,6.821556503,6.542096315,3.589050235,5.981972488,3.889722855,6.837517836,3.324170381,7.850859067,7.7379942,3.393474386,6.288975875,7.8527737,6.223968984,3.836355336,3.03840195,5.472786513,3.991094395,3.984183742,3.253135224,7.081749651,4.777450579,5.324440979,4.753628601,5.016408244,7.136216864,5.29392792
