"response","KCNJ2","COL8A2","PSMB5","GNPDA1","KIF3C","TRDMT1","FN3KRP","SETD6","PNRC1","GOLGA8A","TMEM176A","WDR12","CDC25C","ZMIZ2","HABP2","BACE1","PYY","PPM1B","EIF4E2","ADAMDEC1","BCAT2","PMF1","KRT23","NEUROD6","ASF1B","PYCARD","CCHCR1","LRRC16","AMMECR1","NEO1","HIST1H3F","UBE4B","C9orf3","IQSEC1","INE1","PRKAA1","PALB2","THAP7","ZNF271","ACR","SPAG4","AP4E1","IDS","CYLC1","CTSK","DDR2","SP1","APOO","ADD1","RDH14","CHST4","NDUFA2","FLG","NGRN","TXN","PEMT","RNGTT","HIST1H4C","TMCC1","OLIG2","ANKRD47","TCF21","RAB35","HIST1H2BI","ICT1","CADM3","SCRG1","CGGBP1","TRAF3","MLLT3","LONP1","CDK7","ACN9","EVC","PELP1","CEL","GAS7","CALM1","YY2","SEZ6L","TMEM93","SEC61B","ECEL1","SERPINA5","KCTD13","PSMA4","SEC22A","AMELX","WDR1","RCOR1","NFIC","TTLL1","SSB","ETFB","RPL10","HOXC10","ASPSCR1","ATP1A1","SFRP5","ACBD4","RHBDF1","IL11RA","DNAJC13","PSME1","CIB1","PDE8B","NNT","AHDC1","WNT3","IL5","GRAP","ORM1","STEAP3","APC2","CASZ1","IL13RA2","ATR","MEOX1","C1QTNF3","TRAF1","PTOV1","SURF1","CG018","LST1","HIGD1A","MAP3K8","LPP","ITGBL1","MADCAM1","AAMP","SP2","BMP1","TKT","BCAT1","CLGN","GPR22","RTN2","CASD1","PARL","SEC11A","SEC31A","CACNG1","C6orf49","EPHB2","ABHD4","UTX","RPS6KA5","MTSS1","NARG1L","FBXL11","FLJ20323","TIPIN","ZFYVE26","HIST1H2BF","MNS1","USP12","PLTP","RIG","MRPL2","TMEPAI","CEP164","MAP2K7","PRIM1","RASSF4","CEBPZ","TAF13","HLA.DQA1","TOR1A","WHDC1L1","C1orf156","HDGFRP3","JMJD6","KHSRP","TRAK2","MAP2K4","CLDN18","FNDC4","SPINK1","NFE2L3","ABCD4","RPL3L","CYB5B","CELP","SLC39A6","EFS","DLEU2","TRIM36","KIF11","TAF1A","HTATSF1","AZI1","SNRPD1","TXNIP","COL3A1","APOBEC3G","MPG","COL15A1","RNASEH2A","OXA1L","BLNK"
1224,5.484051392,5.742641571,7.91599988,6.992006327,5.28303125,3.894942349,7.750430785,6.109382898,6.441358646,7.783373169,6.14524495,8.039612048,3.699300585,6.163381263,3.552164363,6.334260462,3.359291387,7.363706876,8.078967917,3.429556153,6.060655037,6.339795647,5.824600553,4.457597681,5.809406542,6.191443021,5.30175615,5.612886603,8.282742169,4.865473707,3.502608949,4.216955103,8.441280624,4.029149703,3.83156636,3.535993049,5.924211303,4.965480903,6.778985276,3.778203791,4.262135574,3.212670184,4.836887118,3.553134859,7.553686121,4.412396181,3.310415303,7.175244047,6.81208004,7.871808534,4.736532924,6.531294117,3.322496076,9.39427689,8.166806071,5.231242425,4.508608316,9.048696062,5.513659294,3.102915367,3.401437228,3.214931671,4.552168703,4.562932607,6.907164366,3.506518607,3.534340408,5.023989148,4.137146256,3.595198284,6.983535464,5.576896711,6.376447096,4.577028606,5.46047177,4.83381063,4.352820554,7.663771549,3.506078117,3.475067422,6.306978117,9.327667077,3.448016964,5.965477908,4.698011503,8.761105207,5.16750482,3.114074798,6.829766665,6.416111862,5.955858635,4.873684507,7.910688564,7.27044847,11.68956968,3.347097538,4.505276462,8.491694833,3.489319533,4.660649246,5.414253088,7.031651233,6.741881485,8.98447635,7.69999694,3.798849385,4.958351635,5.858954492,3.48328452,2.975666163,3.469820028,3.101355226,5.118572493,3.614485196,4.618857853,2.920763176,6.520220849,6.06967544,4.689452481,4.049337241,5.190628441,8.493279618,3.713213856,3.785981101,9.785128549,4.780635579,7.1830912,3.698778945,4.110113519,7.205467535,4.182161542,4.628343853,7.028356323,3.555985933,9.102082871,3.041252905,4.416312273,5.068406332,8.223438188,8.982674296,8.330981414,4.186235622,9.913668377,5.414279157,5.535641791,5.144242955,5.709558096,4.178497088,4.566002923,5.915965699,6.321591107,5.511167391,6.622333501,6.831839149,4.37945928,4.504653049,7.409606008,3.098917825,5.236511771,5.865040839,4.031158175,3.63084434,7.1239242,4.153157083,7.71289817,3.252631942,3.093162202,6.519663245,3.329098844,6.233623334,5.70773595,5.34370514,6.842554544,7.306824076,4.595140222,3.417688883,4.734247567,3.407445031,4.411251972,4.720856286,3.292271355,5.173640542,3.312769698,7.835413404,5.9713084,4.565722341,3.719032692,6.493022899,4.400763371,6.654903337,5.345438682,7.560188557,8.148292237,10.82259913,4.633269983,5.402962988,5.830043859,7.156379238,7.607658,5.338525579
1247,5.377112673,5.165415225,10.06907209,7.03565995,5.188670485,4.478420936,6.71442822,5.841880736,7.323352509,6.451574105,6.68139864,7.721403489,3.601492997,5.488548471,3.448396517,7.376321628,3.048816606,7.036415283,7.906449886,3.324134801,6.374409779,6.786814908,5.059288177,4.067707609,4.696507763,4.975419871,4.981208659,5.594710719,7.292579175,6.556979113,3.324826185,4.948491288,8.026626437,4.941014552,3.460844936,3.819982286,5.412581217,5.235107217,5.769419597,3.705861102,3.599777009,3.319403797,4.88707388,3.392290036,8.03148617,6.734194943,3.44513309,7.983724021,6.852117892,7.605151902,4.352553341,7.272871365,2.808864631,9.46480958,7.531440242,6.722396688,4.180409855,9.397479972,5.320400218,3.045816642,3.544078069,7.622727384,4.643746777,4.345417159,5.942207443,3.661840279,3.439402146,5.228162971,3.816885607,5.239989881,6.373260656,6.56089616,4.994331855,4.76757791,6.362931714,2.979792895,5.085078852,7.573589754,3.608784071,3.507588276,6.660280166,9.108322012,4.533559299,9.927045762,3.764830295,9.496835374,5.034762028,2.935093093,7.366959406,5.763850296,6.088157565,4.774386233,8.444413368,6.567244962,12.28332974,3.473620912,3.837789599,9.14242854,3.784688357,3.959827579,6.436545333,6.119008538,6.390062787,9.897899266,7.761500509,4.249408773,4.910969572,6.407188785,3.259027153,3.100346012,3.360918866,2.877520145,4.901329392,3.748869691,4.315324832,3.420320837,6.286389397,5.897018572,5.783641138,3.347693541,5.504694626,8.234199378,4.025493092,3.916147348,9.756999279,5.473685191,6.942341964,4.261061046,4.133410509,6.932303165,4.027971277,4.033293098,7.935233945,4.392056117,3.722097184,3.163358996,4.529606296,5.039100612,8.170151084,10.07502713,9.178254983,4.586433693,9.677192827,5.877141066,7.354206195,4.699867564,4.298865821,4.179905446,4.554427369,6.339653632,7.036717439,5.025453045,5.538450883,5.874622706,4.830241103,3.992126082,8.507826088,3.080962571,5.536483433,5.135606121,4.32615254,3.431909957,5.594127406,3.951557482,7.519500325,3.181581168,7.17559569,5.848262366,3.492948111,6.401255706,6.365380251,4.941439546,5.590131855,6.508499997,5.915034586,3.477495065,5.09592236,3.061780877,4.904698744,4.557234518,3.516667398,5.333260603,2.877052765,7.577296278,6.805380292,4.154898747,3.689409076,6.5379004,3.935772223,5.891634929,4.581173912,6.933338121,8.369188761,11.09313205,6.440510314,5.538993817,5.823716891,6.0446004,9.940775532,4.646804672
55,8.480489833,3.910018021,6.459920467,6.17970913,4.275415672,3.513601109,6.834549073,4.864427237,6.69441666,7.231452215,4.510949199,6.581803162,3.879876737,6.458769302,3.770799472,6.156275689,3.135713356,5.952023388,7.939108554,3.247164215,4.807686073,5.657162177,5.14283625,4.52481512,5.634090258,6.921860817,5.878676801,4.951258743,7.351859489,5.892463421,3.005129882,4.247845539,7.075827084,4.379213089,3.896352454,3.357614018,5.599443555,5.564135415,4.307309779,4.137912503,4.727207115,3.365603719,5.374303771,3.60597826,5.142250432,4.170124946,3.312937504,6.285437215,6.134770979,6.849689904,4.316411226,7.415062952,2.708309309,8.536868508,8.091009172,4.418635401,4.601254718,9.170843173,5.801010853,3.058191444,3.375331151,4.588828302,4.461781925,4.178765439,5.695279913,3.742784845,3.295159075,4.676617403,3.939691117,4.760494184,7.146326591,4.906802263,5.416740326,4.697302309,5.205766706,4.274825434,4.296582147,7.144408524,3.676782448,3.586218345,6.008714303,9.160321856,3.984973629,3.970983453,5.337415972,9.64098163,4.765383232,3.098024852,6.356343022,5.260291457,6.625366168,4.685963761,7.435271955,6.268450052,12.34396275,3.719261381,4.906370335,8.129852432,3.309980033,3.97112181,5.315345841,3.822815186,6.933314976,7.984852411,7.757082114,3.832350576,3.827510469,5.307029137,3.874955653,3.537024737,3.189753992,3.449600692,6.018733166,3.975949486,4.51920071,2.992276777,6.495991372,3.713618093,4.82868883,3.589312829,5.017206351,7.646165897,4.005296447,3.79822576,8.462300312,4.232591757,6.648095533,3.334080793,4.481933294,6.516572306,3.53790727,4.714601049,7.377474274,5.386682567,5.596227526,3.362701143,4.249502087,4.554818924,8.364276819,9.426738613,9.44528505,4.505798836,9.843249894,4.82209902,4.946161852,4.404368241,4.364439943,3.929860038,4.305268836,6.492203318,5.951631557,5.830666068,4.782807593,5.464290723,4.829999356,3.96748741,7.007777722,3.312148699,5.570990146,5.805971518,4.286490785,3.89364982,4.448075965,3.888964206,8.029283014,3.231121254,6.341421773,5.810151203,3.275766459,5.041542687,5.108921129,4.435455607,7.251474609,5.966257591,4.458792953,3.543400755,4.530159952,2.99388831,3.759079718,4.186201612,3.715453673,5.298366218,2.729672186,5.105859766,4.85731369,3.987943742,3.576964274,4.532745432,3.318034662,6.549169855,5.617215441,5.987732927,6.312945257,7.929691033,4.832764395,5.717602589,4.307538117,6.744257567,6.175141234,4.918506697
1495,5.508429272,5.727934369,7.437114278,6.927244651,4.97207547,3.690876656,7.18520105,5.373481713,7.543261855,7.746659466,5.600852774,6.298255171,3.834863146,6.157949008,3.606012498,7.960701164,3.285454995,6.61824826,6.822448006,5.610881898,7.10121318,6.556827601,5.838269582,4.543706476,6.433059561,6.076807281,5.839983096,4.964722742,7.000869454,7.172392713,3.014171025,4.937325593,7.681814891,4.027625779,4.064079116,3.573734316,6.006151584,5.057411896,5.682785143,3.844043691,3.621309306,3.41733336,5.014593822,3.657851589,5.022309052,3.682551776,3.433023893,7.406890984,6.778339065,7.377438264,4.069116849,7.431834865,2.903504391,10.67895801,6.918623067,5.371030807,4.272884176,8.748467228,5.757301595,3.135446271,3.392378746,3.508066521,4.947509865,4.321405035,6.623621877,3.6068745,3.233412689,4.689389453,3.795567659,5.256175856,6.754947325,5.542196944,5.184639602,4.083369112,5.520462942,4.009568101,4.149886482,7.630974726,3.622779655,3.449661642,6.070011834,8.178527785,3.737787953,3.648079729,5.059796467,9.945329164,5.432040626,2.889773163,6.992344728,6.681021529,6.693289033,5.017595129,7.825310433,7.324354723,12.11151284,3.504986119,4.647258587,8.922503649,3.972316723,4.313455892,4.97728333,5.005941616,7.312949549,10.20911271,9.490861891,3.936810445,4.604624712,7.03918313,3.615179245,3.214967085,3.323997556,3.092073019,6.491889541,3.787343441,4.658428989,2.803756591,7.109999583,3.60939745,5.080498282,3.820171852,5.454184435,8.379474087,4.027622067,4.636726942,7.920593919,4.474888374,6.777881449,2.997512019,4.350223641,6.143217838,3.585988185,4.486716587,6.157158784,5.515564501,6.701251988,3.358118346,4.998494366,5.154543258,8.647808738,9.940325965,9.341000783,4.24294976,10.13593547,4.45770463,6.135390531,4.348148116,5.305553857,4.199820444,4.448024781,6.692976615,5.466800641,6.337197624,5.826067692,6.018094203,5.809515862,3.818722688,6.449723723,3.041402148,5.634754007,3.950982628,4.480583512,3.664765832,6.547403159,4.402483856,7.752770895,3.279994629,7.617288766,5.697567449,3.018149739,5.363466939,6.14088265,4.687098088,6.571282438,5.458411244,4.810661452,3.502864574,4.230600119,3.214851208,4.925163866,4.845467654,3.671841211,4.774720916,3.026288891,5.856024808,6.06753464,4.136866297,2.93799739,6.235190795,3.354940069,6.119325392,5.260624838,7.367381955,8.861030569,6.748217935,7.194335601,5.361168868,4.616481539,7.498018194,7.851847195,6.891391573
61,5.087217431,4.829814271,7.483901493,7.399407018,4.317325108,3.427094896,6.751167682,5.831360598,6.731341614,8.893947957,6.698935329,7.592043963,3.627005457,5.939868637,3.396549256,6.18590773,3.142490708,6.404885327,7.626507249,5.469210916,5.296534117,5.767275213,8.001171758,4.49876693,4.736260086,6.845103131,4.427417841,4.73882827,7.030979589,4.874207024,2.818061847,4.463449163,8.022991853,4.886404364,3.749265494,3.469554256,5.568247359,5.187770237,5.911151394,3.787555377,4.373459011,3.223112014,5.488211338,3.340101916,10.13530441,5.688815352,3.276316977,7.879564367,6.471356693,7.382379562,3.420518995,7.457694862,9.526716286,9.413391504,8.330101591,5.865632377,4.321696932,8.074700398,5.293109841,3.170712696,3.685598535,3.98688129,4.673389633,4.257926001,6.63077159,3.355524642,3.90893725,4.926986605,3.745176883,4.01313147,7.289939792,8.031185945,5.983788897,4.51303853,4.866111773,4.072825918,5.232243781,7.706998967,3.847394995,3.303267513,6.57848637,9.34397901,3.610992705,7.151658416,4.679707844,9.292634918,4.556805154,2.79986577,7.204157226,5.404018518,5.904167767,4.735235271,8.105436354,6.89338051,12.23397405,3.82810907,4.275661616,8.992964087,3.363722782,4.376033157,6.231846954,4.987041992,6.358012878,9.321408889,8.175639088,3.930500399,4.791301524,5.679965502,3.499401894,3.22503985,3.089994469,3.193860999,4.957983121,3.767544269,4.307473636,3.131621657,6.903525813,5.85153289,7.009427317,3.823125311,4.9413499,9.034944007,3.724431208,3.960123312,9.883614407,4.861537242,7.071603931,4.524092223,4.085225252,6.63383968,3.873091192,5.629749368,8.262153356,3.492894095,5.969301318,3.21363631,5.153429569,5.089377578,7.840802986,9.789840562,9.207412674,4.398407217,9.367261963,5.434712463,5.292477652,4.491263863,4.200917159,3.915031576,4.567598706,6.027433762,6.716352374,4.284003242,5.605263151,6.049771291,5.17428737,4.632959819,8.928086393,2.853302892,5.055656125,7.879761686,3.976632119,3.660599091,4.573288451,4.938782463,7.358164368,3.400242459,7.383494026,7.224905944,3.376464849,4.61985402,5.668430791,5.038372475,6.110456228,6.630497883,5.064649691,3.44727093,4.494527614,3.24409725,4.319439907,4.543972735,3.360494553,5.24409057,3.119790966,7.932811997,4.700655183,3.880934104,3.693346892,4.559404166,3.886405945,5.821930721,4.934067766,7.115081444,9.420606499,12.12372959,5.878413194,5.976953611,7.403476417,5.407243254,7.814593027,5.166213508
1418,4.799812226,4.871459725,8.23004903,7.571122929,4.906707044,3.996798691,6.704194949,5.858731261,6.990894425,7.36782997,6.59981877,7.829728638,3.669732942,5.817922345,3.212106857,6.731790204,3.30465379,6.922949733,7.897323215,6.441535319,6.074512259,7.077650249,6.98580998,4.292971578,5.173546916,5.798218342,5.135316781,5.528249727,6.778666718,6.876347758,2.998598951,4.247171026,7.426098362,4.800570544,3.980003304,3.703862818,5.319687417,5.299474954,4.706151555,3.665363244,5.149103616,3.416325032,4.574327547,3.48735749,8.340929361,5.094133273,3.224824563,7.081048745,6.53538467,7.552431646,3.628750113,7.647864828,2.773781614,9.565165546,7.597743877,5.639358816,4.550276494,8.992763166,5.86657922,3.114180468,3.58309574,3.813105455,4.719375451,4.133451588,6.61198869,3.698631762,3.335800584,4.592753908,4.188394613,4.184448318,7.141839594,6.921897673,4.704683083,4.583676874,5.538579827,4.260340852,5.038525199,8.051829924,3.635688123,3.481205707,6.892827844,8.816176063,3.699963592,4.891895112,4.646000389,9.022161207,5.219943079,2.973712604,6.913564115,6.260233445,5.525381013,4.863834543,8.530365018,7.442971329,11.77037404,3.917113263,4.301201159,8.988111955,3.657341676,4.32930049,6.507369784,4.462747258,6.956504844,9.686195294,7.387637678,3.592927918,4.242404095,5.46959723,3.550404034,3.114976793,3.152548055,2.994934225,4.688727009,3.817579873,4.421746783,2.926466575,5.95668465,7.996506159,6.130219714,3.902077978,5.47573912,7.949803918,4.038273665,4.51920503,9.289516311,5.764665304,6.971935627,4.604540108,4.073026866,6.890403358,4.086735718,5.190636126,6.967622321,9.121670257,6.775757953,3.125749885,4.874388659,4.210180232,8.351067955,9.338953274,10.02877701,4.050777315,10.95062557,5.257991153,5.698694494,4.145321304,4.395854681,4.300030889,4.396769908,6.408004438,6.396567677,4.986573634,5.623765083,5.823709312,4.407163754,4.967166704,10.00000378,3.093562153,5.698936813,5.420279712,3.98802048,3.498212538,4.863096287,4.731955581,7.109880538,3.280741041,3.308971805,6.156045261,3.025910726,6.047310996,5.443324385,5.17038737,6.540050685,5.729072084,5.2251093,3.325126177,4.391028779,8.111321482,4.268569555,4.60068516,3.333206408,6.034370963,3.145754781,7.020354519,5.219988116,3.862685215,3.524101193,6.618490134,3.051599949,5.477824214,4.639344021,6.968726374,7.438618016,11.89992507,6.573481237,5.426645338,6.730391357,5.808699789,7.588706631,7.326861606
563,4.415447147,4.647852205,7.354609899,6.638216367,4.907227642,3.209830377,7.8556331,5.725475894,6.984150879,8.376223313,5.902299847,7.351333016,3.935818884,5.853369051,3.479211,6.408253023,3.17311866,7.042455438,7.510896214,3.76797932,6.292801432,6.736292916,6.244310551,4.329430935,6.056098535,6.809283867,5.560090108,5.263335115,6.716251465,5.576385274,2.844108072,4.517969921,7.761869941,4.763843814,3.786795669,3.806017358,5.790139854,4.776074844,5.540545604,3.696572285,6.239403469,3.241227321,4.816665633,3.453645542,7.833798858,4.190205076,3.485717178,6.783335697,5.894766798,7.701800227,3.627254998,7.473314836,3.021958976,8.669604823,7.860573728,5.96039459,4.59127294,9.112831446,5.553807619,3.267322062,3.408897225,3.483174407,4.759736135,4.07178885,7.816832106,3.522403255,4.125339524,5.138590076,4.166461474,4.171299902,6.264989297,5.428831044,5.696417554,4.709827198,6.029300035,4.400822512,4.164291944,7.463778289,3.595836355,3.478813924,6.633238825,8.711479089,3.887088852,5.1244402,4.726627708,9.171277145,5.270404411,2.851026313,6.786498573,6.031959604,5.432861336,4.333938351,8.822915134,6.869146298,11.67629619,3.763680229,4.827169104,8.434198068,3.763187136,4.56494142,6.117820786,5.476572802,6.805524652,9.799941044,7.68881834,3.724199693,4.881564624,6.446524258,3.37317156,2.998736234,3.091104113,3.081030373,5.969246065,3.787727833,4.038929368,2.932747671,6.819274556,3.462773589,5.05059234,3.916561052,5.18331856,8.746111097,3.744137747,3.615075271,9.28604485,4.593520492,6.202837507,3.625603953,4.005214366,6.61956413,3.926684001,5.138450712,7.007858288,7.99814449,6.960240704,3.29699418,4.993905581,5.372191275,8.026052951,9.376600504,9.334834928,4.263911022,10.12040338,4.773949187,5.689923027,4.028965811,4.684227257,4.092396489,4.509786962,6.397514049,6.170671748,5.113357311,6.078894645,5.446093718,4.310551072,3.94780742,8.29137364,2.98236252,5.696940897,4.962467313,4.15908232,3.476874728,5.912691564,3.901443656,7.964077472,3.162765169,4.708105617,6.376749127,3.350476987,5.865891535,5.126002854,4.974094632,5.885371389,5.631682313,5.282026354,3.426019767,4.388155013,3.11233546,4.933222843,4.792554502,3.313526196,4.627013364,3.309485791,6.468823629,3.919430208,4.334795247,3.692828095,4.925601341,4.121228217,5.784306249,5.029386149,7.083605764,9.399603376,10.82546504,7.113174782,5.639661315,5.605232061,6.693136077,7.580975139,4.180209054
361,3.645242062,4.782221596,6.824672606,7.510231997,4.811728145,4.038271321,5.588942189,4.681231119,6.408680364,6.884754453,6.259993043,7.591621755,3.891059245,5.415881128,3.59688652,5.616927039,3.628362322,5.412206469,7.476598758,4.05994133,6.685795273,5.42635895,5.046679573,4.317976995,4.575697807,5.338395817,4.954877689,5.446912026,5.364621214,5.584403564,3.120019661,4.749656791,8.040563477,4.817024722,4.238600372,3.569741248,5.065004686,5.350995547,4.925953508,3.964420018,4.479642748,3.30353997,4.767117777,3.586890399,6.456055812,4.506453111,3.895299119,7.556017751,6.259551052,7.098557426,4.637976341,7.521789237,3.026127436,8.598119648,7.588280584,6.080232326,4.148482323,8.370230565,4.69721703,3.41995735,3.698658042,3.704254906,4.683103095,3.702787566,5.559284656,3.753733968,3.662732582,5.146063329,3.627001559,3.673163047,5.897051449,7.110621897,4.910021499,4.350378244,6.021902062,3.309371572,4.511381327,6.771125819,3.726904036,3.428461132,7.221896977,8.351832671,3.660990714,7.647437126,3.817925954,8.829266712,4.890715988,2.890859848,6.627155231,4.379029674,5.702141078,4.905698975,7.374810523,6.42810966,12.35971699,3.627447608,4.287372094,8.228023334,3.89439648,4.428508031,5.041958541,5.461106945,6.39621253,9.233835703,7.966488906,4.20052494,4.599227983,6.487561247,3.39046721,3.406873732,3.123434224,2.940516311,5.770088068,3.711821757,4.558799277,3.277962024,6.466698845,3.7256967,5.283660527,3.709087179,5.108963389,7.601176832,3.814381504,4.265793721,9.075163128,5.263382543,6.51073375,3.811151133,4.125220635,6.811603217,3.682063277,4.846278216,7.091934091,3.432856494,6.618008026,3.141800936,4.797893419,3.975191296,8.679332439,9.592114471,9.027755856,4.299886163,9.417361434,5.078003526,5.209387769,4.108435761,4.396353267,4.0819167,4.049479834,6.835116322,6.474967321,5.009160747,5.073157982,4.053961501,4.523429867,4.047110263,8.251994181,3.041187721,5.628107631,5.712689353,4.648214712,3.688500151,4.353083812,4.177942907,6.886024821,3.331217793,6.212433747,5.796117361,3.227788959,4.5704055,5.221348748,4.441079598,5.488221882,6.115553629,4.62835064,3.549424649,4.259819394,3.266929337,4.739357368,4.335599573,3.763885745,4.140330055,3.453361324,6.265954065,4.249140513,3.706909834,3.138453837,4.690228751,3.342527626,5.722627658,4.646523224,6.654623465,7.806513829,10.92663071,7.031347845,5.60547624,5.067059934,5.480877329,7.411699887,4.341927043
1992,5.802993933,4.551466662,7.703081492,7.090460882,5.135728071,4.084420926,6.65936805,5.496033931,6.987986924,7.376139568,8.215549589,7.434982059,3.819147453,5.790707136,3.597902628,5.166395119,3.375158646,6.865429529,7.694103531,7.878769305,6.572301697,6.830945602,5.711378889,4.334174109,6.421474445,7.084797523,5.724572243,5.773822554,7.814526532,6.893020209,2.948217138,4.965529607,4.468742232,4.397310487,3.876128796,3.678492148,6.008652761,4.858293424,5.373841703,3.682452654,3.847829367,3.342579981,4.779828143,3.54092806,5.444518645,4.787913018,3.690807404,6.577174091,6.467285009,7.242495393,3.84594863,7.411592964,3.495287435,9.417494071,6.436103414,5.237410861,4.51126839,9.477045869,6.129174674,3.284704665,3.322005691,4.394615376,4.625293921,4.29428826,6.458293207,4.411540727,3.424325984,4.830414334,4.148253285,3.665960951,6.596268253,6.920873459,5.06286155,3.986384928,5.856419449,3.787399043,4.777192095,6.981651241,4.017458015,3.49946905,6.53515658,7.754361216,4.062184515,7.565119864,4.07781761,9.3369949,5.109562081,2.88991851,6.809190725,5.451537508,6.033245872,4.280180029,7.748732035,6.825944582,11.87357159,3.860635577,4.415309034,9.33641176,3.77590802,4.435248298,4.820175943,4.922097999,6.897980763,9.003950874,8.122334012,3.619552489,4.514485562,5.519496246,3.496226469,3.1123213,3.137281211,3.701100192,5.483220668,3.704195794,4.303255248,3.001573814,6.98487961,3.948362864,4.412664036,3.816731639,4.961173049,7.749952469,3.848599064,5.546932248,9.420004655,4.530526835,6.444919334,3.172123328,4.257364102,6.891747461,3.958646077,4.396418991,7.112711044,5.799460883,6.598369009,3.11614261,5.813676402,4.161962822,8.481761007,9.742065966,9.236133492,4.202027095,10.63427553,4.862696564,4.668712434,3.958479349,3.968016076,3.993048854,4.30731659,6.974850073,6.150917406,5.137769478,5.327941679,5.930049153,5.09948394,4.328238557,9.184862331,3.093410472,5.998401654,4.470308349,4.447703011,3.510306378,5.552268866,4.66437176,7.630082003,7.254274932,9.667820899,6.078315505,3.06104102,6.200971172,5.205011054,4.667373409,6.134746229,5.513547258,4.676561559,3.391266406,4.389904373,3.304523035,6.490958693,4.508890075,3.498020752,5.146565568,3.261816455,6.820968418,3.728620987,3.981426962,3.160746081,6.052329072,3.749911358,6.242730152,4.810576243,7.006227447,8.541517564,7.873891078,6.623566734,5.057671847,3.778826908,6.741660366,6.702785347,5.112826038
1918,3.984940176,5.648739488,8.461374777,8.399210895,5.896138078,5.539029918,6.96088513,5.558102909,7.66232198,8.424432737,4.322965809,8.82051624,4.001499941,5.164459832,3.713748445,5.023327802,3.338723735,6.694229173,8.711889483,3.987090754,7.011352507,6.740429291,3.379263468,4.442229769,4.393883351,3.973349921,5.542897134,5.117326195,7.916546019,6.419046686,3.101806441,5.428012767,7.142680159,4.336383836,3.94120203,3.949657535,6.378588299,5.34093425,4.488334431,3.782014275,4.382993481,3.235796739,4.100400556,3.480889653,6.848383491,3.963443908,3.566961139,6.564872245,6.207299465,8.389993098,3.420270973,7.962654231,2.932340295,10.47583805,7.394194841,6.990887675,4.931582545,9.298916429,4.893188194,3.194790814,3.500367921,3.498464439,4.720765605,4.836293787,6.351224624,3.419357421,3.22811951,4.42461111,4.025497654,4.842062937,7.502550437,6.364196119,6.684751723,4.16550524,5.6314241,3.448221438,4.558351575,7.087874731,3.493193724,3.507668237,7.170490064,8.507370147,3.769549946,3.669648179,4.168609996,9.182317512,5.265872823,2.928124807,6.619922959,5.830827839,5.509941925,4.63693079,7.851426422,5.922219615,11.45783974,3.728427098,5.118344202,9.286134979,3.919656607,4.13997049,5.606165145,7.185330223,6.797570104,8.897243066,7.960163534,4.006101065,4.975756237,6.561648745,3.487224375,3.158274223,3.335273125,2.992000707,4.356683138,3.643985955,4.303441445,2.943244623,6.682499483,4.172858716,5.643754593,3.638152386,5.408516465,8.436740894,3.57754454,3.733544797,8.635856035,5.205251545,6.58642327,5.496321083,4.372304745,7.208839675,4.317271139,4.916962797,6.778273084,4.389218934,8.124954123,3.195234016,4.072931055,5.105695626,9.344812767,10.41601932,9.245307524,3.998434194,10.96954093,4.79932303,5.918825031,4.390365394,4.833055398,4.321637484,4.225086347,5.484448258,5.542012925,5.217030418,5.664550256,6.430705975,5.811898225,3.770468717,7.574741337,3.216637228,5.956556511,5.367614844,4.062092265,3.51927643,6.148279201,4.103282045,8.405250424,3.244862897,3.111641938,6.281209846,3.12121446,6.627001225,6.523499862,4.788614694,5.943296946,5.957977189,4.96864412,3.623081965,4.30031988,3.322846878,5.464891075,4.578391926,3.491476245,4.757636705,3.104182971,6.931693537,5.252492776,3.907032211,2.821244289,5.808806708,4.751547021,5.470731228,4.99910765,7.851049863,8.794917039,9.630022105,3.327834667,6.292963015,4.256847613,6.216679556,8.961957534,3.869998059
