"response","MMP16","SLC25A20","AGTR1","ODC1","RNF144A","ORM1","RPL8","ANP32A","TCOF1","IFNA2","SLC39A9","COL4A5","P2RX1","POU2F1","ZNF343","FTSJ3","CRB1","NSMAF","FOSB","PITPNA","GPR56","POU6F1","CDC25A","ANKRD46","PTPN12","HABP2","SERPINB7","MIF","PTDSS2","FBXW2","MYBPH","GALNT1","TWSG1","SLC25A31","ABCA3","CCT6A","TSPYL4","TROAP","PLA2G4A","OTUD4","TARDBP","BIN3","TAPBPL","AK1","NUBP1","TNFRSF11B","GRIN2D","HSD11B2","RNF44","GADD45G","ISG20","ITGA9","TAF1C","SPINK1","HBB","GH1","XYLT2","CXorf9","MRE11A","COL4A2","ITPR3","ANAPC2","SCAMP1","FAM83E","KCNJ10","ACCN3","PYY","TFG","ZNF587","FGF5","JARID1A","RUNDC3B","UFM1","PUS7L","FLJ10815","SLC16A5","ALX3","TBL1X","IFNAR2","PITPNM1","SEC61A1","PSAT1","VWA1","HDGF","RACGAP1","NCAPD3","TRIM36","CHSY1","HLA.G","EXOSC8","HNF4G","CPT1B","ZKSCAN3","RERE","SNRPE","DSC2","ENC1","CA9","SLC25A13","HOXC10","COPG","C18orf1","CRELD1","LIF","BRWD1","YPEL1","BMP4","AMIGO2","CROP","MAP7D3","APOBEC3B","CD6","CDKN2A","JARID2","SLFN12","BET1L","R3HDM1","EDA","CHCHD2","ZDHHC3","MC3R","CEL","E2F6","PCDH1","GPBP1L1","ANXA6","PRPF39","CADM3","NUDT9","S100A11","WDR79","HSPC152","RPL23AP13","CFHR2","RNF7","HIST1H2BN","CLSTN1","CCDC90A","RDBP","KNTC1","KIAA0753","KIAA0020","OR1G1","TLR5","CLCN6","NUDT2","MPI","SRR","KIF5C","TRIM58","ASTE1","TRIM38","HD","CLEC4E","APEX1","HCRTR2","NDUFA5","GCAT","ATP10A","ZNF518","STON1","B3GAT3","KLRB1","KBTBD4","VEGFC","NPY","FBXO3","XPA","SC4MOL","AQP5","PRPF4B","SRP72","ATF4","BAG5","FLNB","GPR27","CLN5","PUS7","ITIH2","PITPNC1","ACTL6A","POLS","KIF1C","FNDC4","PLSCR2","FLG","HERC2","TWF1","GLDC","PPAT","GSTT1","LOC130074","PUM1","E2F5","PLXNA3","C17orf62","MBIP","LY75","TINAGL1","CRISP1"
1224,3.253237822,4.498868436,3.279551782,9.555093558,6.866388864,3.101355226,11.26409277,4.552584909,4.631646348,3.064432771,3.743759432,7.075064684,3.194727102,5.698931198,3.365546988,7.647884915,3.073782663,7.006367002,6.045283069,6.49551606,6.678949524,4.117436383,4.553583947,5.581946903,5.31378593,3.552164363,3.140793269,9.49010402,4.747180885,7.024685356,3.494706805,8.640780009,5.140292449,2.832062522,4.954277617,8.457602691,6.913792075,6.541042245,5.180855827,5.982945544,7.410074885,5.766973059,4.744186518,5.837986845,5.274204237,4.135883038,2.733743688,4.412804986,7.531229855,4.745700479,4.982927445,2.95712906,4.479915054,3.407445031,5.670738143,3.712506115,5.657463038,3.285775417,4.532043983,7.906522919,5.778240995,4.769257148,5.3322524,3.451971582,3.027300786,3.65313219,3.359291387,7.08686446,8.289216703,3.338668929,6.96433505,2.973672408,6.903065588,4.630462333,4.966119472,3.867332288,3.448348495,4.715979057,7.124370306,4.472637051,8.214108159,6.520877847,5.158490582,9.314914269,8.767656806,5.32411653,3.719032692,8.977015909,6.204406964,7.057415532,3.187128218,4.786321981,4.868107766,4.590657515,9.247108861,5.651611455,7.44593149,5.561370462,6.374012508,3.347097538,7.363772635,5.032787319,4.187936321,4.463290746,4.807047974,4.852754178,3.829953111,5.806387662,9.032603218,5.258782957,5.633991406,3.626364649,6.946251645,6.031268244,4.109635087,4.159655031,5.950852913,4.056956167,10.5417808,5.80882379,3.18652717,4.83381063,6.206403169,3.908588509,7.513051907,5.717184506,5.850862023,3.506518607,6.035328539,8.565010707,4.84053736,9.02963435,4.508589941,4.111776276,6.199019271,3.85085592,7.464218545,8.345652403,8.541627331,7.244221691,5.838841525,6.610171243,3.335036046,7.155054757,4.583435519,4.367396354,4.325913957,5.931302999,7.162627506,3.352550782,6.594377231,6.999120213,5.307875764,3.37003629,9.387530271,3.214854616,8.56078855,4.637356752,4.634697294,4.558516823,8.198992603,4.338108233,3.319637395,5.130552182,4.464313535,3.468235852,4.904004548,6.213077217,8.105664618,4.029121724,6.579812529,7.249177702,9.225247749,7.568691537,6.241395075,3.538436673,6.362253272,6.566649507,3.33259715,6.344712145,8.178965073,7.457832107,4.828054723,4.734247567,3.478546472,3.322496076,6.237882437,6.655273796,7.909614338,5.350576128,6.537119794,6.768035674,8.034043455,3.72295258,4.957092651,7.34146643,5.710175619,4.700311228,4.085133004,3.008558733
1247,3.175650051,4.908507977,4.196792106,9.51940122,6.852129992,2.877520145,11.74564191,5.335259902,4.859898335,3.090810875,3.75528013,6.877874417,3.477968571,5.676480102,3.044486341,6.758860406,3.289618746,8.020014484,8.180128756,7.510609052,5.980948063,3.838832678,4.359250495,6.907709368,4.991025607,3.448396517,3.241416461,9.991312592,5.495252785,6.071604095,3.458441159,8.134054467,5.41672113,2.623170736,5.326494087,8.376985807,7.826126091,5.222564099,5.140347376,5.351856254,7.273261053,4.630490107,5.701721557,5.416953146,5.648994291,4.117160342,2.860259045,3.685096626,7.391095272,4.627172936,4.571903174,3.427242884,4.59164846,3.061780877,8.726084667,3.846605336,4.520139543,3.490772794,4.777422585,8.109808341,4.790554425,3.973342037,5.610716346,3.22624901,2.957064215,3.124852552,3.048816606,7.159489971,8.066804133,3.231146163,6.634048923,4.604625843,7.423344976,4.467226789,4.353920937,4.250884465,3.746073671,5.083345575,6.540269133,4.355170539,8.193739504,6.120234713,5.049702005,8.953264862,8.262160813,6.015611738,3.689409076,8.076244757,6.887747641,7.293755502,3.314010478,4.516199813,5.167883767,4.952920367,8.783256854,6.510483016,7.688319257,3.868234396,6.852944628,3.473620912,7.774171347,5.064605784,5.087924247,4.49736593,5.152756301,5.466510789,4.354042582,9.666239284,7.900840833,4.704109654,5.856358655,3.561077553,6.342513113,5.397734945,4.258231745,4.220319131,5.234323361,3.730844077,11.00266516,5.532378043,3.549426764,2.979792895,6.306216091,3.59567931,7.315483497,6.523483111,5.217383562,3.661840279,6.711139807,9.014507331,4.724913272,9.926688343,5.404184748,4.505302149,7.112329096,3.876130764,8.179347553,8.500542862,8.440766792,4.503387943,6.565524681,7.421874524,3.318325448,4.76941092,5.001939692,5.513216159,4.891325466,5.861163976,7.409983633,3.103196228,5.848021806,6.538265438,4.983589303,3.579781806,10.9333456,3.546694674,8.051443957,4.615269627,4.315916972,4.580448239,8.123882375,4.419232929,3.711092007,5.71941671,6.58706592,3.401825588,6.195194359,6.13043215,7.647862413,4.012774046,5.998177209,6.890040735,9.399407149,6.741419769,7.126825918,3.321011343,5.835729988,6.18899081,3.876353192,7.651119921,7.035474537,6.754124564,5.897701275,5.09592236,3.189641501,2.808864631,6.579697229,6.676523037,9.114966471,4.581544829,6.212857169,6.880770477,8.656386673,4.029098465,4.642302612,6.794738203,4.719212491,4.047831675,4.330843588,2.979050073
55,3.286698192,3.966011449,3.478397852,7.238141425,5.776676393,3.449600692,11.56138841,4.239880511,5.470178369,2.919597965,3.509770294,7.344157045,3.328582213,5.95064693,3.312700049,6.818250007,3.083258726,6.550333337,3.976104241,5.712664692,5.395924219,3.875585416,4.620334058,4.494429342,4.989025947,3.770799472,3.714293213,10.90030115,6.011271282,5.551302365,3.730795889,7.862375344,4.160930842,2.797690119,5.12555741,7.959671688,5.620027926,6.062852165,3.37145642,5.702242451,6.519043379,5.275445795,4.404487655,4.838556592,4.698335445,4.405763819,3.221112696,4.275883086,7.285831283,4.690358782,5.236493377,3.798065731,5.295823434,2.99388831,4.396802826,3.789250746,5.305880977,3.135221104,4.038519673,7.546212578,5.607842297,5.476573667,5.116403298,3.877842129,3.236987289,3.331951428,3.135713356,6.173135286,6.539998286,3.644332599,5.924744468,3.604288644,6.506768942,3.892690293,4.626842971,4.235173554,3.698263052,5.762859698,6.653617791,4.206777252,9.059354199,4.230921967,5.408998131,9.120653488,7.07604654,4.445038723,3.576964274,7.060196866,5.826601048,6.666150197,3.254948007,5.425360755,4.435298919,4.609189224,7.999596902,4.031592513,6.377472818,5.278803053,5.50438598,3.719261381,8.528084196,4.471022715,4.37807758,4.893637601,4.00809996,4.50082219,3.355641582,5.11911638,8.314109944,5.486557391,5.671959632,3.984586562,6.744653714,6.523980396,3.83767018,4.622690413,5.864115756,4.461699006,9.825591977,5.305102502,3.392742174,4.274825434,5.149925544,4.267219461,6.443312369,4.838933637,4.315050583,3.742784845,5.861757389,9.070519636,4.8162249,10.22900066,4.683698424,4.25877232,6.528990807,4.227906151,7.346605573,8.51994981,8.547370562,4.887880552,5.707133605,6.37141667,3.984582564,6.749156322,4.390313039,4.433047587,4.829099925,5.128213852,5.182377834,3.090076712,5.995114395,7.041197749,4.855591851,3.588791367,8.392130949,3.461292583,7.92629147,5.659177695,4.144303801,3.961308905,5.569927904,5.42901309,3.568679941,4.618283776,4.121673577,3.538998551,4.65844773,4.74426886,9.044906516,6.429917741,5.609837028,6.621372808,9.46886911,7.069300119,5.991872035,3.783773905,5.361038449,6.128413525,3.742315605,5.242363678,7.201301792,6.179408911,4.683869942,4.530159952,3.601474408,2.708309309,6.276429867,5.406955842,3.893056789,5.266589547,5.628252396,6.943280399,8.284779207,3.668548951,5.880615892,7.339327964,4.515762991,4.652624326,4.168146446,3.207560725
1495,3.175242524,4.223904928,3.124163445,8.231758642,7.365825151,3.092073019,12.06372077,5.236745317,5.015721469,3.011771866,3.804256598,6.392753046,3.417404059,5.861848334,3.358664614,7.258160564,3.09174625,6.537683844,4.264256599,5.861883916,5.579765006,3.779465285,4.508945429,6.432837638,5.349423784,3.606012498,3.362660482,10.27844407,5.301036449,5.6040704,3.457628364,8.161597846,4.426042296,2.730059293,6.315912136,7.942257655,6.376058071,5.914324815,3.055636599,5.44821211,7.472196134,5.739470169,5.9707891,4.512045136,6.071904044,5.91611153,2.841650817,4.576998746,7.281538854,4.213367248,6.994684814,3.28773943,4.735083496,3.214851208,5.052514819,3.913939495,5.843037547,3.67646353,4.83451715,8.916353942,6.15651611,5.178516844,5.176879396,3.899741456,3.026149392,3.539050277,3.285454995,7.122061277,6.903263397,3.50300135,5.742829551,2.933956416,6.820687138,4.401851753,4.501454914,5.075968552,3.439484581,6.320546895,6.814457589,4.510426272,8.829431253,4.363842133,5.643272927,9.403469916,7.844815793,6.564007339,2.93799739,7.429528315,7.260675083,7.387513049,3.181895339,5.214762293,4.397672283,5.040049034,8.590709363,5.196452196,7.008239163,5.66899943,5.792076047,3.504986119,8.363501294,4.672133414,4.605633013,4.866742956,4.969652199,4.391467152,3.383103072,5.544377987,9.242868664,4.979153372,5.651934272,3.815712512,7.111794102,6.006943574,3.992162309,4.110235412,5.192569296,4.033133432,10.82545204,4.509436514,3.683325877,4.009568101,6.548787579,4.263812045,7.753242257,5.358887649,5.493727574,3.6068745,7.199349889,9.367787587,4.703342826,10.41577606,4.610607094,3.595831803,7.338925264,4.09982806,9.222249816,8.942345007,8.819310033,6.62740508,6.129910745,5.763418456,3.475596766,6.125854703,4.670157868,4.495255591,5.641779347,5.57044731,5.158207028,3.844539987,6.664334973,7.000421124,5.210665696,3.415028771,9.459074601,3.459906713,8.336813528,4.689518492,4.158128579,4.126030907,7.852935201,5.368145137,3.639916623,4.891959432,3.886522235,3.499236305,4.771925548,5.112401484,7.586393718,5.593927903,5.718681073,6.680406206,9.393632932,7.144378804,6.199024815,3.611967085,5.079871296,6.251541787,3.735374738,6.401023756,8.01584514,6.481547806,4.529836099,4.230600119,3.578299896,2.903504391,6.014205766,5.959289801,9.449837553,5.772260602,8.159609457,6.96023708,8.772908232,3.805622754,4.712220822,7.952946487,5.429152451,6.447437548,3.905116295,3.172232462
61,3.218985011,4.460258274,4.328902921,9.56296241,6.80530284,3.193860999,11.62580247,4.937150634,4.802654801,2.925187686,3.633071273,7.484703066,3.634923358,4.988968931,3.525506113,7.009315398,3.024328247,7.178895037,4.580199211,6.871809661,7.586271612,3.742438763,4.13668406,5.211238798,5.519008094,3.396549256,3.264367859,9.926452187,5.259944929,6.469378497,3.3613298,7.899335163,5.069071437,2.678179627,4.728813813,8.751311542,7.476307406,4.962836183,4.303779912,5.837309937,7.385677197,5.539927195,4.98821296,7.146304991,5.113705608,4.619085852,2.989972351,3.469216879,7.826836286,4.363166125,4.992486151,3.323101502,4.628490707,3.24409725,4.997348516,3.752410866,5.60412867,3.736843069,4.384351247,8.823621664,5.531620379,5.05284214,6.140429451,3.535078604,2.978031341,3.164171157,3.142490708,7.286209588,7.733401636,3.383485984,5.701920232,3.199879589,7.935048028,4.794169827,4.35063426,5.185160359,3.489547636,4.612064194,6.12979789,4.884413792,8.427100013,7.047541988,5.288187799,8.459792049,6.997310524,5.647768562,3.693346892,7.668885201,7.071869192,7.689339647,3.232471724,4.925611844,4.562880683,4.352454201,8.234229498,4.943332989,9.139208927,4.005952406,7.108909965,3.82810907,7.437409461,4.992247297,5.309367547,5.250492589,3.976830318,4.428107104,5.716610374,9.222132458,9.578786474,5.072629848,5.570315044,3.755573231,6.047354601,5.202127412,4.955493386,4.261561827,5.334737427,3.730748321,10.9010651,5.465159949,3.296520535,4.072825918,5.9036126,3.92022472,6.687095418,6.788074476,5.067077829,3.355524642,6.735064588,9.237620632,4.878742929,9.780870424,4.727791897,4.245637858,6.67386577,4.203134086,7.739789879,7.342547565,8.167907496,4.640714928,5.682725466,5.925792644,3.638940182,4.261599271,4.594285531,4.239422845,4.624576389,4.903866588,4.911343525,3.307764057,5.725624627,6.960132683,4.820712162,3.586287878,9.20323343,3.128540647,8.894095753,4.668786649,4.568400343,4.079394773,5.981922072,4.845222607,3.889224964,5.733455634,6.911943713,3.251680322,5.916206495,6.736733674,7.471699522,4.071578073,6.229826276,7.430834839,9.946134538,7.201955777,5.963153971,3.661824516,6.674501129,6.524839266,3.740902233,6.258896652,7.213886489,6.884048262,5.379652687,4.494527614,3.186277945,9.526716286,6.733089613,6.914315143,5.593931549,5.448391097,6.458598607,6.847962949,8.353313636,3.878742462,5.052200859,7.125059472,4.796968098,4.95066188,4.416819944,2.947224915
1418,3.115841404,4.125934612,3.284669369,9.930978206,6.660557094,2.994934225,12.17350468,5.183523472,4.954218324,2.863006934,3.734866499,6.695932348,3.666068367,5.729570129,3.207958629,7.128482594,3.237669058,7.311697185,8.759384648,7.704144702,6.041568754,3.875162417,4.487144623,7.553828591,4.900329996,3.212106857,3.391878653,10.27879923,5.00903052,6.083739979,3.531824524,8.505016659,4.12432455,2.737230836,4.966761278,8.327780679,7.396890605,6.068559681,4.482611158,6.206189555,6.608525562,5.339782058,4.462291324,5.384593665,5.168345107,3.531441313,2.933827413,3.930009075,7.890473404,4.195551536,4.729397114,3.322247259,4.885012155,8.111321482,8.312941934,3.980777008,4.876543925,4.129359277,4.831684353,8.749644312,4.477282715,4.174431697,5.450756173,3.920349675,3.187350261,3.473973482,3.30465379,7.140216296,7.871887006,3.355618329,6.941446352,3.159645331,7.961067836,4.221533432,5.024222382,4.529207718,3.675896857,4.459822435,6.359936247,4.658219983,8.835890036,6.078815182,4.837924114,9.754508326,8.020022965,5.675017185,3.524101193,8.379069348,6.877693689,7.403435588,3.164987002,5.126313134,4.523745233,4.393137203,9.060157277,6.755669391,7.073648989,4.603889694,5.644877598,3.917113263,8.508771503,3.890901678,5.945639223,6.268165888,4.522803119,4.130776193,4.274072256,8.479265531,8.421517848,4.556985074,4.404629536,3.804853601,4.658230772,6.338800162,3.732205422,4.189700613,5.234437685,3.967331024,10.75931038,5.342739745,3.42570227,4.260340852,6.348205266,4.192615045,7.569398808,6.357826345,5.692144556,3.698631762,7.483877759,8.992056565,4.944566591,10.15013541,4.45996748,4.272082131,6.685486041,3.849046632,7.54807848,8.089066689,8.104557805,5.104350962,5.757612801,5.744471309,3.654772365,4.502107155,4.108848565,4.646433681,4.871899129,4.872014339,3.86202453,3.02103672,5.648049877,6.099862885,4.815637568,3.542678848,9.683300066,3.344841611,8.747885341,4.984270939,4.257111133,4.498937198,6.463352244,5.130503322,4.257113004,4.935271809,5.868038227,3.445471852,5.236636723,4.98520787,8.536422485,3.81929015,6.147128515,8.046510892,10.29963356,7.517494108,5.821099351,3.559163852,5.486196465,6.651100318,3.886931223,5.453394735,8.201510896,7.074681618,5.326957721,4.391028779,3.848323121,2.773781614,6.702413786,6.724970918,4.768759194,6.095601129,6.096372221,6.914106158,8.495090745,4.299028962,4.718004344,6.686810824,5.5247789,4.167530239,3.950714379,2.998653436
563,3.142025234,4.839665523,3.147249806,9.727367408,6.39962241,3.081030373,11.54575,4.746314723,5.311788497,3.180567076,3.474024001,6.921431922,3.669735428,5.591698446,3.13793079,7.834145315,3.194708919,6.625004565,7.684937236,7.08609005,5.75866444,3.746949713,4.509927311,5.555695439,5.494495997,3.479211,3.126157924,10.0987855,5.176998515,6.124396024,3.490142468,8.432755842,4.407982792,2.717071833,5.9873754,7.936162723,7.632562065,6.662185159,4.541000638,6.163016031,7.521805168,6.165876434,4.939822197,5.312516843,5.207854398,4.643370814,2.86359959,3.774954214,7.550474376,4.175528384,5.60940117,3.987412267,4.924283532,3.11233546,8.512678745,3.723523361,5.751252692,3.389440841,4.611504629,8.610113668,5.621254969,4.811409386,5.121425855,3.527368186,3.047625855,3.481176384,3.17311866,6.5201742,8.099334165,3.38295774,5.995800268,3.306702972,7.128167903,5.020487458,4.370335809,5.232954576,3.746921429,4.618871068,7.17272186,4.310057581,8.397548256,4.350319966,5.71370933,9.095824035,7.987125199,6.060272908,3.692828095,6.913452268,6.779227204,7.482457047,3.213484134,5.100255849,4.585446837,4.714268475,9.017919598,5.581740767,6.17360913,4.289740588,6.690294727,3.763680229,8.306597432,4.162974864,5.153841757,4.109228407,4.706594767,4.378511173,3.795471249,6.43565106,9.631165618,4.871385459,6.041803675,3.782055181,6.462869549,5.927075972,4.665464741,4.19268803,5.745948464,3.927797038,10.50152234,5.155068813,3.171550812,4.400822512,5.894328845,3.873489923,7.781413046,5.235827263,5.459339933,3.522403255,6.665734713,9.025280342,5.054395819,9.913003054,4.521177234,4.73502832,6.724419238,3.894377791,8.153707415,8.493969635,8.510935923,6.785847939,6.490789684,6.228795943,3.429281454,5.813585402,4.992473617,4.781849337,4.378560518,5.364237672,7.764096498,4.132996832,6.27287834,7.374366395,5.143182176,3.479079846,9.428808941,3.301348406,8.306644433,4.652755602,4.771863001,4.000907783,5.758262971,4.899154151,3.506333855,5.214117203,5.000222184,3.537259879,5.254722434,5.148321566,8.203270925,4.716525496,5.850529191,7.149977781,8.64703324,6.811305894,6.265249761,3.660154688,5.774593245,6.862965517,3.725580424,4.587212342,7.396918427,7.524930349,4.422107124,4.388155013,3.518322506,3.021958976,6.165181344,7.123091899,7.42325161,5.741425633,3.541452338,6.07461956,8.635480225,3.761841339,5.037434849,7.692028206,5.358415384,7.07741327,4.167343871,3.085861908
361,3.196754142,4.348511647,3.269613255,9.559984537,5.84223226,2.940516311,11.75909049,4.935295642,4.936961191,2.95929953,3.424717714,5.527548117,3.383869979,5.061025524,3.452111509,5.870688117,3.334536676,6.764187433,7.831389111,5.488358705,6.025246712,3.800417787,4.133324114,4.656932591,5.259484534,3.59688652,3.616033882,9.803760137,5.290008719,5.406889298,3.523703483,7.446944451,4.178521859,2.854860776,6.022619933,7.891117204,6.363932742,4.960942913,3.13027424,5.517849572,6.99638944,5.558654262,6.452646074,4.785296405,4.735888168,3.888157675,2.899370477,4.031381671,7.802206611,4.522504668,5.873794413,3.289185599,4.320000878,3.266929337,8.2422715,3.942668773,5.122595321,3.673171999,4.585994715,7.348988109,5.609469032,4.438179778,5.871743309,3.42021815,3.014075653,3.463780159,3.628362322,7.054582956,7.554943956,3.387907015,5.625140831,3.073479182,6.612082647,4.131352714,4.27621828,5.242411219,3.359656007,4.970231076,6.613698091,4.941688215,7.827010024,5.853387708,5.251053412,8.829459513,6.340378237,5.275788905,3.138453837,6.222091617,6.617745224,6.267562961,3.340692667,4.942239307,4.297238853,4.703017154,8.219007914,4.979102421,5.286194638,3.899720254,6.186671336,3.627447608,7.520819113,4.323294503,4.954075585,4.930050597,4.75172547,5.626502793,3.956716372,5.893582058,7.928536176,4.983261457,4.635897319,4.000142223,6.26528854,4.862728909,3.879081847,4.318487369,5.064972956,3.889264148,10.37268894,5.020722276,3.450697911,3.309371572,5.195242278,3.812566889,6.543043506,6.137716954,4.609001151,3.753733968,6.346578116,8.292003504,5.056398417,9.902992196,4.271968473,3.794177364,6.464639099,3.708416249,7.517975566,8.422316587,7.851690813,4.377282694,6.045320735,5.317760928,3.324943581,4.102986468,5.106041784,3.822417079,4.673721522,4.560534939,5.223682402,4.329470764,5.593451877,5.733951237,4.958292598,3.381379373,8.839514927,3.036667643,7.200963392,4.692324012,4.434228107,3.511314845,5.362733511,4.698041505,3.685131711,5.303868104,4.537338449,3.173323348,4.837750243,5.218371076,7.243690452,3.576136582,4.878509924,6.628318375,9.475265377,6.35986656,6.083884081,3.970779359,4.876654456,6.181816044,3.547018532,4.895627051,7.695042291,6.610830658,5.716229795,4.259819394,3.338261555,3.026127436,4.952687222,6.066917098,9.770621452,5.094020002,4.137154075,6.574814081,8.23486186,3.757790195,4.752216063,6.266573106,4.331755072,5.560695856,4.288152165,3.164135394
1992,3.136294949,4.859873602,3.122857846,9.121596751,6.434210414,3.701100192,11.62006452,5.096517962,5.049905535,3.067195041,3.592703616,6.824832235,3.365827019,5.6044555,3.206860551,6.716092758,3.253854841,5.979998508,3.802859079,6.747256295,6.304772978,3.649726313,4.297793132,6.307742799,4.978252395,3.597902628,4.717008221,9.308375418,4.47860831,4.776238133,3.563860636,7.993178027,4.217855518,2.67843283,5.94940703,8.628676924,7.839420353,6.826719739,3.540241104,5.469251167,6.943963108,5.126234034,6.739556181,5.809561295,6.067703671,3.46222691,2.995694359,4.652742147,7.495738063,4.237338499,5.675147194,3.181517931,4.758281273,3.304523035,4.010491739,3.783774304,4.979114025,4.879022935,4.998922212,7.615999993,5.729334458,4.595541256,5.613170305,3.781274658,3.187027909,3.082538738,3.375158646,6.807270402,7.195735347,3.383775209,7.135821523,3.107740521,7.450709614,4.772442044,4.995105594,4.827606797,3.754779162,5.186267515,6.058053674,4.858490923,8.684918408,4.85649107,3.781316986,10.18746323,7.918924365,6.210519004,3.160746081,6.625379212,7.372195261,6.78834217,3.279112343,4.482637498,4.579082947,4.677566317,8.938010945,6.25217816,5.483931991,4.119114639,6.874530968,3.860635577,8.722098018,3.671922822,4.848356076,4.412933779,4.36967708,3.948549658,3.602063709,5.473572237,8.990100241,4.573268686,7.705958313,4.128526331,6.470660612,6.98356608,3.508880406,4.124705545,5.374426363,4.082084704,10.81496016,5.14750571,3.363544338,3.787399043,5.995542899,3.996375388,7.839142552,6.014972582,4.462847837,4.411540727,6.679070907,8.93978777,5.20848116,10.31225079,4.391259587,3.717751404,6.997373327,3.951692379,7.403306724,8.828220178,8.540304256,5.24705307,5.866319337,5.554281797,3.57652402,5.898352837,4.694580851,3.889096726,4.752171749,4.402994204,5.569966484,4.473344691,5.722972378,7.627142537,5.294510816,3.666134048,8.774747253,3.12937673,8.132414692,4.314193357,4.079296291,4.923607856,6.654631003,4.947289937,4.029773344,5.672583207,3.918667556,3.54812694,4.22764811,4.297162152,7.373034121,4.891928941,6.101562338,7.147288629,9.230596308,7.010033068,6.161220012,3.826697824,6.211761923,6.195346222,3.694748317,7.272412087,7.660931433,6.542432425,4.908363116,4.389904373,3.477605242,3.495287435,5.967759857,7.134131415,7.687549861,5.451104184,3.95233379,6.492028462,8.232653233,3.586361073,4.428773934,7.248814743,4.551953106,5.639584482,4.032609775,3.178186433
1918,3.195253694,4.539225798,3.27227624,10.53800345,6.383040695,2.992000707,11.36513939,5.256159872,4.911755501,3.009925466,3.545035158,8.155062789,3.210371554,5.53020747,3.53654924,8.28542395,3.49732012,5.191878068,3.958836322,6.527493591,4.992503871,3.824377479,4.110549897,4.96743842,5.4318763,3.713748445,3.288918019,10.21598898,4.305908663,6.310944164,3.524322427,7.461613335,5.66232937,2.749811541,6.361510526,7.981229654,7.467695965,5.836716491,4.85391991,5.05727835,7.234692614,6.282508034,4.043296682,5.055835488,5.22981205,4.556594458,2.903630343,3.890796407,7.917785069,4.207685231,4.169415078,3.069980049,4.934647239,3.322846878,4.650283962,3.899043302,5.630657515,2.923420616,4.680364353,7.834129398,5.435743373,4.417107716,5.582389755,3.69426595,3.02482973,3.186829538,3.338723735,7.279750556,7.35758073,3.613828237,6.979152238,2.881765589,6.750536488,5.425685113,4.60367207,4.927892592,3.381655821,4.979997375,5.223044825,4.51661823,8.619344603,7.559606634,4.514237527,9.952964167,7.753583514,5.905291601,2.821244289,8.142451288,5.905058528,6.522162086,3.07481487,4.103035629,4.875104094,4.782101787,9.680140362,5.339674561,4.709661789,4.566697348,7.935318756,3.728427098,7.459753159,3.620940422,4.825164641,3.490773528,4.024516789,6.570323267,3.202866794,4.744225842,9.19624521,4.457226806,6.477732208,3.653241877,4.695247942,7.300476293,4.495953567,4.140203656,5.566077155,4.046232099,10.64068967,4.872359068,3.316368548,3.448221438,7.955653809,3.616021202,7.335914365,6.203797395,5.075169005,3.419357421,7.237576142,5.321111703,5.509746377,10.80469116,4.412675147,3.623075935,7.126424213,3.951202172,7.793339765,8.733275945,10.08931469,5.811080362,6.236587239,6.396475306,3.48458716,4.65257783,5.089324879,3.842534499,4.754280467,4.084047962,5.192196929,4.149348336,6.735034416,5.884542539,4.789401307,3.673163047,10.22628459,3.432847194,9.365054731,5.274837659,3.953105684,4.744266807,7.915120775,4.95943574,3.719854195,5.807670549,5.883539739,4.825305289,5.579065908,4.725195859,6.826377701,4.156122434,6.203839654,7.433780766,9.693553954,7.419227528,5.122547771,3.869781801,4.309209319,7.304756548,3.617348409,7.336654468,8.701421855,6.349653786,5.12424897,4.30031988,3.461573619,2.932340295,5.849313368,6.30025703,9.42888253,6.126645558,5.878486163,7.663210185,8.88856945,3.996028705,4.160262913,7.795372355,5.053165574,4.609933717,4.07461907,3.154792928
