"response","THAP9","RBCK1","TSR1","LRRFIP1","BRD3","SPATA6","CDC14B","TBX21","HIST1H2BD","NAT9","PPIA","PPP1R3C","RP11.114G1.1","NR1H3","SDC4","SMARCA5","RNF4","ASCC3","EXOSC4","DEFB1","HIST1H2AC","LRAP","SUHW4","KCNMB4","GRHPR","C20orf149","CAP1","ZNF767","TNPO1","B4GALT2","SPIN1","BXDC2","SLC13A2","CADM3","SDF4","CASC5","CP110","ALDH3B1","SLC6A6","ZNF133","SLIT2","KCNS3","MRFAP1L1","HOXC10","AHCY","HOXA6","HABP2","MAT2A","ESRRA","DENND4C","RAB25","DMWD","RPRM","BARX1","NTF3","B4GALT3","EDG2","MUT","FAM115A","DOLK","IL21","ME3","GPR19","C14orf94","COL4A3BP","SSR1","HIST1H1C","CYP3A43","TRIP6","FNDC4","KIF18A","MELK","C1orf121","CD58","CLIC5","CTGF","JRK","EFNB3","TAF5","EMID1","CCDC103","RFTN1","TINF2","LOC93349","TFAP2A","SENP6","C7orf24","RPS23","EEF1G","TIMP3","NIPSNAP1","FXYD3","ZNF556","CCNG2","HSPD1","ORM2","FLG","NCOA1","LIMD2","PARN","MMP14","PGK1","FHL1","TRIM36","ANKRD5","HADH","FUBP3","CD79B","GOLGA4","KNG1","RCAN2","SENP2","UFC1","RNASEH2B","TFAP4","NAGLU","PACSIN2","NDUFA8","LPPR4","ATHL1","CGREF1","PCDHGA3","TCTN1","HIST1H4H","CYP2E1","HIST1H2BE","HSD17B3","PEX5","PUS3","FEV","PYY","HTF9C","FREQ","HIST1H2AE","SPINK1","FUBP1","APBB1","SLC30A5","BRD8","SPTBN2","PAGE4","LANCL2","SFRS1","TRAPPC6A","MYST4","FLJ14154","SNX5","ADD3","KIAA0182","FASTKD3","GINS3","C1orf115","ERBB2IP","FAIM","BPGM","HDHD1A","ACPP","MASP2","YIPF6","MAP2K3","ORM1","ACD","IL7R","CAMK2A","APOBEC3F","FGFR4","CCNA1","ATP9A","B9D1","TBCE","SKAP1","EFTUD1","PSTPIP1","CSRP1","CEL","SHBG","PLEKHG3","PPP5C","DNAJB14","MZF1","CSNK1G2","TOP2A","RBM12","PPL","ROR1","DKK3","S100A8","WISP3","TOMM34","CACNA1F","SAFB","RPS6KB1","NFATC3","FZD8","SCPEP1","C8orf79","DNAJC6","TSC2","EPB41L5","RPH3AL"
1224,3.081998917,5.586923718,5.926910892,7.458609745,7.925524831,4.17201846,4.814258469,3.451863578,7.768139792,5.360268148,12.00648103,4.261475745,3.431012933,3.893681386,8.167654727,6.803387581,8.327271663,5.600423154,5.421175855,9.698439629,9.434016166,3.553407118,4.562159259,4.378889221,7.6890284,7.795439144,9.387022314,5.119832276,8.412579021,5.507436448,8.221369106,6.541422678,3.840491452,3.506518607,6.348383591,2.759543031,6.443843882,4.797259285,3.251703001,6.603855066,6.634309547,5.050841237,7.017527169,3.347097538,8.296821569,3.064993671,3.552164363,6.339730145,4.626194068,6.331532996,6.320660508,5.375058925,4.220762383,3.164321564,4.633866724,6.287629958,4.852491315,7.639271809,5.681151212,5.532889865,3.171250722,3.353968439,4.180688623,6.091481875,6.298408312,6.197810305,9.359310558,3.12493914,7.128265307,4.734247567,3.836519938,7.301361803,7.26881724,4.948812251,7.202496627,7.592450992,4.755333314,5.306617317,5.309707818,5.3341546,3.372528207,6.080696213,5.268858493,5.269092998,4.999396043,6.49677285,9.283954793,11.96912765,10.55709507,6.138341336,6.239555557,5.317606239,3.327338418,4.92040974,10.65661525,3.196163698,3.322496076,6.371728263,3.635464725,6.410973894,5.433520751,7.842625322,4.500471502,3.719032692,5.455261616,6.322883727,6.825463489,4.04828015,7.536893757,3.21294635,5.041191231,4.675020848,8.687954734,4.539081169,4.272929725,4.204235003,6.831594772,9.593115817,4.262037192,6.2779233,3.291768619,3.096434477,6.581203226,4.441217798,3.373520344,5.244669999,4.022377804,5.116817636,5.067680041,3.680638096,3.359291387,4.377910829,5.750186534,6.317848131,3.407445031,4.943982596,4.673365801,5.125944541,5.370188918,3.421512583,3.457893211,6.546431625,7.263651176,5.734064669,5.781372622,6.097966844,7.393096605,9.169236907,5.785358373,6.490915249,5.501086882,7.044244184,8.032668959,5.954934826,5.591408321,6.46449066,3.479337207,3.449154566,8.228211863,4.815522653,3.101355226,5.768273286,4.654168365,3.508505196,3.189012082,3.565004662,7.615946241,8.049460723,4.114774616,6.909651873,4.888400369,4.871964347,3.508562983,8.465284526,4.83381063,3.409823766,4.704238862,4.393080627,5.520554421,4.859889238,6.05124247,8.579821274,6.896060359,7.113360331,5.759160098,3.670241844,3.831927073,3.481930954,5.629632211,3.305746994,4.757670375,5.420702221,4.491733972,3.22395529,9.191575702,3.737388781,3.675126191,6.184578164,3.891852663,4.306264216
1247,3.058219855,5.855233395,5.652716877,6.929354227,7.181257828,3.688559696,4.438046237,3.061790434,7.338667977,5.313472223,12.07063329,5.838603043,3.222624825,4.828371182,8.725345245,5.555922294,8.513279541,5.922206637,5.897341128,8.402104914,8.271126299,3.02790684,5.1987674,5.202186164,8.106526999,6.974727475,9.976128808,4.553231204,8.187061296,5.629574407,7.493963285,5.696639457,3.628366772,3.661840279,7.343332534,2.684623968,5.281426929,4.538995947,3.468540149,5.841555134,6.442791542,4.635281708,7.187144381,3.473620912,8.627113363,3.117763885,3.448396517,6.586756311,4.900177492,6.443328053,3.561096088,4.542015996,5.723993027,3.014508353,6.935671165,6.266750089,4.973379002,8.156138795,5.542957337,5.16420523,3.088178435,4.672685491,3.772095955,7.586839788,6.435008774,7.428377042,6.518249498,2.966118855,6.362502374,5.09592236,4.699111719,7.851789257,6.356678975,4.875626566,6.077407076,9.089376123,4.728057619,5.13625755,5.42839225,6.653023369,2.627147771,8.036926162,5.438874449,5.619913782,5.054960634,6.359389521,9.701868002,12.55922688,11.70240618,6.665464416,7.394769743,6.356449015,3.529497756,4.908647876,10.42392171,3.208871073,2.808864631,6.620054111,3.469780662,6.950209953,5.584907924,8.067458323,7.012219411,3.689409076,4.833596503,6.452134137,6.053226241,3.39145745,7.708725761,3.184780022,8.281813323,4.280937103,9.342531967,4.404893381,4.199777169,4.527198615,6.878458566,8.41674651,3.669671208,4.532082994,4.963507409,3.482679591,6.756402396,3.877231421,3.14501182,4.823653634,3.281310608,5.532872867,5.862260591,3.436230526,3.048816606,4.215428722,4.979306562,4.770038954,3.061780877,5.223500056,4.903001026,5.914238488,5.727184674,3.743759432,3.015360091,5.999770041,6.947689636,5.616396282,6.363372557,6.505019325,7.299986327,8.852624276,5.788079655,5.467364747,4.93728446,8.170956223,7.896854634,6.367226897,4.730978684,7.615077854,6.455254341,3.51454612,7.654924528,5.797743148,2.877520145,6.014437011,4.740235026,3.410779984,3.404680334,3.698802467,7.032241504,8.467756032,4.640328575,5.47724627,3.964632769,5.817349562,3.658224342,9.141241052,2.979792895,3.3701486,4.242292436,4.548248672,5.385063761,4.91096317,5.807782162,7.348082587,6.558844227,7.287987931,5.093605833,6.120941988,4.432022014,4.249691881,6.122338278,3.469889443,4.599169515,5.193847316,4.446836449,3.356900438,6.764906003,3.555631085,3.257107679,5.600118554,3.591165973,3.689110218
55,3.403705372,5.400862633,6.308421805,7.556415073,8.052144959,3.761024023,4.785744991,3.295985238,8.197239194,5.41332616,12.06369329,4.429401122,3.389674398,3.921341751,9.081361854,5.912003672,7.529720904,5.126200628,5.847577647,7.445430553,8.150891382,3.347719084,3.840896894,3.918258368,6.357471061,7.580265124,9.131313302,5.350653547,7.676095675,6.012498375,6.920133564,5.612928886,3.681214816,3.742784845,5.557969623,2.718265289,5.251455105,4.637759488,3.572454599,5.280830935,4.741691016,5.659598338,7.068845835,3.719261381,7.97696628,3.365458615,3.770799472,6.470201958,5.293492277,5.2082814,6.377995927,4.368414407,4.273143503,3.341957573,3.959180381,5.45383591,4.953665574,7.610152315,5.638358353,5.209297476,3.147953277,4.159733706,4.085744096,5.4871818,5.148313496,7.005392401,7.8736678,3.109745864,6.062686516,4.530159952,4.062603026,6.596505423,5.447348503,4.474043936,5.588778789,4.801641662,4.68641108,4.292637726,5.175636042,5.30248651,3.215415983,7.507610414,4.225943175,6.122785033,5.973115498,5.278365938,9.20866973,12.24985894,11.60846172,4.24385792,6.097900476,6.35296478,4.12710295,4.221834451,10.08205627,3.325634715,2.708309309,5.719883015,4.231287404,5.643407149,4.608941049,7.249222125,4.472499844,3.576964274,5.555778627,6.42619372,6.003582419,4.226365445,6.415410782,3.501703942,4.221596266,3.956946652,8.358448251,4.39926045,4.561182811,4.559450614,8.042814934,8.882385764,3.671872194,4.398337016,3.768643814,3.456150589,5.845588631,3.749489851,3.797730583,4.440073411,3.737737624,5.037087754,5.132596528,3.850541781,3.135713356,4.369890434,5.106753175,5.678188655,2.99388831,4.843693086,4.712371033,4.59732447,5.273250949,3.597027629,3.497467534,6.157286791,6.812246749,4.96042305,5.829069722,6.407947405,5.810821952,8.783837237,5.73055451,4.781213615,3.81961107,7.784407901,7.059897938,4.979388909,4.235388617,6.771754517,5.771029777,3.582036059,7.280120686,6.010904863,3.449600692,5.491015596,3.953287068,3.767737719,3.749530258,4.076794072,4.917815838,7.152752743,3.868223656,4.760859306,4.218555846,5.219137494,3.51405364,8.04161788,4.274825434,3.819762784,4.132095208,3.681967122,5.926696305,4.581264265,5.957044548,7.213370215,5.169366752,5.558086672,4.555711469,3.622753296,4.858877304,4.311550437,5.045437562,3.748227252,5.12518689,4.806383532,4.175373354,3.683643603,6.32827294,3.773164969,3.72726737,4.804221043,4.011956768,4.234421019
1495,3.037849879,6.631365812,5.822675851,6.965866174,7.329394527,3.400804796,3.917590334,3.377732278,8.344899433,4.925638554,12.32293501,4.194203474,3.211620392,5.294304108,8.04709911,5.199382543,8.285718844,6.588438208,6.128639127,9.708167938,8.703550571,5.688765846,5.280647884,7.2182775,7.56881885,6.741778232,9.827678312,5.574573202,7.708140462,5.612201126,5.976379524,6.30761941,3.662819707,3.6068745,7.277137819,2.650350475,6.099779754,5.216625536,3.378319466,4.834228372,4.908108727,4.074985989,7.590256491,3.504986119,8.39028076,3.331385654,3.606012498,7.000204301,5.597660005,5.415368227,8.308366669,4.989159205,3.794878577,3.149973751,3.912697594,6.12638766,4.270295897,7.096866971,5.46227572,4.051507185,3.212426919,4.186158229,4.761286536,6.567268525,5.66670966,7.351603285,9.18017399,3.122476047,7.67042383,4.230600119,4.621851782,7.372843544,6.152216904,5.023635081,6.574419139,3.338568966,5.110591951,4.338644449,5.816480489,6.43514654,3.103136666,8.002047204,5.164984855,6.431063959,6.132181049,5.68383943,9.109693744,11.98885715,11.4664778,3.656709296,6.910635869,7.334350084,3.807772239,4.705330121,9.422806241,3.365383455,2.903504391,7.141208927,3.96998763,7.365415629,4.892676491,6.89862445,4.019927979,2.93799739,4.590900862,5.81716597,5.377366505,3.785882353,6.314556693,3.114834971,3.877114848,4.562595766,8.789928197,4.581459091,4.742229038,4.437372376,7.131904833,8.159466411,3.157847421,8.112031866,3.965904651,3.451343188,6.501868641,4.112999705,3.258681184,5.094185636,3.532692767,4.813416695,5.871591419,3.430543667,3.285454995,4.193119092,4.718379856,5.07597671,3.214851208,5.232420781,4.950206571,5.099549914,5.926996827,3.705586303,3.314433332,6.772222035,7.235538499,6.524166251,6.660849307,6.124169284,6.693322111,9.469526186,4.978685587,5.923535139,4.42002098,6.291994373,7.501404861,6.727163584,4.588481557,6.637198856,4.701099134,3.613113861,7.920529318,4.827523262,3.092073019,5.216732539,4.815375673,3.431600767,3.562532884,3.603426906,3.131011792,6.592963379,3.852191536,5.719619229,4.703462703,6.11006444,3.584393355,10.35329815,4.009568101,3.37642921,4.945245922,4.865125062,4.885148112,4.75113856,5.823828532,7.618225291,5.79859273,6.73059172,4.854192407,3.274086763,5.191111037,5.659976627,4.862706306,3.636051706,4.849275375,5.209056617,4.190026891,3.455828997,7.98989866,3.612811142,3.267225749,5.996141401,3.830907606,4.684342846
61,3.103248743,5.794152768,5.760998753,7.307192747,7.768834393,3.51845026,5.081720562,3.349819652,7.561928723,5.638845417,12.20155576,7.312744636,3.267475522,3.996848418,9.829253354,5.955573024,8.239192938,5.996527191,5.634631384,6.812619962,8.95596946,4.985375274,5.279782431,5.263227644,7.517209338,7.464233629,9.493277907,5.814333582,8.367538596,5.252371934,7.982147667,6.17380643,3.668053305,3.355524642,6.803394381,2.773292767,5.651275426,5.301899573,3.323615152,5.778117947,8.21505406,4.813716225,6.78967373,3.82810907,9.735627602,3.64298385,3.396549256,6.066421002,5.295681927,5.108899121,8.013763095,4.428937336,3.953777899,3.070762171,4.264098786,5.758401754,5.423768768,7.508699824,5.734678408,5.992442412,2.995536257,4.465283779,3.424778699,4.839453993,7.243265523,6.8462896,8.766826203,3.016574362,7.817581239,4.494527614,3.722389808,5.191464708,6.05019209,5.67737781,8.278639735,9.141963201,4.561752797,5.321295335,4.668251692,4.541047327,3.265588437,8.793514011,4.701021802,4.455152228,4.906331245,6.081619151,9.014690011,12.7723917,11.70629091,6.290778087,6.072715867,6.060322886,3.660486044,5.927675077,10.6739242,3.284881838,9.526716286,5.907137129,3.348295242,6.394061092,5.21431838,8.886906112,6.817650228,3.693346892,4.900821582,6.551664615,6.890669329,3.506547662,7.826194672,3.133695215,7.206181952,4.412906006,9.174663474,5.401642032,4.21788391,4.352161996,7.462896875,9.60560227,4.961224726,4.178452257,3.567852471,3.32791085,7.503952236,4.425619812,3.273392253,4.815706943,3.570102489,4.948385591,5.563679127,3.353701843,3.142490708,4.17364908,6.19937071,5.141152473,3.24409725,5.102203683,4.670433555,6.165936988,5.417917782,3.875893963,3.095678868,5.592479849,7.292094104,5.578339865,5.829238835,6.436203198,7.303681961,8.058381558,5.920630171,6.535464766,4.012036248,5.495568758,8.312779805,5.747035075,5.76090305,6.753876654,4.071669883,3.454628631,8.518968967,5.33508022,3.193860999,5.85075646,5.538283912,3.354883993,3.319357486,3.389287874,8.464579526,7.82357949,4.531605151,5.289245555,4.200873767,4.937982938,3.476467119,9.596298968,4.072825918,3.470884858,4.371251009,4.417673433,6.035430907,5.423875049,6.188825451,5.974060225,6.481692407,8.92503036,4.3614622,4.29002152,4.340686963,3.471589513,6.773797206,3.383633768,4.642508097,5.492421796,4.280595357,3.496055027,6.44243671,3.583625806,4.01399356,5.282287013,3.789951274,3.567882868
1418,3.076987294,5.578992918,6.042679528,7.17683847,7.472424852,3.538275267,4.098602079,3.287573457,7.287547813,5.827498355,12.16063269,4.876080352,3.383493235,4.683151403,8.517975086,7.056789675,7.837580585,6.275121365,6.572534051,8.159654569,7.273277987,4.59009027,4.420251566,5.132718576,7.460564008,7.87953193,9.693386456,5.550574657,7.873783808,5.540376629,6.892625265,6.608845533,3.525720323,3.698631762,6.152247856,2.709945696,5.717453131,5.00833287,3.303697985,5.363583771,6.432528393,4.802694141,7.043615088,3.917113263,8.747962762,3.342507009,3.212106857,6.277538701,5.2240404,5.028329173,3.632302678,4.639221567,3.815816177,3.161545414,4.018959783,7.326068306,5.109884522,8.439912407,5.939228296,5.255095294,3.220935042,3.791510297,4.642439127,6.420527861,5.969709896,7.710883138,8.12630368,3.049727593,7.546849608,4.391028779,4.007896603,7.003639203,6.440328066,5.29289128,7.801641564,9.037189998,4.735088972,4.884714681,5.655759768,4.594008004,2.951761112,7.039594478,5.146673856,5.948612927,6.196263823,6.127203103,8.853412743,12.56574105,11.55675336,7.657356615,6.144475743,6.822623537,3.66344909,5.123919939,10.13416338,3.298720977,2.773781614,5.887211503,3.663217135,7.210133847,5.477066257,7.545031858,4.262245134,3.524101193,5.080492427,6.803426802,6.657438614,3.776134598,7.168229862,3.249293169,5.745277842,4.667256669,9.405260164,4.157823526,4.459456384,4.460740969,7.234278185,8.368593315,5.283830624,4.283663212,3.998885294,3.686061681,6.335025411,3.412369432,3.265159749,4.509760268,3.616284093,5.611731542,5.456815988,3.546046504,3.30465379,4.222370555,5.4296818,4.389137647,8.111321482,4.937133389,4.182104091,5.609895403,5.438416364,3.693379969,2.980651776,6.232825646,6.77793471,5.506511465,7.848111328,6.42666773,7.336442271,8.410131057,6.907940454,5.568396052,4.1458894,6.018536057,8.038090598,4.749300792,6.376694687,6.957346431,5.101193299,3.622911107,7.622281437,6.413399897,2.994934225,5.460564883,5.885837757,3.445344162,3.277232196,3.591797157,5.121118792,7.620692359,3.785742397,5.657384857,3.904253504,4.846441976,3.742393119,8.683878399,4.260340852,3.616778218,4.540589471,4.546275587,6.369795007,4.79874133,6.221457466,7.878595891,6.699699633,7.546415846,4.114614665,3.781742102,5.773530923,6.012231178,5.799211057,3.312711404,5.054908484,4.862321989,4.422536028,3.131791349,6.336818567,3.684182303,4.102909122,5.358058501,3.643134508,4.51211074
563,3.003070748,6.446836449,6.162146967,7.081521634,7.696956175,4.165319223,4.416208784,3.344461984,7.418885248,5.657355961,12.16859837,4.411905566,3.67748739,4.802116364,8.70017881,6.259524043,8.297297215,6.925898923,5.938798612,8.454153051,7.535049762,3.331233377,4.653421865,6.593615774,7.777837315,7.360606135,10.17197236,5.743049978,7.490769979,5.664813022,6.829176884,6.313311953,3.515025193,3.522403255,6.803397929,2.764199179,5.629930976,4.499065221,3.337362477,5.875583073,6.865267816,5.392258718,6.653385891,3.763680229,8.272254452,3.249119386,3.479211,6.277174719,5.082689943,5.875052334,8.538888703,4.820713331,5.782591459,3.07983452,4.612700249,6.817332873,5.791090435,7.629869739,5.925606865,5.366429744,3.302627629,4.469629894,4.40451728,5.276769762,5.469970776,7.346893903,6.955379155,3.067781451,7.693692086,4.388155013,4.372551853,7.143253033,6.711247588,4.481319667,7.591035136,8.51341184,4.532896522,4.994254587,4.735586081,5.411040767,2.98201759,8.141125961,4.875359213,4.75075758,5.565936007,6.122516965,8.818283169,12.26849488,11.32407765,5.38696655,6.173920011,4.422610579,3.32088454,4.958702092,10.0425553,3.206945335,3.021958976,6.88777692,3.474055822,6.998515198,4.839544433,7.554719523,4.963079427,3.692828095,5.297643563,6.435904335,6.161317056,3.454085887,7.116698359,3.124613895,4.937134556,4.207300508,9.158785326,4.293037272,4.534368314,4.428556207,7.039771834,9.13097991,3.875726482,6.322354686,3.448657393,3.394531122,6.669123709,3.616976268,3.512994661,4.248649153,4.089572355,5.048075393,5.088655139,3.197708038,3.17311866,4.061609173,4.834171072,4.606914476,3.11233546,5.488296793,4.511312914,4.890338412,5.712084453,3.496115632,3.387953805,5.801824084,7.291796156,5.796387627,6.427874702,6.455149594,7.027127123,8.528460907,6.12223905,6.481139791,4.26034559,6.895427361,7.327666255,4.722094786,5.776698579,6.730583013,4.263485131,3.675358715,7.327508924,5.691304135,3.081030373,5.15145125,4.1050763,3.694271264,3.489106466,4.051402799,6.59335647,7.986972663,3.97476913,6.372481843,4.256801985,5.206936693,3.420100545,9.270828977,4.400822512,3.515893619,4.45258814,4.188689951,5.887998768,4.954059961,5.595384749,8.580771508,6.495981006,7.32875805,4.975808531,3.42518542,7.074257939,5.222439839,5.977561096,3.536946151,4.729399085,5.621973372,4.391014615,3.23905451,8.126429412,3.543381166,3.46190155,6.593007505,4.506697163,3.862769481
361,2.869531154,5.35798027,5.575537631,6.677834356,6.055913911,3.855359259,4.095880038,3.558070552,6.154436486,5.359395286,11.90948131,4.259446029,3.317762721,4.835937632,7.7477226,5.290931181,7.858877588,5.766849248,5.691055205,7.76968563,7.335896515,4.379092887,4.276160621,3.589010219,7.65638329,6.982117195,9.353701708,4.562754707,7.942243693,5.689811935,6.217251605,5.543716505,3.922727933,3.753733968,6.693379969,2.731593426,4.41183214,4.414605371,3.407256871,5.379465494,5.364928402,4.670365044,5.692610926,3.627447608,9.548312416,3.482174387,3.59688652,6.081543251,5.824679597,4.475942299,5.764806712,4.726721244,4.060821908,3.164125571,4.454934306,5.714664138,4.379549707,7.198148696,5.364143741,4.696155387,3.113519627,4.941788405,3.972560039,4.550515828,6.041737514,6.334239045,5.041485036,3.164516762,6.707801236,4.259819394,3.574065215,5.804021391,6.013334602,4.627401963,6.40989121,8.700771792,4.656545975,5.021961348,4.878936806,5.502576537,3.33042415,7.401119223,4.69030773,5.697274732,3.98542001,5.107886235,8.237258693,12.70344454,11.8053303,6.173878544,6.447429728,7.03617898,3.729943473,4.257052993,10.46107696,3.390785866,3.026127436,5.974176839,3.481906572,6.344945338,4.907797828,7.779910179,5.628372335,3.138453837,5.216723511,5.841730179,4.930531981,3.823996415,6.744485988,3.469511902,5.228535419,4.581185753,8.784932126,4.187345881,4.209233062,4.316591729,7.282029041,8.452975286,4.52881046,5.571926545,4.60134847,3.486326851,5.411897939,3.402413723,3.286911913,3.942944784,3.935489621,5.043509294,5.723065838,3.769984494,3.628362322,4.412816483,4.672091859,3.759585291,3.266929337,5.082696439,4.408002494,5.277944435,5.62682025,3.653636814,3.18837786,5.109482057,6.328103346,5.838058521,5.409096051,5.881615685,6.681915451,8.072632464,5.206717793,5.358848356,3.727820662,5.949551746,7.895489305,5.51000062,4.731573747,6.344347385,4.605224147,3.764937884,7.459905087,5.515963739,2.940516311,5.010593666,4.912624142,3.646052153,3.859400186,3.880156989,9.151936139,8.671090085,4.060931386,5.397630637,4.727245034,5.435790926,3.354513187,7.936549072,3.309371572,3.616186595,4.268754002,4.397173239,4.918391228,4.761446638,5.722937993,6.293906737,5.776385339,7.178442379,4.492984161,3.599938033,4.317103007,4.732205836,6.102604018,3.56651004,4.500950288,4.411727037,4.109171485,3.430634648,5.490574997,3.62704666,3.622975544,5.57179129,4.02576477,4.292090031
1992,2.993659188,5.904398962,6.160496208,7.020459311,6.731393617,3.594094936,3.896574651,3.346822096,8.253775799,5.317552281,12.23131187,4.237507873,3.500170706,6.454975835,8.866575164,5.644914444,8.171789922,6.821728835,5.875372994,10.0435677,8.840450825,6.271817057,4.8998293,4.347723139,6.430040676,6.926265406,10.20657964,4.67154409,7.970514416,6.232424294,6.819084287,6.203011577,3.803364226,4.411540727,6.679035782,2.787482543,5.602770327,5.729561832,3.275985499,5.744251304,4.4475252,6.870789598,6.865384123,3.860635577,8.49672434,3.225591091,3.597902628,6.472763091,5.063369076,4.675991049,7.491268512,4.65724495,3.768972566,3.165114624,4.244397373,6.641786181,4.105203896,8.263787264,5.572517976,4.912037398,3.294360907,4.502788474,5.33267595,6.41507972,6.121092226,8.112839239,7.808184524,3.073140326,6.13013957,4.389904373,4.758150817,6.704568374,6.8666244,4.869494913,7.01338555,4.669516593,4.494712541,4.399552659,5.95272552,6.447805652,2.955336759,7.041209449,4.637781595,4.388675314,4.73122341,6.175330253,9.101658349,12.62787894,11.73385134,3.908136679,6.558368627,8.31867037,3.232038353,4.703746459,9.966706719,3.448694819,3.495287435,6.132394609,3.877915502,7.986286746,4.904839288,7.166420711,5.936211617,3.160746081,5.468151687,5.352081154,5.904914056,3.728062291,6.451108964,3.525071383,4.456878514,4.692155094,9.669961257,4.763099482,4.760004468,4.827696626,7.269039906,6.936941697,3.349782,5.213184038,3.63657318,3.512019931,5.675872528,4.18910124,3.293787209,4.588459825,3.614860226,5.568745803,6.29089688,3.559780022,3.375158646,4.085086959,4.640097287,4.64329594,3.304523035,5.409169616,4.348794194,5.494621484,5.761413056,3.476583555,4.613891059,6.034896668,6.887390579,6.259642852,5.90308904,7.453298646,7.136267408,8.942950688,6.17787723,5.556982035,4.438414333,5.978245411,8.531297092,5.680223437,5.222744501,5.944446576,6.869140554,3.594921956,7.938356595,6.109756064,3.701100192,5.034053869,6.345565646,3.68936183,3.364089892,3.864066717,6.57316419,8.12923836,3.65963873,6.856711608,5.341432225,5.240363073,4.641331533,8.885434511,3.787399043,3.260165091,4.414791543,4.193729129,5.967254232,4.145822869,6.102305419,8.558210837,6.237932168,8.81236026,3.443023831,3.310034137,8.125573805,5.857460256,5.94324516,3.488331857,4.722659654,4.980099734,4.073249854,3.289990573,8.164888825,3.444279897,3.557222479,5.783054679,3.898405522,4.08595184
1918,3.048341522,6.153856907,6.097139687,6.538325005,7.390355553,4.060741772,4.580409133,3.368840393,7.614875387,6.097804536,11.84412771,5.479199279,3.333939442,4.061349436,7.92619599,5.421944873,8.355977563,7.456605209,5.532955836,3.177293153,9.80014541,2.755139518,4.672575114,3.48699885,6.644710732,7.449445785,9.768643411,5.336816933,8.132105879,5.183115286,7.490202587,6.357999593,3.726234897,3.419357421,6.845351453,2.794225762,6.062313326,4.478610161,3.381811052,7.0839313,7.275092229,3.865187094,7.19751248,3.728427098,9.774551221,3.201995548,3.713748445,6.268594111,4.722109903,4.753821478,3.543398159,4.894184867,4.145274186,3.158724625,5.684204138,7.375983991,4.037097476,7.977234847,6.32643319,4.619979024,3.036589676,4.419605471,4.747992254,5.748860071,5.251892361,7.456907208,7.526740997,3.137299194,7.697061625,4.30031988,3.912986888,6.321374893,6.925015505,4.284377226,5.96983292,6.432811265,4.447343583,5.572153753,5.745512769,5.824319787,3.175491074,5.799766288,5.414310776,5.623827696,3.683975604,6.323520738,8.457682965,12.78581781,11.49394155,6.633994066,7.511567244,3.633275859,3.819022288,5.509779474,10.40230208,2.889429693,2.932340295,6.844738994,3.817801172,7.079110379,5.013534127,8.081190189,5.067142346,2.821244289,5.315305482,5.278883288,6.361403967,4.094766333,6.545578095,3.379565968,5.429476086,4.950355568,10.11449552,4.322451928,4.237506852,4.523241644,6.521785763,8.636074724,4.471480488,4.982187106,4.204071532,3.34408185,6.015698843,4.854020009,3.23307091,4.819584955,3.276498733,5.610818495,6.50385133,3.595179385,3.338723735,4.303565331,4.361896935,6.04303997,3.322846878,5.526539236,4.584527663,5.134882035,6.001662286,3.68537065,3.652285359,6.046322538,7.085314413,5.901497425,6.417614849,7.238753273,7.370953676,8.871926288,6.6496248,5.948617472,4.077356056,6.686725136,8.038250888,5.508731977,7.025879306,5.614773188,3.373510786,3.685925383,7.341914695,4.966061896,2.992000707,5.788677316,4.309126034,3.397199749,3.057329588,3.828866702,7.658708342,7.648351437,4.519441295,7.042293777,4.88248568,5.765432909,3.506375868,8.406678232,3.448221438,3.719739223,4.402095673,4.838128365,5.046926649,4.813410529,6.171742744,8.01279399,6.926424859,8.040445252,6.909984065,4.543162717,3.403380195,3.810500444,7.108453947,3.358623168,4.67812739,5.394845219,4.088371918,3.364068245,7.750971383,3.603160415,4.047356266,6.951842467,3.866823685,4.637340278
