"response","ALDH3B2","EWSR1","CD2","AP3M2","EBAG9","HPX","PYY","MBNL2","WDR3","INSIG2","TRIM48","CCNA2","LYZ","NPAL3","LRPPRC","ZNF174","CAPZA1","IL12B","CADM3","STAT6","MAOB","CYP20A1","PURA","DPYSL2","TNFRSF10C","ORM1","CCNC","THG1L","BHLHB9","MAPBPIP","PDPK1","GDF9","HS2ST1","TMED3","WDR47","SEMA3C","LSM5","ARL6IP4","KRR1","HIST1H2BG","GULP1","NIT1","MRPL9","MAB21L1","FLJ11184","OLFML2A","ZNF669","TMUB2","C19orf24","KBTBD2","ORC2L","PFDN2","YEATS4","CACYBP","MIS12","ODF2","HOXC10","ADH1C","ELN","GAB1","NOL6","FRZB","CCDC99","RNF122","PSRC1","CTSZ","LOC339229","ZNF264","ATG4B","SLC25A38","SOCS1","ZNF7","MIA2","USP48","SEMA5A","LHCGR","CRMP1","RPL35","SH3BP2","IVNS1ABP","CADPS2","MSRA","NOL10","NDRG1","RHEB","HABP2","CECR5","MRPS34","NUDT3","FNDC4","FTCD","PMS2L5","TRIM21","SLC5A6","MTDH","RFC4","CUGBP2","FNTA","SST","ATP2B1","HN1L","KIAA0644","FLJ20920","HGD","NHLH1","RASGRP1","VIPR2","KRT35","PISD","HOXB3","ZNF238","AVEN","TRIM36","SUPT4H1","ADAM8","ZNF701","FLG","SESN1","SNRPA1","CDC7","HCRTR1","DHX38","CETP","APH1A","NDUFS1","CD209","CTDSPL","MAST2","GSTO1","RPS19","INHBC","ADAMTS13","WWTR1","SPINK1","GRINA","KIAA0953","GTF2H4","NUP133","MCCC1","C2orf43","USP36","CSTF2T","TMLHE","ADAM29","SUB1","HIST2H2BE","CSNK1D","MPPED2","COCH","C2orf37","LYPLA2","GPM6B","ERH","CHMP1B","MLLT11","DVL1","C14orf138","GNAT2","UGT8","RBPJ","TMPRSS4","SMG7","HIRA","CBX6","RBM26","CTDP1","DNASE1","BRD1","MLF1IP","CEL","CDC2L5","RANBP3","TBL3","FRAG1","HHLA3","EEF1E1","PSPH","FLJ10986","SLC27A6","TP53I11","DCUN1D4","UBR5","SLC24A6","KIF17","PLXNA2","ABHD11","HSDL2","ITGB1BP2","TAPBP","PMFBP1","C13orf24","TUBB","PDE7B","CETN3","C13orf1","PSMC3","FAM127B","C12orf24","RPS7","ISOC2"
1224,4.416924935,5.353871281,3.561938276,6.604113735,7.783472189,3.720295723,3.359291387,4.758220164,6.663434214,5.563364225,3.262224197,6.716578558,6.598217239,3.691932394,6.642582461,3.867940792,9.366972208,2.697643377,3.506518607,6.080654417,4.076793257,5.676482792,5.139136622,9.604424619,3.200166597,3.101355226,7.89779912,4.207292911,4.285589747,7.06206706,5.130115527,3.239397642,5.828458058,5.989711342,5.892506408,6.022225732,7.490702662,7.215041911,7.193271625,6.071860356,4.447510571,6.076601151,6.792003242,3.23295721,4.387061242,6.653230176,5.743619439,4.87991468,4.903090144,7.742373587,5.657467181,7.531890781,6.122863532,7.747332008,6.300169036,3.91570344,3.347097538,3.08841705,4.781960064,3.329222874,5.263384835,5.107406106,5.233938366,4.445974416,6.313414234,5.511751086,5.887875162,5.587101639,6.312887247,6.517678278,3.519125947,5.887088852,3.156054213,5.911950477,4.77595151,2.838892774,4.035553571,11.18106867,4.093348569,8.015484644,3.82896565,5.886996229,3.554979075,8.666741945,6.359469151,3.552164363,5.493489015,5.379854791,5.18254954,4.734247567,3.407336754,6.268791546,4.469067917,6.205038208,8.374495084,9.162613985,6.308639275,8.083271876,4.734246843,6.994273753,5.835182067,6.107749459,6.395023888,3.610279402,3.753623806,4.34734508,4.144506239,2.912201721,4.639067077,3.739462237,3.706775702,5.277579279,3.719032692,7.501079712,3.846163037,5.056551063,3.322496076,4.182542418,7.401906554,7.619304299,3.348200808,4.943577397,3.387889403,8.060724624,8.092850999,3.879898606,5.079293849,5.43836674,8.450516441,9.748621389,3.21293804,4.057844847,4.864439612,3.407445031,5.286060789,3.518642952,4.576671978,8.867495373,7.459994236,3.911717472,6.662060064,6.451537885,3.556274965,3.322424833,8.950049191,5.838056885,6.766841263,5.18529967,6.433753901,2.98674192,5.899260935,6.976594276,9.944758076,6.264084035,7.321354109,5.749542124,7.192898236,3.033472406,4.885322137,9.320417296,6.304985012,5.339889953,5.88990561,6.547274177,8.022804297,5.04581231,3.269423638,5.619055955,8.492077497,4.83381063,4.596737551,4.895973671,4.71127658,5.426971838,4.52593271,4.589023825,6.521891412,4.021035703,3.864087977,4.227742402,4.982247001,6.382018925,4.957765934,3.352260078,4.340673382,6.896507395,5.988550778,3.413941511,6.241951156,4.100571073,5.14027544,9.649086198,3.066257898,6.791377644,4.221317768,6.486188607,5.991731675,4.563075097,11.4616287,5.90616717
1247,4.739613965,5.732578395,3.979906344,6.604542257,8.034690505,3.583932071,3.048816606,5.055044568,6.773505369,5.937672934,2.862594701,4.299512405,8.169318119,3.89337051,7.791213176,4.267860528,8.805771321,2.888164273,3.661840279,6.129522004,8.315752552,5.092493274,5.481707063,9.921515096,3.051791099,2.877520145,8.680867803,4.732624143,4.424721173,6.856977786,5.223450415,3.092765527,5.522639475,7.624849883,6.136937778,6.802193,7.511828886,7.211036745,7.068005416,4.121326565,6.898766787,6.979331162,6.653169701,3.640173321,4.557580325,5.890496041,4.679777094,4.357914649,5.055582818,7.18949914,5.052871817,7.740862098,5.600948706,7.645774845,6.626175905,3.909522509,3.473620912,3.924369895,5.270834394,3.291893793,5.234912133,6.573560285,6.177727318,4.379267831,4.978986816,5.816016938,5.50390239,5.148641511,5.94791726,7.385011477,3.68290524,5.856993548,3.190200101,6.137422877,5.251658221,2.983397249,4.931621317,10.91302333,4.274378011,7.063163486,5.571530927,5.308505686,3.323890938,7.661534458,6.304519692,3.448396517,6.67282488,5.646404345,5.874430124,5.09592236,3.299848023,5.591141542,4.808857562,5.741147957,8.903722731,8.031029245,6.106816261,8.730221862,8.397932574,6.910351776,5.71384198,4.896681533,4.774545692,3.655111623,3.627854231,5.385337265,3.857895215,3.041906754,5.407882852,3.423615166,3.793407541,6.118380483,3.689409076,6.782448084,3.95811432,4.708796369,2.808864631,5.210352229,7.118649163,5.045825472,3.282198482,4.773163057,3.391549357,7.968683842,7.528630926,3.94482303,5.024774451,4.955012897,9.339042741,10.32907913,3.422788536,4.139735569,4.77358022,3.061780877,5.621377616,3.392078658,4.362845455,7.801264611,6.482554907,4.70253765,5.429136485,5.769401638,3.730148563,3.303384724,9.294489922,5.395793636,6.039544614,4.871955796,3.616701165,3.536663653,5.938285246,6.536778888,9.755814025,7.209802569,6.551488606,6.443927328,5.791808448,3.039336437,3.935877859,8.944733594,4.342456145,4.799574022,6.464596352,6.88379132,7.116509432,4.282390528,3.424272669,5.788831521,6.687071597,2.979792895,4.588553612,4.903841954,4.833579518,6.654053283,3.871911534,6.109783319,4.805219382,4.149325385,4.431070592,4.546934484,4.393163657,6.735935153,5.905831987,3.330321426,4.290886899,7.505217817,5.781695885,3.415346046,6.180409399,3.592522963,4.836823857,10.36859092,3.060702198,6.906497963,4.16710387,7.314519354,5.357448107,5.406240824,11.98056174,6.405803673
55,4.685921855,5.548087655,3.624238577,5.622818745,8.583482003,4.162177092,3.135713356,4.102542189,6.923206507,4.936427849,3.481585744,5.070256748,2.959835979,3.735954463,7.082004929,3.751779296,8.906510257,3.041039792,3.742784845,5.252725771,5.980976033,5.088910654,5.376032892,8.181363543,3.438951586,3.449600692,6.231412516,4.58942542,4.143984293,6.109664416,4.960444173,3.564591094,5.044136769,7.348333203,4.627188413,4.280790731,6.17503171,5.85129297,5.763008478,4.581510811,4.01196035,5.536605084,6.109897591,3.405950746,4.59310453,5.388384704,4.195540272,4.354394407,5.515873532,6.211261081,4.587194598,7.806526612,4.221619423,6.363147539,5.413639033,4.37223406,3.719261381,3.30723806,4.008588822,3.260079357,5.285441025,3.773746911,5.290520083,4.975711201,5.360626762,4.745432139,6.717861515,4.334789519,6.104083927,6.333461668,3.788050871,5.130199757,3.341963543,5.157541538,4.82948245,2.892426177,3.927499938,11.08438102,4.045114891,6.117755326,5.186661211,6.125264313,3.279738372,9.792495126,5.480034171,3.770799472,5.708224362,5.217572008,5.769583238,4.530159952,3.361421103,6.183519686,4.775385429,5.482178573,8.293212442,7.671245612,5.909044228,6.556184319,10.47343809,5.645318264,5.521802054,4.304018422,5.428069779,3.589709658,3.858803905,6.125534236,3.989740182,3.417399037,5.22647996,3.894332824,4.67739921,5.343864238,3.576964274,5.971416026,3.993553208,5.069899438,2.708309309,4.464505617,6.68987036,6.399578995,3.69216212,4.696296772,3.38298992,7.633995285,7.04554738,3.704755788,4.906258295,4.982943891,9.405114839,9.465253507,3.093563281,4.522735245,4.836749713,2.99388831,5.708856871,3.59913591,5.107273276,6.319509644,5.658875231,3.792237933,5.719318417,5.089307581,3.391646502,3.1551048,8.964635412,6.267377361,6.312213526,6.284721042,3.567910249,3.069935157,6.06016437,6.197813754,8.74129961,5.908176911,4.877458829,5.831684546,4.755336778,3.009331289,5.028483131,8.8037493,7.009014796,5.367819308,5.427959716,6.949722359,5.680573394,4.742176808,3.492640486,5.400674655,6.482468618,4.274825434,4.547399276,5.829779341,5.324086719,5.923576032,5.920495881,5.630824348,5.501041433,4.652108622,4.599902176,4.588851515,5.311807756,5.860089361,4.419443967,3.465602897,4.297710864,7.810471711,5.442370265,3.419422363,7.452051416,3.910209022,4.426886894,9.984527893,3.274512096,5.225244365,4.216353034,5.517273747,6.900294428,4.398153667,11.76442892,4.79009659
1495,4.948626739,5.460240898,4.524800178,6.581688251,9.769538546,4.348108259,3.285454995,4.419139296,6.980242973,5.232307176,3.121130969,4.064597726,8.004515039,4.278098188,7.652420934,3.893230418,9.028663207,2.846542691,3.6068745,6.309739593,3.706140276,4.337265963,5.836018081,7.069283891,3.379914663,3.092073019,8.44845172,4.09876494,4.422997002,6.523742362,5.075675648,3.571372718,5.335286893,7.319521634,5.486293458,4.947392949,6.510473237,7.300117355,6.996091737,4.483040782,4.320033942,6.023956333,6.3015742,3.269506251,4.717850849,4.219874119,4.162550526,4.470332307,5.198883677,7.573505622,4.360202095,7.719066752,4.85577385,7.003381684,5.848737446,3.734956505,3.504986119,3.180020369,4.31746782,3.425011217,5.086739766,3.468644177,4.499058771,4.242502516,5.358338112,5.272488121,6.250451819,4.282556815,5.649230298,6.088542569,3.789572448,6.763476001,3.353935067,6.195915081,4.202039354,2.939711022,4.266632865,10.30703539,4.447172666,6.49729295,5.233012671,5.226824479,3.322163486,9.643251234,6.511214573,3.606012498,4.509219631,5.549266348,6.723760088,4.230600119,3.525723429,6.012814275,5.723054377,6.211677719,8.978677733,8.998533963,4.616058119,8.072992858,3.942378031,6.580102464,5.627846663,4.846016754,6.809599858,3.411996438,3.999043373,4.145634453,3.667829343,3.187245588,4.716595094,4.09163618,3.702141501,5.075576586,2.93799739,7.542822054,4.299524423,4.628557454,2.903504391,4.932332004,7.541067185,6.927511874,3.691102182,5.012240898,3.418708481,8.088566669,6.49289605,3.78974715,4.54596982,5.092720048,9.531429771,9.85499523,3.489309609,4.158771922,6.016868123,3.214851208,6.086296773,3.552380984,5.276459686,7.205306143,7.472096949,3.494088209,5.917100968,6.033853634,3.649318242,3.457283802,9.415009294,5.25632993,6.958609618,6.229207988,3.246543168,3.256265567,6.433100324,6.689025199,10.03056291,6.59557984,5.018361675,6.986173104,6.807016027,3.16069654,4.681156361,9.335102988,7.106217068,5.518406916,5.759863097,6.707995074,6.140725567,4.387448363,3.525576963,5.327704762,7.778701003,4.009568101,4.586887193,5.448131307,5.198902106,6.438445935,5.379155832,5.222576775,4.415327347,4.126042254,2.71553432,4.800610434,5.132770341,7.721001532,4.954906701,3.588057732,4.273669272,8.063527076,4.351196716,3.440634631,7.160818234,3.790327515,4.704059931,10.28169378,3.215008128,7.375709237,4.026748333,7.144738673,5.534505342,5.759960494,11.65848794,5.442259895
61,4.151668634,5.417057354,4.606985503,6.46101624,7.509081147,3.578721184,3.142490708,5.238439728,6.876850019,5.063188343,3.250745998,3.81791054,8.169532216,3.969056837,8.100246704,3.965249163,9.365758952,2.808081882,3.355524642,5.513822996,4.93884993,4.892197503,6.322636627,8.10413929,3.148879175,3.193860999,8.717962417,5.408844502,3.615905954,6.988217642,5.263662493,3.257625227,5.465377205,7.647884915,5.949216517,6.57552586,7.364380226,7.554947117,7.201354145,5.351548831,6.809820225,6.283695424,6.521310368,3.21792561,4.738334442,6.463992012,4.54101955,4.422851015,6.095677903,7.57761092,4.561143763,7.589427363,5.286833251,6.805787751,6.212987154,4.488492206,3.82810907,3.144781297,4.814336321,3.238645704,5.085927373,5.234783378,5.14053976,4.5090119,4.226530967,6.092383423,6.202639056,5.165354956,5.782957029,7.102600655,3.640688233,5.763315111,3.346165393,5.909514727,5.433611418,2.990488775,5.937164826,11.56227667,4.328344854,7.275127334,4.961834542,5.94189763,3.332439401,7.181052291,6.206066112,3.396549256,6.078281459,5.437123424,4.883143962,4.494527614,3.453017124,7.265210408,4.299312982,5.133182829,8.091936189,7.634801414,5.291006105,8.167035094,3.798398527,7.137560777,5.541277797,6.081223516,6.110503063,3.2912428,3.709659896,6.213700379,3.802964854,2.85281122,4.725488375,3.645593352,3.695881812,5.921482772,3.693346892,7.226565362,3.934523427,4.498038531,9.526716286,5.221635794,6.362062202,4.409860142,3.343216897,4.586487524,3.152603137,7.224523579,7.524252951,4.055230959,5.202387218,4.849699829,9.931989054,9.932959018,3.013919978,4.185139938,4.289092142,3.24409725,5.24955518,3.398435923,4.625284333,7.406845323,6.736428358,4.307721818,5.331108973,5.734430028,3.437377329,3.280280155,9.167136648,6.706806364,6.456175285,4.646333364,3.420769287,2.988188598,6.54093267,6.292808031,9.24110233,6.613330066,6.539109338,6.197163139,5.617824462,3.099600154,3.44993765,9.090129546,7.100763863,4.66213234,6.547229454,7.19463814,7.733402981,4.670181322,3.617960848,5.47411872,6.193620255,4.072825918,4.594055287,5.217236072,5.037342343,5.660718112,3.793180484,6.066613976,4.314943164,4.111360806,3.222426424,4.121638168,4.883171097,6.130205728,4.683424297,3.42453474,4.314807669,8.381423603,5.538998196,3.556012019,6.522012623,3.922510001,5.754361318,9.163084999,3.230091553,8.025694659,4.75380057,6.546592475,5.943381641,5.670643716,11.67247994,6.546264634
1418,4.417658884,5.429164841,5.569285686,5.877715965,8.850376769,3.789946898,3.30465379,4.69830015,7.506211683,5.164537477,3.057129582,6.800511991,8.709641282,3.864859156,7.978498116,3.897329309,9.969416912,3.030059546,3.698631762,5.41748789,5.315079338,4.710197275,5.398060353,8.068510316,3.15560838,2.994934225,8.854583555,4.346989639,4.077067674,7.402146691,5.218082641,3.250347867,5.745618731,7.713622393,6.055340034,5.9203335,6.882933024,7.133901341,7.091907627,4.652623232,4.353054728,6.692250785,6.665673242,3.041442757,5.104832748,6.914792045,4.860459306,4.658267715,5.774529707,6.786148659,5.702636248,8.438809362,5.576515486,7.459597088,6.922477971,3.974438748,3.917113263,3.074008149,4.222864756,3.260203289,5.671020092,3.825920327,4.841302222,4.651130982,5.962402706,5.733177144,5.698437722,6.590559868,5.904371581,5.960693565,3.773010188,6.443151853,3.370117064,5.612655485,4.552243298,2.860242277,4.507175582,10.90596177,4.259596737,6.791785898,5.3953418,4.832939351,3.50959091,8.163523154,6.678999153,3.212106857,6.136227661,5.768210479,6.208370566,4.391028779,3.53799149,5.306269918,4.779364286,6.414402658,9.311553347,7.887269803,5.470520859,7.832880166,7.016151805,7.162302349,5.919123468,4.227838304,6.489653222,4.218319041,3.828405274,4.991003196,4.309181558,3.026389201,5.026456576,3.83283411,4.599372382,6.053026992,3.524101193,6.634808724,3.995503565,4.748411025,2.773781614,4.745999122,7.195527056,5.035430404,3.325971034,5.037582645,3.506435314,8.611511158,7.849097997,3.808184819,4.544763436,4.810550454,9.576966119,9.840051694,3.101331018,3.987882001,4.966768229,8.111321482,5.944362568,3.674101516,4.938742986,7.536813622,6.854805621,5.028058145,6.197094131,6.252308549,3.380189145,3.417251452,9.263198697,6.461849606,6.27092163,3.520449394,3.417552916,3.364663557,6.534179374,4.773578107,9.903382474,7.271144541,6.539140229,6.200048327,6.523729562,3.074712483,3.966574979,9.12324365,8.419376582,6.401202573,5.930250968,6.827335726,7.585943271,4.889756734,3.687779217,6.096466971,7.028481108,4.260340852,4.397392098,5.151423688,5.44755408,6.145527953,5.059170816,5.508849344,3.898920454,4.065320475,3.366995812,4.197838945,5.10261411,7.265743797,4.58164148,3.259261681,5.361329532,8.360362867,4.957255908,3.254253736,6.61157363,3.877354632,5.949863927,9.584967087,3.168361329,6.992516924,4.031372583,5.903112215,5.428302917,4.197040722,12.21377349,6.40746098
563,4.71494612,5.440004068,4.221678271,6.642386792,8.649826285,3.970044698,3.17311866,4.382439066,6.979879661,5.20944578,2.904787206,5.611122758,4.596676707,3.979759321,8.202562388,4.057295374,8.380569792,2.976868155,3.522403255,6.257102067,4.731119184,4.435432842,4.516999269,7.329581076,3.164621716,3.081030373,8.759700686,4.146957666,4.145985149,7.256770893,5.258512122,3.31415338,5.748454534,5.908559833,4.738643581,5.460881173,6.695317618,7.057398509,7.068019197,4.001233964,4.787418773,7.60027591,6.694679569,3.081745914,4.555837593,6.033922006,5.177456037,4.737294181,5.180102191,7.174648846,4.580771048,8.804325143,4.932391302,7.227509598,6.612380457,4.104412714,3.763680229,3.208471336,4.096358548,3.31847675,5.244287611,5.892858687,4.738594829,4.598684654,6.071824194,5.404482848,6.500616771,4.487040694,6.092096092,6.802407894,3.541519572,5.65634499,3.298241045,6.049845393,6.710064605,3.224398604,4.192036905,10.86211319,3.85155748,6.840201369,6.135305194,5.259692556,3.629430887,8.423937225,6.046893352,3.479211,5.304692778,6.14649534,5.524809143,4.388155013,3.689120245,7.211339071,5.135593283,6.160051438,8.669269931,8.237721567,4.699247836,8.440952913,9.883180235,7.482163183,6.301362222,4.456403048,6.085752036,3.244309389,3.751842006,4.123462958,3.779728772,3.035581257,4.925690523,3.282325054,3.501534243,5.307956481,3.692828095,7.132074335,4.077437719,5.067485896,3.021958976,4.899196571,6.325097759,6.372132675,3.320117702,4.619035686,3.551929878,8.159856866,7.031206983,3.862828777,4.731167672,5.453358812,8.623374163,9.700076763,3.263464499,4.317876692,4.911429111,3.11233546,5.676982328,3.651588903,5.117890681,7.900483865,7.274552475,3.405891036,6.532417164,4.825802929,3.358012744,3.43772071,9.396180251,5.432337358,7.097230044,4.893228011,3.571017121,3.418225414,5.885457879,5.453467708,9.697482186,6.576518023,4.916590299,6.422692568,6.203530077,3.21837285,5.485115235,9.195186698,6.337425364,5.245445063,5.599337986,5.413257585,7.002252933,4.777571777,3.484529142,5.078486372,7.924415748,4.400822512,4.570201067,4.866075258,5.582537687,5.732434931,4.174992256,5.754382014,4.012671251,4.003624621,4.293865072,4.436035151,4.759124837,6.900987925,5.090964768,3.350238211,4.360097584,8.897998298,5.669235972,3.218578164,6.9217241,3.890285247,5.042048413,10.22904439,3.553832925,7.383267642,4.263056677,6.789972162,5.40496781,5.380035193,11.52678576,5.955603352
361,3.937901426,5.264082174,4.453111473,6.517569076,7.105902116,3.975888628,3.628362322,4.286706087,5.67394759,4.583917729,3.35260439,4.720700695,5.207373797,3.981576514,7.085992997,3.967365768,8.704456399,2.814454167,3.753733968,5.513247248,5.745911033,4.607894095,4.858274166,7.290632289,3.267558246,2.940516311,8.594134812,4.94561815,4.270799612,6.639013957,5.212187918,3.862722478,5.400074211,7.26703982,5.634116743,5.201075153,6.205987092,6.751632112,5.908424141,3.817785366,3.945974659,5.539470048,6.469898011,3.062732788,3.983783244,5.952872569,4.314298757,4.577534398,5.513685194,6.826505429,4.346900799,7.086454225,4.794754958,6.418095805,6.434632809,3.795913513,3.627447608,3.531808584,4.367744804,3.400795286,4.755955896,4.484068483,5.063147354,4.379622944,5.131122667,5.963313369,4.987395178,4.765237429,5.560436514,6.800504387,3.669306376,5.301338217,3.204578308,6.114053981,5.071633062,3.016919797,4.20850676,10.63763922,4.350174126,5.614333651,4.06657489,5.798845035,3.594045603,7.195934599,5.899033157,3.59688652,6.516135597,5.332913554,5.192003182,4.259819394,3.540290302,6.188195374,4.579916889,5.870409875,8.218976441,8.873932745,4.805568735,8.343138264,3.425029791,5.87584045,5.263862036,4.312090657,5.024147629,3.676899711,3.683681293,5.295944614,3.818770367,2.973517041,5.788631918,3.631974994,3.305682293,4.841279952,3.138453837,6.243494201,4.343148161,4.416869026,3.026127436,4.410906759,6.146694829,5.009670092,3.918388407,4.473646054,3.499906211,7.71755814,7.825324312,4.155198086,4.645884434,5.003897876,9.128911093,10.00285501,3.132094109,4.489997732,4.663907568,3.266929337,5.317042542,3.675562884,3.939912028,6.442637548,8.190768581,4.401314436,6.032743607,4.449909448,3.491749872,3.312908569,8.55422511,4.792657262,5.54440511,3.743086353,3.470390774,3.135099424,6.155246426,4.389157346,9.008105774,6.905508845,5.073132642,6.491591353,5.284656662,3.000939579,3.983761764,8.201806252,5.564857828,4.636503595,5.762007059,7.287256534,6.106458149,4.56023078,3.221662047,5.53889841,6.407944683,3.309371572,4.410639613,4.723701248,4.644116149,6.080123327,3.876136292,5.55429386,3.740274149,3.942871782,4.246330776,4.098541845,4.127085155,6.193787321,5.241649651,3.566407261,4.360660918,8.311975259,5.038724284,3.222256745,6.356675214,3.560817114,4.77080673,9.892028198,3.244198024,6.166578698,4.421395983,6.69200468,5.441388536,5.486056245,11.53760968,6.703422041
1992,4.722996238,5.320504202,5.103058046,4.964159722,8.577491756,3.860669199,3.375158646,4.570384885,7.027976,4.149499211,3.138639132,4.922857842,9.768840449,3.822374189,7.731172541,4.0223121,9.698562458,2.952140197,4.411540727,6.392229496,5.123664394,4.669229051,4.841660317,8.135666706,3.219301927,3.701100192,9.558259776,5.000487317,4.149050727,6.895778465,4.95663414,3.368755419,5.632176296,7.131792291,5.5423128,5.448094496,7.526373509,6.963589603,5.689840615,4.422621485,3.692895016,6.557329655,6.829481289,3.295147301,4.511140119,5.971534257,4.780603142,5.149163016,5.570828521,7.298580035,4.817327993,8.39802668,5.653198353,7.446890956,6.637542159,3.898971826,3.860635577,3.42295839,3.959597317,3.188735974,5.047939149,4.102287155,4.636389862,4.778781499,6.15362702,5.624574716,5.960467771,4.076630996,5.781418749,7.56823518,3.714619808,5.480868456,3.211464291,5.716959045,5.785807439,3.001350635,4.952007653,10.38021742,4.050614924,6.751202524,5.332619685,5.537138639,3.379520491,7.887633588,5.81004203,3.597902628,5.551533197,5.511565072,6.388244502,4.389904373,3.709330914,6.719161092,5.039193508,6.549192539,8.544848672,8.027792803,6.526631167,7.255732119,3.569895928,5.815531643,5.684852079,4.229076082,6.390780882,3.490217647,3.747533719,5.336346649,3.903578492,2.920711665,5.708519813,3.455173931,3.716067213,5.406264054,3.160746081,7.125345831,4.402235317,4.822388097,3.495287435,4.82551046,6.546607781,6.410878818,3.679851709,4.907873543,3.439079843,8.612290457,7.33883307,3.778979162,4.453195641,4.936187889,9.224455425,9.95196667,3.394780862,4.164991144,4.684047647,3.304523035,5.607976132,3.509682115,5.368250666,7.883465254,6.982655584,4.351717713,4.823400285,5.468876441,3.873509073,3.594266735,9.959597582,5.297416872,6.128103382,6.241382854,3.666863818,2.990916405,6.15445302,4.852574941,9.436004768,6.922146011,5.780555686,5.888263232,4.948590204,3.31458518,5.027558964,9.043733054,8.516990135,5.698992327,5.718332922,5.519581427,6.779730775,4.990159809,3.344302004,5.080523818,7.655255231,3.787399043,4.595800054,4.919217143,5.023050756,5.826217564,4.615244253,5.92802276,5.054783149,4.171222466,4.265196098,4.456508582,4.685363484,7.116127377,4.796754669,3.417259566,4.329186734,8.370428406,4.978045573,3.267222033,7.464880732,3.992923041,5.28496964,10.15047928,3.527000977,6.685718399,4.471999742,6.822252611,5.917493275,3.890456056,11.72852218,5.520986439
1918,3.553552895,5.249578182,3.641824319,7.53925645,6.677584488,3.642681607,3.338723735,4.56356928,8.232175406,5.622932214,3.173942573,4.295895022,6.748899472,3.76939518,8.80449856,4.158094516,9.44969262,2.822152326,3.419357421,5.728663747,3.60746668,4.74136895,5.661147333,8.535569655,3.217973667,2.992000707,10.29682969,5.09402693,4.708720605,7.595553662,5.243234429,3.796821592,6.7137518,7.086159231,5.832064744,4.710824927,7.324941659,7.401888591,7.397437276,5.879437418,4.957578736,7.448571574,7.196853776,3.400401828,4.598147028,4.585321441,5.475501402,5.009335732,5.346686046,6.794925465,5.312906215,9.274927496,6.074336837,7.6861116,7.191439105,4.14790966,3.728427098,3.264648906,5.729376056,3.251551466,5.200538858,10.6480873,5.860368368,4.989304926,6.375552155,5.407618127,7.094806595,4.292177114,6.332749694,7.120784617,3.600509133,4.586105732,3.291074419,5.853654595,5.303046165,2.951689712,3.444091045,11.00360524,3.927998264,7.734127636,3.613946685,4.604649594,3.835779902,6.643068982,6.500522075,3.713748445,6.739372924,6.52550229,6.187698362,4.30031988,3.331315396,7.852626943,3.774565699,7.553689871,6.952773768,9.672989065,6.253550909,8.924877728,5.138045199,6.994797356,5.829044648,4.923788454,6.114221303,3.380226673,3.738455776,5.593415744,3.70148309,3.209150644,4.936751238,3.817924491,3.733671292,5.166355733,2.821244289,8.376624746,3.77065351,4.505758381,2.932340295,6.748028607,7.817068552,6.876447625,3.439382488,4.51973882,3.186368481,9.197180091,7.842909069,3.712268899,4.600149868,4.572294064,8.970572077,10.33983546,3.215199255,4.042352064,4.312308129,3.322846878,4.642641839,3.624538127,5.310819384,8.388344366,7.94185976,6.451239667,5.161733916,6.08692907,3.376801579,3.155208897,9.655843713,6.346578116,6.685939601,4.558029784,6.132287283,3.640099826,6.68874152,5.542223399,9.800667503,7.220303483,7.096443324,6.827055297,6.170031703,3.0105713,4.549882295,9.190260547,4.182456339,5.314068996,6.43301039,6.874439974,6.260920251,4.367174629,3.395372398,4.657772012,6.219809142,3.448221438,4.37374813,4.774373463,5.37645054,5.896401608,5.129818167,6.027675044,3.96730877,4.427740459,3.910024611,4.035709949,4.587281942,5.360614439,4.106762279,3.996308575,4.046140656,8.461968726,4.915815387,3.206835815,5.258078018,3.480920953,4.972107558,10.53654509,3.349743267,7.374789699,4.272133259,5.67562835,5.137178784,5.220777288,12.51814646,5.474235593
