"response","MRPL48","ZDHHC18","TOB2","TAS2R9","VPS37C","GABRR2","CPLX3","GSN","FST","SMEK1","PCTP","SPINK1","ATN1","GABRP","C11orf71","TRIM14","BBC3","HOXC10","ZNF267","AMACR","POU1F1","KCTD5","NOL8","WNT5B","SMC3","BTN3A3","JMJD5","PIK3R4","UGDH","DNA2L","ACP6","C1orf108","SGSH","C17orf71","BTBD3","ANP32B","NDP","EFEMP2","MYH9","SDK2","TESK1","ATP13A2","RIF1","ILVBL","MGEA5","C16orf45","NAP1L3","INTS1","BST1","RARRES3","PDE1C","PDK2","NUPL2","FAM3A","ST7","RHOF","CD38","CASP8AP2","JARID1D","CHRNB2","TMEM5","CUL4A","SLC2A1","THBD","CALR","PGK2","HTN1","C9orf31","RUNX3","EPB41L1","PSCD2","TMED2","PRKX","FLJ10213","MED13","SLC25A23","ITIH1","FAM131B","SUCLA2","SGMS1","TGS1","MS4A3","MORC2","JMJD3","RYK","TM9SF1","PELI1","KIAA1045","ENDOGL1","TUBG1","LSM14B","MACF1","PPP2CB","STRN3","RPP38","SLC35A1","PTAFR","MRPS18A","TNFSF10","NSUN5B","HNRNPA2B1","C14orf65","ULK4","NUP88","CEP55","SNRPC","BCL3","TGDS","KIRREL","C12orf44","KLK5","PPP2R5E","TRIM36","HABP2","PDZRN3","ZNF263","PROP1","PCSK5","SMARCA1","TREX1","KPNA6","UNC119B","NRP1","CYP2J2","NSD1","SYNCRIP","SNCG","C14orf106","ORM1","FLJ12716","PLA2G12A","MGC3196","GZMA","LYRM2","CEL","HOXA11","PYY","LLGL1","DRG1","PRRX2","MRPL46","C6orf134","RAD1","E2F1","CSRP2","SGCD","PIGQ","UBTD1","KIAA0423","MS4A5","EXOD1","GPR63","NGDN","CHORDC1","VGLL1","PAWR","C1orf159","SH3GL1","GJA8","TMEM106C","CADM3","FLG","FNDC4","BRCA1","CCNL1","AGRP","NR0B2","MIZF","CXCL2","ETFA","LECT2","SCGB1A1","ITGA3","GGT1","PIK3CA","CDC42EP3","PTN","MCF2L2","CDK6","PRKRA","C1orf165","CPSF3L","IGF2BP3","CASP2","SPO11","GML","ZNF574","USP2","PPP1CC","STARD13","MUC16","TMEM39A","CAMK2G","PILRB","C10orf12","CLIC3","CACNB3","NDST1","MRS2L","BGLAP"
1224,6.571184281,4.852810554,6.327114426,2.940918071,6.575724578,3.457068707,3.45758403,6.687079074,3.885325582,6.366958739,5.867644678,3.407445031,4.910387005,3.536828085,4.610767703,6.013356072,4.797893518,3.347097538,5.322067738,3.953173994,3.480488847,5.372697042,7.050081129,4.468066522,8.56842551,4.189369586,3.724675278,5.730702306,7.324365299,4.650984224,5.862910671,7.157764944,5.586005256,7.103320308,7.033624976,10.35058193,3.098052008,6.994961321,6.881831949,3.456734663,6.32696581,4.788316678,5.097996571,6.669740401,6.653712793,5.2158332,5.588809778,3.853704845,3.8142437,5.410923576,3.733572103,4.327555796,5.823323503,5.469236508,4.909690415,6.253456557,3.470902851,6.396682513,3.094406344,3.672466455,8.146925824,6.606347148,7.949461534,4.375192194,7.12474356,3.304274998,3.101139907,3.752235157,6.170100337,5.531824643,6.859382838,6.733441048,5.658527597,5.473716277,8.337720569,4.372214129,3.366500715,3.311506923,6.46719208,6.350153619,5.496374849,2.948283452,5.763005944,4.977850073,5.958065011,7.066102169,7.880122884,3.403251066,3.014806621,6.142412023,5.546012933,6.910685728,6.586134831,4.674032424,7.189719914,7.541744768,4.017424712,5.825433888,8.184969447,6.773350121,10.32853305,3.789720887,3.226499657,6.508482346,5.859709749,7.791950399,5.01593138,5.944271584,5.530678276,7.37461567,8.030226288,8.092779396,3.719032692,3.552164363,6.057967602,5.842892385,3.582912847,4.286010151,5.572420019,5.578261308,4.862389723,7.022515128,3.491044108,4.634318411,5.470175514,7.904264164,4.514440413,6.280012617,3.101355226,5.483106612,5.913989971,7.368874088,3.324949896,6.722069868,4.83381063,3.238316098,3.359291387,3.666725478,8.376990839,5.131777536,6.447590652,5.006472987,6.445529946,4.964894478,8.625297266,3.525706227,3.941218869,3.737260239,6.894364005,3.038114551,6.294130053,3.43459896,7.130092111,6.4683537,3.804984037,3.995349928,3.939667356,6.430438641,3.702975001,9.115823628,3.506518607,3.322496076,4.734247567,4.642252145,8.023083084,3.633687827,4.188517917,5.449479287,5.04946388,5.889477691,3.078339124,3.07036109,5.210265713,3.376256969,5.656110035,5.521138046,9.606344437,2.631332726,3.237888708,7.376420201,5.80607323,5.377692039,5.26423426,3.867453897,3.874929958,3.234298799,5.825303444,3.223512429,10.04799072,4.654513336,7.770038349,5.921324043,4.639862541,5.735963241,3.002742235,4.468798154,6.470862398,4.169986761,5.602988767,4.398081235
1247,7.909961732,4.732657573,6.574053894,3.230101377,6.854405782,3.511285403,3.492051084,7.952365342,4.650567197,5.717683534,5.525022023,3.061780877,4.784682866,3.30572974,5.970667473,4.998707315,4.832529638,3.473620912,5.247437913,3.885291505,3.339880849,5.418887692,6.290669267,4.020619877,7.529542078,6.486089398,3.587992174,5.933314166,6.696399512,4.532949893,6.698687289,7.718722456,5.374701891,6.289357719,7.457625985,9.877956959,5.480585854,7.707292668,7.610926717,3.742643626,6.147495152,5.395445359,5.372951253,5.53181465,6.959431406,5.270285487,5.288956872,4.045464892,4.576028256,7.404197354,3.699070722,4.199646437,5.514038586,5.18058999,5.634692199,4.610222394,3.238005812,5.090180762,3.254908804,3.605885826,7.722121476,6.071152336,6.50897516,5.647897757,7.077130115,3.306282019,3.095283368,3.433169746,3.53265401,5.091913275,6.827717459,7.400256924,7.805865865,5.51662893,7.157886114,3.973319175,3.308552208,3.626367546,6.888102571,6.542357085,5.839295397,2.800723976,5.879914493,5.144356086,6.381169956,7.942381164,5.889583522,3.345832802,2.948268567,5.189466866,4.930103039,7.940218862,6.407205644,4.476318903,6.872884319,7.789924119,3.903468626,5.995220001,8.37295537,5.890023474,10.08877546,3.173257003,3.250828386,7.719009288,6.253342432,7.632608324,4.96581299,5.227226363,5.463016158,7.569866499,6.367548461,7.854779755,3.689409076,3.448396517,6.823037141,6.072573099,3.32999857,5.542007255,5.181614529,6.543974505,5.994205117,7.611833282,5.119324758,3.389365738,5.262388811,8.114696946,5.395296687,5.659459516,2.877520145,5.383057048,6.242460793,7.902691416,3.688752936,6.467241095,2.979792895,3.22958222,3.048816606,3.515663389,9.477111973,4.098879766,5.96907555,3.961282141,6.356706508,4.58634561,8.902593534,3.979869284,3.983317393,3.762807601,6.585975238,3.27812088,5.721430609,3.532857532,8.496958465,7.47040927,4.701780454,4.293976316,4.573473609,6.063910976,4.484266928,8.125842094,3.661840279,2.808864631,5.09592236,3.77740603,7.474318661,3.497912975,3.876291077,6.479021236,7.834382896,8.55119744,3.070212355,3.129925676,4.53826828,3.247848146,5.430994436,6.019250174,9.052230218,2.772935609,3.026815523,7.756322169,5.7641127,6.512049478,3.415873265,3.71177986,3.497462783,3.080625956,5.88041897,3.315869168,10.37830782,5.154022768,9.891158562,6.130052508,4.803505241,4.464141375,3.174147754,3.723547942,5.799886614,4.166000758,5.80374132,4.731844883
55,5.994259249,4.691808574,6.897421271,3.435713366,7.28930382,4.234884658,3.598504067,5.661353088,3.98779398,5.379183734,4.393846962,2.99388831,4.552601911,4.081505381,5.461154044,5.324496054,5.151091968,3.719261381,4.928460363,3.916161474,3.471303351,5.262681569,6.909464369,3.482400667,7.167446936,4.241883094,4.059125421,5.733013977,6.476648444,3.633423986,5.637126868,5.735248599,6.143101036,5.054744073,5.897531783,10.33966287,3.701461198,5.588942532,7.070621011,3.558676798,6.559889808,4.655141547,4.760254474,5.924963512,6.617525981,4.540913875,3.620301501,4.455786238,5.782283196,7.482623097,3.890861518,3.817318135,4.84796744,7.00235218,5.132652063,5.65110667,3.762852096,5.395199526,2.927216434,3.921225782,6.620702202,5.006619195,8.94960571,3.795674367,7.786823979,3.647391341,3.258354974,3.966961805,4.208042753,5.606946659,5.596289981,5.667838328,6.21583246,4.746416627,7.199082944,5.347832739,3.638664265,3.768823693,4.764803979,5.312652277,5.752512442,3.334067422,6.069370766,5.370053324,5.728189579,5.635773354,6.694564805,3.431767547,3.094500095,5.701235276,4.281536165,6.87353254,6.160869616,3.810916558,5.671868847,6.531255441,4.486744448,5.393525447,7.030581772,7.840150839,9.696937184,3.657390528,3.29025908,5.73083589,5.606209885,7.029146163,5.320074445,4.529663959,4.827279799,6.479252577,3.930366123,6.408034768,3.576964274,3.770799472,4.816195598,5.513710009,3.303434338,4.770035929,5.713191302,6.241333679,5.707390941,5.802865881,3.702888048,3.832701243,5.418411634,7.871009654,4.671297018,4.353853248,3.449600692,4.853091257,6.816497579,8.856911887,3.488628022,5.993037794,4.274825434,3.667190064,3.135713356,3.621735099,8.830890976,5.588457309,5.0511291,4.912109783,5.207657084,4.677694268,5.281398486,4.467643607,4.034378352,4.664174141,4.840140367,3.289806149,5.41055603,3.825950112,4.88110481,5.593844493,4.783176707,3.930097894,4.28440095,7.066553212,3.825236277,8.43367152,3.742784845,2.708309309,4.530159952,3.987945823,7.481287882,3.821429504,4.259194862,4.961193102,5.348973121,6.591461968,3.533464364,3.232747492,5.123613406,3.419252478,4.841365478,4.924061031,9.986968238,3.023863128,3.305901985,5.623570976,4.401746961,5.834121681,3.188346768,3.513208568,3.839211478,3.185988916,4.813391935,3.29763139,9.008860113,4.221429587,10.82957555,5.49573294,4.691439713,4.60050142,3.339483604,3.112329096,5.885988806,4.280250981,5.629998768,4.232999501
1495,7.941993329,5.222858566,6.174410819,2.991446331,7.294608129,3.616277137,3.523976808,5.655733023,3.899646139,5.65305793,4.916188268,3.214851208,4.877794117,3.744011653,5.127709274,5.485035981,5.26953393,3.504986119,5.189266869,3.600865475,3.392775839,5.224075003,6.116504038,3.271653374,7.932662439,5.900203202,4.116343803,6.029317056,7.246564188,4.41677305,5.787003001,6.517125699,5.517256203,6.071462199,6.146578619,9.604612836,3.696875331,5.469542581,7.47097693,3.398010365,6.147988511,5.681700064,4.613069897,6.564637375,7.352407054,4.56690936,3.171806106,4.107559197,6.041759234,10.18754327,3.662123319,4.622832259,5.92160335,5.772701381,5.222459002,7.118534315,4.776206099,6.516232401,3.058171291,3.858866304,7.443613116,6.351389096,7.382664789,3.661776685,7.233180066,3.593445722,3.184301509,3.51376554,5.27768214,4.68055526,6.76664658,6.627273147,5.138038478,4.84707599,7.138000499,4.602353398,3.324204724,3.710139141,5.599344798,6.69443781,5.43890566,3.006419054,5.94981754,4.917026738,5.755334231,7.294601259,7.525092418,3.505873567,2.99302492,5.891090311,4.582835687,7.014778533,6.509185313,4.261856761,6.858047225,7.284445431,4.37728468,6.334072197,10.29338703,7.924343344,10.48751034,3.539514657,3.287069786,5.701425979,6.240766589,7.904655843,5.498241151,4.977760216,4.676292314,7.184989719,9.606958628,7.823162347,2.93799739,3.606012498,5.50840497,5.42539085,3.326260774,3.383973178,4.800194793,6.005779751,5.751388882,6.652139813,3.623081853,4.526965528,5.028312815,8.397837026,5.088338756,6.054883815,3.092073019,4.965899104,5.420558957,8.263683408,4.216971232,6.454545049,4.009568101,3.346944341,3.285454995,3.695262387,8.502645365,4.948588333,6.087246248,4.353565363,5.7856997,4.811762241,5.39299445,3.719554267,4.121228849,4.661885282,5.652977761,3.130926824,6.848277364,3.402543057,7.045402565,6.661616546,4.266886457,4.20979216,4.861248615,6.343681559,3.85635305,8.883520908,3.6068745,2.903504391,4.230600119,4.066488833,8.049824293,3.651226696,4.164807516,6.432269554,5.000409948,8.456642305,3.023053802,3.118661043,6.417383069,3.504247031,6.204038984,4.8215494,7.810461807,2.909678514,3.129281916,5.731250243,3.945497865,6.726453196,4.388254489,3.726639037,3.545144068,3.455389685,5.770653913,3.711976315,9.769934469,4.198263824,10.07572004,5.547573666,5.162158955,5.797782621,3.117779101,2.946734436,5.81359098,4.089670299,5.50108518,4.701459612
61,7.538851177,4.4656156,5.897332171,3.219106615,6.977480654,3.482473296,3.451197652,7.099698383,4.644246991,5.359050713,6.541137037,3.24409725,4.411260378,3.526314998,4.346490062,5.147412701,5.123220122,3.82810907,5.758835403,3.858169333,3.203870264,5.364694278,7.051803543,3.526106729,7.220725782,4.497756228,3.744184773,6.040252425,7.06258557,3.488977189,6.726110244,7.125570968,5.861931988,6.549033978,5.893807551,9.820801351,2.813585402,7.783537333,7.07642272,3.780081748,5.892452767,5.017716601,4.183348095,5.269241703,6.735181134,6.006906432,4.485851414,3.860025215,3.720689633,6.299885604,3.788267384,5.152420401,5.714442999,4.705747751,4.832811709,7.614271187,3.418210227,4.351394353,3.14107621,3.56857778,8.349974838,6.544717928,8.558289792,4.525485204,7.259887908,3.73525831,3.022147828,3.499456884,4.114153137,5.82385904,6.421010158,7.201237319,5.33699313,5.358601975,7.933291651,5.695584398,3.389067387,3.519597023,7.438723843,6.025831162,5.013475005,3.130225999,5.583517467,5.145524377,6.230441367,6.873070628,7.682243349,3.296343385,2.89865314,6.028102336,5.377225493,7.432374318,6.665247534,4.239552498,6.876438632,6.520376494,4.454227115,5.879123364,7.413265721,7.893811068,10.11003145,3.238056121,3.05891097,6.491092197,4.842969378,7.343622332,4.989762353,6.299966072,5.341891762,7.680190486,3.378529298,7.415157753,3.693346892,3.396549256,6.756756749,5.932303435,3.410855145,5.601358106,5.610396564,6.529629767,5.262276394,7.905937543,4.506598748,3.616680528,5.101273303,7.508148632,4.614557537,4.719297107,3.193860999,5.740643498,6.080926474,7.802564385,4.259954983,5.704289001,4.072825918,3.85927875,3.142490708,3.655377751,8.360405871,4.581635964,5.727918274,4.178547845,6.068685465,4.313770571,7.779380318,3.946665017,3.771257928,4.365406818,6.676831721,3.383900558,5.610458408,3.279350572,6.146111975,7.399293051,3.845818593,4.040710953,4.066625307,7.313612548,3.747578073,8.378971484,3.355524642,9.526716286,4.494527614,3.791599123,7.847360488,3.538568697,4.172949793,5.864462755,5.531820836,8.509209481,3.179841073,2.980748947,7.00847547,3.301324401,5.279189158,6.210773588,5.532748998,2.762594329,3.402722076,7.76908247,4.533265086,6.352213193,3.382191271,3.600617225,3.426124474,3.003966482,5.153787651,3.292266861,10.36655354,5.482469973,10.65664842,6.145716849,5.333306197,6.343852855,3.007417771,6.784443048,5.542085685,4.564861781,5.761323468,4.277106312
1418,7.656750205,4.789309361,7.197067427,3.062021591,6.894495013,3.591709402,3.507483995,6.424619951,4.012772341,5.99599361,7.53334934,8.111321482,5.16900701,3.273799156,4.835136181,5.220714123,5.27781606,3.917113263,6.014591438,3.651012701,3.314453109,6.717473108,6.369759204,3.847781492,7.396691005,4.832915214,3.770882023,6.193763563,7.65315614,4.353230166,5.315615612,7.338306718,5.863269873,5.797207228,8.111007005,9.755304379,3.141194268,6.987731279,8.039324722,3.589964819,6.583777742,5.170411821,4.944561855,6.408073782,7.311239986,4.259900404,3.936646655,4.028925861,3.95004109,5.895186123,3.668948698,3.955759063,5.340351205,4.890349175,4.623788856,5.068524585,3.829622194,5.385765129,3.286815065,4.211510484,7.800258693,6.316433324,7.755619173,5.121013788,7.751656013,3.562890579,3.115904253,3.519463371,5.287731258,5.304705031,6.409299511,6.664716037,5.706291754,4.697467444,7.116301282,4.94436373,3.39370585,3.75717105,7.041504587,5.559054944,5.84297561,2.918336539,6.127723127,6.003281649,5.992217037,7.10249141,6.71566408,3.349569564,2.887397273,6.266384233,5.090011112,7.13606788,6.340637664,4.816506563,7.502502121,8.183716544,3.911045029,7.186431808,7.942614727,5.566267655,10.25162008,3.707175848,2.858814147,6.928184821,7.777075581,7.853384852,5.041100804,5.397983739,5.527172599,6.913607939,3.692355729,7.511466989,3.524101193,3.212106857,5.644785642,6.781276759,3.498346712,4.712428132,4.508839432,5.430604152,5.599998398,7.03133068,4.830649725,3.439497643,6.224457928,8.760502712,4.588828188,5.908423041,2.994934225,5.504241211,7.961332136,8.070347986,5.69977693,6.218311058,4.260340852,3.392603836,3.30465379,3.55578787,7.961667652,5.210407229,6.039413419,3.890782957,5.923473662,4.542540233,6.801810963,3.838661994,4.168278838,4.116905659,6.819581155,3.28856253,5.6521443,4.776858385,7.000753947,7.056222597,4.708601585,3.83994476,4.461114191,7.148500322,4.358549126,7.388207708,3.698631762,2.773781614,4.391028779,4.062616365,7.632144893,3.442864927,4.325251509,5.412496843,7.682055452,7.820206333,3.074256306,3.164414716,5.527485477,3.573532087,5.975738223,5.066846167,5.32765721,2.698564789,3.29859206,6.655320533,3.850615601,5.565123002,3.129726526,3.715512431,3.302086922,3.318938142,5.58860359,3.144342392,9.819682788,4.04671737,10.54117817,6.069712802,5.566872904,5.209612064,3.347536487,6.433564812,6.189814004,4.313182118,5.383840323,4.635843196
563,6.549467776,4.588113792,6.091065201,3.029274082,6.710704189,3.339301321,3.414790124,6.147951259,3.961907561,5.892339826,6.739021385,3.11233546,4.7329224,3.995409884,4.698493255,6.216305663,5.012595897,3.763680229,5.456093046,3.510648165,3.227655454,5.79868468,6.356316153,3.35750207,7.003519285,5.144811631,3.527879522,6.369269582,6.701128014,4.20228064,6.104357522,8.323012554,5.701825814,6.232672554,6.80560465,9.777105789,3.337157599,6.457741071,6.765411359,3.362282171,5.826650891,5.161094507,5.494420674,6.882547529,6.557582077,4.581702845,3.445519211,4.115638555,4.340556445,6.614606173,3.734972625,4.270073567,5.999856989,5.366694533,4.89709393,7.315936176,3.973247694,5.933169703,3.098417835,3.883272823,8.293435163,5.865815472,8.244410149,4.219118139,7.02435598,3.432718255,2.983645401,3.734642647,7.077075499,5.808943756,6.033726289,7.022356298,5.177554732,5.744360541,7.783559314,4.221844036,3.52099351,3.412336996,6.241503311,5.33200977,5.710777117,3.004282712,5.818588418,5.463813205,6.068433067,6.621353467,7.116738965,3.385569775,3.170020544,6.951545566,5.04181821,8.048737298,6.49250089,4.327880432,6.354407186,7.542495954,3.837059649,5.650541013,8.752350223,8.167412327,10.59076817,3.297040655,2.849120051,7.598829448,5.579654766,7.573324514,4.991623737,5.29529881,5.289518844,7.465454059,7.792485693,7.573836574,3.692828095,3.479211,4.575719731,5.845963557,3.236319943,3.966198789,5.149840443,5.852379394,5.650456978,6.470886099,3.816833961,5.794279513,5.216925361,8.200021378,4.667520458,6.531080376,3.081030373,5.524591809,6.732321165,8.162159724,3.765341445,6.652311621,4.400822512,3.431066637,3.17311866,3.710934623,8.100114176,4.760865802,5.399603245,4.599681339,6.205006131,4.51880969,7.555831626,3.578983592,3.871486234,3.8125805,5.434903183,3.346403085,5.993578085,3.445890078,6.599880389,6.570733112,3.947199137,4.052825726,4.502419567,5.928269233,3.643372356,8.283048353,3.522403255,3.021958976,4.388155013,4.625290019,8.560655278,3.64651828,4.085796602,5.909830748,5.691660679,5.675536826,3.290370603,3.143389442,5.52224256,3.797609384,5.524231307,5.295897964,7.751939742,2.819494132,3.211577173,7.97890305,4.799843049,6.003112965,4.534360476,3.723714162,3.549860679,3.140191327,5.673359007,3.23277369,10.64008228,5.047673777,10.29839712,5.568467725,5.112609084,6.469146065,3.088346197,5.614697602,6.365959542,4.220802377,5.863082294,5.20679275
361,7.993450417,4.878085535,6.183557848,2.967724771,6.83666998,3.348895611,3.40711032,6.442897823,4.112863732,4.656777913,4.705877866,3.266929337,4.766097667,4.537713581,4.888386897,4.752879999,5.417928338,3.627447608,4.085073664,3.483037583,3.409133352,5.167553974,5.365823683,3.309053988,6.361061347,4.656068234,3.999403957,5.664334322,5.830611528,3.575829696,6.180666469,6.848482351,5.028415007,5.339108954,6.03718983,9.21075843,4.602477096,7.442124452,7.351311985,3.567034044,5.590853246,5.730603535,4.167503901,4.956122029,6.167647837,4.927774436,3.383800385,4.211526525,3.715176714,6.818722981,3.551833211,4.916886921,5.093858538,5.408396088,4.484190578,6.045507054,4.028363743,4.000318993,3.189661256,3.820946318,7.883139114,5.297107704,6.546038729,4.379142212,6.99949282,3.421041758,2.922497025,3.379391588,5.094352379,5.36457326,6.869471474,5.980321256,7.109313706,5.307199419,6.065597904,4.15215376,3.763084585,3.728030208,5.935828773,4.703539799,5.014927817,3.311850292,5.502907053,5.398269943,5.915793327,6.072266092,5.394921346,3.475552362,3.048896243,5.916671566,5.278664546,6.678961233,6.483546668,4.099456009,7.363070252,5.889922315,4.240457703,5.822512386,7.223742492,7.642146798,9.591877034,4.145255991,3.067514618,7.877008473,5.320943192,7.346242238,5.377758751,4.176017123,4.538394873,7.043795788,5.083729269,6.632638386,3.138453837,3.59688652,5.459160799,5.434205705,3.451073236,4.169649344,4.396946771,5.907204625,5.264674818,6.807884531,4.411275379,4.089214301,5.039211919,6.605749762,4.98648102,4.783081964,2.940516311,5.115476318,5.280903555,8.293946156,4.022972219,4.766118499,3.309371572,3.485888502,3.628362322,4.027102481,8.987296805,5.355630964,5.619587077,4.247355187,5.454567514,4.485506035,5.591789284,3.68421848,4.068214582,4.01872298,5.1193379,3.067148256,4.637381077,3.365618803,6.015780329,6.433035231,3.41447092,4.083132746,4.412175709,6.308351947,3.776538052,7.167721636,3.753733968,3.026127436,4.259819394,3.638925713,8.020031276,3.841848687,4.182941374,5.946851228,6.125590831,7.554744696,2.84665784,3.648928703,5.159372477,3.481401713,6.39417207,4.299066984,4.863920727,2.685608159,3.364540533,7.098689133,4.858063924,6.446996304,3.470102636,3.579688599,3.599664996,3.260170261,5.675748614,3.43003991,9.574879548,4.520214374,9.266376083,5.680956522,4.184253225,5.070488354,3.083325284,4.032931725,5.600824424,4.649851277,5.147622622,4.394628851
1992,8.068176689,4.554152374,6.196181111,3.117222658,7.326922484,3.573821785,3.755085613,6.012729383,4.042467128,5.107028339,6.250136758,3.304523035,5.41699501,4.24520349,5.667549585,4.92921569,5.292425975,3.860635577,5.730967078,3.704609636,3.34003439,5.819936109,6.125323284,3.469448803,7.419739702,5.785386213,3.885186848,6.350790572,6.580698833,4.495278529,5.864056891,8.217456636,5.450410217,6.263583127,6.783313014,9.013625275,4.213961668,6.218639797,7.184640813,3.830468398,5.938792063,5.066511497,4.891327413,6.509727654,6.97225282,4.94389731,3.290116745,4.448468231,5.291332464,6.402768778,3.629071413,4.637976562,5.848399538,5.418909947,4.665233436,7.202049969,4.461714991,5.46046902,2.958848887,3.684072588,8.294865123,6.322769739,7.9236152,3.744782215,7.748392905,3.441804403,2.984438973,3.709674303,5.026938078,5.246744077,6.266038593,6.43437931,5.007200457,4.429312362,7.298197826,4.051382717,3.406011622,3.367289562,6.49152909,5.71771428,5.554925225,3.127850939,6.57298223,5.430456125,6.12496816,6.378014058,6.27783521,3.455778714,2.882058446,6.364379158,4.720609482,7.571057408,5.906490807,4.211557419,7.530422412,6.98201968,4.473446886,6.574225785,9.532838632,6.932773167,10.53454096,3.56902174,3.051759409,7.498547828,6.878565396,7.802668506,5.284022311,5.13043215,4.802791844,7.982824154,6.809875851,7.084852496,3.160746081,3.597902628,4.196221042,5.277626951,3.364172202,3.406782277,5.121705665,5.382118429,5.439723236,5.675063934,3.965024345,4.36331908,5.971349276,8.524250321,6.737006732,5.704963857,3.701100192,5.070317519,6.122473046,8.586910207,4.542680383,6.397599565,3.787399043,3.376096104,3.375158646,3.715868802,8.277190047,6.104838346,5.342090542,4.8694534,5.611616289,5.030671514,4.310280075,3.696742491,4.056641849,4.031227684,4.932494482,3.232598637,5.69157038,3.594811616,5.835705897,7.059602744,4.142298584,3.754864163,4.097346118,5.599598033,3.584113345,8.354654553,4.411540727,3.495287435,4.389904373,4.489021059,6.793557966,3.881808803,4.033266544,5.845846534,5.082465485,7.514816491,2.977253192,9.261382054,5.614423524,3.672842249,6.266257684,4.468030092,7.981704627,2.75745858,3.149496575,6.900158693,4.9849062,5.620316493,5.318612176,3.509099395,3.607758785,3.275732933,6.034280948,3.328210338,9.730769152,4.217465955,9.390790982,5.867688223,5.106171691,4.959464484,3.177351252,2.727513869,6.847452918,4.506140361,6.241578083,4.57883518
1918,8.344128729,4.780270421,5.304975685,2.979021455,6.983509979,3.723176169,3.52595624,5.557059187,5.328186365,5.379018301,5.606731189,3.322846878,5.127876122,3.481165912,5.051931293,4.205283469,4.497440002,3.728427098,5.097164286,3.767403331,3.441018537,6.124475856,6.4991027,3.577737564,8.012249766,4.669044102,3.919547594,6.821775344,6.533681672,4.130173828,6.203120192,7.571420866,5.741340659,7.004158389,7.927558621,9.566696999,2.741504739,6.606087976,6.532557231,3.738187117,5.706239471,5.422077474,5.3537581,5.921216973,6.702691937,6.214507226,5.357019146,4.171051697,3.582448333,2.791896362,3.629350283,5.166051956,4.826228719,4.151794807,4.573981342,7.520614005,3.449155952,5.599160206,3.13392015,3.75098242,8.660458842,6.182164573,8.521006335,3.695657032,6.410457563,3.347460657,3.081875427,3.408615195,4.671017608,4.921408222,6.215668075,6.424978551,4.224624993,4.275057692,7.643191771,4.657946639,3.233088615,3.537824112,6.076270531,5.169278813,6.015586899,3.266582684,6.731553446,5.393848533,6.151015919,7.281422401,6.798762685,3.452525302,3.103985997,7.001709011,6.013438712,6.583098955,6.826142096,4.66296809,6.617040523,8.304430009,3.505562386,6.717451666,4.621935153,8.633550481,9.959725275,3.746021272,3.451102423,7.641179585,5.390549997,8.769163,4.284869415,5.838551783,6.11653878,8.034313696,6.626860568,7.488915058,2.821244289,3.713748445,5.045572376,7.036369501,3.236040331,3.965103194,5.081774027,4.159092639,5.300663408,7.235927156,3.357616165,5.021895794,4.768995375,8.253511235,4.334901471,4.950691244,2.992000707,5.038699337,6.351741164,8.787304477,3.23732143,7.586861773,3.448221438,3.414007601,3.338723735,3.578078492,8.408624394,4.301449445,6.468252386,6.094040143,6.443566453,4.68140368,6.943138631,3.488365939,4.174824675,4.664408763,5.854393797,3.484138446,5.94172403,3.408917562,7.91938847,6.587044167,3.078156021,4.275617999,4.172198425,6.152950596,3.495488003,9.039041357,3.419357421,2.932340295,4.30031988,4.115521721,7.444348025,3.386501942,3.945567698,6.454070445,3.155899083,7.452485461,3.311822581,3.301714572,5.248740056,3.406460258,6.934841755,5.093997443,6.512111464,2.808862962,3.558512853,7.632744651,5.924330657,6.254538347,3.074461954,3.730252859,3.381337387,3.256503711,5.537704459,3.541829119,10.23586932,3.952063748,2.971236556,6.493860701,5.256322443,5.576586296,3.159501673,2.893470965,5.25789479,4.568920879,6.734785271,4.655842185
