"response","TMEM16K","PARD6A","LGALS3BP","CDC73","CEL","KRT17","IL21R","NAG18","RNF38","MYT1","ACIN1","HOMER2","BAK1","BRP44L","PIK3R3","C16orf44","SIL1","PCNXL2","TRIM36","FLJ13611","PUS1","C8orf4","LYST","IGBP1","SCGB2A1","CYP27A1","PYY","FNDC4","HOXD1","LRRC8D","SNRPA","DONSON","MTNR1A","MEGF6","SERPINA1","VBP1","EPHB3","USP24","ANAPC1","CHST2","SLC38A3","OLFM4","PLAU","APOC1","PAPD1","ATAD3A","DCTN5","ADAM7","U2AF1","BACE2","APPL1","RPE65","COMP","CDK5R1","QARS","ARFGAP1","FARP1","ZNF593","C7orf10","CARD10","C1orf89","C6orf97","CDC37","CRY2","CADM3","C5","SUMO1","EDNRA","FCHSD2","BIN1","PTP4A1","AMDHD2","CHMP2A","MYL4","RRAS","EIF3E","VDAC3","C1orf63","COL5A2","RCL1","RPH3A","BTN3A1","CCNL2","TUFM","COQ7","EP300","CLCN7","SCYL3","MSX1","ISLR","SLC16A2","RICH2","S100A1","ZPBP","HLA.DQB1","ELOVL6","C19orf21","JAG1","FBXL6","TFIP11","KLK10","IL18RAP","TBC1D19","DCHS1","KCNJ5","PHC3","WDR74","TRPV1","HIPK1","C2orf47","FRG1","CRNKL1","NUP214","ATP2B2","HIST1H3D","GATM","GNG7","STXBP2","RC3H2","CFDP1","HOXC10","RAB13","USP21","RPL24","TGIF2","MSH3","CST7","APBB3","GPR1","OBFC1","ERMP1","TEX15","USP22","RALGDS","FLG","GNRHR","HIVEP2","MAP4K5","LRP12","POMT2","NR1H2","ZNF592","PDCD6","MOBKL2B","TMSB4Y","POU2F3","SYP","CASKIN2","JUND","HSP90AA1","RAB27A","ECM1","CDC23","MED27","HABP2","TRAIP","CASP9","SLC9A7","HRH1","RAE1","IDH3G","DMXL1","NIP7","MAK10","DHODH","USP10","RFC5","TRIM5","DFNB31","ZSCAN16","FOS","NOTCH3","TMEM112","RBM38","IL15","PSG5","ZNF93","APBA2BP","SPINK1","TMEM176B","ARMCX5","ING2","C4orf16","CAMTA1","PLSCR3","GDI2","ACVR1","PRDM11","PAX4","CNP","ZNF227","DTYMK","PRPF38B","ARF5","TAF7L","ORM1","ATF1","FAM50B","POLR2G","TMEM165"
1224,5.634042606,4.50982815,9.319403107,6.180757206,4.83381063,5.340095667,3.417512484,2.767890138,6.993723014,3.461893309,5.763432336,5.754342354,4.757774938,6.560292597,5.530267609,4.4441004,4.795136092,6.449025313,3.719032692,4.331787185,5.826903379,5.759847456,5.400699668,7.03288785,7.257197907,6.870569414,3.359291387,4.734247567,4.027327956,8.132294815,8.018833323,6.982780208,3.548969326,4.177309275,4.283024324,8.364264794,5.88991322,5.758034585,6.242879419,6.740256853,3.851219851,2.969107089,4.899373888,6.016255713,7.049189315,4.51061207,5.352113087,3.175019828,9.513340993,7.659447866,6.490184343,2.561224539,3.61548158,2.989590521,8.817622126,5.386650075,7.188009392,6.10424265,3.609696941,4.385468666,3.291245611,3.839176295,6.391091337,4.552805219,3.506518607,5.929677942,8.404962355,5.251405261,5.810625957,5.10573047,6.181165909,3.79759484,8.971225503,4.167385527,6.431846084,9.679648683,7.046190292,6.834789672,8.091861636,5.287418034,3.501917222,4.724674862,5.414340715,8.092339383,4.634258357,6.607344538,5.591468474,5.668955621,4.628273202,5.43159962,4.878950367,4.54764344,6.569338192,3.323883931,3.806403397,5.365521491,6.14774977,5.760127344,3.725479118,5.002841621,5.097531785,3.242487979,5.697955739,5.412395664,3.862499168,3.691366015,4.37294116,4.052044102,6.554943839,7.380886679,6.966229599,6.549657778,5.090933926,3.819386249,5.007586467,3.606075321,3.894373905,5.078227538,6.030211467,6.465631168,3.347097538,9.62320066,5.633737819,11.24748717,6.497263343,5.2151194,3.587308499,4.210418971,4.901028264,5.475477529,6.558978249,3.411946414,5.712271733,5.620197224,3.322496076,3.12174123,5.350969657,5.46798844,4.366248566,4.881721348,4.421718409,5.62590556,8.396545859,4.969648774,4.370108149,3.799861424,3.749531178,5.010841707,6.503020889,11.25620797,5.193649881,4.660311289,6.487476117,6.490755537,3.552164363,4.080604651,5.088253664,3.017908217,3.753671646,8.266041453,5.76036677,5.874046197,4.999915812,6.419325399,4.482470834,6.370190781,5.998472416,5.268658926,4.954455748,6.142499434,8.167165597,5.583506219,3.938004931,5.631777216,3.711877408,3.722241158,5.835814495,5.493278274,3.407445031,6.644445708,4.946986209,5.609038587,4.669975849,4.091713004,7.080356608,8.595036274,6.394052061,3.34499774,3.182209593,7.363689901,3.908460608,6.459769165,5.637571676,6.841105716,3.822806727,3.101355226,7.310892174,5.166594021,7.956109264,7.710262134
1247,5.831581822,4.099918731,9.095127198,6.508120939,2.979792895,4.072274434,3.309150187,2.940720699,7.342581066,3.619752509,6.814416027,5.332721289,4.96647852,7.207773391,5.05785476,4.299491584,5.70167852,4.523528696,3.689409076,4.224853996,5.685730908,5.933883229,4.305420817,7.326495047,10.92971983,5.854473032,3.048816606,5.09592236,6.867157022,7.624144962,8.714261032,6.68568953,3.406435864,4.698394904,4.780799154,8.02781777,4.995539708,5.274509395,6.32256429,5.845910836,3.561534898,2.885023051,5.405552848,6.823417293,6.739718094,4.58121725,5.070275422,3.030960904,8.62703842,8.073819103,6.974887262,2.556456004,5.06690265,2.950231405,9.502915669,4.85174685,6.365481176,6.389712598,3.940362889,4.474763881,3.430402015,3.965985653,5.822174796,5.007747445,3.661840279,3.947319816,7.689907781,5.916282954,6.714838719,5.409684466,5.762285819,4.203214159,9.018345543,4.294061603,6.466543772,10.71582116,7.997979854,6.941592585,8.368888472,5.746616724,3.347398612,5.147617964,5.050350044,8.590985927,4.478811579,6.796347917,5.497083007,5.676775885,7.881077823,7.593987381,5.349464685,4.759328056,5.721706474,3.198567939,7.058442831,5.151919267,6.347981653,6.335863539,3.592323237,5.583057855,6.621029996,3.752916535,5.334150781,5.093577949,3.699993023,3.341129224,5.11330389,4.003388204,6.114092278,7.294029761,7.24081491,6.370256245,4.457428977,3.672536162,3.846743526,6.24926452,4.199860273,5.089273471,5.162544072,5.545542746,3.473620912,10.17635838,6.03464618,11.72844827,5.54188216,5.06219061,4.424095023,4.046448776,4.806984768,5.609025733,6.326045121,3.589402331,6.273621755,5.390562985,2.808864631,3.072623306,5.738121027,5.479374956,4.166636924,4.299693637,4.600161554,5.114511728,8.273162288,5.468358548,4.285207751,4.267151151,3.885691161,4.252820026,6.278867128,11.04618263,6.079365473,5.67615778,7.011634026,6.218016696,3.448396517,4.094239286,5.923235619,2.993132321,4.66965845,7.717404493,5.582278337,6.724651342,5.120313035,5.778831118,4.499616001,6.457958069,5.285972489,5.440410575,3.767213776,5.804498068,10.2471861,5.209827849,4.260181462,5.466514772,3.640430855,3.731429251,6.936510253,5.746573673,3.061780877,7.151585648,4.153045259,5.674662645,4.401315999,4.115079698,7.462445856,9.170115775,7.617964995,3.249411521,3.08473898,6.713712057,3.925811022,5.746053983,5.101730634,6.884443977,3.818910665,2.877520145,7.233790804,4.591723096,8.545986901,7.542088165
55,6.125726084,4.372563543,9.318457717,5.182885923,4.274825434,4.683514893,3.47519226,2.728724149,4.703822484,3.849041953,4.426310445,5.23064248,4.788066209,5.661942132,6.079433024,5.835605483,6.315409695,5.180997526,3.576964274,3.46315402,5.02555054,7.972911531,4.614330731,7.217431045,9.051968123,5.578007064,3.135713356,4.530159952,5.82483874,7.080038562,8.07659479,4.207228706,3.430785846,5.014628382,5.949966933,8.810062335,4.128970545,4.982591702,5.575217573,6.106906494,3.956980673,3.09445161,4.01358592,6.057616159,6.240232765,4.841364902,5.145231576,3.438016658,8.147052257,7.494573146,5.02046372,2.83967667,3.364268402,3.132085321,8.318412479,5.149114627,5.788686376,6.009369906,3.418780786,4.331478462,3.406730904,3.793402678,6.443567085,4.612693951,3.742784845,4.600183337,7.5116769,4.300339991,5.574930811,4.584466303,5.484988303,4.406923543,8.356566552,4.168101139,5.438281449,10.18625361,6.981450916,6.611398814,4.747864961,5.39886292,3.435574255,5.288873254,4.834903738,8.259650465,5.262790084,6.750269864,5.404573149,5.013307508,3.695350544,4.759161723,5.979132346,3.822407937,6.374200542,3.684842236,7.83421043,5.498015028,5.819645565,5.758918947,4.107601178,5.443545839,5.670688013,4.189559012,4.02565107,4.620006889,3.944982143,3.712200666,4.890968453,4.471347637,5.262372752,6.397866918,5.851668322,4.739298131,5.026008021,3.999050171,3.901276814,4.438718641,4.078431644,5.913317126,5.572224084,5.616513285,3.719261381,10.52625063,4.974955423,11.8722576,6.372612162,4.776944204,3.826474104,4.642520326,4.633008838,5.529816325,5.003235147,3.743982079,5.930618422,5.802082335,2.708309309,3.044705781,5.157271215,4.296709003,4.409599534,4.88144588,4.844624746,4.821673858,7.503947506,4.736779497,4.167804005,4.245520211,3.941246814,4.355491037,6.734273723,10.73412009,6.345222492,4.159783587,6.305649733,6.246710884,3.770799472,3.993236172,4.630541542,2.982932231,4.934407793,7.043467075,7.620313024,5.929704034,4.523750855,5.535700993,4.692425226,6.684510114,4.506538825,5.819127275,4.474708313,5.854426519,6.52564518,5.41186407,4.605213407,6.752736601,4.83950522,3.956524961,5.489310589,5.105106201,2.99388831,4.464825904,5.069341262,5.119515376,4.809466306,3.413624185,6.199474657,7.083572168,6.020274139,3.520572165,3.592303161,6.227705097,3.376869525,5.514837916,4.684405025,6.24945232,3.844708829,3.449600692,5.957715197,4.455077082,8.167478635,7.217765014
1495,5.132899119,4.210200897,9.983303562,6.221962892,4.009568101,5.222588714,3.706011344,2.86015502,6.305892942,3.696936229,5.468523618,5.142313388,5.429781901,7.941843914,6.229564911,4.415571836,5.979674118,5.318671611,2.93799739,4.076381453,6.359362977,6.325321103,4.780911563,7.120088659,6.407118102,5.875841668,3.285454995,4.230600119,5.061099379,8.119087402,8.48344051,6.315845127,3.561614371,4.528199283,6.261121034,7.495273526,7.00697558,5.817856393,5.407063887,7.39055039,3.724887258,2.924624604,5.515252035,8.871197992,6.779712243,4.581091946,5.123001252,3.245599127,9.421635081,8.736504538,4.743536237,2.55439048,2.976487996,3.059748121,8.247980085,5.199953405,6.565248074,6.450382275,3.689418781,3.894708985,3.476332749,3.958129812,6.616047459,4.687486856,3.6068745,4.768458966,6.89801611,3.823494458,6.570502321,5.031308803,4.449993928,4.396236967,8.979347387,4.312875617,7.662638716,10.61019175,7.50632538,7.606091592,3.965305273,5.825407004,3.409293943,5.635428079,5.895466192,9.034252397,5.631096438,6.363322689,5.592695063,5.374146138,3.876760108,3.694423462,6.319109782,3.890188375,6.882631296,3.104404715,8.214961454,4.715890058,5.320421428,5.125594299,4.899255863,5.423823512,6.415579315,3.812725905,4.68894647,4.253753153,3.872539809,3.562382071,5.438213161,4.731577061,5.980632079,5.961956121,6.120406541,4.931034764,4.556005703,3.581532992,3.648315117,3.853317266,4.097020702,5.877224305,5.333636229,5.723558566,3.504986119,10.16691883,6.229107923,11.86787633,5.02632655,5.175450566,4.089955043,4.865148478,4.658839284,6.025400662,6.451548449,3.574256165,5.929972607,5.951011629,2.903504391,3.126498419,6.229703666,4.960256527,3.664276698,4.73422017,5.580720337,5.244328555,8.921081466,5.011169916,4.387080048,6.275595552,4.022719821,4.645051153,6.375047521,10.97787836,6.601259366,4.662113212,6.840061494,5.983859161,3.606012498,3.961817412,6.363450095,2.8369782,3.894853928,6.635924988,6.294432428,7.605692123,4.684508294,5.161694864,4.595176311,5.989831721,6.035545349,5.699941465,4.084603884,5.558146011,6.506980626,5.176226423,3.87088543,6.155638333,4.669112568,3.716592478,5.52752151,5.039232505,3.214851208,6.370250656,3.857410991,5.062428291,4.051434663,4.974482336,6.489098256,8.084993405,5.728079838,3.411735957,3.178368822,7.198993801,3.898944803,5.435349794,5.540576937,6.597392333,4.057941664,3.092073019,6.729909979,5.312998281,8.755339835,8.032171034
61,5.827277182,4.583788184,8.915909368,5.519694315,4.072825918,6.544683383,3.770997728,2.771207242,4.813470715,3.663793695,4.684126109,4.292781216,4.800319725,7.140531959,4.967970093,3.928716158,6.053440213,4.324948523,3.693346892,5.052160884,6.37144645,5.969099446,4.691714132,8.289941902,7.469319741,5.625066678,3.142490708,4.494527614,4.042727281,7.705402793,7.770218256,5.077584733,3.529338802,4.542739651,5.861718681,8.421541603,4.397203797,5.414052907,6.552798302,5.138283051,3.741001742,2.918616243,7.515373564,7.368447313,6.369104606,5.10498915,5.436296111,3.087349369,8.866692309,6.899080929,6.255610539,2.586028628,5.304255638,3.071032989,9.344254047,5.335486858,7.210570281,6.987948858,4.389783089,4.528378991,3.383398308,3.68979978,6.69115981,4.609942507,3.355524642,4.142409686,7.422722206,6.8833269,5.325558823,5.387798445,6.348547171,4.211581034,9.018759649,4.077535024,6.366429878,10.61560506,7.085053397,8.303603373,10.24000619,5.748900803,3.473596141,4.685870753,5.750420153,8.907034779,4.774166721,5.929667288,5.740209905,4.912354512,8.00467156,6.926410652,4.625301057,3.628587044,6.895080795,3.112738084,7.963257357,4.704032905,7.335511255,6.436179301,3.834105667,5.237611296,4.810652824,3.740843471,4.792389871,5.15586049,3.817650716,3.555200307,4.950696672,3.728430939,6.306346832,6.881547635,7.362147972,5.768559924,4.739623647,3.586278943,3.63033979,4.321885305,3.982541221,4.769373487,5.662032892,5.812584319,3.82810907,9.635965273,4.962517707,11.91086118,6.435363911,5.76118801,4.439525163,4.503621353,4.778119552,6.722209987,4.792734105,3.624697192,6.194694193,6.215367989,9.526716286,3.044861503,5.426426521,4.752003058,4.533980433,4.480441143,4.650749381,5.20115938,8.87829812,4.354292433,4.28024121,3.400690157,3.646027755,4.529498113,5.956931236,10.92439382,5.631691637,6.2714465,7.277291374,7.112699274,3.396549256,4.014715717,5.48180953,2.949796706,6.059389354,8.641457446,6.272576253,6.762096807,5.162247329,6.63444383,4.151743565,6.388366441,5.355330797,5.069094225,4.547978496,4.910146792,7.656339533,4.864770572,4.325604386,6.748577067,5.663056613,3.758530866,4.993580071,5.49691313,3.24409725,7.209038763,5.119153435,5.50185346,5.142263989,3.740884018,7.555423494,8.40332402,7.541990128,3.225283793,3.099103611,7.012882458,3.446639602,5.684841915,5.596464021,6.690913944,4.003415142,3.193860999,7.748563146,4.965867406,8.578101071,8.091869705
1418,5.687088047,4.55441519,9.099670777,7.041118689,4.260340852,5.599119674,3.85913161,2.67935671,6.568688986,3.634448373,5.529944137,5.460055249,4.628702729,7.228742814,5.19773533,5.074454768,5.987702052,4.30148852,3.524101193,4.177270947,6.222087636,6.361930258,4.329722307,6.894451992,9.198803662,5.442909336,3.30465379,4.391028779,4.66218179,7.851227859,7.787454245,5.346128728,3.350998243,3.922056883,6.258269707,8.376108162,5.907948062,5.557319604,5.946737381,4.731010391,3.715911418,2.748537964,7.106084129,8.106735446,7.225193754,4.773248693,5.782923245,3.110138217,8.882611428,8.111783757,5.949767324,2.486370679,6.550761931,2.992629808,8.701062002,5.562469416,6.740836267,6.43852246,4.763898405,4.369302202,3.317574775,3.466122278,6.508148873,4.620717749,3.698631762,3.852950341,7.798745779,4.855395762,5.998473621,4.22728939,6.647011494,4.288607587,9.110131843,4.191330058,6.928207506,10.96154879,6.924771374,6.008425544,9.800188373,4.830136148,3.415056761,5.005723736,4.391963718,9.217643149,5.265077317,6.742671686,5.95134822,5.691593275,3.664975952,5.449248413,4.652531769,3.968787183,6.687508427,3.033391745,6.663747665,6.052415978,8.224366365,6.040589228,5.06682515,4.903008016,7.599342754,4.637634909,4.46422565,4.694377443,3.803053668,3.448130929,4.91894656,4.311420167,6.469876529,7.362528994,6.978864569,6.36479632,4.568537424,4.244311567,4.402815349,4.548875752,4.441611427,5.000479924,5.321089126,5.983601653,3.917113263,10.64143077,5.988560832,11.98840117,7.08464962,5.155233762,5.236294831,4.489926216,4.870692537,6.262969395,5.267406796,3.882229206,6.201952786,5.717357214,2.773781614,3.085825285,5.850666148,5.203826065,4.603232873,4.730170542,5.073814364,4.801751868,8.52818533,5.723657508,4.294372547,3.571610198,3.584020416,4.37387568,7.04154252,11.06793109,5.659837189,7.112569953,6.669560709,6.263378244,3.212106857,3.500423481,4.684138739,3.131260857,4.780931182,8.00607589,5.733759097,6.127553742,6.006395425,5.311791407,4.37996515,6.4603869,5.116173553,5.406110523,3.809236953,4.489899396,9.770457022,5.552291619,4.320288237,7.555410621,4.346327602,4.212125564,5.057331737,5.27926512,8.111321482,6.752221067,4.42260673,5.797541806,6.285670169,3.554361905,7.418333648,8.41577864,7.787391171,3.356664066,3.287103896,7.30451649,3.078720895,5.481738839,5.975897635,7.664669169,3.843060844,2.994934225,6.963372995,5.388476019,8.060585776,8.703948656
563,5.306610782,4.375547383,9.613533874,6.2229934,4.400822512,5.671741782,3.465153097,2.845191207,6.219988707,3.686239865,5.656039421,5.486311628,4.746849794,7.4870002,5.875445461,4.699944747,5.531625971,5.742818144,3.692828095,3.375884592,6.586282494,8.334449112,4.613115548,6.731171505,7.120571072,5.08763101,3.17311866,4.388155013,8.428438768,8.378814228,8.133587829,7.061461017,3.211148323,4.511291437,4.658401312,7.329966418,5.307234585,5.910929876,6.702892697,6.178570639,3.661708304,2.989826005,5.122385677,6.60357745,6.409517575,4.724952813,5.000188137,2.972328294,9.816588883,8.705802793,5.698362578,2.496283653,5.094964731,2.85579124,8.883972498,4.88858933,6.119551628,6.33042415,3.956401683,4.312943042,3.223442902,3.859053009,6.650722542,4.740804261,3.522403255,4.18917923,7.09460141,4.978088878,6.046808444,5.061340701,5.985647491,3.934908687,9.334061692,4.111767204,6.402387699,10.21429718,7.52424482,7.747817133,8.424357383,5.714045493,3.575659726,5.114803206,6.236186933,8.744140211,5.055159617,5.724401646,6.014999304,5.45966412,4.554268562,4.955811377,4.992063742,3.762907536,5.948781958,3.178231576,6.219562055,5.368065053,5.946697229,5.656418644,3.825240256,4.815773774,6.772044896,3.679247594,4.558070319,4.222440723,3.698593931,3.758296016,4.974193647,4.52928494,5.035565149,6.673541785,7.458234248,6.207597958,4.825755773,3.579176999,3.564111336,3.678269478,3.882971073,5.62775139,5.345303719,5.613660663,3.763680229,10.61539166,6.514280274,11.5173468,6.623064321,5.339534845,4.103572759,4.841148725,4.934296559,4.611493035,5.979996067,3.603881999,6.264005981,5.532492669,3.021958976,3.168184711,5.575908269,4.684291582,3.72436157,5.087632629,4.980939088,4.6448435,9.214926484,4.626897877,4.088315623,3.826805744,3.971889857,4.97907712,6.414381494,11.11473618,5.543187974,5.408311469,7.064212199,6.292056741,3.479211,4.441405887,6.038335799,3.007963137,4.102316313,7.81125591,5.847913645,6.582996547,4.524194713,6.392214295,4.56383597,5.972789732,5.873607634,5.845362653,4.355923677,5.5705681,9.741987097,5.521997651,4.553553833,7.33025303,3.965969189,3.878519653,5.898253645,5.610773221,3.11233546,6.032828003,3.89176498,5.715025852,4.940443008,4.308509991,7.537201216,7.655954941,7.991897718,3.725167457,3.113723728,7.996428922,3.315378736,6.219962719,4.862628278,6.931399584,3.923285316,3.081030373,6.57741396,5.283839947,8.33586204,8.281184796
361,5.366319546,4.632384449,8.167069559,5.135409789,3.309371572,4.273004024,3.480348071,2.92252842,4.989782531,3.581624587,4.741102581,5.774816713,5.118676725,7.345484839,4.614197259,3.93352579,6.076413423,4.647146357,3.138453837,3.443614633,6.223535997,6.368050261,4.182362223,7.141345374,9.419937039,4.90687381,3.628362322,4.259819394,5.984191219,7.218050704,7.861038806,5.636778156,3.223795216,4.495184335,4.671814006,7.86151604,5.201017254,5.422666522,6.305418173,5.549365303,4.162223661,2.942506541,5.785795468,7.020302459,6.94595243,4.673273379,4.425160828,3.342706247,9.396135295,7.194827177,5.619784743,2.696758513,5.521517055,3.135357179,9.282459251,5.480337839,5.35924178,6.991995605,4.424718354,4.638223439,3.464573918,3.857986214,5.458853516,4.60663372,3.753733968,3.972006032,6.921451536,4.151040082,6.391256047,5.504420048,4.950000229,4.441736408,8.840805675,4.267842672,6.761191359,10.54052397,7.106029799,6.99689797,8.258769157,5.472433777,3.503616865,4.972385883,5.235176184,8.409532594,4.3376415,5.944753877,5.621623549,4.786965125,3.976843338,5.620034529,4.311156679,4.141799845,6.896282693,3.309357277,6.850039913,4.73342398,7.122947081,5.110336902,3.901341454,4.944176662,7.177201133,3.775098034,4.854360884,4.567599518,3.793465292,3.30627729,4.839802458,4.306016061,5.641033575,7.040894858,6.673668692,5.589385071,4.707995074,4.061903628,3.615668922,3.939815204,4.070148303,4.616868611,4.787652019,5.054703837,3.627447608,10.31697614,4.643229431,11.72417033,6.44934452,5.145976134,4.457016337,4.813501442,4.702977642,5.229629744,5.20793287,3.175522749,6.107133569,5.559172956,3.026127436,3.145541635,5.424343798,4.332496903,4.001301493,4.567553681,4.425310167,4.863753363,7.963688548,4.405548823,4.279491564,5.064191637,4.296172236,4.358513713,6.161936997,10.08540568,5.317774036,5.384661113,6.810631252,5.603150678,3.59688652,4.001299603,5.503284935,3.155437915,4.067696451,8.598317096,6.201977307,5.997295102,4.83901488,5.593741933,4.48443363,5.234853822,4.333145384,4.163912666,3.937507266,4.73682377,8.599467732,4.890757357,4.033594732,6.732682723,4.602151064,3.424425432,4.537697706,5.612758396,3.266929337,6.062523649,3.417880064,5.20530122,4.276841592,5.013464611,8.944379817,8.931117927,6.696821751,3.098941431,3.502673405,6.085439717,3.500113311,5.416310856,4.931037289,6.074162374,3.927117307,2.940516311,5.788226355,5.060295671,9.021682005,8.126506768
1992,5.4339035,4.357959336,9.285633204,6.681297936,3.787399043,5.81937777,4.013479946,2.647636612,5.693981492,3.60028249,4.678424663,5.21234884,5.596134123,7.381377525,5.306141813,4.644249522,5.937992902,5.515708981,3.160746081,4.116938647,5.823533719,5.982472633,4.339933843,7.399876745,9.795916683,5.37096099,3.375158646,4.389904373,8.33775881,8.975575557,8.239704716,5.272793927,3.363461725,3.928124717,8.168232311,8.043385803,5.493764704,5.824357666,5.707201973,7.007504517,3.658489462,2.861556268,4.604242825,8.177684896,7.381258163,4.716561813,5.14739236,3.190079504,9.267679966,7.968533298,5.486710573,2.594256368,3.507224709,2.804768246,9.048852685,5.289006843,6.296713484,6.754702717,4.307615102,4.548376391,3.405885843,3.889023921,5.531034791,4.415708248,4.411540727,3.80971917,7.760023256,3.683194033,7.256582892,5.608519245,5.910616382,3.848125467,8.338883927,4.26391761,6.942055364,10.65511774,6.583626609,6.346005737,4.462719055,4.796306424,3.691956241,5.647069263,4.380704798,9.004689731,5.293396993,6.520854234,5.837341028,5.751222346,4.120605874,7.889487624,4.75581484,3.992316026,7.367802115,3.171001288,9.64648499,5.52530884,6.854701773,4.938125483,4.037647322,5.277667101,8.018497345,4.125961405,4.37880153,3.789790922,3.734172095,3.419329,5.25798842,4.465526923,6.133191767,7.082246354,6.665332122,6.484031349,4.698388863,4.518832376,4.422854351,4.907457981,3.884717568,5.053822167,4.496187086,5.990116432,3.860635577,10.90580179,5.627480004,11.8132742,6.760010561,5.371566892,4.643548735,4.661514452,4.921949958,5.17240889,5.825397881,3.593926991,6.018115263,5.436327759,3.495287435,3.18053278,6.147363633,4.286082792,3.940916727,4.463586609,5.108393325,5.431353878,8.725723323,5.240478957,4.197577569,6.2629972,3.794548141,4.393287537,6.329932896,10.38780844,6.144522576,4.157630966,6.803501792,5.758175119,3.597902628,3.851745134,5.452811946,3.031359962,3.938959916,8.07622828,6.012136189,6.351577811,5.086774261,4.407639519,4.347076311,6.362103683,5.16843953,4.785356078,3.829805756,6.098783088,4.386579168,5.261479189,3.586536888,6.47882972,4.054095686,4.026279096,4.991139906,5.806176409,3.304523035,8.674030376,4.277417242,5.317915876,4.742545567,3.894485761,6.992171733,8.723164605,6.922171061,3.516451118,3.042702904,7.227015369,3.180337157,5.391514089,5.483155336,6.344165039,4.042902081,3.701100192,7.282533768,5.817919223,8.590460501,8.579923678
1918,5.582437651,4.394614853,8.221934727,6.801433167,3.448221438,6.189026263,3.396514502,2.927144893,5.847288317,4.010314333,5.702164123,5.628971884,4.853705511,7.212105817,4.657638139,4.27413711,4.976994677,5.718085476,2.821244289,4.70081401,6.079548586,3.777288129,4.03439229,7.724600761,6.411230503,5.861132069,3.338723735,4.30031988,3.8653609,8.862159359,8.151471535,5.190419864,3.235179837,4.304896889,3.734253977,7.070323416,4.371901445,6.115766648,6.456867864,5.595197487,3.952051302,3.059784587,4.880843794,5.791769705,6.988899782,4.234821523,5.286469774,3.000665247,9.35400504,6.517380567,5.264655921,2.633277744,4.894314781,3.115662523,9.499216472,5.369752682,6.664855329,7.311473385,4.808432212,3.931373522,3.522417384,3.907270742,6.001863775,3.890300742,3.419357421,3.835041993,8.010709412,4.306942667,5.89270919,4.867170222,5.707475095,4.678353306,9.10389126,4.205981426,6.606213501,9.744809104,7.532573044,7.555819927,6.869082647,6.160888384,3.645775395,5.185373933,5.405588683,9.605499412,5.571740725,6.245834397,6.055103666,6.07551522,3.808286963,5.156094035,4.802136584,4.691050518,5.712882011,2.978412926,5.103878457,4.833683065,6.442632739,6.441767683,3.424256905,5.778184436,4.628761236,3.879402454,5.487482618,4.562554893,3.614297027,3.576023526,5.242875931,4.037245139,6.757649726,7.401764796,7.322172427,8.459835565,4.508698736,3.689053255,4.286099012,5.71114527,4.280553164,4.723583875,4.576020758,5.55885882,3.728427098,10.50593473,6.867531758,12.08291566,7.028754585,5.116801299,3.874884381,4.910519402,4.618610216,6.74268587,6.571336144,3.468910365,6.447031502,5.11565919,2.932340295,3.090027432,5.305361948,4.452890352,3.992300206,4.594545351,5.34362816,5.353501157,8.951366542,4.608806739,4.701025822,3.376958922,3.9026353,4.653467897,6.121439136,10.82535964,4.991736864,4.179850031,7.461973096,6.069086684,3.713748445,4.371724276,5.717680292,3.181801944,3.578661419,9.045326902,4.887980739,6.099137169,5.982051286,6.186862778,4.340911981,6.617421055,5.530836725,4.618981152,4.83236207,6.560464036,5.023175493,5.346111545,3.426010294,6.284266228,3.130110183,3.765898737,5.459426991,6.448152989,3.322846878,3.968222319,4.926062127,5.52572092,4.756613837,4.631240681,8.084244271,8.230787287,6.554587798,3.532228683,3.261481771,6.604860173,4.463504293,6.057317522,6.119434635,6.929422769,3.927386633,2.992000707,7.344409291,6.418620475,8.945112743,7.371774518
