"response","SAMD4A","SMAD1","SKIV2L2","LRRFIP2","EIF2S3","SRPK1","PCNT","NSDHL","LRRC14","LOC23117","YBX2","FNDC4","GRIN2C","RCOR3","BEX4","FGF9","PRSS23","WDR67","DERL1","MRPL17","BAMBI","FLG","PYY","CHMP7","PNPLA2","DIRAS2","TMEM41B","AKAP1","PDGFRB","CENPC1","GABRB2","EPYC","UBE3A","KCNN4","COG4","TERF2","PIAS4","GLRX5","TCF20","KRT10","SPRED2","RNPEP","IQCG","RANBP6","SLC16A3","CAMK2N1","CEL","TMEM132A","RCN3","IL1F6","C9orf127","ACSL3","MMS19","CYR61","CFH","ANKRD12","FKBP10","CREB1","KIAA1305","FGA","CDK5RAP3","COL6A2","GCNT3","TNNT1","HYPK","MAP2K6","SLC1A3","MAOA","FGD2","GIP","PDE1B","FMR1","THAP11","GK2","TK2","CBLB","TTC3","COX4NB","BICD2","TAF11","SLAMF8","SRD5A2L","LCMT2","BSPRY","RNF6","HABP2","TMOD3","ZNF137","GSR","PFKM","C5orf15","DDX28","ETAA1","TRIM36","KRT8","NR3C2","C8orf30A","HOXC10","PRPSAP1","CADM3","CCDC15","TSSC1","UBE1C","ARL6IP1","NOSIP","EN1","EFCAB2","LRP5","THTPA","LEFTY1","SEC14L5","CAV2","C4orf15","NBLA00301","ZNF8","TMF1","INSRR","C6orf211","SPINK1","CNGB3","ADK","SLC16A1","AP3S2","TNFRSF9","C11orf2","HCN3","SLC44A4","REN","COL6A1","TMEM8","SILV","GCKR","CYSLTR2","FAM130A1","ZNF266","ADAMTS1","ABL1","HLA.DRA","ATP4B","MLL","FMO4","TRPC5","WNT7A","FABP2","FOXJ2","BOP1","IL12RB2","CDC42EP4","ZIM2","DYNC1I2","HMG20A","HCFC1R1","RPL36A","PDE9A","PRG3","DOM3Z","NFKBIE","CYP3A4","HS1BP3","MST1","TRAF3IP2","MRPL23","BRPF1","SLC26A2","CD320","DPYD","STIL","MXRA7","RPL30","NOLA1","MECP2","MYO10","SNRPB2","MTX1","ZNF195","DGCR14","HNRNPA1","NMT2","ORM1","ANKRD28","RND2","ALDOC","SLC5A4","FBXW7","ARL2","CAV3","REST","RNF24","RHOT2","CXCR7","SPTB","NCSTN","SLC10A3","SCEL","MPHOSPH6","MFSD5","OSBPL10","HSPC171","COQ4","C16orf68"
1224,3.979417258,7.568978498,6.237714566,5.900144502,4.895330001,6.190207638,5.666210564,5.86583378,6.284336697,8.607832141,3.880008413,4.734247567,3.28163549,6.827455713,7.584159462,6.001093052,6.239554683,5.461281216,5.911889875,6.37724509,6.564648887,3.322496076,3.359291387,5.883448659,4.760582808,4.194808394,6.419152673,6.481418959,5.922429334,4.177491927,3.837602816,5.103649269,5.641691493,5.33761605,6.107529186,6.43073328,3.515403283,9.422157696,4.96451776,8.967512915,4.230135834,7.283268692,5.042133769,7.354234717,4.99040983,4.787769973,4.83381063,5.135308482,4.391274536,3.284805748,4.889980506,7.519963363,5.609961438,8.024108391,5.819527558,5.957314102,4.593498495,5.935990948,6.357600327,3.197765471,7.690845759,5.959126862,3.399555658,7.721196943,7.509139031,4.682880922,6.769267037,4.276543032,3.396780358,3.237019247,3.323609243,8.446196726,6.252403697,3.364887136,4.687312564,5.093763779,8.735460167,7.001752127,6.217352793,7.450006518,4.058957693,3.566334207,5.230684839,6.13086871,4.58359459,3.552164363,3.363743632,5.244854044,4.703977373,7.677096025,7.912479054,3.852213543,5.886546423,3.719032692,8.399595683,7.490583933,5.151862766,3.347097538,8.033367546,3.506518607,4.87962737,6.092836969,7.650993644,10.25233613,7.346407279,2.941248157,6.354108783,4.505580678,5.879313824,4.353923494,3.428468544,5.099812654,6.429536743,3.460840438,5.007029663,6.201863672,3.115194186,7.451785243,3.407445031,4.1114498,5.126012153,5.196892338,5.934086849,3.213448981,6.760420783,3.180328354,4.780109089,3.07585923,4.178611212,4.912624781,3.871338078,3.558158159,3.424448627,6.133053763,7.441667904,7.846146678,8.307439727,6.977836363,3.81881044,5.107717857,3.793541397,3.050093255,4.07406043,3.525279922,6.422563616,4.982704669,2.924319691,6.450117808,3.419583741,9.159310261,4.859368335,6.109926436,11.23961426,5.823635171,3.133295419,4.932996852,4.571327348,4.013189754,5.712870994,5.345018321,5.436351145,6.641123675,5.717978937,5.477888429,5.678633663,4.52560253,7.532075501,10.08034717,11.6781635,6.237144301,5.326660716,7.789795598,8.738360009,7.207153175,6.027746915,4.619384906,11.07799017,5.954463114,3.101355226,4.948302882,3.722796485,4.014915902,3.459649489,4.74159464,6.218161001,3.356548821,5.156367665,6.53385167,4.92479212,7.23368579,4.473079816,6.930286075,6.25298485,3.085069773,6.56661978,5.641216526,8.214958342,5.837871484,5.935020233,5.615662973
1247,3.932408514,7.133137037,6.771670304,5.865273386,5.983825508,6.7689762,6.282145304,5.362441641,5.45677376,7.496892533,3.572786255,5.09592236,3.176753572,5.450194472,7.939115191,6.755909863,9.102658798,4.783844729,6.558733544,7.079617267,5.995086008,2.808864631,3.048816606,5.559018173,4.663382309,3.613519149,6.573433967,5.319626095,6.561537928,5.426709441,4.029490624,5.026430572,6.196848975,4.001095629,5.78483091,6.664020672,3.420048873,9.179337226,4.622388245,8.568222188,4.249115189,6.833548539,6.052107802,6.829605356,4.006264434,6.976346482,2.979792895,4.895960824,7.398511469,3.049639196,4.345146947,7.074496743,6.722812429,9.373001984,7.967188784,5.986155914,4.97032114,5.78452652,7.858662692,3.182776532,5.847976039,6.99886464,3.869863019,7.759095266,8.242011507,4.577305845,6.573757772,4.805713864,3.363563587,3.11953738,3.28943174,8.03617378,6.026237552,3.183575869,4.939142549,5.340000015,8.604334347,7.201884156,6.018334336,7.146588252,3.8603588,3.304245749,6.698047654,4.023190894,4.678278399,3.448396517,4.52418981,5.452737683,4.192501121,8.546609901,8.329561505,3.833679687,5.909313744,3.689409076,7.401098646,5.800834943,5.601294396,3.473620912,7.465209283,3.661840279,4.661707217,6.466883019,8.116634752,9.70221074,7.218057357,2.957688012,3.857424471,5.559641523,6.746051932,3.811205826,3.471662068,6.393843821,6.261280034,3.240034879,5.092399877,6.525371215,2.943267699,8.431452715,3.061780877,3.853967011,5.499162933,4.644784872,5.743029632,3.170914976,7.716096318,3.240524377,4.130760643,3.101888975,4.462283085,5.246860754,3.543760157,3.630023995,3.670878045,6.407632129,6.970612974,10.11995145,7.715178391,9.28350016,3.51967884,5.490817343,3.998368596,2.807825488,5.449721709,3.43723876,6.331678682,5.001070711,3.042324007,5.631427874,3.528049012,9.158361448,5.302069904,6.481277534,11.47360642,4.412862344,3.082229134,5.3122922,5.145822403,3.671575727,5.737190496,4.940610669,6.315856871,7.144055422,5.487099838,7.491245266,5.458559434,6.981754703,6.350062005,10.05211145,12.27561843,6.273902286,4.951093294,6.684522634,8.20584887,7.412627343,6.367382088,4.612756934,11.01249565,6.194233688,2.877520145,4.600073625,3.393382077,4.69473036,3.387268754,4.805997193,8.212248192,3.45602497,5.282114613,5.839512044,5.200988378,7.227615062,4.074270517,6.743453339,6.294417984,3.469170416,6.84564634,6.303128408,7.41531948,6.038515989,5.201830925,5.362614737
55,3.65458763,5.939748231,5.486175961,6.038109526,4.931684341,6.149052433,5.03501602,7.4170826,6.588631839,9.440610554,5.105959966,4.530159952,3.276556379,4.79025124,7.540410331,4.110620942,6.038500583,4.598373553,6.080861595,6.860487912,4.463365217,2.708309309,3.135713356,5.557978034,4.769386907,3.76527679,6.749700978,5.578586565,5.134387306,4.296189464,4.183765603,3.429000954,5.693745251,4.099082738,5.305717774,5.015766379,3.876227928,8.130014004,4.940510845,8.072484127,4.015720958,6.185028145,4.213408041,6.193700407,5.09840402,5.011745937,4.274825434,6.876895066,4.082303861,3.316474757,5.264892685,6.392825092,5.673331723,5.78120751,5.1173606,5.505187039,4.762888279,4.538679281,5.612456165,3.216238157,6.606796014,4.953079389,4.112907308,7.452661908,8.177120819,4.135579037,7.182388897,3.798673903,3.382045451,3.388650617,3.593839707,8.477309276,4.53220359,3.572546425,4.946491455,5.447574636,7.445537144,6.920098936,5.760509006,7.450405812,3.877862438,4.522376075,6.23097018,5.475004814,4.258277759,3.770799472,4.232791692,4.204129607,4.79952768,5.961171371,7.762247491,4.002567479,5.499307483,3.576964274,8.055538799,4.691006308,5.458176788,3.719261381,5.478337486,3.742784845,4.689041521,5.169472425,6.485146812,8.373551806,5.472647462,3.124536279,4.904339696,5.72297071,5.313088541,4.396020547,3.830843696,4.277413836,6.127340251,3.303594455,3.870651058,4.765351563,3.584005386,5.142439914,2.99388831,3.892340475,4.395965391,4.322260877,6.017600566,3.395955065,7.87722056,3.529322358,5.618908025,3.504345121,4.141145767,5.123157591,3.733087544,3.676135823,3.404996905,4.760464235,7.225420754,6.681351882,7.87561363,7.419803984,3.525839541,4.944007448,4.282872934,3.214887365,4.284286564,3.261560249,5.427971732,5.424038622,2.796948499,5.392408489,3.70509341,8.575839042,4.564409328,5.811766356,12.22737563,5.213388757,3.168493243,5.22716774,5.303604349,3.951609771,5.383631658,5.960147622,6.583343465,7.296928386,6.13320541,9.244853608,6.315256413,6.510061487,5.333461122,8.904779306,11.98321152,6.882537827,6.450327649,6.811225722,8.18604969,7.538685319,6.411397456,4.821334807,10.88333725,4.432488888,3.449600692,5.439771799,3.523082957,4.006595398,3.653463195,4.414085562,6.178289029,3.968354788,5.10437256,5.749133606,5.089216403,5.900336722,3.928375781,6.60355187,7.059988019,3.497194989,6.309965605,4.818086331,6.206859955,5.054712779,5.669651639,4.509545608
1495,4.012066607,7.171326476,6.358004961,5.021685733,4.377441706,6.143770729,6.4694729,5.708640628,7.958671209,8.569735454,4.516317415,4.230600119,3.507624689,5.999589333,7.854679233,3.664955126,6.179929737,5.384566263,7.105951976,7.126585538,3.586583043,2.903504391,3.285454995,6.172251388,5.228783321,3.352019845,7.508124567,6.068651191,4.814545014,4.291568825,4.238661155,3.09113269,5.702051221,5.480795007,6.102492371,6.47406808,3.292652609,9.21574716,4.978383073,8.418291179,4.556993842,6.858914097,6.542001231,6.306156419,4.775025171,4.162108695,4.009568101,5.62116362,3.997329391,3.054788945,4.738191241,5.43659718,6.769607954,5.695594486,3.775844841,5.867581339,4.341434261,4.738794777,7.479432935,3.104159931,7.452904047,4.512711412,3.559720167,6.279072657,8.710027493,4.120307181,8.138988564,3.373096402,3.333301692,3.350933248,3.63313681,8.615266034,5.282041064,3.270744445,4.683784935,5.828766004,7.481018054,6.578032986,5.296664199,6.737915726,5.234405669,4.702757874,5.608959993,4.843014824,4.395215219,3.606012498,3.850621228,5.500386522,4.345381558,7.431888921,8.161049747,3.868987825,6.90966707,2.93799739,8.447883826,3.969330393,6.540439184,3.504986119,6.469279119,3.6068745,5.530890291,5.94903569,7.155029271,10.13851461,6.903617472,2.981775429,5.201240162,6.446061526,6.011660128,4.61343529,3.649644094,3.757332322,6.065935414,3.105791363,4.185025271,5.859099374,3.16138672,6.51986417,3.214851208,3.904302941,5.535205358,5.781225123,7.027668127,3.454201633,8.074574812,3.415585633,5.628785149,3.182375409,3.957620977,4.435032563,3.465762803,3.545337234,3.345318746,5.706044448,6.703185122,7.269171634,7.230564501,10.55923622,3.669811537,5.700612431,4.42604972,2.866003074,3.724339502,3.296530057,5.408432371,5.659848618,2.984936092,5.823203561,3.484849931,8.433977338,5.487278359,5.444941065,11.59985633,6.427879048,3.187935717,5.474696556,5.48916724,3.895445389,5.815550601,5.57756102,6.380413371,8.225646395,5.622023771,6.516962852,6.110407479,4.774624008,6.549970517,8.869794883,12.08602313,6.063268178,5.294071562,5.5271615,7.403884897,7.159410975,7.023421549,4.333554478,11.05192582,4.814959279,3.092073019,4.442521124,3.335473909,5.226813898,3.504025607,4.345396042,8.288579004,3.615172172,5.371930816,5.128084498,5.289888024,5.364098444,4.272845885,7.012664091,6.104882965,3.166868118,5.902540634,5.702172051,4.686812533,5.49709763,5.698234539,4.518022647
61,4.070013145,6.738129997,7.894822943,6.012334345,6.034455263,6.049180173,6.069708378,5.961003167,6.029127286,8.367057821,3.861979963,4.494527614,3.404824664,5.250967279,8.022062467,6.975241511,9.263755464,4.580123862,6.04121814,6.810455727,3.931914955,9.526716286,3.142490708,5.965871104,5.086747702,5.223617597,7.006175388,5.499717326,6.855104097,4.5382517,3.693882938,8.506107302,5.956827131,4.264346953,5.562002699,6.042842314,3.593534398,9.289716812,4.436255311,8.79253941,4.0094755,6.735062728,5.233652734,6.441631941,5.298853238,6.003553597,4.072825918,5.556340927,6.066527592,3.326189579,4.758552621,7.404164734,6.732763448,8.136033449,6.195656659,5.216270874,4.817044831,5.382780473,4.32961228,3.139646898,6.552200488,7.829063623,3.614549786,7.393737006,7.761982719,3.909531756,8.057627892,3.841176565,3.292423869,3.290203245,3.352521014,7.492114792,5.848036328,3.230519499,5.211140746,5.177741154,8.498612954,7.248247257,6.580081641,6.603367702,5.075925477,3.428236072,6.641597019,4.422794823,5.022247918,3.396549256,3.457739693,4.582416977,4.518802968,8.197394442,8.991722594,3.847380752,5.676180168,3.693346892,8.404277147,5.287443963,5.297730032,3.82810907,7.695247942,3.355524642,4.316717943,5.848450927,7.742240347,9.172680817,6.425412749,3.073214217,4.408721432,4.754177281,5.390037721,3.704135412,3.432879172,6.334653011,5.989117704,3.475022384,4.419591199,6.149409432,3.280591393,6.391678882,3.24409725,3.828879385,5.7931519,5.083507083,5.481791057,3.473886555,7.688913078,3.425054641,6.56731414,3.145473067,4.876154564,4.749314706,3.366901661,3.66561784,3.534848329,5.940708514,6.815685935,8.179875993,8.221839022,9.539514657,3.606083005,5.171348468,3.699400463,3.010019747,4.864057363,3.177904748,5.623562157,4.600345337,2.926027189,5.257240069,3.288012722,8.782560366,4.95217762,5.918048133,11.84926669,5.667239341,3.017260902,5.185162628,5.254986199,3.757893123,5.71098621,5.795005556,5.668573188,7.382736152,5.932477091,6.045206899,5.413556915,6.414515696,5.525120862,10.14885218,11.99399375,6.982629388,5.547307718,7.367719213,8.358081715,8.037381223,6.620141055,4.631223359,11.33197015,4.351152359,3.193860999,5.656955388,3.723972098,5.145975046,3.605867858,4.997611765,7.180901191,3.423782743,5.203669865,6.61185095,5.100435688,7.29489933,3.937642675,6.252592533,6.30169155,4.532703466,6.478157979,6.03154153,7.90038657,6.244024351,6.609434199,5.134822357
1418,4.017715752,8.379669475,7.575725962,5.34287115,4.504011782,6.706059418,6.129984928,5.347505534,6.312985683,8.238716835,3.99656055,4.391028779,2.982594748,5.265926747,7.521706941,4.012226574,7.461515543,5.074790376,7.191824466,6.776288342,6.885731651,2.773781614,3.30465379,5.628134226,5.123827291,3.323574199,6.630907091,4.918735333,5.741155262,4.761832413,4.057413549,6.086035448,6.614489465,3.873737725,6.096704861,6.639079004,3.594467558,9.47366971,5.139945205,8.260495056,4.315260836,8.240129239,4.845991399,5.686171352,4.98679425,5.054682145,4.260340852,5.612243317,6.06629535,3.420129337,4.410095335,7.673121845,7.35914511,9.5775004,6.232200443,4.955613993,5.427766925,5.36206461,6.112778642,3.223076504,6.82885944,7.501773055,4.152899859,8.626538997,7.655016276,4.068756469,5.689091444,4.068837472,3.556401624,3.267197882,3.476947882,7.751792165,5.67103273,3.132494082,4.593494164,5.82157655,8.121363088,6.811789968,5.976282057,6.998672802,5.644178986,4.826766863,6.677751573,4.336156067,4.757724285,3.212106857,3.552920812,5.064046707,4.341849289,8.523243918,7.815740163,4.315477969,5.553916104,3.524101193,8.256011109,4.078301495,6.879798604,3.917113263,7.075028276,3.698631762,4.864182838,6.77412026,6.957208873,10.24838452,6.982311073,3.048918521,3.694775836,4.902988518,5.384645569,6.894131936,3.486683817,5.120919847,5.686273212,3.310441237,4.717034691,5.89550308,3.117854862,6.849770734,8.111321482,4.13023197,5.401642162,6.36232485,5.983302605,3.377365049,7.296714604,3.198591917,3.514248605,7.650187309,4.458553677,6.327791093,3.272571555,3.767625693,3.608846323,5.979909308,6.067883019,6.271597384,7.745740684,8.819346485,3.493019966,4.948955601,3.937276287,3.106032196,5.34238995,3.305295977,6.575936075,5.668061207,3.21250915,5.41371624,3.721727227,9.327732032,4.897998021,6.559519699,11.46250689,6.323442261,3.184297876,4.827514055,6.176069793,4.017077868,5.908150884,5.472262708,6.655222907,7.272901399,6.504080905,6.136297296,5.349277989,6.661942893,5.857590862,9.662750616,12.33701069,7.286740205,4.967907228,6.946230581,8.507194821,8.055105487,5.851952011,4.557780245,10.7349565,5.226833443,2.994934225,5.293824387,3.266726073,5.512903425,3.761891138,5.220953339,7.750051458,3.323645248,6.072972094,5.7548661,5.679673593,7.760964654,4.006083939,7.85098007,5.900713809,7.294084186,6.584165657,5.391701167,7.227083549,6.815907524,5.389843339,5.713860015
563,3.603535797,6.725615786,6.415062952,5.541047918,4.444469989,6.351223411,7.283655441,5.396444731,6.510012093,8.221402149,5.003893073,4.388155013,3.211521475,6.116462315,5.826384102,3.688006936,8.023228634,5.372061582,6.609606999,6.846963743,3.552748708,3.021958976,3.17311866,6.337267869,5.062966263,3.797010266,6.971809449,6.066633025,6.065868214,4.579317089,4.168704555,5.016833616,5.57331099,3.853524108,5.824892042,5.87508309,3.565556522,9.067501816,4.81828746,8.977676292,4.334556725,7.752693527,4.570212187,5.981330271,5.359681876,4.704800211,4.400822512,4.984184611,4.711237503,3.300105761,4.268495313,6.207703846,6.366040143,7.941270638,5.929313318,5.498477222,4.89688142,5.019535417,6.910273446,3.237804119,8.282382892,6.193304717,3.644258325,8.118923968,8.070608073,4.206631803,6.130283039,3.783352085,3.485794921,3.36308456,3.393440475,8.303820317,5.50795792,3.443662939,4.461345048,5.227083402,8.338198976,6.367100358,5.51923467,6.850871845,3.946846321,4.740548596,6.064574209,5.102618434,4.435419107,3.479211,3.190575847,4.710850776,5.088077477,7.923762526,8.704664406,3.819360324,6.001704545,3.692828095,8.602427143,4.480743985,5.651226148,3.763680229,7.390362769,3.522403255,4.898225778,6.469187063,7.216345189,9.968462371,6.615592259,3.06752069,4.873676811,4.702303229,5.63666013,3.766044676,3.40973923,4.931830214,6.676604383,3.163367135,4.412725017,5.888673119,3.345934022,7.09275069,3.11233546,4.173704124,4.889378165,3.77535639,5.680444947,3.178357119,7.068250343,3.463682265,6.168621778,3.134200368,4.296463261,5.479692823,3.510111121,3.736417519,3.497995056,6.51399812,7.685915975,8.837517259,7.568515853,6.975512585,3.766057115,5.323180685,4.356720342,3.04414711,3.473320906,3.192704282,5.491507194,4.804437409,3.055528704,6.434826593,3.472514346,9.509495472,3.713115559,6.31178822,11.26413459,5.913326257,3.134535523,5.230626503,5.710093095,3.99449052,5.211797415,6.853516208,6.154728352,7.527187278,5.719441047,5.60896597,5.354920301,5.089306935,7.304216499,9.382338264,11.99952405,6.509445455,5.262475985,7.007336325,8.625269169,7.840924355,8.13446831,4.42893031,11.13070566,4.880333766,3.081030373,5.041865323,3.176367968,5.839251564,3.509855931,4.775424816,7.129371541,3.260969481,5.644892226,5.824466344,5.522515444,5.176105261,3.886480279,7.6286262,5.903588605,3.301838188,5.65238209,5.91057878,7.111475908,5.513153015,5.184837064,5.580403843
361,3.955297289,6.847671689,6.964593729,5.228932277,5.10509101,5.610959937,6.541130537,5.782311395,5.841870181,7.52146242,4.341427881,4.259819394,3.601048148,4.700636453,5.940088087,4.094549706,7.715384124,4.721247018,5.809910383,6.508872308,3.649872212,3.026127436,3.628362322,5.803522781,5.129714737,3.544692816,6.277715763,4.980920703,5.537953704,3.853829796,3.903782665,3.602176556,4.755090911,4.145825978,4.367458212,5.296980602,3.586668477,8.788179647,5.298509279,7.85194334,4.099690358,5.789876472,6.352053397,4.44831232,4.740181591,4.297794811,3.309371572,5.320394433,5.379615805,3.223728943,4.400120738,6.26908101,5.872549954,8.500859138,4.561974041,4.814628131,4.274428774,4.719101334,5.56143829,3.252921058,6.568181938,6.169439699,3.833915993,7.748582287,6.471848338,3.877529038,4.660316186,4.199431671,3.20057358,3.571863836,3.171293029,7.625298604,5.520549506,3.309997096,4.527716453,4.991063852,8.347880577,5.800257902,5.464162694,5.939544153,4.13617289,4.149757661,4.953807821,4.857262617,4.588275208,3.59688652,3.528304463,4.865876625,4.848687978,6.547157189,8.54805025,3.820397428,4.037954246,3.138453837,7.687248695,4.379694062,5.857052132,3.627447608,6.001701796,3.753733968,5.2236011,5.266210208,6.946638962,8.504313961,6.522408763,2.965482224,4.563798855,4.809929807,5.493883783,3.829467643,3.436054728,5.403992653,5.875211079,3.335000324,4.280911906,4.639824241,3.12126996,5.921325496,3.266929337,3.914435136,4.344756024,5.310548854,5.209797513,3.465859311,8.010589227,3.408640589,5.8529631,3.303986242,4.376609644,4.320298706,3.616606387,3.587590523,3.482425534,5.468709921,5.43464986,7.036797914,6.638709886,8.724231445,3.700545444,4.756539628,3.850764661,2.951049082,3.969509925,3.358248895,5.708360885,5.244911517,3.062042513,5.365916437,3.51923299,8.366866986,4.256446411,5.829759311,11.45478574,3.965432814,3.215521595,5.068861083,5.453488808,3.92876106,5.078604127,5.904883653,5.305629,6.918743703,5.696638927,6.102600334,5.415097391,4.71609726,5.450126116,9.239988133,11.89537938,6.132061623,5.146985935,5.925207339,7.977112102,6.689852129,6.372961612,4.553192292,10.58329904,5.561093407,2.940516311,5.074926557,3.405023792,5.57269086,4.085919595,4.554335554,8.350276796,3.477560901,6.056918472,5.153078513,4.998053392,5.448296817,4.119206164,5.686592106,6.036377215,3.531115486,5.35750113,5.292789499,7.083017471,5.098377353,5.373772287,4.994888229
1992,3.667183349,6.587695352,7.202096764,5.243018353,4.343356935,6.334394416,6.734982131,5.748868054,6.141201754,8.516544535,4.58819536,4.389904373,3.451260422,5.817167532,7.511844445,6.570158324,6.640932441,4.522999299,6.66273834,6.368638871,4.056733952,3.495287435,3.375158646,5.585393654,4.784873333,3.297278321,6.694332804,5.399950912,4.63870591,4.342939628,4.08529188,3.478623615,5.757714927,6.571457785,5.853542668,6.247637974,3.629863737,8.371542432,5.286154866,8.436918895,4.134685135,6.695244437,4.505280703,5.39262257,5.062301302,3.921949232,3.787399043,6.345659982,3.759034395,3.188628232,4.066075884,7.003940583,6.973629145,5.063244968,4.535536789,5.650198049,4.683412303,5.144145378,6.106076938,3.14100821,7.893884836,4.7374188,4.007822026,7.105644159,7.37949405,4.067432391,6.719589255,3.981080589,3.436355847,3.130903107,3.595566182,8.433212544,4.889374358,3.3384354,4.481776155,5.291636269,7.776048732,6.702348468,5.374444008,7.373225603,6.539046016,6.723128871,6.386410239,3.907045876,4.582287412,3.597902628,3.9481674,3.573977876,4.026456408,8.027442368,8.169525029,3.879895709,4.18371291,3.160746081,8.762637817,3.566471833,5.883288394,3.860635577,6.817830929,4.411540727,5.552747653,5.537890449,6.610096993,9.874169399,6.635303853,3.018446576,4.722952476,4.799412858,5.189857278,4.090358145,3.661294257,3.828890326,5.806147295,2.909231603,4.450583646,4.812162515,3.432746668,8.121214618,3.304523035,4.18902219,4.488561586,5.183175271,5.417976482,3.763938411,8.447271939,3.223943657,7.025607649,5.331760675,3.983714194,5.536899091,3.511582685,3.870263208,3.432986822,6.427892472,4.5881353,7.118553166,7.294156422,10.87471116,3.699736164,5.556822574,4.582604872,3.016496661,4.525395949,3.295306098,4.844284724,4.313367316,3.269286939,6.145972714,3.537726376,8.655581601,5.035171617,5.80512765,11.48524375,5.458849387,3.155947862,5.507533959,6.51052853,4.081503268,5.434618175,4.79092176,6.667778138,6.828841044,5.349261113,7.954872188,4.403445601,5.852965766,6.878979263,8.307389695,12.14518803,6.48396507,5.129420597,7.06508064,8.447561647,7.977043081,6.977931978,4.478370077,11.14538024,5.362020586,3.701100192,5.009931615,3.8040274,5.116419956,3.565359188,4.63050977,8.0710731,3.91310553,5.656494804,5.292850007,5.004140383,6.75969642,4.13426916,7.59244757,6.026676075,3.254431084,5.941420382,6.551960848,6.518734186,6.202403361,5.628124434,5.866006942
1918,4.049387765,5.906705026,7.177717131,4.843640091,4.124872425,6.403684311,5.457545832,4.534486819,5.373734326,7.306718823,4.980753566,4.30031988,3.307616631,6.168945667,7.835470366,7.014375883,6.432151398,4.718064044,6.358872227,6.335525702,6.180866144,2.932340295,3.338723735,6.376623818,4.832620706,3.368812158,5.528918695,5.656609364,5.700328481,4.201880418,3.840393772,5.588745512,5.382445399,4.454553081,5.319025963,5.684945581,3.597839448,9.668684737,4.465759939,9.846122952,4.491286987,6.85209474,5.857022888,5.858565855,3.943126377,3.51446064,3.448221438,5.592287419,5.069565312,3.091954584,4.506723914,6.819813936,7.743589445,6.977862559,3.769553074,6.580849238,5.124462761,5.870645979,7.096565091,3.192519031,8.302443,4.534593441,3.908065011,7.182409964,8.327889613,4.619061889,7.368570004,4.269487703,3.185000763,3.211764448,3.116125473,7.323398829,6.449189712,3.361175429,4.329429156,5.217774478,7.707544394,7.468342637,5.159244655,8.131085134,3.839270309,3.971627309,7.181533854,5.053199223,4.385698259,3.713748445,3.496325594,3.9569859,5.32322921,8.714162073,8.908320416,3.871439231,6.466030768,2.821244289,7.495581323,4.865380347,5.095600646,3.728427098,7.879688781,3.419357421,5.549977918,7.326400958,6.390527825,9.302028614,7.516243945,2.925058258,5.158004808,4.66113537,6.174719241,3.807325636,3.62450031,5.568411129,5.458859647,3.738257328,4.604561599,4.751987025,3.38009453,7.309586124,3.322846878,3.918655001,5.356732564,6.607941264,6.274616881,3.1278267,7.79603218,3.446668879,4.184766707,3.302630279,3.981729883,6.905449808,3.381489219,3.931405806,3.425662322,5.416509951,6.600511175,5.857187237,7.650167693,5.860289361,3.398147011,4.948761109,3.598468515,3.142754156,4.290822653,3.415649327,4.401361575,4.537885948,2.996444611,5.629163931,3.049044864,8.665805504,5.186420019,7.34621004,12.08522331,5.506405047,3.002422061,5.961840988,4.790329802,3.899226632,6.001868757,5.361823864,7.163338264,6.79806039,5.642675658,6.298147333,5.967957784,3.249157878,5.975418646,9.727288666,11.91406509,6.467266722,4.395081826,6.919162212,9.045884616,8.997307164,5.583389608,4.844182797,11.27483951,5.48084763,2.992000707,4.280079754,3.813600373,6.390572037,3.466474569,4.309246518,8.098365465,3.517975086,5.530397883,6.375436288,5.717100813,7.619494391,3.993170251,7.853550568,4.8509856,3.31822379,6.611360651,5.325673414,8.303215106,6.27638528,5.105884857,6.411475947
