response,SPATA6,TBX21,NAT9,SMARCA5,HIST1H2AC,LRAP,C20orf149,CAP1,B4GALT2,BXDC2,ZNF133,KCNS3,MRFAP1L1,HOXC10,AHCY,HOXA6,HABP2,DMWD,NTF3,EDG2,ME3,GPR19,COL4A3BP,SSR1,HIST1H1C,CYP3A43,MELK,EFNB3,TAF5,RFTN1,TINF2,TFAP2A,ZNF556,CCNG2,PGK1,FHL1,ANKRD5,HADH,SENP2,UFC1,PACSIN2,CGREF1,FEV,PYY,SPINK1,SLC30A5,BRD8,ERBB2IP,BPGM,YIPF6,ATP9A,TBCE,EFTUD1,TOP2A,RBM12,S100A8,WISP3,TOMM34,FZD8,EPB41L5
1224,4.17201846,3.451863578,5.360268148,6.803387581,9.434016166,3.553407118,7.795439144,9.387022314,5.507436448,6.541422678,6.603855066,5.050841237,7.017527169,3.347097538,8.296821569,3.064993671,3.552164363,5.375058925,4.633866724,4.852491315,3.353968439,4.180688623,6.298408312,6.197810305,9.359310558,3.12493914,7.301361803,5.306617317,5.309707818,6.080696213,5.268858493,4.999396043,3.327338418,4.92040974,7.842625322,4.500471502,5.455261616,6.322883727,4.675020848,8.687954734,6.831594772,3.291768619,3.680638096,3.359291387,3.407445031,5.125944541,5.370188918,8.032668959,5.591408321,8.228211863,8.049460723,6.909651873,4.871964347,8.579821274,6.896060359,3.831927073,3.481930954,5.629632211,3.22395529,3.891852663
1247,3.688559696,3.061790434,5.313472223,5.555922294,8.271126299,3.02790684,6.974727475,9.976128808,5.629574407,5.696639457,5.841555134,4.635281708,7.187144381,3.473620912,8.627113363,3.117763885,3.448396517,4.542015996,6.935671165,4.973379002,4.672685491,3.772095955,6.435008774,7.428377042,6.518249498,2.966118855,7.851789257,5.13625755,5.42839225,8.036926162,5.438874449,5.054960634,3.529497756,4.908647876,8.067458323,7.012219411,4.833596503,6.452134137,4.280937103,9.342531967,6.878458566,4.963507409,3.436230526,3.048816606,3.061780877,5.914238488,5.727184674,7.896854634,4.730978684,7.654924528,8.467756032,5.47724627,5.817349562,7.348082587,6.558844227,4.432022014,4.249691881,6.122338278,3.356900438,3.591165973
55,3.761024023,3.295985238,5.41332616,5.912003672,8.150891382,3.347719084,7.580265124,9.131313302,6.012498375,5.612928886,5.280830935,5.659598338,7.068845835,3.719261381,7.97696628,3.365458615,3.770799472,4.368414407,3.959180381,4.953665574,4.159733706,4.085744096,5.148313496,7.005392401,7.8736678,3.109745864,6.596505423,4.292637726,5.175636042,7.507610414,4.225943175,5.973115498,4.12710295,4.221834451,7.249222125,4.472499844,5.555778627,6.42619372,3.956946652,8.358448251,8.042814934,3.768643814,3.850541781,3.135713356,2.99388831,4.59732447,5.273250949,7.059897938,4.235388617,7.280120686,7.152752743,4.760859306,5.219137494,7.213370215,5.169366752,4.858877304,4.311550437,5.045437562,3.683643603,4.011956768
1495,3.400804796,3.377732278,4.925638554,5.199382543,8.703550571,5.688765846,6.741778232,9.827678312,5.612201126,6.30761941,4.834228372,4.074985989,7.590256491,3.504986119,8.39028076,3.331385654,3.606012498,4.989159205,3.912697594,4.270295897,4.186158229,4.761286536,5.66670966,7.351603285,9.18017399,3.122476047,7.372843544,4.338644449,5.816480489,8.002047204,5.164984855,6.132181049,3.807772239,4.705330121,6.89862445,4.019927979,4.590900862,5.81716597,4.562595766,8.789928197,7.131904833,3.965904651,3.430543667,3.285454995,3.214851208,5.099549914,5.926996827,7.501404861,4.588481557,7.920529318,6.592963379,5.719619229,6.11006444,7.618225291,5.79859273,5.191111037,5.659976627,4.862706306,3.455828997,3.830907606
61,3.51845026,3.349819652,5.638845417,5.955573024,8.95596946,4.985375274,7.464233629,9.493277907,5.252371934,6.17380643,5.778117947,4.813716225,6.78967373,3.82810907,9.735627602,3.64298385,3.396549256,4.428937336,4.264098786,5.423768768,4.465283779,3.424778699,7.243265523,6.8462896,8.766826203,3.016574362,5.191464708,5.321295335,4.668251692,8.793514011,4.701021802,4.906331245,3.660486044,5.927675077,8.886906112,6.817650228,4.900821582,6.551664615,4.412906006,9.174663474,7.462896875,3.567852471,3.353701843,3.142490708,3.24409725,6.165936988,5.417917782,8.312779805,5.76090305,8.518968967,7.82357949,5.289245555,4.937982938,5.974060225,6.481692407,4.340686963,3.471589513,6.773797206,3.496055027,3.789951274
1418,3.538275267,3.287573457,5.827498355,7.056789675,7.273277987,4.59009027,7.87953193,9.693386456,5.540376629,6.608845533,5.363583771,4.802694141,7.043615088,3.917113263,8.747962762,3.342507009,3.212106857,4.639221567,4.018959783,5.109884522,3.791510297,4.642439127,5.969709896,7.710883138,8.12630368,3.049727593,7.003639203,4.884714681,5.655759768,7.039594478,5.146673856,6.196263823,3.66344909,5.123919939,7.545031858,4.262245134,5.080492427,6.803426802,4.667256669,9.405260164,7.234278185,3.998885294,3.546046504,3.30465379,8.111321482,5.609895403,5.438416364,8.038090598,6.376694687,7.622281437,7.620692359,5.657384857,4.846441976,7.878595891,6.699699633,5.773530923,6.012231178,5.799211057,3.131791349,3.643134508
563,4.165319223,3.344461984,5.657355961,6.259524043,7.535049762,3.331233377,7.360606135,10.17197236,5.664813022,6.313311953,5.875583073,5.392258718,6.653385891,3.763680229,8.272254452,3.249119386,3.479211,4.820713331,4.612700249,5.791090435,4.469629894,4.40451728,5.469970776,7.346893903,6.955379155,3.067781451,7.143253033,4.994254587,4.735586081,8.141125961,4.875359213,5.565936007,3.32088454,4.958702092,7.554719523,4.963079427,5.297643563,6.435904335,4.207300508,9.158785326,7.039771834,3.448657393,3.197708038,3.17311866,3.11233546,4.890338412,5.712084453,7.327666255,5.776698579,7.327508924,7.986972663,6.372481843,5.206936693,8.580771508,6.495981006,7.074257939,5.222439839,5.977561096,3.23905451,4.506697163
361,3.855359259,3.558070552,5.359395286,5.290931181,7.335896515,4.379092887,6.982117195,9.353701708,5.689811935,5.543716505,5.379465494,4.670365044,5.692610926,3.627447608,9.548312416,3.482174387,3.59688652,4.726721244,4.454934306,4.379549707,4.941788405,3.972560039,6.041737514,6.334239045,5.041485036,3.164516762,5.804021391,5.021961348,4.878936806,7.401119223,4.69030773,3.98542001,3.729943473,4.257052993,7.779910179,5.628372335,5.216723511,5.841730179,4.581185753,8.784932126,7.282029041,4.60134847,3.769984494,3.628362322,3.266929337,5.277944435,5.62682025,7.895489305,4.731573747,7.459905087,8.671090085,5.397630637,5.435790926,6.293906737,5.776385339,4.317103007,4.732205836,6.102604018,3.430634648,4.02576477
1992,3.594094936,3.346822096,5.317552281,5.644914444,8.840450825,6.271817057,6.926265406,10.20657964,6.232424294,6.203011577,5.744251304,6.870789598,6.865384123,3.860635577,8.49672434,3.225591091,3.597902628,4.65724495,4.244397373,4.105203896,4.502788474,5.33267595,6.121092226,8.112839239,7.808184524,3.073140326,6.704568374,4.399552659,5.95272552,7.041209449,4.637781595,4.73122341,3.232038353,4.703746459,7.166420711,5.936211617,5.468151687,5.352081154,4.692155094,9.669961257,7.269039906,3.63657318,3.559780022,3.375158646,3.304523035,5.494621484,5.761413056,8.531297092,5.222744501,7.938356595,8.12923836,6.856711608,5.240363073,8.558210837,6.237932168,8.125573805,5.857460256,5.94324516,3.289990573,3.898405522
1918,4.060741772,3.368840393,6.097804536,5.421944873,9.80014541,2.755139518,7.449445785,9.768643411,5.183115286,6.357999593,7.0839313,3.865187094,7.19751248,3.728427098,9.774551221,3.201995548,3.713748445,4.894184867,5.684204138,4.037097476,4.419605471,4.747992254,5.251892361,7.456907208,7.526740997,3.137299194,6.321374893,5.572153753,5.745512769,5.799766288,5.414310776,3.683975604,3.819022288,5.509779474,8.081190189,5.067142346,5.315305482,5.278883288,4.950355568,10.11449552,6.521785763,4.204071532,3.595179385,3.338723735,3.322846878,5.134882035,6.001662286,8.038250888,7.025879306,7.341914695,7.648351437,7.042293777,5.765432909,8.01279399,6.926424859,3.403380195,3.810500444,7.108453947,3.364068245,3.866823685
