response,THAP9,LRRFIP1,SPATA6,TBX21,PPIA,NR1H3,SDC4,ASCC3,DEFB1,KCNMB4,GRHPR,CAP1,B4GALT2,BXDC2,SLC13A2,CADM3,CASC5,SLC6A6,SLIT2,MRFAP1L1,HOXC10,HOXA6,HABP2,IL21,KIF18A,CD58,EMID1,RFTN1,RPS23,EEF1G,ORM2,NCOA1,PGK1,ANKRD5,KNG1,RCAN2,SENP2,NAGLU,CGREF1,PYY,FREQ,FUBP1,SLC30A5,BRD8,SPTBN2,MYST4,KIAA0182,BPGM,MAP2K3,IL7R,CAMK2A,EFTUD1,PPP5C,DNAJB14,CSNK1G2,PPL,DKK3,DNAJC6,TSC2,EPB41L5,RPH3AL
1224,3.081998917,7.458609745,4.17201846,3.451863578,12.00648103,3.893681386,8.167654727,5.600423154,9.698439629,4.378889221,7.6890284,9.387022314,5.507436448,6.541422678,3.840491452,3.506518607,2.759543031,3.251703001,6.634309547,7.017527169,3.347097538,3.064993671,3.552164363,3.171250722,3.836519938,4.948812251,5.3341546,6.080696213,11.96912765,10.55709507,3.196163698,6.371728263,7.842625322,5.455261616,3.21294635,5.041191231,4.675020848,4.204235003,3.291768619,3.359291387,5.750186534,4.943982596,5.125944541,5.370188918,3.421512583,5.781372622,5.785358373,5.591408321,4.815522653,4.654168365,3.508505196,4.871964347,4.393080627,5.520554421,6.05124247,7.113360331,3.670241844,3.675126191,6.184578164,3.891852663,4.306264216
1247,3.058219855,6.929354227,3.688559696,3.061790434,12.07063329,4.828371182,8.725345245,5.922206637,8.402104914,5.202186164,8.106526999,9.976128808,5.629574407,5.696639457,3.628366772,3.661840279,2.684623968,3.468540149,6.442791542,7.187144381,3.473620912,3.117763885,3.448396517,3.088178435,4.699111719,4.875626566,6.653023369,8.036926162,12.55922688,11.70240618,3.208871073,6.620054111,8.067458323,4.833596503,3.184780022,8.281813323,4.280937103,4.527198615,4.963507409,3.048816606,4.979306562,5.223500056,5.914238488,5.727184674,3.743759432,6.363372557,5.788079655,4.730978684,5.797743148,4.740235026,3.410779984,5.817349562,4.548248672,5.385063761,5.807782162,7.287987931,6.120941988,3.257107679,5.600118554,3.591165973,3.689110218
55,3.403705372,7.556415073,3.761024023,3.295985238,12.06369329,3.921341751,9.081361854,5.126200628,7.445430553,3.918258368,6.357471061,9.131313302,6.012498375,5.612928886,3.681214816,3.742784845,2.718265289,3.572454599,4.741691016,7.068845835,3.719261381,3.365458615,3.770799472,3.147953277,4.062603026,4.474043936,5.30248651,7.507610414,12.24985894,11.60846172,3.325634715,5.719883015,7.249222125,5.555778627,3.501703942,4.221596266,3.956946652,4.559450614,3.768643814,3.135713356,5.106753175,4.843693086,4.59732447,5.273250949,3.597027629,5.829069722,5.73055451,4.235388617,6.010904863,3.953287068,3.767737719,5.219137494,3.681967122,5.926696305,5.957044548,5.558086672,3.622753296,3.72726737,4.804221043,4.011956768,4.234421019
1495,3.037849879,6.965866174,3.400804796,3.377732278,12.32293501,5.294304108,8.04709911,6.588438208,9.708167938,7.2182775,7.56881885,9.827678312,5.612201126,6.30761941,3.662819707,3.6068745,2.650350475,3.378319466,4.908108727,7.590256491,3.504986119,3.331385654,3.606012498,3.212426919,4.621851782,5.023635081,6.43514654,8.002047204,11.98885715,11.4664778,3.365383455,7.141208927,6.89862445,4.590900862,3.114834971,3.877114848,4.562595766,4.437372376,3.965904651,3.285454995,4.718379856,5.232420781,5.099549914,5.926996827,3.705586303,6.660849307,4.978685587,4.588481557,4.827523262,4.815375673,3.431600767,6.11006444,4.865125062,4.885148112,5.823828532,6.73059172,3.274086763,3.267225749,5.996141401,3.830907606,4.684342846
61,3.103248743,7.307192747,3.51845026,3.349819652,12.20155576,3.996848418,9.829253354,5.996527191,6.812619962,5.263227644,7.517209338,9.493277907,5.252371934,6.17380643,3.668053305,3.355524642,2.773292767,3.323615152,8.21505406,6.78967373,3.82810907,3.64298385,3.396549256,2.995536257,3.722389808,5.67737781,4.541047327,8.793514011,12.7723917,11.70629091,3.284881838,5.907137129,8.886906112,4.900821582,3.133695215,7.206181952,4.412906006,4.352161996,3.567852471,3.142490708,6.19937071,5.102203683,6.165936988,5.417917782,3.875893963,5.829238835,5.920630171,5.76090305,5.33508022,5.538283912,3.354883993,4.937982938,4.417673433,6.035430907,6.188825451,8.92503036,4.29002152,4.01399356,5.282287013,3.789951274,3.567882868
1418,3.076987294,7.17683847,3.538275267,3.287573457,12.16063269,4.683151403,8.517975086,6.275121365,8.159654569,5.132718576,7.460564008,9.693386456,5.540376629,6.608845533,3.525720323,3.698631762,2.709945696,3.303697985,6.432528393,7.043615088,3.917113263,3.342507009,3.212106857,3.220935042,4.007896603,5.29289128,4.594008004,7.039594478,12.56574105,11.55675336,3.298720977,5.887211503,7.545031858,5.080492427,3.249293169,5.745277842,4.667256669,4.460740969,3.998885294,3.30465379,5.4296818,4.937133389,5.609895403,5.438416364,3.693379969,7.848111328,6.907940454,6.376694687,6.413399897,5.885837757,3.445344162,4.846441976,4.546275587,6.369795007,6.221457466,7.546415846,3.781742102,4.102909122,5.358058501,3.643134508,4.51211074
563,3.003070748,7.081521634,4.165319223,3.344461984,12.16859837,4.802116364,8.70017881,6.925898923,8.454153051,6.593615774,7.777837315,10.17197236,5.664813022,6.313311953,3.515025193,3.522403255,2.764199179,3.337362477,6.865267816,6.653385891,3.763680229,3.249119386,3.479211,3.302627629,4.372551853,4.481319667,5.411040767,8.141125961,12.26849488,11.32407765,3.206945335,6.88777692,7.554719523,5.297643563,3.124613895,4.937134556,4.207300508,4.428556207,3.448657393,3.17311866,4.834171072,5.488296793,4.890338412,5.712084453,3.496115632,6.427874702,6.12223905,5.776698579,5.691304135,4.1050763,3.694271264,5.206936693,4.188689951,5.887998768,5.595384749,7.32875805,3.42518542,3.46190155,6.593007505,4.506697163,3.862769481
361,2.869531154,6.677834356,3.855359259,3.558070552,11.90948131,4.835937632,7.7477226,5.766849248,7.76968563,3.589010219,7.65638329,9.353701708,5.689811935,5.543716505,3.922727933,3.753733968,2.731593426,3.407256871,5.364928402,5.692610926,3.627447608,3.482174387,3.59688652,3.113519627,3.574065215,4.627401963,5.502576537,7.401119223,12.70344454,11.8053303,3.390785866,5.974176839,7.779910179,5.216723511,3.469511902,5.228535419,4.581185753,4.316591729,4.60134847,3.628362322,4.672091859,5.082696439,5.277944435,5.62682025,3.653636814,5.409096051,5.206717793,4.731573747,5.515963739,4.912624142,3.646052153,5.435790926,4.397173239,4.918391228,5.722937993,7.178442379,3.599938033,3.622975544,5.57179129,4.02576477,4.292090031
1992,2.993659188,7.020459311,3.594094936,3.346822096,12.23131187,6.454975835,8.866575164,6.821728835,10.0435677,4.347723139,6.430040676,10.20657964,6.232424294,6.203011577,3.803364226,4.411540727,2.787482543,3.275985499,4.4475252,6.865384123,3.860635577,3.225591091,3.597902628,3.294360907,4.758150817,4.869494913,6.447805652,7.041209449,12.62787894,11.73385134,3.448694819,6.132394609,7.166420711,5.468151687,3.525071383,4.456878514,4.692155094,4.827696626,3.63657318,3.375158646,4.640097287,5.409169616,5.494621484,5.761413056,3.476583555,5.90308904,6.17787723,5.222744501,6.109756064,6.345565646,3.68936183,5.240363073,4.193729129,5.967254232,6.102305419,8.81236026,3.310034137,3.557222479,5.783054679,3.898405522,4.08595184
1918,3.048341522,6.538325005,4.060741772,3.368840393,11.84412771,4.061349436,7.92619599,7.456605209,3.177293153,3.48699885,6.644710732,9.768643411,5.183115286,6.357999593,3.726234897,3.419357421,2.794225762,3.381811052,7.275092229,7.19751248,3.728427098,3.201995548,3.713748445,3.036589676,3.912986888,4.284377226,5.824319787,5.799766288,12.78581781,11.49394155,2.889429693,6.844738994,8.081190189,5.315305482,3.379565968,5.429476086,4.950355568,4.523241644,4.204071532,3.338723735,4.361896935,5.526539236,5.134882035,6.001662286,3.68537065,6.417614849,6.6496248,7.025879306,4.966061896,4.309126034,3.397199749,5.765432909,4.838128365,5.046926649,6.171742744,8.040445252,4.543162717,4.047356266,6.951842467,3.866823685,4.637340278
1483,2.875009292,7.969766272,3.436204723,3.389882585,12.15136546,5.875007511,9.265862953,6.030531259,7.307491424,3.675552224,7.755320579,9.683682042,5.16658498,6.635872084,3.803468781,3.521187899,2.602449345,3.217191245,4.183940173,6.02554733,3.283106586,3.357652808,3.159491665,3.099855824,5.431816378,5.604302445,4.836946139,6.692430547,12.42340038,11.30254382,3.065621897,5.335190786,8.79684832,5.073490296,3.356958719,4.369425485,5.232005845,4.574891787,4.019581736,3.057304961,4.723366911,5.823548296,5.805683167,5.583363552,3.282761678,5.460986129,5.12235708,5.193030483,5.307106427,4.913321052,3.475380425,5.428819545,4.607524586,5.198154093,6.821035492,6.043973461,3.664708659,3.428877292,6.215599651,3.32068075,3.482623958
656,3.226175057,7.188675766,3.546127776,3.518599613,11.68111421,4.43803405,8.643131314,4.891637617,9.372000719,3.730105639,6.410109572,9.450656384,5.644545607,6.289496329,3.732227474,4.995862361,2.677383402,3.365821147,4.540886686,7.731986231,3.429207502,3.253087025,3.539952509,3.200555471,3.527306971,4.838919792,6.464768083,7.798735399,12.26219623,11.66868896,3.236897247,5.883382653,6.0617382,5.795546158,3.249154983,4.496543083,4.256547333,4.364777488,5.157519488,3.347536352,4.882162584,5.068538361,4.816300302,5.496628412,4.217680272,6.309606522,4.932174284,5.13650352,5.551564527,4.449979702,3.580832336,4.904382974,4.293556965,6.4802005,6.073897698,6.796451101,3.592271562,3.815691896,5.710344438,3.515075498,3.699762741
1946,3.001957554,7.036438089,3.742932832,3.532362703,11.8126466,6.274232679,8.370410446,5.610374484,8.022777719,6.553648862,7.721221668,9.477779632,5.837210501,7.214008226,3.849770448,3.574907027,2.502677168,3.294221501,5.498833506,6.985116646,3.412721141,3.427345457,3.435330843,3.05937351,4.447317474,4.372097727,6.690148489,6.955503851,12.79829588,12.35425759,3.382048222,6.522143164,8.029499049,4.713957003,3.340766002,3.847649995,5.099957084,4.69623988,4.645648868,3.275008514,5.269347157,5.667462312,5.839867029,5.239124746,3.530432295,7.068144207,5.808919803,4.87851694,6.126645558,3.860826126,3.498514717,4.883567425,4.23577673,5.656900632,5.91122428,7.010095747,4.967348528,3.721594362,6.132762812,3.702055767,4.132064448
1991,3.34675529,6.638620409,3.529033358,3.197140487,11.57476224,4.028231865,8.551969881,5.553642183,3.312675402,6.729002981,6.432804258,9.708055611,5.789717902,6.594134584,3.413645359,3.505568685,2.641431758,3.342929323,8.493181139,8.025591091,3.826625582,4.057537333,3.365365031,3.031497949,4.230144191,5.348603089,6.777882553,5.514078569,12.45266065,11.21885039,3.443841227,5.407034574,8.586010984,5.55558744,3.137653485,6.97249939,4.392017061,4.639405299,3.506218222,4.978320573,4.988791198,5.250955284,5.649470104,5.711882658,4.137574066,5.982007229,8.326828697,5.352631328,5.822084331,4.260635749,3.490614534,5.393036098,5.199379996,6.22766412,5.984852584,9.30725738,4.631437644,4.10711792,7.705030323,3.645327061,4.068985201
1499,3.361088931,7.133586105,4.004172966,3.278007697,11.42651738,5.074123492,7.663407284,5.666958277,9.061189714,6.242974175,6.72429526,9.266502764,5.689940511,6.542038084,4.172172935,3.652693795,2.73944658,3.280919975,5.736724695,7.488083575,3.540449117,2.978205166,3.465425161,3.261726372,4.654894599,4.692358283,6.992642773,6.510615933,11.85346024,11.42144221,3.057452553,6.132833555,8.541487551,6.145708921,3.07112778,4.348962589,5.283586351,4.208821967,3.509635728,3.330399393,5.025564057,5.41169019,5.437706235,5.562333272,3.57607821,6.232594831,5.434147025,4.731737698,5.872370154,5.717946733,3.51338449,4.95553489,4.371666189,6.020447272,6.771458438,6.820838933,3.596375638,3.212065433,5.463108983,3.583097577,3.710412969
989,2.943425016,7.424981241,3.239470046,3.385083778,11.90669714,4.943364291,7.776217045,6.794266125,8.593701363,4.166527059,7.360102274,10.23301399,5.888759225,6.389284197,3.602592062,3.565649021,2.561432929,3.164034549,5.068197686,7.45974278,3.664212018,3.250352493,3.522699093,3.068671854,3.750176003,6.031794744,5.893783948,7.758040484,11.91380842,11.45361867,3.278140594,6.222944036,7.954249746,5.174175038,3.052774327,4.750833007,4.699746859,4.488833684,4.346635734,3.25307346,5.401706605,5.300099196,5.37638496,5.751868151,4.065326063,6.28163747,5.755655843,5.137034748,6.102168113,4.173886776,3.411373403,6.15135416,4.233229812,5.993750565,6.018403277,7.395777688,5.479999399,4.008852934,5.975022532,3.566302732,3.611484367
1348,3.137594547,7.908470961,3.566939777,3.365812472,11.74858781,5.04932195,8.192662749,6.856329491,10.86266242,4.497162577,7.577830552,9.668221173,4.982345894,6.792210622,3.751825869,3.4451221,2.657512758,3.136542634,5.07129328,7.134770822,6.219796294,3.295286617,3.440109286,3.168196037,4.688007257,5.787582776,5.379857963,5.996495815,12.31106089,12.05448856,3.193211155,6.271625308,8.600651817,5.669223751,3.282951388,3.989560205,5.918703856,4.21062869,3.468619072,3.233669993,4.669133226,5.423883254,5.41344858,5.620066308,4.152110424,6.268636798,5.706650409,5.47343549,5.953658026,4.005386747,3.322738662,5.416976461,4.727381224,5.101978075,6.312662801,8.55838194,4.095460769,3.412251573,5.959508969,3.541715351,4.203867726
1024,3.279327757,7.297175589,3.791406759,3.390172499,12.27790373,4.344917308,8.357268348,6.903051333,5.869049408,6.436471499,7.367545128,9.214587264,5.261111132,7.475164547,3.650415999,3.589630461,2.626688486,3.198599411,6.173114389,8.322764101,3.291921748,3.099078242,3.369993972,3.145876187,5.00062124,5.517273026,7.074058306,4.800605004,12.69081476,11.87727215,3.374485533,6.670315873,7.892405794,7.666105435,3.247862774,4.538450883,5.164353792,4.581065504,5.079249246,3.373894659,4.770114389,4.77330303,6.357085344,5.649391379,4.033977777,6.361296865,5.780347826,6.487053823,5.760075047,4.057027255,3.369919713,5.871078674,4.557220726,6.334412557,5.876890477,7.372131347,5.025075505,4.167644774,6.046347853,3.670748299,4.368551354
